,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,new_addition,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,conda_dependent_project_count,dockerhub_stars
10,OpenModelica,cosime,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2024-02-01 18:01:22.000,2024-02-01 16:46:05,36485,159.0,277.0,53.0,4214.0,5664.0,694,188.0,1809.0,27,True,,,https://openmodelica.org/useresresources/userdocumentation,2023-12-13 10:48:55.000,1.22.1,358.0,330.0,18.0,,,,,,,,,,1.0,,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2023-12-15 14:05:19.336681,34432.0,,,5.0
11,SCS,ops,['python'],,cvxgrp/scs,https://github.com/cvxgrp/scs,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,2013-11-29 23:11:16,2024-01-01 13:26:11.000,2023-12-30 12:29:49,1240,2.0,131.0,36.0,89.0,135.0,509,27.0,35.0,27,True,scs,scs,https://www.cvxgrp.org/scs/,2023-11-08 15:47:59.000,3.2.4,,818874.0,38.0,79.0,,https://pypi.org/project/scs,2023-11-22 12:02:04.000,77.0,818709.0,https://anaconda.org/anaconda/scs,2023-08-31 16:15:42.072,994.0,2.0,True,,,,,,2.0,
12,JuMP,opl,"['julia', 'jupyter']",,jump-dev/JuMP.jl,https://jump.dev,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45,2024-01-31 23:24:07.000,2024-01-31 22:40:06,4840,77.0,380.0,84.0,2199.0,1408.0,2094,149.0,86.0,26,True,,,https://jump.dev/JuMP.jl/stable/,2024-01-06 21:07:13.000,1.18.1,,,66.0,,,,,,,,,,3.0,,,,,,,,
13,Grid2Op,mrl,"['python', 'jupyter']",,rte-france/Grid2Op,https://l2rpn.chalearn.org/,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,2019-10-10 17:04:46,2024-01-26 10:15:04.000,2024-01-26 09:33:47,2874,55.0,107.0,17.0,241.0,288.0,250,31.0,38.0,26,True,Grid2Op,,https://grid2op.readthedocs.io/en/latest/,2024-01-26 10:15:04.000,1.9.8,,2224.0,76.0,10.0,,https://pypi.org/project/Grid2Op,2024-01-26 10:15:04.000,10.0,2037.0,,,,1.0,,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,9730.0,3.0,,1.0
14,CVXOPT,opl,['python'],,cvxopt/cvxopt,https://cvxopt.org/,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,2013-02-22 22:14:31,2023-11-07 22:51:27.608,2023-08-09 09:16:40,55,,198.0,38.0,65.0,147.0,937,8.0,37.0,25,True,cvxopt,cvxopt,http://cvxopt.org/userguide/,2023-08-09 14:30:49.000,1.3.2,,324365.0,17.0,9658.0,8969.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,684.0,324259.0,https://anaconda.org/anaconda/cvxopt,2023-11-07 22:51:27.608,10512.0,3.0,True,,,,,,5.0,
15,precice,cosime,,,precice/precice,https://precice.org/,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,2015-05-22 14:05:22,2024-02-01 16:35:30.000,2024-02-01 15:15:23,5005,116.0,162.0,37.0,1139.0,614.0,644,55.0,202.0,25,True,pyprecice,conda-forge/pyprecice,https://precice.org/docs.html,2024-02-01 11:18:03.000,3.0.0,22663.0,1303.0,27.0,1.0,,https://pypi.org/project/pyprecice,2023-08-09 17:07:59.000,1.0,254.0,https://anaconda.org/conda-forge/pyprecice,2023-09-26 04:44:30.628,16568.0,3.0,,precice/precice,https://hub.docker.com/r/precice/precice,2024-02-01 15:08:07.937713,14172.0,,,
16,ECOS,ops,"['python', 'julia']",,embotech/ecos,https://github.com/embotech/ecos,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,2013-02-11 21:27:50,2023-11-14 16:39:00.883,2022-01-04 22:33:07,622,,116.0,35.0,65.0,95.0,431,39.0,63.0,24,True,ecos,ecos,https://github.com/embotech/ecos/wiki,2023-03-01 20:25:03.000,2.0.12,,618926.0,22.0,86.0,,https://pypi.org/project/ecos,2022-12-23 22:41:00.760,84.0,618760.0,https://anaconda.org/anaconda/ecos,2023-11-14 16:39:00.883,16106.0,3.0,True,,,,,,2.0,
17,GridCal,steady-state,['python'],,SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,2016-01-13 15:40:10,2024-02-01 17:39:34.000,2024-01-29 20:07:49,3723,604.0,77.0,34.0,107.0,80.0,368,38.0,69.0,24,True,GridCal,,https://gridcal.readthedocs.io/en/latest/?badge=latest,2024-01-05 08:47:18.000,5.0.11,33.0,510.0,279.0,7.0,7.0,https://pypi.org/project/GridCal,2024-01-04 16:05:24.000,,510.0,,,,2.0,,,,,,,,
18,Atlite,data,['python'],,PyPSA/atlite,https://pypsa.org,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,2016-11-03 23:59:25,2024-01-29 18:30:19.000,2024-01-25 10:06:49,711,18.0,73.0,14.0,230.0,84.0,227,29.0,26.0,24,True,atlite,conda-forge/atlite,https://atlite.readthedocs.io/en/master/?badge=master,2023-10-25 10:29:04.000,0.2.12,,4505.0,16.0,47.0,47.0,https://pypi.org/project/atlite,2023-10-25 07:26:07.000,,3572.0,https://anaconda.org/conda-forge/atlite,2023-10-25 10:06:22.403,41094.0,1.0,,,,,,,,
19,Power Grid Model,steady-state,['python'],,PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2024-02-01 16:24:43.000,2024-01-30 14:18:23,4034,369.0,21.0,5.0,369.0,67.0,108,18.0,46.0,24,True,power-grid-model,conda-forge/power-grid-model,https://power-grid-model.readthedocs.io/en/stable/,2024-01-30 15:25:49.000,1.6.59,570.0,27953.0,327.0,5.0,4.0,https://pypi.org/project/power-grid-model,2024-01-30 15:25:27.000,1.0,16100.0,https://anaconda.org/conda-forge/power-grid-model,2024-01-30 18:16:14.550,105825.0,2.0,,,,,,,,
20,pandapipes,gasnet,['python'],,e2nIEE/pandapipes,https://www.pandapipes.org/,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,2020-02-03 15:04:57,2024-01-16 12:05:54.000,2023-12-22 08:55:40,1754,99.0,48.0,10.0,428.0,77.0,109,20.0,51.0,23,True,pandapipes,,https://jkpandapipes.readthedocs.io/en/latest/,2023-12-22 10:36:39.000,0.9.0,,2140.0,16.0,19.0,17.0,https://pypi.org/project/pandapipes,2023-12-22 10:37:47.000,2.0,2140.0,,,,1.0,,,,,,,,
21,AMPLPY,ops,['python'],,ampl/amplpy,https://ampl.com/,BSD-3,Python API for AMPL.,https://github.com/ampl/amplpy,2017-06-27 00:22:07,2024-01-26 14:54:24.000,2024-01-26 14:54:20,660,49.0,19.0,14.0,6.0,45.0,60,8.0,1.0,23,True,amplpy,conda-forge/amplpy,https://amplpy.readthedocs.io/en/latest/,2024-01-05 14:16:46.000,0.13.2,,16876.0,163.0,61.0,58.0,https://pypi.org/project/amplpy,2024-01-05 14:16:46.000,3.0,12145.0,https://anaconda.org/conda-forge/amplpy,2023-12-29 20:21:07.590,198706.0,3.0,True,,,,,,,
22,CBC,ops,"['python', 'julia']",,coin-or/Cbc,https://github.com/coin-or/Cbc,EPL-2.0,COIN-OR Branch-and-Cut solver.,https://github.com/coin-or/Cbc,2019-03-02 23:20:41,2024-01-21 17:27:53.000,2024-01-21 17:27:05,2464,18.0,100.0,39.0,58.0,345.0,701,29.0,125.0,22,True,,,https://coin-or.github.io/Cbc/Doxygen/,2023-10-25 18:18:31.000,releases/2.10.11,18028.0,316.0,10.0,,,,,,,,,,3.0,True,,,,,,,
23,PyPSA-Eur,steady-state,['python'],,PyPSA/pypsa-eur,https://pypsa.org,MIT,Optimisation Model of the European Transmission System.,https://github.com/PyPSA/pypsa-eur,2017-10-11 23:54:41,2024-02-01 16:26:11.000,2024-01-31 12:31:59,3820,477.0,174.0,15.0,541.0,236.0,259,61.0,139.0,22,True,,,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,2024-01-05 16:39:30.000,0.9.0,,0.0,13.0,,,,,,,,,,2.0,,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,2022-04-11 21:54:31.539284,37.0,,,
24,PowerSimulations.jl,steady-state,['julia'],,NREL-Sienna/PowerSimulations.jl,https://www.nrel.gov/analysis/sienna.html,BSD-3,Power Systems optimization simulation and modeling; Part of the Sienna at NREL.,https://github.com/NREL-Sienna/PowerSimulations.jl,2017-11-03 21:11:22,2024-01-27 00:35:01.000,2024-01-23 19:04:29,8403,177.0,48.0,18.0,751.0,257.0,250,34.0,32.0,22,True,,,https://nrel-sienna.github.io/PowerSimulations.jl/latest,2024-01-23 19:22:53.000,0.27.0,,,100.0,,,,,,,,,,2.0,,,,,,,,
25,powerplantmatching,data,['python'],,PyPSA/powerplantmatching,https://pypsa.org,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,2016-08-15 16:36:25,2024-01-30 11:42:07.966,2024-01-30 10:02:37,870,20.0,47.0,20.0,74.0,55.0,132,22.0,25.0,22,True,powerplantmatching,conda-forge/powerplantmatching,https://atlite.readthedocs.io/en/master/?badge=master,2024-01-30 10:05:25.000,0.5.10,52.0,1672.0,20.0,38.0,38.0,https://pypi.org/project/powerplantmatching,2024-01-30 10:05:25.000,,887.0,https://anaconda.org/conda-forge/powerplantmatching,2024-01-30 11:42:07.966,29849.0,3.0,,,,,,,,
26,Clarabel.rs,ops,['python'],,oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,Apache-2.0,Interior-point solver for convex conic optimisation.,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34,2024-01-26 18:25:08.000,2023-10-04 11:00:06,311,,15.0,9.0,48.0,8.0,208,5.0,10.0,21,True,clarabel,conda-forge/clarabel,https://oxfordcontrol.github.io/ClarabelDocs/stable/,2023-09-26 22:43:58.000,0.6.0.post1,,560448.0,10.0,15.0,4.0,https://pypi.org/project/clarabel,2023-09-20 13:05:38.000,11.0,556144.0,https://anaconda.org/conda-forge/clarabel,2023-10-12 05:52:15.246,17217.0,3.0,True,,,,,,,
27,HELICS,msg,"['python', 'julia']",,GMLC-TDC/HELICS,https://helics.org/tools/,BSD-3,Data exchange among diverse simulators across platforms.,https://github.com/GMLC-TDC/HELICS,2017-06-01 17:03:19,2024-02-01 16:50:36.000,2024-01-24 03:21:05,3420,3.0,37.0,13.0,1933.0,559.0,108,38.0,76.0,21,True,helics,conda-forge/helics,,2023-01-25 22:11:00.859,3.4.0,20058.0,2652.0,100.0,5.0,,https://pypi.org/project/helics,2022-07-06 18:33:31.000,5.0,2073.0,https://anaconda.org/conda-forge/helics,2023-06-16 16:09:19.777,20209.0,1.0,,,,,,,,
28,matpower,steady-state,,,MATPOWER/matpower,https://matpower.org/,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,2016-12-16 19:12:30,2024-01-24 23:28:13.000,2024-01-18 23:41:30,2400,39.0,144.0,29.0,41.0,148.0,366,15.0,32.0,20,True,matpower,,https://matpower.org/doc/,2020-10-08 23:57:49.000,7.1,440227.0,7189.0,16.0,1.0,,https://pypi.org/project/matpower,2023-03-25 05:06:00.849,1.0,190.0,,,,3.0,,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2022-12-23 05:36:43.825145,1077.0,,,
29,PowerModels.jl,steady-state,['julia'],,lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54,2024-01-26 07:56:17.000,2024-01-19 18:39:57,977,18.0,136.0,26.0,431.0,387.0,359,29.0,86.0,19,True,,,https://lanl-ansi.github.io/PowerModels.jl/stable/,2024-01-19 19:26:02.000,0.21.0,,,75.0,,,,,,,,,,3.0,,,,,,,,
30,PYPOWER,steady-state,['python'],,rwl/PYPOWER,rwl.github.io/PYPOWER/api/,BSD,Port of MATPOWER to Python.,https://github.com/rwl/PYPOWER,2009-05-22 12:14:47,2023-07-06 21:40:30.000,2023-03-29 15:07:00,351,,103.0,25.0,44.0,11.0,296,20.0,30.0,19,True,PYPOWER,invenia/pypower,http://rwl.github.io/PYPOWER/index.html,2023-03-29 15:17:01.097,5.1.16,,2513.0,17.0,118.0,96.0,https://pypi.org/project/PYPOWER,2023-03-29 15:17:01.097,22.0,2474.0,https://anaconda.org/invenia/pypower,2023-06-16 13:21:19.108,3146.0,3.0,,hwanghust/pypower,https://hub.docker.com/r/hwanghust/pypower,2019-05-19 07:28:05.197725,17.0,-2.0,,
31,LTB ANDES,phasor,"['python', 'jupyter']",,CURENT/andes,https://ltb.curent.org/,GPL-3,Transient Stability Simulator; Part of CURENT LTB.,https://github.com/CURENT/andes,2016-11-07 01:04:50,2024-01-19 20:37:40.000,2023-08-11 02:03:34,4406,,92.0,16.0,265.0,46.0,190,20.0,9.0,19,True,andes,conda-forge/andes,https://docs.andes.app/en/latest/,2023-08-11 02:11:35.000,1.8.10,,10409.0,110.0,1.0,,https://pypi.org/project/andes,2023-08-11 02:11:35.000,1.0,1098.0,https://anaconda.org/conda-forge/andes,2023-08-11 04:10:18.421,418955.0,1.0,True,cuihantao/andes,https://hub.docker.com/r/cuihantao/andes,2020-12-10 15:50:41.614180,119.0,,,
32,OpenDSSDirect.py,intf,['python'],,dss-extensions/OpenDSSDirect.py,https://dss-extensions.org/,MIT,A direct library interface to OpenDSS.,https://github.com/dss-extensions/OpenDSSDirect.py,2017-06-20 19:18:22,2024-01-30 14:40:58.000,2023-07-02 04:24:36,390,,20.0,14.0,31.0,82.0,76,3.0,18.0,19,True,OpenDSSDirect.py,,https://dss-extensions.org/OpenDSSDirect.py/,2023-06-28 03:33:01.000,0.8.4,,3199.0,43.0,58.0,44.0,https://pypi.org/project/OpenDSSDirect.py,2021-03-11 01:53:34.000,14.0,3199.0,,,,1.0,,,,,,5.0,,
33,LightSim2Grid,steady-state,['python'],,BDonnot/lightsim2grid,https://l2rpn.chalearn.org/,MPL-2.0,A fast backend for the Grid2Op.,https://github.com/BDonnot/lightsim2grid,2020-03-09 07:35:27,2024-01-10 13:13:43.000,2023-10-05 15:32:58,541,,9.0,3.0,31.0,26.0,43,5.0,16.0,19,True,LightSim2Grid,,https://lightsim2grid.readthedocs.io/en/latest/,2023-10-16 10:24:01.000,0.7.5,101.0,3092.0,18.0,35.0,28.0,https://pypi.org/project/LightSim2Grid,2023-10-27 15:39:34.000,7.0,3087.0,,,,3.0,,bdonnot/lightsim2grid,https://hub.docker.com/r/bdonnot/lightsim2grid,2022-02-01 17:50:28.347059,187.0,,,
34,GridPath,steady-state,['python'],,blue-marble/gridpath,https://www.gridpath.io/,Apache-2,Power system planning and operations.,https://github.com/blue-marble/gridpath,2016-08-12 18:13:28,2024-01-31 23:57:19.000,2024-01-31 18:14:52,1422,11.0,34.0,11.0,767.0,255.0,81,9.0,68.0,18,True,,,https://gridpath.readthedocs.io/en/latest/?badge=latest,2023-12-14 18:38:35.000,0.16.1,737.0,16.0,24.0,2.0,2.0,,,,,,,,3.0,,,,,,,,
35,PowerSimulationsDynamics.jl,phasor,['julia'],,NREL-Sienna/PowerSimulationsDynamics.jl,https://www.nrel.gov/analysis/sienna.html,BSD-3,Dynamic Power System simulations; Part of the Sienna at NREL.,https://github.com/NREL-Sienna/PowerSimulationsDynamics.jl,2020-07-16 19:36:16,2024-01-31 23:03:55.000,2024-01-31 22:50:41,2395,8.0,31.0,13.0,220.0,87.0,146,13.0,41.0,16,True,,,https://nrel-sienna.github.io/PowerSimulationsDynamics.jl/stable,2024-01-05 22:53:57.000,0.13.0,,,38.0,,,,,,,,,,2.0,,,,,,,,
36,OpenIPSL,phasor,,,OpenIPSL/OpenIPSL,https://github.com/OpenIPSL/OpenIPSL,BSD-3,A library of power system models written with Modelica.,https://github.com/OpenIPSL/OpenIPSL,2016-04-16 09:09:47,2024-01-19 20:18:05.000,2023-11-23 15:23:06,1770,3.0,47.0,20.0,226.0,99.0,65,32.0,16.0,16,True,,,https://doc.openipsl.org,2022-06-23 13:05:59.000,3.0.1,480.0,5.0,15.0,,,,,,,,,,2.0,,,,,,-2.0,,
37,PIQP,ops,['python'],,PREDICT-EPFL/piqp,https://github.com/PREDICT-EPFL/piqp,BSD-2,Proximal Interior Point Quadratic Programming solver.,https://github.com/PREDICT-EPFL/piqp,2023-01-25 13:55:12,2024-01-22 14:22:34.000,2024-01-22 14:22:31,245,5.0,6.0,6.0,,2.0,46,1.0,2.0,16,True,piqp,conda-forge/piqp,https://predict-epfl.github.io/piqp/,2023-12-25 19:28:11.000,0.2.4,29.0,5985.0,9.0,10.0,5.0,https://pypi.org/project/piqp,2023-12-25 19:28:11.000,5.0,4501.0,https://anaconda.org/conda-forge/piqp,2023-12-25 21:00:54.971,8886.0,3.0,True,,,,,,,
38,Easy SimAuto,intf,['python'],,mzy2240/ESA,https://github.com/mzy2240/ESA,Apache-2.0,Python interface to PowerWorld.,https://github.com/mzy2240/ESA,2019-10-08 21:37:23,2023-06-05 21:16:13.000,2023-06-05 21:15:21,663,,9.0,5.0,15.0,83.0,40,11.0,16.0,16,True,esa,,https://mzy2240.github.io/ESA/html/index.html,2023-06-05 21:19:00.512,1.3.5,,1888.0,52.0,5.0,4.0,https://pypi.org/project/esa,2022-05-21 02:37:41.000,1.0,1888.0,,,,2.0,,,,,,-2.0,,
39,py-dss-interface,intf,['python'],,PauloRadatz/py_dss_interface,https://github.com/PauloRadatz/py_dss_interface,MIT,A package for access to direct dll version of OpenDSS.,https://github.com/PauloRadatz/py_dss_interface,2020-06-12 18:58:36,2023-08-19 23:10:20.000,2023-08-19 23:10:17,528,,8.0,6.0,48.0,21.0,22,6.0,33.0,16,True,py-dss-interface,,https://py-dss-interface.readthedocs.io/en/latest/,2023-06-05 13:49:01.111,2.0.2,,392.0,17.0,28.0,24.0,https://pypi.org/project/py-dss-interface,2021-12-07 21:43:33.000,4.0,392.0,,,,2.0,,,,,,,,
40,GenX,steady-state,['python'],,GenXProject/GenX,https://energy.mit.edu/genx/,GPL-2.0,Steady-state distribution power system analysis.,https://github.com/GenXProject/GenX,2021-05-19 17:57:57,2024-02-01 18:31:26.000,2024-02-01 18:31:26,827,2.0,89.0,16.0,394.0,174.0,217,24.0,50.0,15,True,,,https://genxproject.github.io/GenX/dev/,2023-08-01 19:35:41.000,0.3.6,,,9.0,,,,,,,,,,3.0,True,,,,,,,
41,EGRET,steady-state,['python'],,grid-parity-exchange/Egret,https://github.com/grid-parity-exchange/Egret,BSD,Tools for Power Systems Optimization Modeling.,https://github.com/grid-parity-exchange/Egret,2019-01-28 18:41:03,2024-01-09 17:41:31.000,2023-11-14 21:40:03,1061,3.0,46.0,13.0,233.0,38.0,113,38.0,44.0,15,True,,,,2023-04-03 23:11:48.000,0.5.5,,,6.0,6.0,6.0,,,,,,,,3.0,,,,,,,,
42,GasModels.jl,gasnet,['julia'],,lanl-ansi/GasModels.jl,https://github.com/lanl-ansi/GasModels.jl,BSD-3,Gas Network Optimization.,https://github.com/lanl-ansi/GasModels.jl,2016-08-29 16:01:10,2024-01-31 06:41:25.000,2024-01-31 05:50:53,1037,25.0,15.0,9.0,113.0,98.0,62,13.0,48.0,15,True,,,https://lanl-ansi.github.io/GasModels.jl/latest/,2024-01-31 06:38:45.000,0.10.0,,,21.0,,,,,,,,,,3.0,,,,,,,,
43,PyDSS,intf,['python'],,NREL/PyDSS,https://www.nrel.gov/grid/pydss.html,BSD-3,A Python wrapper for OpenDSS.,https://github.com/NREL/PyDSS,2018-10-16 15:59:07,2024-01-29 17:05:23.000,2024-01-08 17:44:14,835,9.0,18.0,9.0,105.0,12.0,31,24.0,19.0,15,True,pydss,,https://nrel.github.io/PyDSS/index.html,2023-11-22 20:26:16.000,3.0.0,,21.0,16.0,2.0,2.0,https://pypi.org/project/pydss,2011-08-17 20:40:53.000,,21.0,,,,3.0,,,,,,,,
