,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,new_addition
10,SCS,ops,['python'],,cvxgrp/scs,https://github.com/cvxgrp/scs,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,2013-11-29 23:11:16.000,2024-02-08 10:53:08.793,2023-12-30 12:29:49,1240.0,1.0,131.0,36.0,89.0,135.0,511.0,27.0,35.0,27,True,scs,conda-forge/scs,https://www.cvxgrp.org/scs/,2023-11-08 15:47:59.000,3.2.4,,875944.0,38.0,77.0,,https://pypi.org/project/scs,2023-11-22 12:02:04.000,77.0,856464.0,https://anaconda.org/conda-forge/scs,2024-02-08 10:53:08.793,759729.0,2.0,,,,,,,
11,JuMP,opl,"['julia', 'jupyter']",,jump-dev/JuMP.jl,https://jump.dev,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45.000,2024-02-07 23:36:20.000,2024-02-07 20:24:44,4845.0,75.0,379.0,84.0,2203.0,1409.0,2101.0,149.0,86.0,26,True,,,https://jump.dev/JuMP.jl/stable/,2024-02-01 23:29:55.000,1.19.0,,,67.0,,,,,,,,,,2.0,,,,,,,
12,Ipopt,ops,['python'],,coin-or/Ipopt,https://github.com/coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2014-12-28 02:03:06.000,2024-01-25 22:51:52.000,2024-01-18 03:56:59,2352.0,7.0,251.0,43.0,26.0,564.0,1221.0,30.0,4.0,26,True,ipopt,conda-forge/ipopt,https://coin-or.github.io/Ipopt/,2024-01-18 03:59:26.000,releases/3.14.14,10808.0,27031.0,29.0,7.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,7.0,1510.0,https://anaconda.org/conda-forge/ipopt,2024-01-19 20:27:56.030,1011487.0,2.0,-1.0,,,,,,
13,ECOS,ops,"['python', 'julia']",,embotech/ecos,https://github.com/embotech/ecos,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,2013-02-11 21:27:50.000,2024-02-07 08:57:15.979,2022-01-04 22:33:07,622.0,,121.0,35.0,65.0,95.0,433.0,39.0,64.0,26,True,ecos,conda-forge/ecos,https://github.com/embotech/ecos/wiki,2024-02-07 00:03:53.000,2.0.13,,674616.0,23.0,84.0,,https://pypi.org/project/ecos,2024-02-07 00:03:53.000,84.0,657067.0,https://anaconda.org/conda-forge/ecos,2024-02-07 08:57:15.979,684430.0,2.0,2.0,,,,,,
14,Grid2Op,mrl,"['python', 'jupyter']",,rte-france/Grid2Op,https://l2rpn.chalearn.org/,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,2019-10-10 17:04:46.000,2024-01-26 10:15:04.000,2024-01-26 09:33:47,2874.0,55.0,107.0,17.0,241.0,288.0,253.0,31.0,38.0,26,True,Grid2Op,,https://grid2op.readthedocs.io/en/latest/,2024-01-26 10:15:04.000,1.9.8,,2457.0,76.0,10.0,,https://pypi.org/project/Grid2Op,2024-01-26 10:15:04.000,10.0,2270.0,,,,1.0,,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,9730.0,1.0,
15,CVXOPT,opl,['python'],,cvxopt/cvxopt,https://cvxopt.org/,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,2013-02-22 22:14:31.000,2023-10-25 15:45:10.000,2023-08-09 09:16:40,55.0,,198.0,38.0,65.0,147.0,937.0,8.0,37.0,25,True,cvxopt,conda-forge/cvxopt,http://cvxopt.org/userguide/,2023-08-09 14:30:49.000,1.3.2,,358117.0,17.0,9718.0,9033.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,685.0,335400.0,https://anaconda.org/conda-forge/cvxopt,2023-09-23 18:21:52.093,908681.0,3.0,,,,,,,
16,precice,cosime,,,precice/precice,https://precice.org/,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,2015-05-22 14:05:22.000,2024-02-08 10:58:31.000,2024-02-08 10:58:04,5006.0,114.0,162.0,37.0,1140.0,614.0,645.0,55.0,202.0,25,True,pyprecice,conda-forge/pyprecice,https://precice.org/docs.html,2024-02-01 11:18:03.000,3.0.0,22842.0,1587.0,27.0,1.0,,https://pypi.org/project/pyprecice,2024-02-06 12:45:48.000,1.0,519.0,https://anaconda.org/conda-forge/pyprecice,2024-02-07 12:18:39.110,16835.0,3.0,,precice/precice,https://hub.docker.com/r/precice/precice,2024-02-08 03:14:46.700446,14872.0,,
17,CBC,ops,"['python', 'julia']",,coin-or/Cbc,https://github.com/coin-or/Cbc,EPL-2.0,COIN-OR Branch-and-Cut solver.,https://github.com/coin-or/Cbc,2016-05-16 16:52:52.581,2024-01-21 17:27:53.000,2024-01-21 17:27:05,2464.0,15.0,100.0,39.0,58.0,346.0,705.0,29.0,124.0,24,True,,conda-forge/coincbc,https://coin-or.github.io/Cbc/Doxygen/,2023-10-25 18:18:31.000,releases/2.10.11,18243.0,10248.0,12.0,,,,,,,https://anaconda.org/conda-forge/coincbc,2023-06-16 13:17:24.974,923341.0,3.0,2.0,,,,,,
18,GridCal,steady-state,['python'],,SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,2016-01-13 15:40:10.000,2024-02-08 16:59:10.000,2024-01-29 20:07:49,3723.0,590.0,78.0,33.0,108.0,81.0,369.0,38.0,70.0,24,True,GridCal,,https://gridcal.readthedocs.io/en/latest/?badge=latest,2024-01-05 08:47:18.000,5.0.11,33.0,801.0,279.0,7.0,7.0,https://pypi.org/project/GridCal,2024-01-04 16:05:24.000,,801.0,,,,1.0,,,,,,,
19,Atlite,data,['python'],,PyPSA/atlite,https://pypsa.org,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,2016-11-03 23:59:25.000,2024-02-06 20:22:41.000,2024-02-06 20:22:40,713.0,15.0,73.0,14.0,230.0,84.0,228.0,29.0,26.0,24,True,atlite,conda-forge/atlite,https://atlite.readthedocs.io/en/master/?badge=master,2023-10-25 10:29:04.000,0.2.12,,4932.0,16.0,47.0,47.0,https://pypi.org/project/atlite,2023-10-25 07:26:07.000,,3995.0,https://anaconda.org/conda-forge/atlite,2023-10-25 10:06:22.403,41245.0,1.0,,,,,,,
20,Power Grid Model,steady-state,['python'],,PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31.000,2024-02-08 16:39:10.000,2024-02-08 15:35:11,4270.0,577.0,21.0,5.0,372.0,68.0,108.0,18.0,45.0,24,True,power-grid-model,conda-forge/power-grid-model,https://power-grid-model.readthedocs.io/en/stable/,2024-02-08 16:15:10.000,1.6.63,561.0,32976.0,331.0,5.0,4.0,https://pypi.org/project/power-grid-model,2024-02-08 16:14:48.000,1.0,20493.0,https://anaconda.org/conda-forge/power-grid-model,2024-02-05 17:54:08.681,111515.0,1.0,,,,,,,
21,LTB ANDES,phasor,"['python', 'jupyter']",,CURENT/andes,https://ltb.curent.org/,GPL-3,Transient Stability Simulator; CURENT LTB.,https://github.com/CURENT/andes,2016-11-07 01:04:50.000,2024-02-05 23:32:00.036,2024-02-04 22:56:48,4445.0,21.0,92.0,16.0,266.0,48.0,190.0,20.0,7.0,23,True,andes,conda-forge/andes,https://docs.andes.app/en/latest/,2024-02-04 23:06:46.000,1.9.1,,10866.0,112.0,17.0,15.0,https://pypi.org/project/andes,2024-02-04 23:06:46.000,2.0,1532.0,https://anaconda.org/conda-forge/andes,2024-02-05 23:32:00.036,420008.0,1.0,4.0,cuihantao/andes,https://hub.docker.com/r/cuihantao/andes,2020-12-10 15:50:41.614180,119.0,,
22,PowSyBl Core,steady-state,,,powsybl/powsybl-core,https://www.powsybl.org,MPL-2.0,Framework to build power system software.,https://github.com/powsybl/powsybl-core,2017-09-29 14:51:18.000,2024-02-08 16:33:15.000,2024-02-08 10:19:44,3081.0,96.0,37.0,21.0,2403.0,295.0,114.0,99.0,235.0,23,True,,,https://www.javadoc.io/doc/com.powsybl/powsybl-core/latest/,2024-01-29 15:22:18.000,6.2.0,95.0,1.0,90.0,74.0,74.0,,,,,,,,2.0,,,,,,,True
23,PowSyBl Diagram,vis,,,powsybl/powsybl-core,https://www.powsybl.org,MPL-2.0,single-line substation diagrams and network graph diagrams.,https://github.com/powsybl/powsybl-core,2017-09-29 14:51:18.000,2024-02-08 16:33:15.000,2024-02-08 10:19:44,3081.0,96.0,37.0,21.0,2403.0,295.0,114.0,99.0,235.0,23,True,,,https://www.powsybl.org/pages/documentation/developer/api_guide/svg-writing.html,2024-01-29 15:22:18.000,6.2.0,95.0,1.0,90.0,74.0,74.0,,,,,,,,1.0,,,,,,,True
24,pandapipes,gasnet,['python'],,e2nIEE/pandapipes,https://www.pandapipes.org/,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,2020-02-03 15:04:57.000,2024-01-16 12:05:54.000,2023-12-22 08:55:40,1754.0,99.0,49.0,10.0,428.0,77.0,110.0,20.0,51.0,23,True,pandapipes,,https://jkpandapipes.readthedocs.io/en/latest/,2023-12-22 10:36:39.000,0.9.0,,2337.0,16.0,20.0,18.0,https://pypi.org/project/pandapipes,2023-12-22 10:37:47.000,2.0,2337.0,,,,1.0,,,,,,,
25,HELICS,msg,"['python', 'julia']",,GMLC-TDC/HELICS,https://helics.org/tools/,BSD-3,Data exchange among diverse simulators across platforms.,https://github.com/GMLC-TDC/HELICS,2017-06-01 17:03:19.000,2024-02-08 14:53:02.000,2024-02-07 04:54:12,3483.0,35.0,37.0,13.0,1941.0,561.0,110.0,38.0,77.0,23,True,helics,conda-forge/helics,,2024-02-07 05:56:36.000,3.5.0,20310.0,3753.0,100.0,5.0,,https://pypi.org/project/helics,2022-07-06 18:33:31.000,5.0,3169.0,https://anaconda.org/conda-forge/helics,2023-06-16 16:09:19.777,20252.0,1.0,2.0,,,,,,
26,AMPLPY,ops,['python'],,ampl/amplpy,https://ampl.com/,BSD-3,Python API for AMPL.,https://github.com/ampl/amplpy,2017-06-27 00:22:07.000,2024-01-26 14:54:24.000,2024-01-26 14:54:20,660.0,49.0,19.0,14.0,6.0,45.0,60.0,8.0,1.0,23,True,amplpy,conda-forge/amplpy,https://amplpy.readthedocs.io/en/latest/,2024-01-05 14:16:46.000,0.13.2,,17446.0,163.0,62.0,59.0,https://pypi.org/project/amplpy,2024-01-05 14:16:46.000,3.0,12691.0,https://anaconda.org/conda-forge/amplpy,2023-12-29 20:21:07.590,199723.0,3.0,,,,,,,
27,MATPOWER,steady-state,,,MATPOWER/matpower,https://matpower.org/,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,2016-12-16 19:12:30.000,2024-02-06 00:11:51.000,2024-02-06 00:03:03,2419.0,58.0,151.0,29.0,41.0,148.0,367.0,15.0,35.0,22,True,,,https://matpower.org/doc/,2020-10-08 23:57:49.000,7.1,441954.0,7027.0,4.0,,,,,,,,,,2.0,,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2024-02-06 00:08:19.881110,1108.0,,True
28,PyPSA-Eur,steady-state,['python'],,PyPSA/pypsa-eur,https://pypsa.org,MIT,Optimisation Model of the European Transmission System.,https://github.com/PyPSA/pypsa-eur,2017-10-11 23:54:41.000,2024-02-08 12:54:02.000,2024-02-07 17:56:58,3884.0,536.0,174.0,15.0,549.0,239.0,262.0,61.0,139.0,22,True,,,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,2024-01-05 16:39:30.000,0.9.0,,0.0,13.0,,,,,,,,,,2.0,,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,2022-04-11 21:54:31.539284,37.0,,
29,PowerSimulations.jl,steady-state,['julia'],,NREL-Sienna/PowerSimulations.jl,https://www.nrel.gov/analysis/sienna.html,BSD-3,Power Systems optimization simulation and modeling; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulations.jl,2017-11-03 21:11:22.000,2024-02-08 16:43:56.000,2024-01-23 19:04:29,8403.0,176.0,48.0,18.0,754.0,257.0,253.0,34.0,32.0,22,True,,,https://nrel-sienna.github.io/PowerSimulations.jl/latest,2024-01-23 19:22:53.000,0.27.0,,,100.0,,,,,,,,,,2.0,,,,,,,
30,powerplantmatching,data,['python'],,PyPSA/powerplantmatching,https://pypsa.org,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,2016-08-15 16:36:25.000,2024-02-07 12:48:22.356,2024-02-07 10:35:18,872.0,22.0,47.0,20.0,75.0,55.0,133.0,22.0,25.0,22,True,powerplantmatching,conda-forge/powerplantmatching,https://atlite.readthedocs.io/en/master/?badge=master,2024-02-07 10:37:08.000,0.5.11,52.0,1705.0,21.0,38.0,38.0,https://pypi.org/project/powerplantmatching,2024-02-07 10:36:12.000,,915.0,https://anaconda.org/conda-forge/powerplantmatching,2024-02-07 12:48:22.356,30022.0,2.0,,,,,,,
31,GridStatus,data,['python'],,kmax12/gridstatus,https://www.gridstatus.io,BSD-3,Extract data from ISOs and other sources.,https://github.com/kmax12/gridstatus,2022-07-28 19:24:20.000,2024-02-07 20:44:44.000,2024-02-07 20:44:44,335.0,24.0,34.0,7.0,234.0,47.0,225.0,17.0,64.0,21,True,gridstatus,,https://docs.gridstatus.io/en/latest/,2023-12-27 20:22:05.000,0.24.0,,4636.0,24.0,7.0,6.0,https://pypi.org/project/gridstatus,2023-12-27 20:22:05.000,1.0,4636.0,,,,3.0,,,,,,,True
32,Clarabel.rs,ops,['python'],,oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,Apache-2.0,Interior-point solver for convex conic optimisation.,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34.000,2024-01-26 18:25:08.000,2023-10-04 11:00:06,311.0,,15.0,9.0,48.0,8.0,212.0,5.0,10.0,21,True,clarabel,conda-forge/clarabel,https://oxfordcontrol.github.io/ClarabelDocs/stable/,2023-09-26 22:43:58.000,0.6.0.post1,,596169.0,10.0,16.0,5.0,https://pypi.org/project/clarabel,2023-09-20 13:05:38.000,11.0,591599.0,https://anaconda.org/conda-forge/clarabel,2023-10-12 05:52:15.246,18283.0,3.0,,,,,,,
33,Dynaωo,phasor,,,dynawo/dynawo,http://dynawo.org,MPL-2.0,C++/Modelica simulation tools for power systems.,https://github.com/dynawo/dynawo,2019-01-29 13:29:35.000,2024-02-08 12:28:09.000,2024-01-25 15:53:52,2158.0,34.0,20.0,9.0,1816.0,1222.0,61.0,48.0,100.0,21,True,,,https://dynawo.github.io/docs/,2023-10-05 07:46:05.000,1.5.0,14427.0,236.0,16.0,,,,,,,,,,1.0,,,,,,,True
34,PowerModels.jl,steady-state,['julia'],,lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54.000,2024-01-26 07:56:17.000,2024-01-19 18:39:57,977.0,18.0,137.0,26.0,431.0,387.0,360.0,29.0,86.0,19,True,,,https://lanl-ansi.github.io/PowerModels.jl/stable/,2024-01-19 19:26:02.000,0.21.0,,,75.0,,,,,,,,,,2.0,,,,,,,
35,PYPOWER,steady-state,['python'],,rwl/PYPOWER,rwl.github.io/PYPOWER/api/,BSD,Port of MATPOWER to Python.,https://github.com/rwl/PYPOWER,2009-05-22 12:14:47.000,2023-07-06 21:40:30.000,2023-03-29 15:07:00,351.0,,110.0,25.0,44.0,11.0,300.0,20.0,30.0,19,True,PYPOWER,invenia/pypower,http://rwl.github.io/PYPOWER/index.html,2023-03-29 15:17:01.097,5.1.16,,2791.0,17.0,118.0,96.0,https://pypi.org/project/PYPOWER,2023-03-29 15:17:01.097,22.0,2752.0,https://anaconda.org/invenia/pypower,2023-06-16 13:21:19.108,3146.0,2.0,,hwanghust/pypower,https://hub.docker.com/r/hwanghust/pypower,2019-05-19 07:28:05.197725,17.0,,
36,OpenDSSDirect.py,intf,['python'],,dss-extensions/OpenDSSDirect.py,https://dss-extensions.org/,MIT,A direct library interface to OpenDSS.,https://github.com/dss-extensions/OpenDSSDirect.py,2017-06-20 19:18:22.000,2024-01-30 14:40:58.000,2023-07-02 04:24:36,390.0,,20.0,14.0,31.0,82.0,76.0,3.0,18.0,19,True,OpenDSSDirect.py,,https://dss-extensions.org/OpenDSSDirect.py/,2023-06-28 03:33:01.000,0.8.4,,3611.0,43.0,58.0,44.0,https://pypi.org/project/OpenDSSDirect.py,2021-03-11 01:53:34.000,14.0,3611.0,,,,1.0,,,,,,,
37,DPsim,emt,['python'],,sogno-platform/dpsim,https://dpsim.fein-aachen.org/,MPL-2.0,Simulation for both EMT and phasor.,https://github.com/sogno-platform/dpsim,2020-01-29 08:49:59.000,2024-02-07 17:14:04.000,2024-01-25 15:54:21,4444.0,26.0,45.0,9.0,165.0,45.0,60.0,31.0,83.0,19,True,dpsim,,https://dpsim.fein-aachen.org/docs/,2023-07-13 13:38:01.948,1.1.1,,80.0,9.0,6.0,6.0,https://pypi.org/project/dpsim,2022-12-10 09:56:59.646,,80.0,,,,1.0,,,,,,,True
38,LightSim2Grid,steady-state,['python'],,BDonnot/lightsim2grid,https://l2rpn.chalearn.org/,MPL-2.0,A fast backend for the Grid2Op.,https://github.com/BDonnot/lightsim2grid,2020-03-09 07:35:27.000,2024-01-10 13:13:43.000,2023-10-05 15:32:58,541.0,,9.0,3.0,31.0,26.0,43.0,5.0,16.0,19,True,LightSim2Grid,,https://lightsim2grid.readthedocs.io/en/latest/,2023-10-16 10:24:01.000,0.7.5,101.0,3679.0,18.0,35.0,28.0,https://pypi.org/project/LightSim2Grid,2023-10-27 15:39:34.000,7.0,3674.0,,,,2.0,,bdonnot/lightsim2grid,https://hub.docker.com/r/bdonnot/lightsim2grid,2022-02-01 17:50:28.347059,187.0,,
39,GridLAB-D,phasor,,,gridlab-d/gridlab-d,,LGPL-2.1,Distribution power system simulator.,https://github.com/gridlab-d/gridlab-d,2016-08-29 17:43:21.000,2024-02-05 15:58:59.000,2023-09-29 21:37:12,4370.0,,99.0,24.0,144.0,1004.0,136.0,74.0,325.0,18,True,,,,2023-10-12 23:32:11.000,5.2,2584.0,36.0,6.0,,,,,,,,,,2.0,,,,,,,True
40,GridPath,steady-state,['python'],,blue-marble/gridpath,https://www.gridpath.io/,Apache-2,Power system planning and operations.,https://github.com/blue-marble/gridpath,2016-08-12 18:13:28.000,2024-02-08 18:05:14.000,2024-02-08 17:07:01,1423.0,11.0,34.0,11.0,770.0,255.0,82.0,10.0,68.0,18,True,,,https://gridpath.readthedocs.io/en/latest/?badge=latest,2023-12-14 18:38:35.000,0.16.1,738.0,16.0,24.0,2.0,2.0,,,,,,,,3.0,,,,,,,
41,PyPowSyBl,steady-state,['python'],,powsybl/pypowsybl,https://www.powsybl.org,MPL-2.0,A PowSyBl and Python integration.,https://github.com/powsybl/pypowsybl,2020-11-09 10:30:33.000,2024-02-08 15:47:37.000,2024-01-30 09:19:44,514.0,26.0,7.0,18.0,537.0,127.0,40.0,20.0,45.0,18,True,pypowsybl,,https://pypowsybl.readthedocs.io/en/latest/,2024-01-30 12:12:04.000,1.2.1,,1584.0,30.0,2.0,,https://pypi.org/project/pypowsybl,2024-01-30 10:26:30.000,2.0,1584.0,,,,3.0,,,,,,,True
42,RSOME,opl,['python'],,XiongPengNUS/rsome,https://github.com/XiongPengNUS/rsome,GPL-3,Robust Stochastic Optimization Made Easy.,https://github.com/XiongPengNUS/rsome,2020-07-26 13:00:05.000,2024-01-19 06:13:34.000,2024-01-19 06:13:26,212.0,6.0,50.0,4.0,20.0,33.0,236.0,3.0,5.0,17,True,rsome,,https://xiongpengnus.github.io/rsome/,2024-01-19 06:11:10.000,1.2.6,,816.0,32.0,1.0,,https://pypi.org/project/rsome,2024-01-19 06:11:10.000,1.0,816.0,,,,3.0,,,,,,,True
