,name,category,resource,github_id,homepage,docs_url,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,labels,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,new_addition
10,pandapower,steady-state,,e2nIEE/pandapower,https://www.pandapower.org/,https://pandapower.readthedocs.io/en/latest/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53.000,2024-02-15 13:52:00.000,2024-02-05 10:09:11,8195.0,434.0,45.0,1196.0,174.0,727.0,728.0,2023-05-12 15:49:00.911,2.13.1,37.0,126.0,31,True,['python'],65.0,pandapower,conda-forge/pandapower,,13739.0,339.0,311.0,https://pypi.org/project/pandapower,2023-01-02 22:02:35.562,28.0,13428.0,https://anaconda.org/conda-forge/pandapower,2023-06-16 19:21:29.945,13023.0,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,90.0,,,
11,PySCIPOpt,ops,,scipopt/PySCIPOpt,https://www.scipopt.org/,https://scipopt.github.io/PySCIPOpt/docs/html/,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,2016-05-19 14:29:21.000,2024-02-14 13:29:24.000,2024-02-08 13:03:22,1737.0,240.0,27.0,310.0,26.0,456.0,721.0,2023-12-08 16:02:26.000,4.4.0,60.0,67.0,30,True,['python'],48.0,PySCIPOpt,conda-forge/pyscipopt,,16401.0,160.0,146.0,https://pypi.org/project/PySCIPOpt,2023-12-08 16:02:26.000,14.0,10569.0,https://anaconda.org/conda-forge/pyscipopt,2023-12-15 16:30:43.831,209964.0,1.0,,,,,,,
12,PyPSA,steady-state,,PyPSA/PyPSA,https://pypsa.org,https://pypsa.readthedocs.io/en/latest/,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18.000,2024-02-15 08:43:05.000,2024-02-09 17:58:27,2481.0,400.0,69.0,513.0,91.0,229.0,1026.0,2024-01-25 16:06:21.000,0.26.3,51.0,69.0,29,True,['python'],96.0,pypsa,conda-forge/pypsa,,7932.0,185.0,161.0,https://pypi.org/project/pypsa,2024-01-25 16:06:21.000,24.0,6516.0,https://anaconda.org/conda-forge/pypsa,2024-01-25 18:13:51.140,60894.0,1.0,,,,,,,
13,HiGHS,ops,,ERGO-Code/HiGHS,https://highs.dev/,https://ergo-code.github.io/HiGHS/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58.000,2024-02-15 17:31:46.000,2024-01-29 16:46:04,8803.0,141.0,32.0,961.0,75.0,492.0,743.0,2023-09-29 05:31:06.000,1.6.0,11.0,60.0,28,True,['python'],9.0,highspy,conda-forge/highs,,36166.0,66.0,61.0,https://pypi.org/project/highspy,2022-12-15 14:07:00.822,5.0,35776.0,https://anaconda.org/conda-forge/highs,2023-09-29 08:09:20.148,2730.0,2.0,,,,,-1.0,,
14,OpenModelica,cosime,,OpenModelica/OpenModelica,https://openmodelica.org,https://openmodelica.org/useresresources/userdocumentation,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29.000,2024-02-15 15:22:12.000,2024-02-15 15:22:11,36534.0,278.0,53.0,4266.0,1804.0,5683.0,700.0,2023-12-13 10:48:55.000,1.22.1,18.0,188.0,27,True,,170.0,,,358.0,337.0,,,,,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2023-12-15 14:05:19.336681,35111.0,,5.0,
15,SCS,ops,,cvxgrp/scs,https://github.com/cvxgrp/scs,https://www.cvxgrp.org/scs/,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,2013-11-29 23:11:16.000,2024-02-08 10:53:08.793,2023-12-30 12:29:49,1240.0,131.0,36.0,89.0,35.0,135.0,511.0,2023-11-08 15:47:59.000,3.2.4,38.0,27.0,27,True,['python'],1.0,scs,conda-forge/scs,,885468.0,77.0,,https://pypi.org/project/scs,2023-11-22 12:02:04.000,77.0,865909.0,https://anaconda.org/conda-forge/scs,2024-02-08 10:53:08.793,762821.0,2.0,,,,,,,
16,JuMP,opl,,jump-dev/JuMP.jl,https://jump.dev,https://jump.dev/JuMP.jl/stable/,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45.000,2024-02-15 09:03:26.000,2024-02-15 08:25:54,4849.0,378.0,84.0,2208.0,86.0,1411.0,2102.0,2024-02-01 23:29:55.000,1.19.0,67.0,149.0,26,True,"['julia', 'jupyter']",75.0,,,,,,,,,,,,,,2.0,,,,,,,
17,Ipopt,ops,,coin-or/Ipopt,https://github.com/coin-or/Ipopt,https://coin-or.github.io/Ipopt/,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2014-12-28 02:03:06.000,2024-01-25 22:51:52.000,2024-01-18 03:56:59,2352.0,251.0,43.0,26.0,4.0,564.0,1226.0,2024-01-18 03:59:26.000,releases/3.14.14,29.0,30.0,26,True,['python'],5.0,ipopt,conda-forge/ipopt,10904.0,27031.0,7.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,7.0,1419.0,https://anaconda.org/conda-forge/ipopt,2024-01-19 20:27:56.030,1015022.0,2.0,,,,,,,
18,ECOS,ops,,embotech/ecos,https://github.com/embotech/ecos,https://github.com/embotech/ecos/wiki,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,2013-02-11 21:27:50.000,2024-02-07 08:57:15.979,2022-01-04 22:33:07,622.0,121.0,35.0,65.0,64.0,95.0,435.0,2024-02-07 00:03:53.000,2.0.13,23.0,39.0,26,True,"['python', 'julia']",,ecos,conda-forge/ecos,,740595.0,84.0,,https://pypi.org/project/ecos,2024-02-07 00:03:53.000,84.0,722965.0,https://anaconda.org/conda-forge/ecos,2024-02-07 08:57:15.979,687606.0,2.0,,,,,,,
19,Grid2Op,mrl,,rte-france/Grid2Op,https://l2rpn.chalearn.org/,https://grid2op.readthedocs.io/en/latest/,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,2019-10-10 17:04:46.000,2024-02-09 12:25:47.000,2024-01-26 09:33:47,2874.0,107.0,17.0,242.0,38.0,288.0,253.0,2024-01-26 10:15:04.000,1.9.8,76.0,31.0,26,True,"['python', 'jupyter']",55.0,Grid2Op,,,2205.0,10.0,,https://pypi.org/project/Grid2Op,2024-01-26 10:15:04.000,10.0,2018.0,,,,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,9730.0,,1.0,
20,CVXOPT,opl,,cvxopt/cvxopt,https://cvxopt.org/,http://cvxopt.org/userguide/,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,2013-02-22 22:14:31.000,2023-10-25 15:45:10.000,2023-08-09 09:16:40,55.0,198.0,38.0,65.0,37.0,147.0,937.0,2023-08-09 14:30:49.000,1.3.2,17.0,8.0,25,True,['python'],,cvxopt,conda-forge/cvxopt,,365452.0,9778.0,9093.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,685.0,342682.0,https://anaconda.org/conda-forge/cvxopt,2023-09-23 18:21:52.093,910814.0,3.0,,,,,,,
21,precice,cosime,,precice/precice,https://precice.org/,https://precice.org/docs.html,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,2015-05-22 14:05:22.000,2024-02-15 12:33:28.000,2024-02-14 15:03:09,5009.0,163.0,37.0,1143.0,202.0,614.0,646.0,2024-02-01 11:18:03.000,3.0.0,27.0,55.0,25,True,,112.0,pyprecice,conda-forge/pyprecice,23084.0,1796.0,1.0,,https://pypi.org/project/pyprecice,2024-02-06 12:45:48.000,1.0,714.0,https://anaconda.org/conda-forge/pyprecice,2024-02-07 12:18:39.110,17042.0,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2024-02-15 03:15:16.644413,15183.0,,,
22,GridCal,steady-state,,SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,https://gridcal.readthedocs.io/en/latest/?badge=latest,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,2016-01-13 15:40:10.000,2024-02-15 15:09:50.000,2024-01-29 20:07:49,3723.0,81.0,33.0,108.0,70.0,81.0,370.0,2024-01-05 08:47:18.000,5.0.11,279.0,38.0,25,True,['python'],558.0,GridCal,,33.0,1270.0,7.0,7.0,https://pypi.org/project/GridCal,2024-01-04 16:05:24.000,,1270.0,,,,1.0,,,,,1.0,,
23,CBC,ops,,coin-or/Cbc,https://github.com/coin-or/Cbc,https://coin-or.github.io/Cbc/Doxygen/,EPL-2.0,COIN-OR Branch-and-Cut solver.,https://github.com/coin-or/Cbc,2016-05-16 16:52:52.581,2024-02-13 11:16:00.000,2024-02-13 11:08:36,2465.0,100.0,39.0,58.0,126.0,346.0,708.0,2023-10-25 18:18:31.000,releases/2.10.11,12.0,29.0,24,True,"['python', 'julia']",10.0,,conda-forge/coincbc,18459.0,10278.0,,,,,,,https://anaconda.org/conda-forge/coincbc,2023-06-16 13:17:24.974,925854.0,3.0,,,,,,,
24,Atlite,data,,PyPSA/atlite,https://pypsa.org,https://atlite.readthedocs.io/en/master/?badge=master,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,2016-11-03 23:59:25.000,2024-02-12 21:47:33.000,2024-02-06 20:22:40,713.0,73.0,14.0,231.0,26.0,84.0,228.0,2023-10-25 10:29:04.000,0.2.12,16.0,29.0,24,True,['python'],14.0,atlite,conda-forge/atlite,,5144.0,49.0,49.0,https://pypi.org/project/atlite,2023-10-25 07:26:07.000,,4205.0,https://anaconda.org/conda-forge/atlite,2023-10-25 10:06:22.403,41326.0,1.0,,,,,,,
25,Power Grid Model,steady-state,,PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,https://power-grid-model.readthedocs.io/en/stable/,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31.000,2024-02-15 16:51:55.000,2024-02-15 15:52:47,4316.0,22.0,5.0,377.0,45.0,68.0,108.0,2024-02-15 16:31:37.000,1.6.67,335.0,19.0,24,True,['python'],570.0,power-grid-model,conda-forge/power-grid-model,568.0,36680.0,5.0,4.0,https://pypi.org/project/power-grid-model,2024-02-15 16:31:15.000,1.0,23605.0,https://anaconda.org/conda-forge/power-grid-model,2024-02-14 12:39:49.327,116829.0,2.0,,,,,,,
26,PowerSimulations.jl,steady-state,,NREL-Sienna/PowerSimulations.jl,https://www.nrel.gov/analysis/sienna.html,https://nrel-sienna.github.io/PowerSimulations.jl/latest,BSD-3,Power Systems optimization simulation and modeling; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulations.jl,2017-11-03 21:11:22.000,2024-02-15 17:26:51.000,2024-02-15 16:51:54,8421.0,48.0,18.0,756.0,31.0,257.0,253.0,2024-02-15 17:14:29.000,0.27.2,100.0,35.0,23,True,['julia'],192.0,,,,,,,,,,,,,,2.0,,,,,1.0,,
27,LTB ANDES,phasor,,CURENT/andes,https://ltb.curent.org/,https://docs.andes.app/en/latest/,GPL-3,Transient Stability Simulator; CURENT LTB.,https://github.com/CURENT/andes,2016-11-07 01:04:50.000,2024-02-05 23:32:00.036,2024-02-04 22:56:48,4445.0,94.0,16.0,266.0,7.0,48.0,192.0,2024-02-04 23:06:46.000,1.9.1,112.0,20.0,23,True,"['python', 'jupyter']",21.0,andes,conda-forge/andes,,10863.0,17.0,15.0,https://pypi.org/project/andes,2024-02-04 23:06:46.000,2.0,1521.0,https://anaconda.org/conda-forge/andes,2024-02-05 23:32:00.036,420382.0,1.0,cuihantao/andes,https://hub.docker.com/r/cuihantao/andes,2020-12-10 15:50:41.614180,119.0,,,
28,PowSyBl Core,steady-state,,powsybl/powsybl-core,https://www.powsybl.org,https://www.javadoc.io/doc/com.powsybl/powsybl-core/latest/,MPL-2.0,Framework to build power system software.,https://github.com/powsybl/powsybl-core,2017-09-29 14:51:18.000,2024-02-15 14:12:26.000,2024-02-13 07:20:29,3083.0,37.0,21.0,2407.0,244.0,296.0,116.0,2024-02-15 07:53:43.000,6.2.1,91.0,100.0,23,True,,96.0,,,95.0,1.0,75.0,75.0,,,,,,,,2.0,,,,,,,
29,pandapipes,gasnet,,e2nIEE/pandapipes,https://www.pandapipes.org/,https://jkpandapipes.readthedocs.io/en/latest/,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,2020-02-03 15:04:57.000,2024-01-16 12:05:54.000,2023-12-22 08:55:40,1754.0,49.0,10.0,428.0,51.0,77.0,112.0,2023-12-22 10:36:39.000,0.9.0,16.0,20.0,23,True,['python'],93.0,pandapipes,,,2129.0,20.0,18.0,https://pypi.org/project/pandapipes,2023-12-22 10:37:47.000,2.0,2129.0,,,,1.0,,,,,,,
30,HELICS,msg,,GMLC-TDC/HELICS,https://helics.org/tools/,https://docs.helics.org/en/latest/,BSD-3,Co-simulation framework.,https://github.com/GMLC-TDC/HELICS,2017-06-01 17:03:19.000,2024-02-14 13:56:34.000,2024-02-07 04:54:12,3483.0,37.0,13.0,1945.0,77.0,561.0,111.0,2024-02-07 05:56:36.000,3.5.0,100.0,38.0,23,True,"['python', 'julia']",35.0,helics,conda-forge/helics,20678.0,4834.0,5.0,,https://pypi.org/project/helics,2022-07-06 18:33:31.000,5.0,4245.0,https://anaconda.org/conda-forge/helics,2023-06-16 16:09:19.777,20268.0,1.0,,,,,,,
31,AMPLPY,ops,,ampl/amplpy,https://ampl.com/,https://amplpy.readthedocs.io/en/latest/,BSD-3,Python API for AMPL.,https://github.com/ampl/amplpy,2017-06-27 00:22:07.000,2024-01-26 14:54:24.000,2024-01-26 14:54:20,660.0,19.0,14.0,6.0,1.0,45.0,60.0,2024-01-05 14:16:46.000,0.13.2,163.0,8.0,23,True,['python'],43.0,amplpy,conda-forge/amplpy,,21848.0,62.0,59.0,https://pypi.org/project/amplpy,2024-01-05 14:16:46.000,3.0,17079.0,https://anaconda.org/conda-forge/amplpy,2023-12-29 20:21:07.590,200320.0,3.0,,,,,,,
32,MATPOWER,steady-state,,MATPOWER/matpower,https://matpower.org/,https://matpower.org/doc/,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,2016-12-16 19:12:30.000,2024-02-13 17:59:54.000,2024-02-13 17:45:22,2429.0,158.0,29.0,42.0,35.0,148.0,367.0,2020-10-08 23:57:49.000,7.1,4.0,16.0,22,True,,68.0,,,443254.0,7048.0,,,,,,,,,,2.0,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2024-02-06 00:08:19.881110,1147.0,,,
33,PyPSA-Eur,steady-state,,PyPSA/pypsa-eur,https://pypsa.org,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,MIT,Optimisation Model of the European Transmission System.,https://github.com/PyPSA/pypsa-eur,2017-10-11 23:54:41.000,2024-02-15 16:12:13.000,2024-02-14 09:49:40,3904.0,177.0,15.0,562.0,139.0,245.0,264.0,2024-01-05 16:39:30.000,0.9.0,13.0,61.0,22,True,['python'],550.0,,,,0.0,,,,,,,,,,2.0,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,2022-04-11 21:54:31.539284,37.0,,,
34,powerplantmatching,data,,PyPSA/powerplantmatching,https://pypsa.org,https://atlite.readthedocs.io/en/master/?badge=master,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,2016-08-15 16:36:25.000,2024-02-12 21:47:40.000,2024-02-07 10:35:18,872.0,47.0,20.0,76.0,25.0,55.0,133.0,2024-02-07 10:37:08.000,0.5.11,21.0,22.0,22,True,['python'],22.0,powerplantmatching,conda-forge/powerplantmatching,52.0,1849.0,40.0,40.0,https://pypi.org/project/powerplantmatching,2024-02-07 10:36:12.000,,1057.0,https://anaconda.org/conda-forge/powerplantmatching,2024-02-07 12:48:22.356,30123.0,2.0,,,,,,,
35,GridStatus,data,,kmax12/gridstatus,https://www.gridstatus.io,https://docs.gridstatus.io/en/latest/,BSD-3,Extract data from ISOs and other sources.,https://github.com/kmax12/gridstatus,2022-07-28 19:24:20.000,2024-02-15 01:12:41.000,2024-02-13 20:13:57,337.0,34.0,7.0,236.0,64.0,47.0,227.0,2023-12-27 20:22:05.000,0.24.0,24.0,18.0,21,True,['python'],26.0,gridstatus,,,4958.0,7.0,6.0,https://pypi.org/project/gridstatus,2023-12-27 20:22:05.000,1.0,4958.0,,,,3.0,,,,,,,
36,Clarabel.rs,ops,,oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,https://oxfordcontrol.github.io/ClarabelDocs/stable/,Apache-2.0,Interior-point solver for convex conic optimisation.,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34.000,2024-01-26 18:25:08.000,2023-10-04 11:00:06,311.0,15.0,9.0,48.0,10.0,8.0,213.0,2023-09-26 22:43:58.000,0.6.0.post1,10.0,5.0,21,True,['python'],,clarabel,conda-forge/clarabel,,608544.0,16.0,5.0,https://pypi.org/project/clarabel,2023-09-20 13:05:38.000,11.0,603665.0,https://anaconda.org/conda-forge/clarabel,2023-10-12 05:52:15.246,19518.0,3.0,,,,,,,
37,Dynaωo,phasor,,dynawo/dynawo,http://dynawo.org,https://dynawo.github.io/docs/,MPL-2.0,C++/Modelica simulation tools for power systems.,https://github.com/dynawo/dynawo,2019-01-29 13:29:35.000,2024-02-15 14:05:48.000,2024-02-13 09:29:34,2160.0,20.0,9.0,1819.0,100.0,1224.0,62.0,2023-10-05 07:46:05.000,1.5.0,16.0,49.0,21,True,,35.0,,,14708.0,241.0,,,,,,,,,,1.0,,,,,,,
38,OpenDSSDirect.py,intf,,dss-extensions/OpenDSSDirect.py,https://dss-extensions.org/,https://dss-extensions.org/OpenDSSDirect.py/,MIT,A direct library interface to OpenDSS.,https://github.com/dss-extensions/OpenDSSDirect.py,2017-06-20 19:18:22.000,2024-02-14 15:29:34.000,2024-02-14 15:29:18,442.0,20.0,14.0,31.0,14.0,86.0,76.0,2023-06-28 03:33:01.000,0.8.4,43.0,3.0,20,True,['python'],35.0,OpenDSSDirect.py,,,4517.0,60.0,44.0,https://pypi.org/project/OpenDSSDirect.py,2021-03-11 01:53:34.000,16.0,4517.0,,,,1.0,,,,,1.0,,
39,PowerModels.jl,steady-state,,lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,https://lanl-ansi.github.io/PowerModels.jl/stable/,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54.000,2024-01-26 07:56:17.000,2024-01-19 18:39:57,977.0,137.0,26.0,431.0,86.0,388.0,361.0,2024-01-19 19:26:02.000,0.21.0,75.0,29.0,19,True,['julia'],18.0,,,,,,,,,,,,,,2.0,,,,,,,
40,PYPOWER,steady-state,,rwl/PYPOWER,rwl.github.io/PYPOWER/api/,http://rwl.github.io/PYPOWER/index.html,BSD,Port of MATPOWER to Python.,https://github.com/rwl/PYPOWER,2009-05-22 12:14:47.000,2023-07-06 21:40:30.000,2023-03-29 15:07:00,351.0,116.0,25.0,44.0,30.0,11.0,300.0,2023-03-29 15:17:01.097,5.1.16,17.0,20.0,19,True,['python'],,PYPOWER,invenia/pypower,,3024.0,119.0,97.0,https://pypi.org/project/PYPOWER,2023-03-29 15:17:01.097,22.0,2985.0,https://anaconda.org/invenia/pypower,2023-06-16 13:21:19.108,3146.0,2.0,hwanghust/pypower,https://hub.docker.com/r/hwanghust/pypower,2019-05-19 07:28:05.197725,17.0,,,
41,PowSyBl Diagram,vis,,powsybl/powsybl-diagram,https://www.powsybl.org,https://www.powsybl.org/pages/documentation/developer/api_guide/svg-writing.html,MPL-2.0,single-line substation diagrams and network graph diagrams.,https://github.com/powsybl/powsybl-diagram,2019-10-11 11:25:46.000,2024-02-01 14:30:32.000,2024-02-01 14:01:40,456.0,12.0,21.0,438.0,62.0,99.0,67.0,2024-02-01 14:31:21.000,4.2.0,41.0,24.0,19,True,,21.0,,,,,23.0,23.0,,,,,,,,1.0,,,,,-4.0,,
42,DPsim,emt,,sogno-platform/dpsim,https://dpsim.fein-aachen.org/,https://dpsim.fein-aachen.org/docs/,MPL-2.0,Simulation for both EMT and phasor.,https://github.com/sogno-platform/dpsim,2020-01-29 08:49:59.000,2024-02-14 15:30:24.000,2024-01-25 15:54:21,4444.0,45.0,9.0,165.0,83.0,45.0,61.0,2023-07-13 13:38:01.948,1.1.1,9.0,31.0,19,True,['python'],26.0,dpsim,,,114.0,6.0,6.0,https://pypi.org/project/dpsim,2022-12-10 09:56:59.646,,114.0,,,,1.0,,,,,,,
43,PyPowSyBl,steady-state,,powsybl/pypowsybl,https://www.powsybl.org,https://pypowsybl.readthedocs.io/en/latest/,MPL-2.0,A PowSyBl and Python integration.,https://github.com/powsybl/pypowsybl,2020-11-09 10:30:33.000,2024-02-15 16:08:26.000,2024-02-15 16:05:34,523.0,8.0,18.0,543.0,45.0,127.0,44.0,2024-01-30 12:12:04.000,1.2.1,30.0,21.0,19,True,['python'],29.0,pypowsybl,,,1776.0,2.0,,https://pypi.org/project/pypowsybl,2024-01-30 10:26:30.000,2.0,1776.0,,,,2.0,,,,,1.0,,
