,name,category,resource,github_id,homepage,docs_url,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,labels,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,new_addition
18,ECOS,ops,,embotech/ecos,https://github.com/embotech/ecos,https://github.com/embotech/ecos/wiki,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,2013-02-11 21:27:50.000,2024-02-07 08:57:15.979,2022-01-04 22:33:07,622.0,121.0,35.0,65.0,64.0,95.0,435.0,2024-02-07 00:03:53.000,2.0.13,23.0,39.0,26,True,"['python', 'julia']",,ecos,conda-forge/ecos,,811999.0,85.0,,https://pypi.org/project/ecos,2024-02-07 00:03:53.000,85.0,794284.0,https://anaconda.org/conda-forge/ecos,2024-02-07 08:57:15.979,690921.0,2.0,,,,,,,
19,Grid2Op,mrl,,rte-france/Grid2Op,https://l2rpn.chalearn.org/,https://grid2op.readthedocs.io/en/latest/,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,2019-10-10 17:04:46.000,2024-02-19 13:53:08.000,2024-01-26 09:33:47,2874.0,107.0,17.0,243.0,39.0,288.0,253.0,2024-01-26 10:15:04.000,1.9.8,76.0,31.0,26,True,"['python', 'jupyter']",55.0,Grid2Op,,,1872.0,10.0,,https://pypi.org/project/Grid2Op,2024-01-26 10:15:04.000,10.0,1685.0,,,,1.0,,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,9730.0,1.0,
20,CVXOPT,opl,,cvxopt/cvxopt,https://cvxopt.org/,http://cvxopt.org/userguide/,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,2013-02-22 22:14:31.000,2023-10-25 15:45:10.000,2023-08-09 09:16:40,55.0,198.0,38.0,65.0,37.0,147.0,939.0,2023-08-09 14:30:49.000,1.3.2,17.0,8.0,25,True,['python'],,cvxopt,conda-forge/cvxopt,,376308.0,9830.0,9145.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,685.0,353485.0,https://anaconda.org/conda-forge/cvxopt,2023-09-23 18:21:52.093,912946.0,3.0,,,,,,,
21,precice,cosime,,precice/precice,https://precice.org/,https://precice.org/docs.html,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,2015-05-22 14:05:22.000,2024-02-22 16:16:41.000,2024-02-20 15:26:20,5012.0,163.0,37.0,1146.0,202.0,617.0,648.0,2024-02-01 11:18:03.000,3.0.0,27.0,55.0,25,True,,88.0,pyprecice,conda-forge/pyprecice,23242.0,1849.0,1.0,,https://pypi.org/project/pyprecice,2024-02-06 12:45:48.000,1.0,759.0,https://anaconda.org/conda-forge/pyprecice,2024-02-07 12:18:39.110,17145.0,3.0,,precice/precice,https://hub.docker.com/r/precice/precice,2024-02-22 03:14:30.483494,15373.0,,
22,GridCal,steady-state,,SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,https://gridcal.readthedocs.io/en/latest/?badge=latest,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,2016-01-13 15:40:10.000,2024-02-22 16:37:49.000,2024-01-29 20:07:49,3723.0,83.0,33.0,108.0,70.0,81.0,371.0,2024-01-05 08:47:18.000,5.0.11,279.0,38.0,25,True,['python'],529.0,GridCal,,33.0,1289.0,7.0,7.0,https://pypi.org/project/GridCal,2024-01-04 16:05:24.000,,1289.0,,,,1.0,,,,,,,
23,Power Grid Model,steady-state,,PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,https://power-grid-model.readthedocs.io/en/stable/,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31.000,2024-02-22 14:17:31.000,2024-02-16 09:16:12,4323.0,22.0,5.0,384.0,44.0,70.0,111.0,2024-02-16 09:53:58.000,1.7.1,337.0,21.0,25,True,['python'],523.0,power-grid-model,conda-forge/power-grid-model,557.0,46104.0,5.0,4.0,https://pypi.org/project/power-grid-model,2024-02-16 09:53:36.000,1.0,32729.0,https://anaconda.org/conda-forge/power-grid-model,2024-02-16 12:52:23.746,119547.0,1.0,1.0,,,,,,
24,Atlite,data,,PyPSA/atlite,https://pypsa.org,https://atlite.readthedocs.io/en/master/?badge=master,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,2016-11-03 23:59:25.000,2024-02-21 06:45:55.000,2024-02-15 19:35:05,715.0,73.0,14.0,232.0,26.0,84.0,229.0,2023-10-25 10:29:04.000,0.2.12,16.0,28.0,24,True,['python'],16.0,atlite,conda-forge/atlite,,5032.0,49.0,49.0,https://pypi.org/project/atlite,2023-10-25 07:26:07.000,,4092.0,https://anaconda.org/conda-forge/atlite,2023-10-25 10:06:22.403,41383.0,1.0,,,,,,,
25,CBC,ops,,coin-or/Cbc,https://github.com/coin-or/Cbc,https://coin-or.github.io/Cbc/Doxygen/,EPL-2.0,COIN-OR Branch-and-Cut solver.,https://github.com/coin-or/Cbc,2016-05-16 16:52:52.581,2024-02-13 11:16:00.000,2024-02-13 11:08:36,2465.0,99.0,39.0,58.0,126.0,346.0,711.0,2023-10-25 18:18:31.000,releases/2.10.11,12.0,29.0,23,True,"['python', 'julia']",8.0,,conda-forge/coincbc,18637.0,10306.0,,,,,,,https://anaconda.org/conda-forge/coincbc,2023-06-16 13:17:24.974,928217.0,3.0,-1.0,,,,,,
26,LTB ANDES,phasor,,CURENT/andes,https://ltb.curent.org/,https://docs.andes.app/en/latest/,GPL-3,Transient Stability Simulator; CURENT LTB.,https://github.com/CURENT/andes,2016-11-07 01:04:50.000,2024-02-05 23:32:00.036,2024-02-04 22:56:48,4445.0,94.0,16.0,266.0,7.0,48.0,192.0,2024-02-04 23:06:46.000,1.9.1,112.0,20.0,23,True,"['python', 'jupyter']",21.0,andes,conda-forge/andes,,11745.0,17.0,15.0,https://pypi.org/project/andes,2024-02-04 23:06:46.000,2.0,2387.0,https://anaconda.org/conda-forge/andes,2024-02-05 23:32:00.036,421065.0,1.0,,cuihantao/andes,https://hub.docker.com/r/cuihantao/andes,2020-12-10 15:50:41.614180,119.0,,
27,PowSyBl Core,steady-state,,powsybl/powsybl-core,https://www.powsybl.org,https://www.javadoc.io/doc/com.powsybl/powsybl-core/latest/,MPL-2.0,Framework to build power system software.,https://github.com/powsybl/powsybl-core,2017-09-29 14:51:18.000,2024-02-22 16:34:46.000,2024-02-22 16:25:19,3091.0,37.0,21.0,2411.0,244.0,300.0,116.0,2024-02-15 07:53:43.000,6.2.1,91.0,101.0,23,True,,91.0,,,95.0,1.0,75.0,75.0,,,,,,,,2.0,,,,,,,
28,pandapipes,gasnet,,e2nIEE/pandapipes,https://www.pandapipes.org/,https://jkpandapipes.readthedocs.io/en/latest/,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,2020-02-03 15:04:57.000,2024-02-20 09:19:22.000,2023-12-22 08:55:40,1754.0,49.0,10.0,429.0,51.0,77.0,112.0,2023-12-22 10:36:39.000,0.9.0,16.0,20.0,23,True,['python'],89.0,pandapipes,,,2224.0,20.0,18.0,https://pypi.org/project/pandapipes,2023-12-22 10:37:47.000,2.0,2224.0,,,,1.0,,,,,,,
29,HELICS,msg,,GMLC-TDC/HELICS,https://helics.org/tools/,https://docs.helics.org/en/latest/,BSD-3,Co-simulation framework.,https://github.com/GMLC-TDC/HELICS,2017-06-01 17:03:19.000,2024-02-20 17:22:39.000,2024-02-07 04:54:12,3483.0,37.0,13.0,1946.0,77.0,561.0,111.0,2024-02-07 05:56:36.000,3.5.0,100.0,38.0,23,True,"['python', 'julia']",35.0,helics,conda-forge/helics,20811.0,5506.0,5.0,,https://pypi.org/project/helics,2022-07-06 18:33:31.000,5.0,4915.0,https://anaconda.org/conda-forge/helics,2023-06-16 16:09:19.777,20268.0,1.0,,,,,,,
30,AMPLPY,ops,,ampl/amplpy,https://ampl.com/,https://amplpy.readthedocs.io/en/latest/,BSD-3,Python API for AMPL.,https://github.com/ampl/amplpy,2017-06-27 00:22:07.000,2024-02-21 11:55:21.068,2024-02-20 20:42:03,664.0,19.0,14.0,6.0,1.0,45.0,60.0,2024-02-20 21:44:15.000,0.13.3,166.0,8.0,23,True,['python'],47.0,amplpy,conda-forge/amplpy,,26133.0,65.0,62.0,https://pypi.org/project/amplpy,2024-02-20 21:44:15.000,3.0,21343.0,https://anaconda.org/conda-forge/amplpy,2024-02-21 11:55:21.068,201187.0,3.0,,,,,,,
31,MATPOWER,steady-state,,MATPOWER/matpower,https://matpower.org/,https://matpower.org/doc/,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,2016-12-16 19:12:30.000,2024-02-21 22:44:27.000,2024-02-21 22:10:26,2436.0,165.0,29.0,42.0,36.0,148.0,368.0,2020-10-08 23:57:49.000,7.1,4.0,16.0,22,True,,69.0,,,444670.0,7071.0,,,,,,,,,,2.0,,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2024-02-06 00:08:19.881110,1149.0,,
32,PyPSA-Eur,steady-state,,PyPSA/pypsa-eur,https://pypsa.org,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,MIT,Optimisation Model of the European Transmission System.,https://github.com/PyPSA/pypsa-eur,2017-10-11 23:54:41.000,2024-02-22 14:22:38.000,2024-02-21 15:59:32,4055.0,177.0,15.0,571.0,139.0,246.0,265.0,2024-02-19 16:27:19.000,0.10.0,14.0,61.0,22,True,['python'],659.0,,,,0.0,,,,,,,,,,2.0,,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,2022-04-11 21:54:31.539284,37.0,,
33,PowerSimulations.jl,steady-state,,NREL-Sienna/PowerSimulations.jl,https://www.nrel.gov/analysis/sienna.html,https://nrel-sienna.github.io/PowerSimulations.jl/latest,BSD-3,Power Systems optimization simulation and modeling; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulations.jl,2017-11-03 21:11:22.000,2024-02-21 21:36:37.000,2024-02-19 23:26:55,8433.0,48.0,18.0,758.0,32.0,258.0,254.0,2024-02-20 00:08:19.000,0.27.4,100.0,35.0,22,True,['julia'],153.0,,,,,,,,,,,,,,2.0,-1.0,,,,,,
34,powerplantmatching,data,,PyPSA/powerplantmatching,https://pypsa.org,https://atlite.readthedocs.io/en/master/?badge=master,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,2016-08-15 16:36:25.000,2024-02-15 19:35:26.000,2024-02-15 19:35:25,874.0,47.0,20.0,76.0,25.0,55.0,134.0,2024-02-07 10:37:08.000,0.5.11,21.0,22.0,22,True,['python'],24.0,powerplantmatching,conda-forge/powerplantmatching,52.0,1852.0,40.0,40.0,https://pypi.org/project/powerplantmatching,2024-02-07 10:36:12.000,,1058.0,https://anaconda.org/conda-forge/powerplantmatching,2024-02-07 12:48:22.356,30203.0,2.0,,,,,,,
35,GridStatus,data,,kmax12/gridstatus,https://www.gridstatus.io,https://docs.gridstatus.io/en/latest/,BSD-3,Extract data from ISOs and other sources.,https://github.com/kmax12/gridstatus,2022-07-28 19:24:20.000,2024-02-22 17:14:29.000,2024-02-21 21:53:46,341.0,34.0,7.0,242.0,64.0,50.0,227.0,2024-02-20 22:16:21.000,0.25.0,25.0,18.0,21,True,['python'],27.0,gridstatus,,,5238.0,7.0,6.0,https://pypi.org/project/gridstatus,2023-12-27 20:22:05.000,1.0,5238.0,,,,3.0,,,,,,,
36,Clarabel.rs,ops,,oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,https://oxfordcontrol.github.io/ClarabelDocs/stable/,Apache-2.0,Interior-point solver for convex conic optimisation.,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34.000,2024-02-22 09:48:44.000,2023-10-04 11:00:06,311.0,15.0,9.0,51.0,10.0,8.0,217.0,2023-09-26 22:43:58.000,0.6.0.post1,10.0,5.0,21,True,['python'],,clarabel,conda-forge/clarabel,,628815.0,16.0,5.0,https://pypi.org/project/clarabel,2023-09-20 13:05:38.000,11.0,623567.0,https://anaconda.org/conda-forge/clarabel,2023-10-12 05:52:15.246,20994.0,3.0,,,,,,,
37,Dynaωo,phasor,,dynawo/dynawo,http://dynawo.org,https://dynawo.github.io/docs/,MPL-2.0,C++/Modelica simulation tools for power systems.,https://github.com/dynawo/dynawo,2019-01-29 13:29:35.000,2024-02-22 18:18:40.000,2024-02-22 14:21:09,2163.0,20.0,9.0,1825.0,100.0,1227.0,62.0,2023-10-05 07:46:05.000,1.5.0,16.0,50.0,21,True,,37.0,,,14799.0,242.0,,,,,,,,,,1.0,,,,,,,
38,OpenDSSDirect.py,intf,,dss-extensions/OpenDSSDirect.py,https://dss-extensions.org/,https://dss-extensions.org/OpenDSSDirect.py/,MIT,A direct library interface to OpenDSS.,https://github.com/dss-extensions/OpenDSSDirect.py,2017-06-20 19:18:22.000,2024-02-22 03:04:08.000,2024-02-22 03:03:53,444.0,20.0,14.0,31.0,14.0,86.0,77.0,2023-06-28 03:33:01.000,0.8.4,43.0,3.0,20,True,['python'],37.0,OpenDSSDirect.py,,,4635.0,61.0,45.0,https://pypi.org/project/OpenDSSDirect.py,2021-03-11 01:53:34.000,16.0,4635.0,,,,1.0,,,,,,,
39,DPsim,emt,,sogno-platform/dpsim,https://dpsim.fein-aachen.org/,https://dpsim.fein-aachen.org/docs/,MPL-2.0,Simulation for both EMT and phasor.,https://github.com/sogno-platform/dpsim,2020-01-29 08:49:59.000,2024-02-20 20:41:46.000,2024-01-25 15:54:21,4444.0,45.0,9.0,165.0,83.0,46.0,62.0,2023-07-13 13:38:01.948,1.1.1,9.0,31.0,20,True,['python'],16.0,dpsim,,,153.0,6.0,6.0,https://pypi.org/project/dpsim,2022-12-10 09:56:59.646,,153.0,,,,1.0,1.0,,,,,,
40,PyPowSyBl,steady-state,,powsybl/pypowsybl,https://www.powsybl.org,https://pypowsybl.readthedocs.io/en/latest/,MPL-2.0,A PowSyBl and Python integration.,https://github.com/powsybl/pypowsybl,2020-11-09 10:30:33.000,2024-02-22 15:40:35.000,2024-02-16 13:39:49,530.0,8.0,19.0,548.0,43.0,128.0,44.0,2024-02-16 14:18:16.000,1.3.0,31.0,21.0,20,True,['python'],31.0,pypowsybl,,,2822.0,3.0,,https://pypi.org/project/pypowsybl,2024-02-16 14:18:16.000,3.0,2822.0,,,,2.0,1.0,,,,,,
41,PowerModels.jl,steady-state,,lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,https://lanl-ansi.github.io/PowerModels.jl/stable/,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54.000,2024-01-26 07:56:17.000,2024-01-19 18:39:57,977.0,136.0,26.0,431.0,86.0,388.0,362.0,2024-01-19 19:26:02.000,0.21.0,75.0,29.0,19,True,['julia'],18.0,,,,,,,,,,,,,,2.0,,,,,,,
42,PYPOWER,steady-state,,rwl/PYPOWER,rwl.github.io/PYPOWER/api/,http://rwl.github.io/PYPOWER/index.html,BSD,Port of MATPOWER to Python.,https://github.com/rwl/PYPOWER,2009-05-22 12:14:47.000,2023-07-06 21:40:30.000,2023-03-29 15:07:00,351.0,118.0,25.0,44.0,30.0,11.0,300.0,2023-03-29 15:17:01.097,5.1.16,17.0,20.0,19,True,['python'],,PYPOWER,invenia/pypower,,3566.0,120.0,98.0,https://pypi.org/project/PYPOWER,2023-03-29 15:17:01.097,22.0,3527.0,https://anaconda.org/invenia/pypower,2023-06-16 13:21:19.108,3146.0,2.0,,hwanghust/pypower,https://hub.docker.com/r/hwanghust/pypower,2019-05-19 07:28:05.197725,17.0,,
43,PowSyBl Diagram,vis,,powsybl/powsybl-diagram,https://www.powsybl.org,https://www.powsybl.org/pages/documentation/developer/api_guide/svg-writing.html,MPL-2.0,single-line substation diagrams and network graph diagrams.,https://github.com/powsybl/powsybl-diagram,2019-10-11 11:25:46.000,2024-02-21 10:28:37.000,2024-02-01 14:01:40,456.0,12.0,21.0,439.0,62.0,99.0,67.0,2024-02-01 14:31:21.000,4.2.0,41.0,24.0,19,True,,20.0,,,,,23.0,23.0,,,,,,,,1.0,,,,,,,
