,name,category,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,labels,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,updated_github_id,new_addition
10,A new power system benchmark,data,True,lbl-hub/CSEE-Benchmark,,A new type of power system calculation example by the China EPRI.,https://github.com/lbl-hub/CSEE-Benchmark,https://github.com/lbl-hub/CSEE-Benchmark,2023-12-18 09:09:08,2024-02-21 11:00:25.000,2024-02-21 11:00:25,151.0,3.0,,23.0,,0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,pmuBAGE,data,True,NanpengYu/pmuBAGE,,Synthetic phasor measurement unit dataset.,https://github.com/NanpengYu/pmuBAGE,https://github.com/NanpengYu/pmuBAGE,2022-03-18 05:10:00,2022-04-07 00:15:41.000,2022-04-07 00:15:41,18.0,1.0,1.0,7.0,2.0,0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TextbookSimulations,book,True,Power-Systems-Textbook/TextbookSimulations,CC0-1.0,Examples and problems accompanying Daniel Kirschens Power Systems Textbook.,https://github.com/Power-Systems-Textbook/TextbookSimulations,https://github.com/Power-Systems-Textbook/TextbookSimulations,2022-10-12 19:10:15,2023-11-08 22:54:41.000,2023-11-08 22:54:34,56.0,3.0,,11.0,2.0,0,True,,,4.0,,,,,,"['julia', 'jupyter']",,,,,,,,,,,,,,,,,,,,,,
13,UTK ECE 522 - Power System Analysis II,book,True,CURENT/ece522,MIT,Hands-on Project for Power System Analysis II (UTK ECE 522).,https://github.com/CURENT/ece522,https://github.com/CURENT/ece522,2023-01-18 03:35:44,2025-02-01 19:05:43.000,2025-02-01 19:05:41,14.0,1.0,,4.0,4.0,0,True,,2.0,1.0,,,,,1.0,"['python', 'jupyter']",,,,,,,,,,,,,,,,,,,,,,
14,ELEC0447 Analysis of Electric Power and Energy Systems,book,True,bcornelusse/ELEC0447-analysis-power-systems,BSD-2.0,Masters course of power systems analysis at ULige.,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,2020-06-17 14:45:34,2024-11-28 10:42:50.000,2024-11-28 10:42:45,268.0,6.0,1.0,22.0,6.0,0,True,,3.0,1.0,,,,,,"['python', 'jupyter']",,,,,,,,,,,,,,,,,,,,,,
15,Tutorial on DER Hosting Capacity Part 0,book,True,Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,BSD-3.0,Using dss_python.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,2022-11-30 04:16:00,2024-12-09 04:10:44.000,2024-12-09 04:10:38,45.0,3.0,,5.0,5.0,0,True,,,,,,,,,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,,
16,Tutorial on DER Hosting Capacity Part 1,book,True,Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,BSD-3.0,Advanced Tools for the Analysis of Three-Phase Unbalanced LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,2023-03-09 03:28:07,2025-03-25 01:08:53.000,2025-03-25 01:08:48,33.0,3.0,,3.0,5.0,0,True,,,,,,,,1.0,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,,
17,Tutorial on DER Hosting Capacity Part 2,book,True,Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,BSD-3.0,Time-Series Analysis and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,2022-12-01 03:15:41,2025-03-25 01:02:03.000,2025-03-25 01:02:01,40.0,1.0,,2.0,6.0,0,True,,,,,,,,1.0,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,,
18,Tutorial on DER Hosting Capacity Part 3,book,True,Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,BSD-3.0,Volt-Watt Control and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,2023-05-29 06:17:07,2025-03-27 02:50:40.000,2025-03-27 02:50:37,19.0,,,1.0,4.0,0,True,,,,,,,,1.0,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,,
19,Tutorial on DER Hosting Capacity Part 4,book,True,Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,BSD-3.0,Monte Carlo Assessment of PV Hosting Capacity of an Integrated MV-LV Network.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,2023-05-29 23:51:23,2024-12-09 03:42:30.000,2024-12-09 03:42:26,27.0,2.0,,2.0,5.0,0,True,,,,,,,,,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,,
20,OR-Tools,ops,,google/or-tools,Apache-2,Google Optimization Tools.,https://github.com/google/or-tools,https://developers.google.com/optimization/,2015-02-21 01:25:35,2025-03-27 18:33:52.000,2025-02-17 11:32:53,13600.0,2179.0,66.0,11739.0,182.0,39,True,https://developers.google.com/optimization/introduction,307.0,492.0,2977.0,2025-02-17 10:02:38.000,9.12,80.0,126.0,"['gha', 'python', 'c', 'java']",ortools,conda-forge/ortools-python,882787.0,1688337.0,592.0,308.0,https://pypi.org/project/ortools,2025-02-17 09:52:42.000,284.0,1678034.0,https://anaconda.org/conda-forge/ortools-python,2025-03-25 16:01:53.883,104964.0,1.0,,,,,,,,
21,Pyomo,opl,,Pyomo/pyomo,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,https://www.pyomo.org,2016-05-27 19:33:45,2025-03-25 16:00:04.842,2025-03-24 22:00:24,26629.0,531.0,309.0,2140.0,168.0,39,True,https://pyomo.readthedocs.io/en/stable/,61.0,2136.0,1110.0,2025-03-05 17:39:04.000,6.9.1,70.0,422.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",Pyomo,conda-forge/pyomo,4104.0,482140.0,3587.0,3304.0,https://pypi.org/project/Pyomo,2025-02-21 15:30:59.000,283.0,457228.0,https://anaconda.org/conda-forge/pyomo,2025-03-25 16:00:04.842,1413731.0,1.0,,,,,,,,
22,Xopt,ops,,google/or-tools,MPL-2.0,Flexible high-level optimization in Python.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-03-27 18:33:52.000,2025-02-17 11:32:53,13600.0,2179.0,66.0,11739.0,182.0,38,True,https://xopt.xopt.org/index.html,307.0,492.0,2977.0,2025-02-21 15:10:21.000,2.5.5,49.0,126.0,"['gha', 'python', 'pypi', 'conda']",xopt,conda-forge/xopt,882787.0,10267.0,311.0,308.0,https://pypi.org/project/xopt,2025-02-21 15:10:21.000,3.0,1542.0,https://anaconda.org/conda-forge/xopt,2025-03-25 16:01:03.311,46196.0,1.0,,,,,,,,
23,CVXPY,opl,,cvxpy/cvxpy,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58,2025-03-26 21:07:55.000,2025-03-26 21:07:54,3620.0,1086.0,252.0,5694.0,213.0,38,True,http://www.cvxpy.org/,127.0,1091.0,1280.0,2025-03-16 00:58:57.000,1.6.4,135.0,43.0,"['gha', 'pypi', 'conda', 'python']",cvxpy,conda-forge/cvxpy,584.0,1912540.0,16526.0,15897.0,https://pypi.org/project/cvxpy,2025-03-16 00:58:57.000,629.0,1884531.0,https://anaconda.org/conda-forge/cvxpy,2025-03-25 16:00:35.924,1596025.0,2.0,,,,,,,,
24,Tulip,ops,,google/or-tools,MPL-2.0,Interior-point solver in pure Julia.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-03-27 18:33:52.000,2025-02-17 11:32:53,13600.0,2179.0,66.0,11739.0,182.0,36,True,https://ds4dm.github.io/Tulip.jl/stable/,307.0,492.0,2977.0,2025-02-17 10:02:38.000,9.12,49.0,126.0,"['gha', 'julia']",,,882787.0,7743.0,308.0,308.0,,,,,,,,2.0,,,,,,,,
25,HiGHS,ops,,ERGO-Code/HiGHS,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,https://highs.dev/,2018-03-27 13:57:58,2025-03-27 14:50:43.000,2025-03-20 15:12:03,11290.0,206.0,110.0,1096.0,84.0,34,True,https://ergo-code.github.io/HiGHS/,36.0,1279.0,726.0,2025-03-20 15:53:23.000,1.10.0,18.0,477.0,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'c']",highspy,conda-forge/highs,557.0,210536.0,822.0,755.0,https://pypi.org/project/highspy,2025-03-20 15:53:23.000,67.0,209376.0,https://anaconda.org/conda-forge/highs,2025-03-25 16:02:35.870,22938.0,2.0,,,,,,,,
26,pandapower,steady-state,,e2nIEE/pandapower,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,https://www.pandapower.org/,2017-01-12 13:27:53,2025-03-26 16:27:55.000,2025-03-26 16:27:55,9816.0,499.0,212.0,946.0,151.0,34,True,https://pandapower.readthedocs.io/en/latest/,50.0,1395.0,846.0,2025-03-06 13:55:15.000,3.0.0,50.0,202.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",pandapower,conda-forge/pandapower,,43174.0,506.0,444.0,https://pypi.org/project/pandapower,2025-03-06 13:53:50.000,62.0,42725.0,https://anaconda.org/conda-forge/pandapower,2025-03-25 16:01:19.127,24693.0,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,102.0,,,,
27,OSQP,ops,,osqp/osqp,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,https://osqp.org,2016-09-27 03:02:46,2025-03-25 16:00:35.567,2025-03-21 22:13:09,2960.0,358.0,99.0,1823.0,35.0,33,True,https://osqp.org/docs/get_started/,41.0,290.0,272.0,2025-03-23 16:04:53.000,1.0.0,40.0,65.0,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r']",osqp,conda-forge/osqp,106983.0,2259144.0,98.0,,https://pypi.org/project/osqp,2025-03-25 14:43:47.000,98.0,2235189.0,https://anaconda.org/conda-forge/osqp,2025-03-25 16:00:35.567,1141488.0,2.0,,,,,1.0,,,
28,PyPSA,steady-state,,PyPSA/PyPSA,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,https://pypsa.org,2016-01-11 09:04:18,2025-03-27 09:07:16.000,2025-03-26 17:44:12,2929.0,497.0,108.0,1435.0,96.0,32,True,https://pypsa.readthedocs.io/en/latest/,71.0,776.0,306.0,2025-03-25 07:58:23.000,0.34.0,69.0,61.0,"['gha', 'pypi', 'conda', 'python', 'jupyter']",pypsa,conda-forge/pypsa,,17229.0,285.0,258.0,https://pypi.org/project/pypsa,2025-03-25 07:58:23.000,27.0,15054.0,https://anaconda.org/conda-forge/pypsa,2025-03-26 14:48:33.723,121824.0,1.0,,,,,,,,
29,PySCIPOpt,ops,,scipopt/PySCIPOpt,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,https://www.scipopt.org/,2016-05-19 14:29:21,2025-03-26 13:50:54.000,2025-03-25 15:38:03,2121.0,258.0,23.0,861.0,78.0,31,True,https://scipopt.github.io/PySCIPOpt/docs/html/,25.0,417.0,523.0,2025-02-25 17:24:26.000,5.4.1,69.0,32.0,"['gha', 'pypi', 'conda', 'python']",PySCIPOpt,conda-forge/pyscipopt,,71484.0,375.0,328.0,https://pypi.org/project/PySCIPOpt,2025-02-25 17:24:26.000,47.0,61917.0,https://anaconda.org/conda-forge/pyscipopt,2025-03-25 16:01:36.237,468823.0,2.0,,,,,,,,
30,CVXOPT,opl,,cvxopt/cvxopt,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,https://cvxopt.org/,2013-02-22 22:14:31,2025-03-25 16:00:06.023,2024-10-23 07:22:17,58.0,208.0,40.0,1011.0,9.0,28,True,http://cvxopt.org/userguide/,39.0,69.0,150.0,2023-08-09 14:30:49.000,1.3.2,17.0,,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia']",cvxopt,conda-forge/cvxopt,,657604.0,13451.0,13065.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,386.0,632167.0,https://anaconda.org/conda-forge/cvxopt,2025-03-25 16:00:06.023,1348168.0,2.0,,,,,1.0,,,
31,OpenModelica,cosime,,OpenModelica/OpenModelica,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,https://openmodelica.org,2015-05-03 16:59:29,2025-03-27 15:21:52.000,2025-03-27 15:21:52,37375.0,312.0,2061.0,944.0,195.0,28,True,https://openmodelica.org/useresresources/userdocumentation,54.0,5191.0,6120.0,2025-03-08 23:49:42.000,1.24.5,28.0,203.0,['modelica'],,,388.0,402.0,,,,,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2025-03-05 08:55:54.557975,47177.0,1.0,6.0,,
32,Power Grid Model,steady-state,,PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2025-03-27 01:04:54.329,2025-03-26 16:13:25,7818.0,35.0,67.0,164.0,25.0,28,True,https://power-grid-model.readthedocs.io/en/stable/,5.0,718.0,146.0,2025-03-26 16:47:38.000,1.10.74,589.0,743.0,"['gha', 'pypi', 'conda', 'python', 'c']",power-grid-model,conda-forge/power-grid-model,749.0,222846.0,32.0,26.0,https://pypi.org/project/power-grid-model,2025-03-26 16:47:24.000,6.0,77606.0,https://anaconda.org/conda-forge/power-grid-model,2025-03-27 01:04:54.329,3192019.0,1.0,,,,,,,,
33,SCS,ops,,cvxgrp/scs,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,https://github.com/cvxgrp/scs,2013-11-29 23:11:16,2025-03-25 16:00:35.599,2025-03-24 17:20:35,1269.0,138.0,47.0,569.0,29.0,27,True,https://www.cvxgrp.org/scs/,34.0,124.0,142.0,2024-08-24 15:40:59.000,3.2.7,44.0,4.0,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'r', 'c']",scs,conda-forge/scs,,1811384.0,56.0,,https://pypi.org/project/scs,2025-01-04 17:00:19.000,56.0,1786502.0,https://anaconda.org/conda-forge/scs,2025-03-25 16:00:35.599,1293882.0,2.0,,,,,,,,
34,GridCal,steady-state,,SanPen/GridCal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,2016-01-13 15:40:10,2025-03-27 17:39:56.000,2025-02-28 09:30:32,6957.0,102.0,14.0,446.0,51.0,27,True,https://gridcal.readthedocs.io/en/latest/?badge=latest,32.0,146.0,189.0,2025-03-24 09:26:57.000,5.3.19,387.0,352.0,"['gha', 'pypi', 'python']",GridCal,,49.0,5571.0,10.0,10.0,https://pypi.org/project/GridCal,2025-03-24 09:26:57.000,,5571.0,,,,1.0,,,,,,,,
35,Clarabel.rs,ops,,oxfordcontrol/Clarabel.rs,Apache-2.0,Interior-point solver for convex conic optimisation in Rust.,https://github.com/oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34,2025-03-25 16:02:41.548,2025-03-07 17:59:19,567.0,32.0,16.0,415.0,11.0,27,True,https://oxfordcontrol.github.io/ClarabelDocs/stable/,13.0,117.0,43.0,2025-02-02 20:54:40.000,0.10.0,16.0,116.0,"['gha', 'pypi', 'conda', 'python', 'rust']",clarabel,conda-forge/clarabel,,1553861.0,63.0,32.0,https://pypi.org/project/clarabel,2025-02-02 20:54:40.000,31.0,1543181.0,https://anaconda.org/conda-forge/clarabel,2025-03-25 16:02:41.548,181566.0,2.0,,,,,,,,
36,Ipopt,ops,,coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,https://www.coin-or.org/,2019-01-28 12:24:22,2025-03-25 16:00:14.936,2025-02-23 11:54:13,2401.0,285.0,13.0,1525.0,35.0,26,True,https://coin-or.github.io/Ipopt/,45.0,35.0,599.0,2024-12-14 15:03:46.000,releases/3.14.17,32.0,2.0,"['pypi', 'conda', 'python']",ipopt,conda-forge/ipopt,19703.0,31329.0,10.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,1289.0,https://anaconda.org/conda-forge/ipopt,2025-03-25 16:00:14.936,1574502.0,3.0,,,,,,,,
37,JuMP,opl,,jump-dev/JuMP.jl,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,https://jump.dev,2012-10-10 00:34:45,2025-03-26 22:25:37.000,2025-03-26 21:22:25,5042.0,402.0,12.0,2284.0,162.0,25,True,https://jump.dev/JuMP.jl/stable/,82.0,2418.0,1481.0,2025-03-26 21:50:38.000,1.25.0,82.0,42.0,"['gha', 'jupyter', 'julia']",,,,,,,,,,,,,,3.0,,,,,,,,
38,precice,cosime,,precice/precice,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,https://precice.org/,2015-05-22 14:05:22,2025-03-27 12:56:08.000,2025-03-27 12:53:56,5389.0,185.0,202.0,788.0,57.0,25,True,https://precice.org/docs.html,38.0,1350.0,701.0,2024-08-27 19:31:17.000,3.1.2,32.0,128.0,"['gha', 'c']",pyprecice,conda-forge/pyprecice,33217.0,4892.0,8.0,,https://pypi.org/project/pyprecice,2024-12-05 11:33:19.000,8.0,1786.0,https://anaconda.org/conda-forge/pyprecice,2025-03-25 16:01:55.670,100465.0,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2025-03-27 03:30:54.485588,25738.0,,,,
39,ECOS,ops,,embotech/ecos,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,https://github.com/embotech/ecos,2013-02-11 21:27:50,2025-03-25 16:00:35.543,2022-01-04 22:33:07,622.0,123.0,66.0,498.0,40.0,25,True,https://github.com/embotech/ecos/wiki,35.0,65.0,95.0,2024-06-18 03:47:45.000,2.0.14,24.0,,"['python', 'julia', 'c', 'octave', 'r']",ecos,conda-forge/ecos,,769893.0,49.0,,https://pypi.org/project/ecos,2024-06-18 03:47:45.000,49.0,750166.0,https://anaconda.org/conda-forge/ecos,2025-03-25 16:00:35.543,1025813.0,3.0,,,,,1.0,,,
40,Grid2Op,mrl,,rte-france/Grid2Op,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/Grid2op/grid2op,https://l2rpn.chalearn.org/,2019-10-10 17:04:46,2025-03-20 10:58:27.000,2025-03-07 11:02:19,3167.0,123.0,59.0,326.0,32.0,25,True,https://grid2op.readthedocs.io/en/latest/,20.0,307.0,313.0,2024-10-15 12:45:49.000,1.10.5,90.0,11.0,"['gha', 'pypi', 'jupyter', 'python']",Grid2Op,,,4008.0,23.0,,https://pypi.org/project/Grid2Op,2025-03-20 10:58:27.000,23.0,3853.0,,,,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,10078.0,,1.0,Grid2op/grid2op,
41,GridStatus,data,,kmax12/gridstatus,BSD-3,Extract data from ISOs and other sources.,https://github.com/gridstatus/gridstatus,https://www.gridstatus.io,2022-07-28 19:24:20,2025-03-27 18:06:35.000,2025-03-26 20:34:48,562.0,61.0,45.0,316.0,32.0,25,True,https://docs.gridstatus.io/en/latest/,9.0,444.0,74.0,2025-01-27 14:51:43.000,0.29.1,30.0,43.0,"['gha', 'pypi', 'python']",gridstatus,,,16963.0,20.0,18.0,https://pypi.org/project/gridstatus,2025-01-27 14:51:43.000,2.0,16963.0,,,,1.0,,,,,1.0,,gridstatus/gridstatus,
42,HELICS,msg,,GMLC-TDC/HELICS,BSD-3,Co-simulation framework.,https://github.com/GMLC-TDC/HELICS,https://helics.org/tools/,2017-06-01 17:03:19,2025-03-25 16:00:37.253,2025-02-25 19:58:30,3572.0,42.0,94.0,131.0,39.0,25,True,https://docs.helics.org/en/latest/,15.0,2021.0,581.0,2025-02-28 08:41:58.000,3.6.1,106.0,12.0,"['gha', 'pypi', 'conda', 'python', 'julia', 'octave', 'java', 'c']",helics,conda-forge/helics,26746.0,16307.0,13.0,,https://pypi.org/project/helics,2025-02-28 08:41:58.000,13.0,15734.0,https://anaconda.org/conda-forge/helics,2025-03-25 16:00:37.253,20784.0,1.0,,,,,,,,
43,Atlite,data,,PyPSA/atlite,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,https://pypsa.org,2016-11-03 23:59:25,2025-03-27 07:07:56.000,2025-03-04 08:09:50,789.0,101.0,39.0,305.0,40.0,24,True,https://atlite.readthedocs.io/en/master/?badge=master,13.0,302.0,98.0,2025-01-30 11:12:40.000,0.4.0,20.0,13.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",atlite,conda-forge/atlite,,3503.0,91.0,91.0,https://pypi.org/project/atlite,2025-01-30 11:12:40.000,,2234.0,https://anaconda.org/conda-forge/atlite,2025-03-25 16:00:50.617,72384.0,2.0,,,,,,,,
44,powerplantmatching,data,,PyPSA/powerplantmatching,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,https://pypsa.org,2016-08-15 16:36:25,2025-03-25 16:00:59.974,2025-03-04 08:03:04,984.0,62.0,20.0,179.0,33.0,24,True,https://atlite.readthedocs.io/en/master/?badge=master,19.0,137.0,72.0,2025-02-01 11:01:49.000,0.7.1,33.0,19.0,"['gha', 'pypi', 'conda', 'python']",powerplantmatching,conda-forge/powerplantmatching,87.0,2793.0,72.0,72.0,https://pypi.org/project/powerplantmatching,2025-02-01 11:01:49.000,,1556.0,https://anaconda.org/conda-forge/powerplantmatching,2025-03-25 16:00:59.974,63037.0,2.0,,,,,,,,
