,name,category,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,labels,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,updated_github_id
13,pandapower,steady-state,,e2nIEE/pandapower,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,https://www.pandapower.org/,2017-01-12 13:27:53,2024-06-06 11:59:16.000000,2024-06-06 09:54:51,8621.0,337.0,448.0,182.0,788.0,132.0,33,True,https://pandapower.readthedocs.io/en/latest/,48.0,1245.0,741.0,2024-04-02 13:49:51.000,2.14.6,42.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",pandapower,conda-forge/pandapower,,21299.0,385.0,339.0,https://pypi.org/project/pandapower,2024-04-02 12:52:48.000,46.0,20982.0,https://anaconda.org/conda-forge/pandapower,2024-04-02 13:52:02.030,14564.0,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,90.0,,,
14,OSQP,ops,,osqp/osqp,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,https://osqp.org,2016-09-27 03:02:46,2024-05-22 20:16:31.000000,2024-05-21 09:48:10,2840.0,18.0,344.0,88.0,1603.0,32.0,32,True,https://osqp.org/docs/get_started/,41.0,263.0,254.0,2024-05-22 19:12:39.000,0.6.6,32.0,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r']",osqp,conda-forge/osqp,65648.0,1704093.0,80.0,,https://pypi.org/project/osqp,2024-05-22 20:16:31.000,80.0,1682561.0,https://anaconda.org/conda-forge/osqp,2024-05-17 10:13:56.129,851546.0,1.0,,,,,,,
15,PyPSA,steady-state,,PyPSA/PyPSA,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,https://pypsa.org,2016-01-11 09:04:18,2024-06-06 11:47:01.000000,2024-06-06 11:47:01,2688.0,163.0,435.0,103.0,1145.0,76.0,32,True,https://pypsa.readthedocs.io/en/latest/,74.0,570.0,247.0,2024-05-08 17:05:05.000,0.28.0,54.0,"['gha', 'pypi', 'conda', 'python', 'jupyter']",pypsa,conda-forge/pypsa,,9325.0,210.0,184.0,https://pypi.org/project/pypsa,2024-05-08 17:05:05.000,26.0,7852.0,https://anaconda.org/conda-forge/pypsa,2024-05-12 10:23:14.569,69245.0,1.0,,,,,,,
16,PySCIPOpt,ops,,scipopt/PySCIPOpt,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,https://www.scipopt.org/,2016-05-19 14:29:21,2024-06-06 14:36:34.000000,2024-05-17 04:28:52,1935.0,41.0,255.0,27.0,765.0,71.0,30,True,https://scipopt.github.io/PySCIPOpt/docs/html/,25.0,344.0,486.0,2024-05-05 08:22:20.000,5.0.1,61.0,"['gha', 'pypi', 'conda', 'python']",PySCIPOpt,conda-forge/pyscipopt,,18257.0,198.0,177.0,https://pypi.org/project/PySCIPOpt,2024-03-05 13:50:53.000,21.0,12150.0,https://anaconda.org/conda-forge/pyscipopt,2024-04-05 15:38:41.667,244304.0,1.0,,,,,-1.0,,
17,HiGHS,ops,,ERGO-Code/HiGHS,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,https://highs.dev/,2018-03-27 13:57:58,2024-06-05 07:19:04.000000,2024-03-07 12:34:01,9430.0,,161.0,76.0,829.0,63.0,29,True,https://ergo-code.github.io/HiGHS/,31.0,1043.0,577.0,2024-03-07 10:57:49.000,1.7.0,12.0,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'c']",highspy,conda-forge/highs,,40027.0,113.0,102.0,https://pypi.org/project/highspy,2024-03-10 14:09:04.000,11.0,39651.0,https://anaconda.org/conda-forge/highs,2024-05-21 22:06:27.930,4138.0,2.0,,,,,-2.0,,
18,Ipopt,ops,,coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,https://github.com/coin-or/Ipopt,2019-01-28 12:24:22,2024-06-05 16:08:55.921000,2024-06-04 12:01:07,2361.0,9.0,265.0,7.0,1319.0,33.0,27,True,https://coin-or.github.io/Ipopt/,42.0,30.0,573.0,2024-04-22 12:48:35.000,releases/3.14.16,31.0,"['pypi', 'conda', 'python']",ipopt,conda-forge/ipopt,13015.0,27227.0,10.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,1526.0,https://anaconda.org/conda-forge/ipopt,2024-06-05 16:08:55.921,1119422.0,2.0,,,,,,,
19,OpenModelica,cosime,,OpenModelica/OpenModelica,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,https://openmodelica.org,2015-05-03 16:59:29,2024-06-06 18:27:49.000000,2024-06-05 21:10:05,36757.0,173.0,293.0,1863.0,770.0,188.0,27,True,https://openmodelica.org/useresresources/userdocumentation,53.0,4527.0,5837.0,2024-03-11 07:57:23.000,1.22.3,21.0,['modelica'],,,364.0,375.0,,,,,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2024-05-07 10:08:18.695496,40584.0,,6.0,
20,SCS,ops,,cvxgrp/scs,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,https://github.com/cvxgrp/scs,2013-11-29 23:11:16,2024-05-29 18:42:10.000000,2024-05-21 18:16:33,1246.0,6.0,133.0,35.0,524.0,28.0,27,True,https://www.cvxgrp.org/scs/,37.0,96.0,137.0,2023-11-08 15:47:59.000,3.2.4,39.0,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'r', 'c']",scs,conda-forge/scs,,1131541.0,44.0,,https://pypi.org/project/scs,2024-05-29 18:42:10.000,44.0,1111814.0,https://anaconda.org/conda-forge/scs,2024-05-22 15:59:44.556,848274.0,2.0,,,,,,,
21,JuMP,opl,,jump-dev/JuMP.jl,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,https://jump.dev,2012-10-10 00:34:45,2024-06-05 22:30:16.000000,2024-06-05 20:53:39,4907.0,46.0,388.0,86.0,2157.0,154.0,26,True,https://jump.dev/JuMP.jl/stable/,85.0,2271.0,1436.0,2024-05-17 01:10:59.000,1.22.1,72.0,"['gha', 'jupyter', 'julia']",,,,,,,,,,,,,,2.0,,,,,,,
22,CVXOPT,opl,,cvxopt/cvxopt,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,https://cvxopt.org/,2013-02-22 22:14:31,2024-05-28 11:59:39.000000,2024-03-24 15:20:03,57.0,2.0,205.0,40.0,961.0,9.0,26,True,http://cvxopt.org/userguide/,37.0,67.0,147.0,2023-08-09 14:30:49.000,1.3.2,17.0,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia']",cvxopt,conda-forge/cvxopt,,469348.0,10318.0,9965.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,353.0,447017.0,https://anaconda.org/conda-forge/cvxopt,2023-09-23 18:21:52.093,982593.0,2.0,,,,,,,
23,ECOS,ops,,embotech/ecos,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,https://github.com/embotech/ecos,2013-02-11 21:27:50,2024-06-06 04:56:38.000000,2022-01-04 22:33:07,622.0,,122.0,67.0,450.0,40.0,26,True,https://github.com/embotech/ecos/wiki,35.0,65.0,95.0,2024-02-07 00:03:53.000,2.0.13,23.0,"['python', 'julia', 'c', 'octave', 'r']",ecos,conda-forge/ecos,,1117087.0,46.0,,https://pypi.org/project/ecos,2024-02-07 00:03:53.000,46.0,1099174.0,https://anaconda.org/conda-forge/ecos,2024-05-17 19:43:52.836,770269.0,3.0,,,,,,,
24,Clarabel.rs,ops,,oxfordcontrol/Clarabel.rs,Apache-2.0,Interior-point solver for convex conic optimisation in Rust.,https://github.com/oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34,2024-06-03 11:58:39.000000,2024-06-03 11:58:35,441.0,69.0,21.0,5.0,274.0,8.0,26,True,https://oxfordcontrol.github.io/ClarabelDocs/stable/,10.0,88.0,23.0,2024-06-01 17:00:44.000,0.9.0,15.0,"['gha', 'pypi', 'conda', 'python', 'rust']",clarabel,conda-forge/clarabel,,872754.0,30.0,12.0,https://pypi.org/project/clarabel,2024-06-01 17:00:44.000,18.0,865963.0,https://anaconda.org/conda-forge/clarabel,2024-03-02 16:55:59.106,54334.0,3.0,,,,,1.0,,
25,Grid2Op,mrl,,rte-france/Grid2Op,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,https://l2rpn.chalearn.org/,2019-10-10 17:04:46,2024-06-03 09:34:48.000000,2024-05-27 11:05:56,3010.0,77.0,111.0,38.0,263.0,32.0,26,True,https://grid2op.readthedocs.io/en/latest/,17.0,257.0,303.0,2024-05-27 11:51:06.000,1.10.2,80.0,"['gha', 'pypi', 'jupyter', 'python']",Grid2Op,,,1699.0,20.0,,https://pypi.org/project/Grid2Op,2024-05-27 11:51:06.000,20.0,1526.0,,,,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,9734.0,,1.0,
26,Power Grid Model,steady-state,,PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2024-06-06 18:24:49.000000,2024-06-06 06:30:17,5233.0,789.0,25.0,63.0,129.0,21.0,26,True,https://power-grid-model.readthedocs.io/en/stable/,5.0,483.0,85.0,2024-06-06 08:24:11.000,1.7.73,410.0,"['gha', 'pypi', 'conda', 'python', 'c']",power-grid-model,conda-forge/power-grid-model,135.0,41319.0,10.0,9.0,https://pypi.org/project/power-grid-model,2024-06-06 08:23:44.000,1.0,21755.0,https://anaconda.org/conda-forge/power-grid-model,2024-06-03 17:08:32.191,253990.0,1.0,,,,,,,
27,precice,cosime,,precice/precice,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,https://precice.org/,2015-05-22 14:05:22,2024-06-06 15:43:25.857415,2024-06-06 15:21:10,5108.0,42.0,167.0,202.0,687.0,57.0,25,True,https://precice.org/docs.html,39.0,1187.0,635.0,2024-06-06 15:26:40.000,3.1.2,30.0,"['gha', 'c']",pyprecice,conda-forge/pyprecice,25800.0,1811.0,4.0,,https://pypi.org/project/pyprecice,2024-04-12 14:12:18.000,4.0,515.0,https://anaconda.org/conda-forge/pyprecice,2024-05-20 14:16:16.406,24977.0,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2024-06-06 15:43:25.857415,18011.0,-1.0,,
28,GridCal,steady-state,,SanPen/GridCal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,2016-01-13 15:40:10,2024-06-06 12:49:45.000000,2024-06-04 20:42:53,5157.0,798.0,89.0,28.0,391.0,46.0,25,True,https://gridcal.readthedocs.io/en/latest/?badge=latest,32.0,115.0,139.0,2024-06-03 10:04:33.000,5.1.11,300.0,"['gha', 'pypi', 'python']",GridCal,,33.0,1111.0,7.0,7.0,https://pypi.org/project/GridCal,2024-06-03 10:04:33.000,,1111.0,,,,1.0,,,,,-1.0,,
29,MATPOWER,steady-state,,MATPOWER/matpower,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,https://matpower.org/,2016-12-16 19:12:30,2024-06-06 00:26:13.174523,2024-06-05 23:04:01,2511.0,67.0,151.0,35.0,393.0,17.0,24,True,https://matpower.org/doc/,29.0,44.0,179.0,2024-05-17 23:07:00.000,8.0,5.0,"['gha', 'octave']",,,481344.0,7200.0,,,,,,,,,,2.0,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2024-06-06 00:26:13.174523,1517.0,,,
30,LTB ANDES,phasor,,CURENT/andes,GPL-3,Transient Stability Simulator; CURENT LTB.,https://github.com/CURENT/andes,https://ltb.curent.org/,2016-11-07 01:04:50,2024-05-26 17:13:27.000000,2024-03-25 17:33:54,4470.0,18.0,105.0,7.0,203.0,22.0,24,True,https://docs.andes.app/en/latest/,16.0,274.0,52.0,2024-03-25 17:45:07.000,1.9.2,113.0,"['gha', 'azure', 'pypi', 'conda', 'jupyter', 'python']",andes,conda-forge/andes,,9719.0,18.0,16.0,https://pypi.org/project/andes,2024-03-25 17:45:07.000,2.0,563.0,https://anaconda.org/conda-forge/andes,2024-03-25 19:30:11.820,448636.0,1.0,cuihantao/andes,https://hub.docker.com/r/cuihantao/andes,2020-12-10 15:50:41.614180,120.0,,,
31,pandapipes,gasnet,,e2nIEE/pandapipes,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,https://www.pandapipes.org/,2020-02-03 15:04:57,2024-06-05 08:21:13.000000,2024-05-07 07:34:12,1859.0,65.0,52.0,52.0,124.0,22.0,24,True,https://jkpandapipes.readthedocs.io/en/latest/,11.0,450.0,79.0,2024-04-09 14:04:00.000,0.10.0,17.0,"['gha', 'pypi', 'jupyter', 'python']",pandapipes,,,1307.0,24.0,20.0,https://pypi.org/project/pandapipes,2024-04-09 14:04:00.000,4.0,1307.0,,,,1.0,,,,,1.0,,
32,GridStatus,data,,kmax12/gridstatus,BSD-3,Extract data from ISOs and other sources.,https://github.com/kmax12/gridstatus,https://www.gridstatus.io,2022-07-28 19:24:20,2024-06-05 21:42:53.000000,2024-06-05 21:42:51,380.0,30.0,43.0,66.0,253.0,21.0,23,True,https://docs.gridstatus.io/en/latest/,7.0,280.0,59.0,2024-03-04 18:21:13.000,0.27.0,27.0,"['gha', 'pypi', 'python']",gridstatus,,,2778.0,10.0,9.0,https://pypi.org/project/gridstatus,2024-03-04 18:21:13.000,1.0,2778.0,,,,1.0,,,,,,,
33,powerplantmatching,data,,PyPSA/powerplantmatching,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,https://pypsa.org,2016-08-15 16:36:25,2024-05-27 19:39:58.000000,2024-05-12 16:01:31,911.0,30.0,51.0,25.0,146.0,24.0,23,True,https://atlite.readthedocs.io/en/master/?badge=master,20.0,85.0,57.0,2024-05-12 16:02:35.000,0.5.15,25.0,"['gha', 'pypi', 'conda', 'python']",powerplantmatching,conda-forge/powerplantmatching,57.0,2186.0,50.0,50.0,https://pypi.org/project/powerplantmatching,2024-05-12 16:02:25.000,,1381.0,https://anaconda.org/conda-forge/powerplantmatching,2024-05-12 18:50:25.552,33841.0,1.0,,,,,,,
34,HELICS,msg,,GMLC-TDC/HELICS,BSD-3,Co-simulation framework.,https://github.com/GMLC-TDC/HELICS,https://helics.org/tools/,2017-06-01 17:03:19,2024-05-27 19:19:41.000000,2024-05-23 13:06:34,3513.0,22.0,40.0,83.0,118.0,38.0,23,True,https://docs.helics.org/en/latest/,13.0,1969.0,565.0,2024-04-10 23:46:34.000,3.5.2,103.0,"['gha', 'pypi', 'conda', 'python', 'julia', 'octave', 'java', 'c']",helics,conda-forge/helics,21992.0,3755.0,7.0,,https://pypi.org/project/helics,2024-04-10 23:46:34.000,7.0,3180.0,https://anaconda.org/conda-forge/helics,2023-06-16 16:09:19.777,20331.0,1.0,,,,,,,
35,Dynaωo,phasor,,dynawo/dynawo,MPL-2.0,C++/Modelica simulation tools for power systems.,https://github.com/dynawo/dynawo,http://dynawo.org,2019-01-29 13:29:35,2024-06-06 15:24:22.000000,2024-06-06 12:27:29,2265.0,91.0,22.0,100.0,64.0,52.0,23,True,https://dynawo.github.io/docs/,8.0,1890.0,1279.0,2024-05-21 08:44:47.000,1.6.0,17.0,['gha'],,,15502.0,238.0,,,,,,,,,,1.0,,,,,,,
36,CBC,ops,,coin-or/Cbc,EPL-2.0,COIN-OR Branch-and-Cut solver.,https://github.com/coin-or/Cbc,https://github.com/coin-or/Cbc,2019-03-02 23:20:41,2024-06-06 00:09:02.907000,2024-06-04 15:48:37,2475.0,9.0,104.0,125.0,745.0,31.0,22,True,https://coin-or.github.io/Cbc/Doxygen/,39.0,64.0,351.0,2023-10-25 18:18:31.000,releases/2.10.11,13.0,"['gha', 'conda', 'python', 'julia', 'c']",,conda-forge/coincbc,23229.0,23138.0,,,,,,,https://anaconda.org/conda-forge/coincbc,2024-06-06 00:09:02.907,1001387.0,3.0,,,,,,,
37,PyPSA-Eur,steady-state,,PyPSA/pypsa-eur,MIT,Sector-Coupled Optimisation Model of the European Energy System.,https://github.com/PyPSA/pypsa-eur,https://pypsa.org,2017-10-11 23:54:41,2024-06-06 16:24:26.000000,2024-06-05 13:02:44,4806.0,485.0,203.0,133.0,300.0,65.0,22,True,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,16.0,692.0,289.0,2024-05-25 20:48:18.000,0.11.0,15.0,"['gha', 'python']",,,,0.0,,,,,,,,,,2.0,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,2022-04-11 21:54:31.539284,37.0,,,
38,PowerSimulations.jl,steady-state,,NREL-Sienna/PowerSimulations.jl,BSD-3,Power Systems optimization simulation and modeling; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulations.jl,https://www.nrel.gov/analysis/sienna.html,2017-11-03 21:11:22,2024-06-06 03:04:23.000000,2024-06-06 02:54:39,8494.0,52.0,50.0,36.0,268.0,36.0,22,True,https://nrel-sienna.github.io/PowerSimulations.jl/latest,19.0,797.0,268.0,2024-03-27 03:55:57.000,0.27.8,100.0,"['gha', 'julia']",,,,,,,,,,,,,,2.0,,,,,,,
39,Atlite,data,,PyPSA/atlite,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,https://pypsa.org,2016-11-03 23:59:25,2024-06-03 19:48:42.000000,2024-05-06 08:50:39,723.0,8.0,77.0,27.0,249.0,29.0,22,True,https://atlite.readthedocs.io/en/master/?badge=master,15.0,237.0,85.0,2023-10-25 10:29:04.000,0.2.12,16.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",atlite,conda-forge/atlite,,6644.0,62.0,62.0,https://pypi.org/project/atlite,2023-10-25 07:26:07.000,,5710.0,https://anaconda.org/conda-forge/atlite,2023-10-25 10:06:22.403,44863.0,3.0,,,,,,,
40,PowSyBl Core,steady-state,,powsybl/powsybl-core,MPL-2.0,Framework to build power system software.,https://github.com/powsybl/powsybl-core,https://www.powsybl.org,2017-09-29 14:51:18,2024-06-06 15:13:46.000000,2024-06-06 14:46:54,3212.0,107.0,36.0,238.0,120.0,107.0,22,True,https://www.javadoc.io/doc/com.powsybl/powsybl-core/latest/,20.0,2552.0,317.0,2024-05-02 13:36:06.000,6.3.1,97.0,"['gha', 'java']",,,95.0,1.0,76.0,76.0,,,,,,,,2.0,,,,,,,
41,AMPLPY,ops,,ampl/amplpy,BSD-3,Python API for AMPL.,https://github.com/ampl/amplpy,https://ampl.com/,2017-06-27 00:22:07,2024-05-30 08:48:34.747000,2024-05-21 16:50:30,678.0,13.0,18.0,,60.0,8.0,22,True,https://amplpy.readthedocs.io/en/latest/,14.0,6.0,47.0,2024-05-23 16:41:59.000,0.14.0,170.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",amplpy,conda-forge/amplpy,,29829.0,76.0,74.0,https://pypi.org/project/amplpy,2024-05-21 18:42:52.000,2.0,24976.0,https://anaconda.org/conda-forge/amplpy,2024-05-30 08:48:34.747,223248.0,3.0,,,,,,,
42,LightSim2Grid,steady-state,,BDonnot/lightsim2grid,MPL-2.0,A fast backend for the Grid2Op.,https://github.com/BDonnot/lightsim2grid,https://l2rpn.chalearn.org/,2020-03-09 07:35:27,2024-05-29 13:11:17.000000,2024-04-22 18:08:18,697.0,99.0,9.0,13.0,45.0,5.0,22,True,https://lightsim2grid.readthedocs.io/en/latest/,3.0,37.0,33.0,2024-04-22 18:09:02.000,0.8.2,25.0,"['gha', 'pypi', 'python']",LightSim2Grid,,101.0,4321.0,43.0,34.0,https://pypi.org/project/LightSim2Grid,2024-04-22 12:52:14.000,9.0,4316.0,,,,2.0,bdonnot/lightsim2grid,https://hub.docker.com/r/bdonnot/lightsim2grid,2022-02-01 17:50:28.347059,188.0,,,
