,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id
10,pmuBAGE,data,['university'],True,NanpengYu/pmuBAGE,,Synthetic phasor measurement unit dataset.,https://github.com/NanpengYu/pmuBAGE,https://github.com/NanpengYu/pmuBAGE,2022-03-18 05:10:00,2022-04-07 00:15:41.000000,2022-04-07 00:15:41,18.0,2.0,1.0,9.0,2.0,0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PowerCyber Training,book,"['jupyter', 'gha', 'python', 'university']",True,PowerCyberTraining/powercybertraining.github.io,CC BY-NC-ND 4.0,PowerCyber Training modules source.,https://github.com/PowerCyberTraining/powercybertraining.github.io,https://powercybertraining.github.io,2024-02-16 22:06:15,2025-05-08 17:45:26.000000,2025-04-24 17:13:00,216.0,2.0,,3.0,8.0,0,True,,1.0,22.0,1.0,,,,72.0,,,,,,,,,,,,,,,,,,,,,
12,TextbookSimulations,book,"['julia', 'jupyter', 'university']",True,Power-Systems-Textbook/TextbookSimulations,CC0-1.0,Examples and problems accompanying Daniel Kirschens Power Systems Textbook.,https://github.com/Power-Systems-Textbook/TextbookSimulations,https://github.com/Power-Systems-Textbook/TextbookSimulations,2022-10-12 19:10:15,2023-11-08 22:54:41.000000,2023-11-08 22:54:34,56.0,3.0,,12.0,2.0,0,True,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,UTK ECE 522 - Power System Analysis II,book,"['python', 'jupyter', 'university']",True,CURENT/ece522,MIT,Hands-on Project for Power System Analysis II (UTK ECE 522).,https://github.com/CURENT/ece522,https://github.com/CURENT/ece522,2023-01-18 03:35:44,2025-02-01 19:05:43.000000,2025-02-01 19:05:41,14.0,2.0,,5.0,4.0,0,True,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ELEC0447 Analysis of Electric Power and Energy Systems,book,"['python', 'jupyter', 'university']",True,bcornelusse/ELEC0447-analysis-power-systems,BSD-2.0,Masters course of power systems analysis at ULige.,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,2020-06-17 14:45:34,2024-11-28 10:42:50.000000,2024-11-28 10:42:45,268.0,7.0,1.0,23.0,6.0,0,True,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Tutorial on DER Hosting Capacity Part 0,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,BSD-3.0,Using dss_python.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,2022-11-30 04:16:00,2024-12-09 04:10:44.000000,2024-12-09 04:10:38,45.0,4.0,,5.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Tutorial on DER Hosting Capacity Part 1,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,BSD-3.0,Advanced Tools for the Analysis of Three-Phase Unbalanced LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,2023-03-09 03:28:07,2025-03-25 01:08:53.000000,2025-03-25 01:08:48,33.0,3.0,,3.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Tutorial on DER Hosting Capacity Part 2,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,BSD-3.0,Time-Series Analysis and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,2022-12-01 03:15:41,2025-03-25 01:02:03.000000,2025-03-25 01:02:01,40.0,1.0,,2.0,6.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Tutorial on DER Hosting Capacity Part 3,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,BSD-3.0,Volt-Watt Control and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,2023-05-29 06:17:07,2025-03-31 02:33:02.000000,2025-03-31 02:32:56,19.0,,,1.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Tutorial on DER Hosting Capacity Part 4,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,BSD-3.0,Monte Carlo Assessment of PV Hosting Capacity of an Integrated MV-LV Network.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,2023-05-29 23:51:23,2024-12-09 03:42:30.000000,2024-12-09 03:42:26,27.0,2.0,,2.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,LTB Demo,book,"['jupyter', 'python', 'university']",True,CURENT/demo,MIT,Ready-to-use LTB usage examples.,https://github.com/CURENT/demo,https://ltb.curent.org,2023-03-28 15:37:01,2025-06-30 17:03:18.000000,2025-06-30 17:03:16,218.0,1.0,1.0,2.0,3.0,0,True,,1.0,,,,,,128.0,,,,,,,,,,,,,,,,,,,,,
21,OR-Tools,ops,"['gha', 'python', 'cpp', 'java', 'for-profit']",,google/or-tools,Apache-2,Google Optimization Tools.,https://github.com/google/or-tools,https://developers.google.com/optimization/,2015-02-21 01:25:35,2025-07-10 16:03:17.000000,2025-06-17 14:25:08,15256.0,2230.0,71.0,12200.0,192.0,41,True,https://developers.google.com/optimization/introduction,308.0,516.0,3033.0,2025-06-19 15:45:38.000,9.14.6206,82.0,248.0,ortools,conda-forge/ortools-python,933363.0,2117513.0,659.0,347.0,https://pypi.org/project/ortools,2025-06-19 15:45:38.000,312.0,2106959.0,https://anaconda.org/conda-forge/ortools-python,2025-04-22 14:58:03.564,119031.0,1.0,,,,,,,
22,Pyomo,opl,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'lab']",,Pyomo/pyomo,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,https://www.pyomo.org,2016-05-27 19:33:45,2025-07-08 18:03:21.000000,2025-07-08 18:03:21,27488.0,531.0,314.0,2228.0,177.0,40,True,https://pyomo.readthedocs.io/en/stable/,61.0,2221.0,1135.0,2025-04-16 18:50:07.000,6.9.2,70.0,532.0,Pyomo,conda-forge/pyomo,4771.0,672394.0,4816.0,4533.0,https://pypi.org/project/Pyomo,2025-02-21 15:30:59.000,283.0,647314.0,https://anaconda.org/conda-forge/pyomo,2025-04-22 14:56:22.654,1522813.0,1.0,,,,,,,
23,Xopt,ops,"['gha', 'python', 'pypi', 'conda', 'lab']",,google/or-tools,MPL-2.0,Flexible high-level optimization in Python.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-07-10 16:03:17.000000,2025-06-17 14:25:08,15256.0,2230.0,71.0,12200.0,192.0,39,True,https://xopt.xopt.org/index.html,308.0,516.0,3033.0,2025-07-03 20:39:16.000,2.6.4,51.0,248.0,xopt,conda-forge/xopt,933363.0,9991.0,350.0,347.0,https://pypi.org/project/xopt,2025-07-03 20:39:16.000,3.0,1002.0,https://anaconda.org/conda-forge/xopt,2025-07-04 01:35:40.611,55083.0,1.0,1.0,,,,,,
24,CVXPY,opl,"['gha', 'pypi', 'conda', 'python', 'university']",,cvxpy/cvxpy,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58,2025-07-10 00:03:25.000000,2025-07-10 00:03:25,3655.0,1106.0,264.0,5825.0,218.0,39,True,http://www.cvxpy.org/,127.0,1145.0,1294.0,2025-06-10 18:47:18.000,1.6.6,137.0,30.0,cvxpy,conda-forge/cvxpy,618.0,2067255.0,18700.0,18016.0,https://pypi.org/project/cvxpy,2025-06-10 18:47:18.000,684.0,2039119.0,https://anaconda.org/conda-forge/cvxpy,2025-06-05 03:09:29.825,1715758.0,2.0,,,,,,,
25,Tulip,ops,"['gha', 'julia', 'university']",,google/or-tools,MPL-2.0,Interior-point solver in pure Julia.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-07-10 16:03:17.000000,2025-06-17 14:25:08,15256.0,2230.0,71.0,12200.0,192.0,37,True,https://ds4dm.github.io/Tulip.jl/stable/,308.0,516.0,3033.0,2025-06-19 09:17:59.000,9.14,51.0,248.0,,,933363.0,7909.0,347.0,347.0,,,,,,,,2.0,,,,,,,
26,HiGHS,ops,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'c', 'julia', 'rust', 'r', 'cpp', 'university']",,ERGO-Code/HiGHS,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,https://highs.dev/,2018-03-27 13:57:58,2025-07-10 12:20:34.000000,2025-06-06 00:22:05,11997.0,230.0,110.0,1232.0,91.0,36,True,https://ergo-code.github.io/HiGHS/,36.0,1387.0,796.0,2025-06-06 00:45:35.000,1.11.0,19.0,324.0,highspy,conda-forge/highs,6418.0,353469.0,1869.0,1790.0,https://pypi.org/project/highspy,2025-06-06 00:45:35.000,79.0,352141.0,https://anaconda.org/conda-forge/highs,2025-06-06 11:17:14.240,28317.0,2.0,,,,,,,
27,pandapower,steady-state,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'university']",,e2nIEE/pandapower,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,https://www.pandapower.org/,2017-01-12 13:27:53,2025-07-10 10:49:28.000000,2025-07-10 09:25:11,10167.0,508.0,200.0,997.0,158.0,34,True,https://pandapower.readthedocs.io/en/latest/,51.0,1459.0,873.0,2025-06-16 14:01:20.000,3.1.2,52.0,240.0,pandapower,conda-forge/pandapower,,54110.0,568.0,500.0,https://pypi.org/project/pandapower,2025-06-16 14:01:20.000,68.0,53619.0,https://anaconda.org/conda-forge/pandapower,2025-06-16 20:52:02.983,28933.0,1.0,,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,106.0,,
28,PyPSA,steady-state,"['gha', 'pypi', 'conda', 'python', 'jupyter', 'university']",,PyPSA/PyPSA,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,https://pypsa.org,2016-01-11 09:04:18,2025-07-10 13:18:31.000000,2025-07-08 09:42:42,2995.0,527.0,107.0,1560.0,100.0,32,True,https://pypsa.readthedocs.io/en/latest/,72.0,847.0,324.0,2025-07-03 14:36:53.000,0.35.1,72.0,48.0,pypsa,conda-forge/pypsa,,12039.0,325.0,296.0,https://pypi.org/project/pypsa,2025-07-03 14:36:53.000,29.0,9576.0,https://anaconda.org/conda-forge/pypsa,2025-07-04 06:57:40.245,147781.0,1.0,,,,,,,
29,OSQP,ops,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r', 'university']",,osqp/osqp,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,https://osqp.org,2016-09-27 03:02:46,2025-06-06 17:43:58.000000,2025-06-06 17:41:59,2973.0,367.0,100.0,1901.0,36.0,31,True,https://osqp.org/docs/get_started/,42.0,298.0,277.0,2025-04-02 14:38:01.000,1.0.3,43.0,7.0,osqp,conda-forge/osqp,120068.0,2288332.0,110.0,,https://pypi.org/project/osqp,2025-05-08 15:15:55.000,110.0,2264519.0,https://anaconda.org/conda-forge/osqp,2025-04-22 14:56:51.918,1220505.0,2.0,-1.0,,,,,,
30,PySCIPOpt,ops,"['gha', 'pypi', 'conda', 'python', 'lab']",,scipopt/PySCIPOpt,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,https://www.scipopt.org/,2016-05-19 14:29:21,2025-07-04 23:52:33.000000,2025-06-27 12:24:48,2139.0,266.0,27.0,897.0,81.0,31,True,https://scipopt.github.io/PySCIPOpt/docs/html/,26.0,444.0,545.0,2025-05-10 10:42:24.000,5.5.0,70.0,18.0,PySCIPOpt,conda-forge/pyscipopt,,108447.0,433.0,377.0,https://pypi.org/project/PySCIPOpt,2025-05-10 09:04:05.000,56.0,98445.0,https://anaconda.org/conda-forge/pyscipopt,2025-05-10 23:39:21.924,530125.0,2.0,,,,,,,
31,Power Grid Model,steady-state,"['gha', 'pypi', 'conda', 'python', 'c', 'jupyter', 'non-profit']",,PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2025-07-10 06:48:51.000000,2025-07-09 09:20:57,8404.0,38.0,84.0,173.0,26.0,30,True,https://power-grid-model.readthedocs.io/en/stable/,5.0,794.0,154.0,2025-07-09 10:19:48.000,1.11.23,642.0,449.0,power-grid-model,conda-forge/power-grid-model,774.0,173350.0,40.0,32.0,https://pypi.org/project/power-grid-model,2025-07-09 10:19:48.000,8.0,36396.0,https://anaconda.org/conda-forge/power-grid-model,2025-07-08 16:59:22.807,3557475.0,1.0,,,,,,,
32,CVXOPT,opl,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'university']",,cvxopt/cvxopt,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,https://cvxopt.org/,2013-02-22 22:14:31,2025-06-16 18:58:35.000000,2025-06-16 18:58:35,60.0,211.0,46.0,1018.0,10.0,27,True,http://cvxopt.org/userguide/,39.0,72.0,150.0,2023-08-09 14:30:49.000,1.3.2,17.0,2.0,cvxopt,conda-forge/cvxopt,,676193.0,14904.0,14479.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,425.0,650178.0,https://anaconda.org/conda-forge/cvxopt,2025-04-22 14:56:23.779,1482872.0,2.0,,,,,,,
33,OpenModelica,cosime,"['modelica', 'python', 'university']",,OpenModelica/OpenModelica,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,https://openmodelica.org,2015-05-03 16:59:29,2025-07-10 15:15:57.000000,2025-07-10 15:15:57,37529.0,316.0,2051.0,1004.0,196.0,27,True,https://openmodelica.org/useresresources/userdocumentation,54.0,5379.0,6237.0,2025-06-15 20:43:46.000,1.25.1,29.0,131.0,,,388.0,434.0,,,,,,,,,,1.0,,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2025-07-05 16:15:38.018819,52702.0,6.0,
34,SCS,ops,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'r', 'c', 'university']",,cvxgrp/scs,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,https://github.com/cvxgrp/scs,2013-11-29 23:11:16,2025-07-08 11:30:22.000000,2025-07-08 11:30:14,1275.0,138.0,47.0,577.0,32.0,27,True,https://www.cvxgrp.org/scs/,35.0,130.0,144.0,2024-08-24 15:40:59.000,3.2.7,44.0,6.0,scs,conda-forge/scs,,1827414.0,56.0,,https://pypi.org/project/scs,2025-01-04 17:00:19.000,56.0,1802436.0,https://anaconda.org/conda-forge/scs,2025-04-22 14:56:51.952,1398795.0,2.0,,,,,,,
35,GridCal,steady-state,"['gha', 'pypi', 'python', 'volunteer']",,SanPen/GridCal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,https://www.eroots.tech/software,2016-01-13 15:40:10,2025-07-10 17:43:41.000000,2025-06-05 15:48:52,7422.0,105.0,37.0,455.0,53.0,27,True,https://gridcal.readthedocs.io/en/latest/?badge=latest,32.0,151.0,229.0,2025-06-11 11:03:48.000,5.3.53,421.0,221.0,GridCal,,49.0,1762.0,10.0,10.0,https://pypi.org/project/GridCal,2025-06-11 11:03:48.000,,1762.0,,,,1.0,,,,,,,
36,Clarabel.rs,ops,"['gha', 'pypi', 'conda', 'python', 'rust', 'university']",,oxfordcontrol/Clarabel.rs,Apache-2.0,Interior-point solver for convex conic optimisation in Rust.,https://github.com/oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34,2025-06-12 09:01:09.682000,2025-06-11 16:32:36,628.0,35.0,9.0,452.0,11.0,27,True,https://oxfordcontrol.github.io/ClarabelDocs/stable/,12.0,137.0,47.0,2025-06-11 16:48:58.000,0.11.1,18.0,52.0,clarabel,conda-forge/clarabel,,1691488.0,85.0,42.0,https://pypi.org/project/clarabel,2025-06-11 16:48:58.000,43.0,1680618.0,https://anaconda.org/conda-forge/clarabel,2025-06-12 09:01:09.682,228272.0,2.0,,,,,,,
37,Ipopt,ops,"['pypi', 'conda', 'python', 'non-profit']",,coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,https://www.coin-or.org/,2019-01-28 12:24:22,2025-06-30 06:54:43.000000,2025-05-16 15:54:15,2409.0,291.0,10.0,1593.0,36.0,26,True,https://coin-or.github.io/Ipopt/,46.0,38.0,605.0,2024-12-14 15:03:46.000,releases/3.14.17,32.0,5.0,ipopt,conda-forge/ipopt,21894.0,32037.0,10.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,1007.0,https://anaconda.org/conda-forge/ipopt,2025-04-23 15:02:30.167,1748953.0,3.0,,,,,,,
38,precice,cosime,"['gha', 'c', 'pypi', 'conda', 'university']",,precice/precice,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,https://precice.org/,2015-05-22 14:05:22,2025-07-10 03:52:26.192827,2025-07-08 10:30:55,5469.0,193.0,202.0,816.0,59.0,26,True,https://precice.org/docs.html,36.0,1395.0,716.0,2025-06-18 13:07:35.000,3.2.1,34.0,58.0,pyprecice,conda-forge/pyprecice,35784.0,4417.0,8.0,,https://pypi.org/project/pyprecice,2025-06-18 13:07:35.000,8.0,1133.0,https://anaconda.org/conda-forge/pyprecice,2025-06-18 18:27:09.400,117327.0,3.0,,precice/precice,https://hub.docker.com/r/precice/precice,2025-07-10 03:52:26.192827,28142.0,,
39,JuMP,opl,"['gha', 'jupyter', 'julia', 'non-profit']",,jump-dev/JuMP.jl,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,https://jump.dev,2012-10-10 00:34:45,2025-07-09 02:04:22.000000,2025-07-09 01:26:25,5078.0,403.0,12.0,2324.0,164.0,25,True,https://jump.dev/JuMP.jl/stable/,82.0,2457.0,1496.0,2025-05-20 22:03:08.000,1.26.0,83.0,28.0,,,,,,,,,,,,,,3.0,,,,,,,
40,Grid2Op,mrl,"['gha', 'pypi', 'jupyter', 'python', 'for-profit']",,rte-france/Grid2Op,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/Grid2op/grid2op,https://l2rpn.chalearn.org/,2019-10-10 17:04:46,2025-05-21 07:29:53.000000,2025-04-15 06:39:32,3394.0,126.0,58.0,359.0,32.0,25,True,https://grid2op.readthedocs.io/en/latest/,20.0,318.0,321.0,2025-04-15 12:59:54.000,1.11.0,91.0,12.0,Grid2Op,,,1967.0,23.0,,https://pypi.org/project/Grid2Op,2025-04-15 12:59:54.000,23.0,1820.0,,,,1.0,,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,10203.0,1.0,Grid2op/grid2op
41,GridStatus,data,"['gha', 'pypi', 'python', 'for-profit']",,kmax12/gridstatus,BSD-3,Extract data from ISOs and other sources.,https://github.com/gridstatus/gridstatus,https://www.gridstatus.io,2022-07-28 19:24:20,2025-07-10 15:26:32.000000,2025-07-04 00:50:37,636.0,67.0,40.0,345.0,32.0,25,True,https://docs.gridstatus.io/en/latest/,11.0,519.0,80.0,2025-04-22 19:32:11.000,0.30.1,32.0,65.0,gridstatus,services/gridstatus,,30746.0,26.0,24.0,https://pypi.org/project/gridstatus,2025-04-22 19:32:11.000,2.0,30744.0,https://anaconda.org/services/gridstatus,2025-03-25 16:20:32.129,27.0,1.0,,,,,,,gridstatus/gridstatus
42,pandapipes,gasnet,"['gha', 'pypi', 'jupyter', 'python', 'university']",,e2nIEE/pandapipes,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,https://www.pandapipes.org/,2020-02-03 15:04:57,2025-07-01 07:19:45.000000,2025-07-01 07:19:44,2234.0,71.0,86.0,178.0,26.0,25,True,https://jkpandapipes.readthedocs.io/en/latest/,11.0,530.0,87.0,2025-06-27 16:34:37.000,0.12.0,22.0,71.0,pandapipes,,,4342.0,41.0,31.0,https://pypi.org/project/pandapipes,2025-06-27 16:34:37.000,10.0,4342.0,,,,1.0,,,,,,,
43,ECOS,ops,"['python', 'julia', 'c', 'octave', 'r', 'university']",,embotech/ecos,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,https://github.com/embotech/ecos,2013-02-11 21:27:50,2025-04-22 14:56:51.894000,2022-01-04 22:33:07,622.0,123.0,66.0,510.0,40.0,24,True,https://github.com/embotech/ecos/wiki,35.0,65.0,95.0,2024-06-18 03:47:45.000,2.0.14,24.0,,ecos,conda-forge/ecos,,619417.0,49.0,,https://pypi.org/project/ecos,2024-06-18 03:47:45.000,49.0,600108.0,https://anaconda.org/conda-forge/ecos,2025-04-22 14:56:51.894,1081312.0,3.0,,,,,,,
44,MATPOWER,steady-state,"['gha', 'octave', 'university']",,MATPOWER/matpower,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,https://matpower.org/,2016-12-16 19:12:30,2025-07-10 15:12:54.000000,2025-07-05 21:53:07,2632.0,160.0,23.0,483.0,22.0,24,True,https://matpower.org/doc/,29.0,53.0,203.0,2024-05-17 23:07:00.000,8.0,5.0,72.0,,,588791.0,7386.0,,,,,,,,,,1.0,2.0,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2025-07-05 22:58:14.643941,2820.0,,
