,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,updated_github_id
17,Tutorial on DER Hosting Capacity Part 2,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,BSD-3.0,Time-Series Analysis and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,2022-12-01 03:15:41,2025-03-25 01:02:03.000000,2025-03-25 01:02:01,40.0,1.0,,2.0,6.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Tutorial on DER Hosting Capacity Part 3,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,BSD-3.0,Volt-Watt Control and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,2023-05-29 06:17:07,2025-03-31 02:33:02.000000,2025-03-31 02:32:56,19.0,,,1.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Tutorial on DER Hosting Capacity Part 4,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,BSD-3.0,Monte Carlo Assessment of PV Hosting Capacity of an Integrated MV-LV Network.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,2023-05-29 23:51:23,2024-12-09 03:42:30.000000,2024-12-09 03:42:26,27.0,2.0,,2.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,LTB Demo,book,"['jupyter', 'python', 'university']",True,CURENT/demo,MIT,Ready-to-use LTB usage examples.,https://github.com/CURENT/demo,https://ltb.curent.org,2023-03-28 15:37:01,2025-08-12 18:09:23.000000,2025-08-12 18:09:20,219.0,1.0,1.0,2.0,3.0,0,True,,1.0,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,
21,OR-Tools,ops,"['gha', 'python', 'cpp', 'java', 'for-profit']",,google/or-tools,Apache-2,Google Optimization Tools.,https://github.com/google/or-tools,https://developers.google.com/optimization/,2015-02-21 01:25:35,2025-08-28 16:26:45.000000,2025-08-12 02:58:01,15260.0,2254.0,58.0,12390.0,192.0,40,True,https://developers.google.com/optimization/introduction,312.0,530.0,3060.0,2025-06-19 15:45:38.000,9.14.6206,82.0,65.0,ortools,conda-forge/ortools-python,952652.0,2390124.0,661.0,349.0,https://pypi.org/project/ortools,2025-06-19 15:45:38.000,312.0,2379423.0,https://anaconda.org/conda-forge/ortools-python,2025-04-22 14:58:03.564,124043.0,1.0,,,,,,,
22,CVXPY,opl,"['gha', 'pypi', 'conda', 'python', 'university']",,cvxpy/cvxpy,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58,2025-08-27 21:13:18.000000,2025-08-27 21:13:17,3688.0,1117.0,269.0,5880.0,226.0,40,True,http://www.cvxpy.org/,127.0,1191.0,1308.0,2025-08-24 01:24:09.000,1.7.2,141.0,50.0,cvxpy,conda-forge/cvxpy,632.0,2432142.0,18916.0,18180.0,https://pypi.org/project/cvxpy,2025-08-24 01:24:09.000,736.0,2403603.0,https://anaconda.org/conda-forge/cvxpy,2025-08-24 23:12:55.038,1768921.0,1.0,,,,,,,
23,Pyomo,opl,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'lab']",,Pyomo/pyomo,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,https://www.pyomo.org,2016-05-27 19:33:45,2025-08-28 13:19:28.000000,2025-08-28 13:19:28,28353.0,551.0,316.0,2262.0,181.0,40,True,https://pyomo.readthedocs.io/en/stable/,60.0,2263.0,1153.0,2025-08-27 23:09:44.000,6.9.4,70.0,851.0,Pyomo,conda-forge/pyomo,4858.0,656450.0,4862.0,4579.0,https://pypi.org/project/Pyomo,2025-02-21 15:30:59.000,283.0,630366.0,https://anaconda.org/conda-forge/pyomo,2025-08-28 02:53:59.408,1610091.0,1.0,,,,,,,
24,Xopt,ops,"['gha', 'python', 'pypi', 'conda', 'lab']",,google/or-tools,MPL-2.0,Flexible high-level optimization in Python.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-08-28 16:26:45.000000,2025-08-12 02:58:01,15260.0,2254.0,58.0,12390.0,192.0,38,True,https://xopt.xopt.org/index.html,312.0,530.0,3060.0,2025-08-27 20:36:06.000,2.6.6,51.0,65.0,xopt,conda-forge/xopt,952652.0,9664.0,352.0,349.0,https://pypi.org/project/xopt,2025-08-27 20:36:06.000,3.0,537.0,https://anaconda.org/conda-forge/xopt,2025-08-28 02:01:59.252,58384.0,1.0,,,,,,,
25,Tulip,ops,"['gha', 'julia', 'university']",,google/or-tools,MPL-2.0,Interior-point solver in pure Julia.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-08-28 16:26:45.000000,2025-08-12 02:58:01,15260.0,2254.0,58.0,12390.0,192.0,36,True,https://ds4dm.github.io/Tulip.jl/stable/,312.0,530.0,3060.0,2025-06-19 09:17:59.000,9.14,51.0,65.0,,,952652.0,8005.0,349.0,349.0,,,,,,,,2.0,,,,,,,
26,pandapower,steady-state,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'university']",,e2nIEE/pandapower,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,https://www.pandapower.org/,2017-01-12 13:27:53,2025-08-28 18:30:17.000000,2025-08-28 18:30:17,10294.0,508.0,200.0,1014.0,162.0,35,True,https://pandapower.readthedocs.io/en/latest/,51.0,1486.0,885.0,2025-06-16 14:01:20.000,3.1.2,52.0,218.0,pandapower,conda-forge/pandapower,,87235.0,570.0,502.0,https://pypi.org/project/pandapower,2025-06-16 14:01:20.000,68.0,86728.0,https://anaconda.org/conda-forge/pandapower,2025-06-16 20:52:02.983,30362.0,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,108.0,3.0,,
27,HiGHS,ops,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'c', 'julia', 'rust', 'r', 'cpp', 'university']",,ERGO-Code/HiGHS,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,https://highs.dev/,2018-03-27 13:57:58,2025-08-28 18:21:40.000000,2025-07-17 10:03:49,11998.0,237.0,113.0,1275.0,91.0,34,True,https://ergo-code.github.io/HiGHS/,37.0,1413.0,813.0,2025-06-06 00:45:35.000,1.11.0,19.0,46.0,highspy,conda-forge/highs,8315.0,453319.0,79.0,,https://pypi.org/project/highspy,2025-06-06 00:45:35.000,79.0,451899.0,https://anaconda.org/conda-forge/highs,2025-06-06 11:17:14.240,30805.0,2.0,,,,,,,
28,PyPSA,steady-state,"['gha', 'pypi', 'conda', 'python', 'jupyter', 'university']",,PyPSA/PyPSA,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,https://pypsa.org,2016-01-11 09:04:18,2025-08-28 14:18:42.000000,2025-08-15 21:07:49,3017.0,537.0,121.0,1624.0,101.0,32,True,https://pypsa.readthedocs.io/en/latest/,72.0,886.0,330.0,2025-08-15 16:52:21.000,0.35.2,74.0,51.0,pypsa,conda-forge/pypsa,,13462.0,333.0,302.0,https://pypi.org/project/pypsa,2025-08-15 17:17:23.000,31.0,10883.0,https://anaconda.org/conda-forge/pypsa,2025-08-16 07:01:50.735,157344.0,1.0,,,,,,,
29,OSQP,ops,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r', 'university']",,osqp/osqp,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,https://osqp.org,2016-09-27 03:02:46,2025-08-25 18:18:30.000000,2025-08-25 13:08:41,2974.0,370.0,102.0,1940.0,36.0,31,True,https://osqp.org/docs/get_started/,42.0,301.0,277.0,2025-04-02 14:38:01.000,1.0.3,43.0,8.0,osqp,conda-forge/osqp,127169.0,2435833.0,110.0,,https://pypi.org/project/osqp,2025-05-08 15:15:55.000,110.0,2411646.0,https://anaconda.org/conda-forge/osqp,2025-04-22 14:56:51.918,1260424.0,2.0,,,,,,,
30,PySCIPOpt,ops,"['gha', 'pypi', 'conda', 'python', 'lab']",,scipopt/PySCIPOpt,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,https://www.scipopt.org/,2016-05-19 14:29:21,2025-08-27 22:45:08.375000,2025-08-19 18:59:18,2155.0,269.0,37.0,915.0,83.0,31,True,https://scipopt.github.io/PySCIPOpt/docs/html/,26.0,464.0,563.0,2025-08-26 14:10:03.000,5.6.0,71.0,21.0,PySCIPOpt,conda-forge/pyscipopt,,122769.0,460.0,390.0,https://pypi.org/project/PySCIPOpt,2025-08-25 16:53:06.000,70.0,112517.0,https://anaconda.org/conda-forge/pyscipopt,2025-08-27 22:45:08.375,553631.0,2.0,,,,,,,
31,Power Grid Model,steady-state,"['gha', 'pypi', 'conda', 'python', 'c', 'jupyter', 'non-profit']",,PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2025-08-28 15:52:28.000000,2025-08-26 14:57:50,8956.0,43.0,81.0,180.0,28.0,31,True,https://power-grid-model.readthedocs.io/en/stable/,5.0,848.0,166.0,2025-08-26 15:56:08.000,1.12.19,688.0,759.0,power-grid-model,conda-forge/power-grid-model,820.0,187077.0,43.0,33.0,https://pypi.org/project/power-grid-model,2025-08-26 15:56:08.000,10.0,49640.0,https://anaconda.org/conda-forge/power-grid-model,2025-08-26 20:34:29.850,3705275.0,1.0,,,,,,,
32,SCS,ops,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'r', 'c', 'university']",,cvxgrp/scs,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,https://github.com/cvxgrp/scs,2013-11-29 23:11:16,2025-08-26 12:47:13.000000,2025-08-12 08:53:32,1280.0,139.0,42.0,584.0,33.0,29,True,https://www.cvxgrp.org/scs/,35.0,135.0,145.0,2025-08-10 19:35:06.000,3.2.8,45.0,10.0,scs,conda-forge/scs,,2086904.0,59.0,,https://pypi.org/project/scs,2025-08-10 19:35:06.000,59.0,2061542.0,https://anaconda.org/conda-forge/scs,2025-04-22 14:56:51.952,1445660.0,2.0,,,,,,,
33,Ipopt,ops,"['pypi', 'conda', 'python', 'non-profit']",,coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,https://www.coin-or.org/,2019-01-28 12:24:22,2025-08-21 16:31:48.000000,2025-08-21 16:29:57,2425.0,295.0,7.0,1618.0,36.0,28,True,https://coin-or.github.io/Ipopt/,46.0,40.0,612.0,2025-07-30 10:34:09.000,releases/3.14.19,33.0,16.0,ipopt,conda-forge/ipopt,23230.0,33028.0,10.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,1195.0,https://anaconda.org/conda-forge/ipopt,2025-08-18 07:11:47.214,1825355.0,3.0,,,,,,,
34,OpenModelica,cosime,"['modelica', 'python', 'university']",,OpenModelica/OpenModelica,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,https://openmodelica.org,2015-05-03 16:59:29,2025-08-28 15:38:33.000000,2025-08-28 15:38:33,37614.0,324.0,2077.0,1035.0,198.0,27,True,https://openmodelica.org/useresresources/userdocumentation,53.0,5477.0,6284.0,2025-08-27 17:32:28.000,1.25.2,30.0,149.0,,,492.0,445.0,,,,,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2025-08-23 11:10:36.082712,54266.0,,6.0,
35,CVXOPT,opl,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'university']",,cvxopt/cvxopt,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,https://cvxopt.org/,2013-02-22 22:14:31,2025-06-16 18:58:35.000000,2025-06-16 18:58:35,60.0,214.0,45.0,1023.0,10.0,27,True,http://cvxopt.org/userguide/,39.0,72.0,150.0,2023-08-09 14:30:49.000,1.3.2,17.0,2.0,cvxopt,conda-forge/cvxopt,,678833.0,14984.0,14534.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,450.0,652067.0,https://anaconda.org/conda-forge/cvxopt,2025-04-22 14:56:23.779,1552453.0,2.0,,,,,,,
36,pandapipes,gasnet,"['gha', 'pypi', 'jupyter', 'python', 'university']",,e2nIEE/pandapipes,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,https://www.pandapipes.org/,2020-02-03 15:04:57,2025-07-17 14:02:37.000000,2025-07-17 14:02:36,2245.0,71.0,86.0,182.0,28.0,27,True,https://jkpandapipes.readthedocs.io/en/latest/,12.0,536.0,87.0,2025-06-27 16:34:37.000,0.12.0,22.0,76.0,pandapipes,,,8168.0,43.0,33.0,https://pypi.org/project/pandapipes,2025-06-27 16:34:37.000,10.0,8168.0,,,,1.0,,,,,4.0,,
37,precice,cosime,"['gha', 'c', 'pypi', 'conda', 'university']",,precice/precice,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,https://precice.org/,2015-05-22 14:05:22,2025-08-28 11:56:11.000000,2025-08-28 11:56:11,5507.0,194.0,202.0,824.0,59.0,26,True,https://precice.org/docs.html,36.0,1419.0,732.0,2025-06-18 13:07:35.000,3.2.1,34.0,69.0,pyprecice,conda-forge/pyprecice,36610.0,4437.0,8.0,,https://pypi.org/project/pyprecice,2025-06-18 13:07:35.000,8.0,1065.0,https://anaconda.org/conda-forge/pyprecice,2025-06-18 18:27:09.400,123352.0,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2025-08-28 03:33:52.493271,29338.0,,,
38,Grid2Op,mrl,"['gha', 'pypi', 'jupyter', 'python', 'for-profit']",,rte-france/Grid2Op,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/Grid2op/grid2op,https://l2rpn.chalearn.org/,2019-10-10 17:04:46,2025-08-28 18:36:45.000000,2025-08-28 12:34:04,3493.0,133.0,55.0,367.0,32.0,26,True,https://grid2op.readthedocs.io/en/latest/,21.0,325.0,325.0,2025-08-28 15:25:11.000,.1.12.1,92.0,96.0,Grid2Op,,,4815.0,23.0,,https://pypi.org/project/Grid2Op,2025-07-24 18:24:04.000,23.0,4668.0,,,,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,10309.0,,1.0,Grid2op/grid2op
39,JuMP,opl,"['gha', 'jupyter', 'julia', 'non-profit']",,jump-dev/JuMP.jl,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,https://jump.dev,2012-10-10 00:34:45,2025-08-28 05:14:09.000000,2025-08-28 04:24:43,5098.0,406.0,12.0,2338.0,164.0,25,True,https://jump.dev/JuMP.jl/stable/,83.0,2482.0,1507.0,2025-08-06 21:37:11.000,1.28.0,85.0,23.0,,,,,,,,,,,,,,3.0,,,,,,,
40,MATPOWER,steady-state,"['gha', 'octave', 'university']",,MATPOWER/matpower,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,https://matpower.org/,2016-12-16 19:12:30,2025-08-25 14:43:56.107130,2025-08-25 13:56:09,2656.0,162.0,23.0,494.0,22.0,25,True,https://matpower.org/doc/,29.0,54.0,204.0,2025-07-13 02:31:28.000,8.1,6.0,65.0,,,617973.0,7659.0,,,,,,,,,,1.0,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2025-08-25 14:43:56.107130,3138.0,,,
41,GridCal,steady-state,"['gha', 'pypi', 'python', 'volunteer']",,SanPen/GridCal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/VeraGrid,https://www.eroots.tech/software,2016-01-13 15:40:10,2025-08-28 13:20:43.000000,2025-08-27 22:03:21,8094.0,111.0,25.0,465.0,58.0,25,True,https://gridcal.readthedocs.io/en/latest/?badge=latest,33.0,151.0,240.0,2025-08-27 22:05:15.000,5.4.0-eragrid,424.0,621.0,GridCal,,49.0,1621.0,,,https://pypi.org/project/GridCal,2025-08-27 15:57:46.000,,1621.0,,,,1.0,,,,,,,SanPen/VeraGrid
42,Clarabel.rs,ops,"['gha', 'pypi', 'conda', 'python', 'rust', 'university']",,oxfordcontrol/Clarabel.rs,Apache-2.0,Interior-point solver for convex conic optimisation in Rust.,https://github.com/oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34,2025-08-12 05:27:49.000000,2025-06-11 16:32:36,628.0,35.0,13.0,460.0,11.0,25,True,https://oxfordcontrol.github.io/ClarabelDocs/stable/,12.0,139.0,47.0,2025-06-11 16:48:58.000,0.11.1,18.0,3.0,clarabel,conda-forge/clarabel,,1833963.0,85.0,42.0,https://pypi.org/project/clarabel,2025-06-11 16:48:58.000,43.0,1822476.0,https://anaconda.org/conda-forge/clarabel,2025-06-12 09:01:09.682,252734.0,3.0,,,,,,,
43,GridStatus,data,"['gha', 'pypi', 'python', 'for-profit']",,kmax12/gridstatus,BSD-3,Extract data from ISOs and other sources.,https://github.com/gridstatus/gridstatus,https://www.gridstatus.io,2022-07-28 19:24:20,2025-08-28 16:10:46.000000,2025-08-28 16:10:42,654.0,68.0,40.0,354.0,33.0,25,True,https://docs.gridstatus.io/en/latest/,11.0,537.0,84.0,2025-08-12 14:57:39.000,0.31.0,33.0,44.0,gridstatus,services/gridstatus,,34268.0,26.0,24.0,https://pypi.org/project/gridstatus,2025-08-12 14:57:39.000,2.0,34266.0,https://anaconda.org/services/gridstatus,2025-03-25 16:20:32.129,31.0,1.0,,,,,6.0,,gridstatus/gridstatus
44,ECOS,ops,"['python', 'julia', 'c', 'octave', 'r', 'university']",,embotech/ecos,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,https://github.com/embotech/ecos,2013-02-11 21:27:50,2025-04-22 14:56:51.894000,2022-01-04 22:33:07,622.0,123.0,66.0,515.0,40.0,24,True,https://github.com/embotech/ecos/wiki,35.0,65.0,95.0,2024-06-18 03:47:45.000,2.0.14,24.0,,ecos,conda-forge/ecos,,786118.0,49.0,,https://pypi.org/project/ecos,2024-06-18 03:47:45.000,49.0,766722.0,https://anaconda.org/conda-forge/ecos,2025-04-22 14:56:51.894,1105622.0,3.0,,,,,,,
