,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,dockerhub_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,projectrank_placing,github_release_downloads,dockerhub_stars,new_addition,trending
14,PYPOWER,steady-state,['python'],,rwl/PYPOWER,rwl.github.io/PYPOWER/api/,BSD,Port of MATPOWER to Python.,https://github.com/rwl/PYPOWER,2009-05-22 12:14:47,2022-06-24 05:19:46.000000,2022-06-24 05:19:46,342.0,,88.0,26.0,40.0,11.0,246.0,18.0,19,False,24.0,PYPOWER,pypower,hwanghust/pypower,http://rwl.github.io/PYPOWER/index.html,2021-03-22 22:06:27,5.1.15,13.0,70.0,70.0,https://pypi.org/project/PYPOWER,2492.0,2492.0,https://anaconda.org/anaconda/pypower,https://hub.docker.com/r/hwanghust/pypower,2019-05-19 07:28:05.197725,16.0,3.0,,,,
15,LTB andes,dynamic,"['python', 'jupyter', 'ltb', 'curent']",,cuihantao/andes,https://github.com/cuihantao/andes,GPL-3,Transient Stability Simulator with Hybrid Symbolic-Numeric Framework; Part of CURENT LTB.,https://github.com/cuihantao/andes,2016-11-07 01:04:50,2022-11-29 07:57:01.000000,2022-11-18 02:25:26,4273.0,48.0,60.0,13.0,238.0,40.0,134.0,16.0,19,True,4.0,andes,andes,cuihantao/andes,https://docs.andes.app/en/stable/,2022-03-27 17:07:13,1.6.2,18.0,6.0,6.0,https://pypi.org/project/andes,289.0,290.0,https://anaconda.org/anaconda/andes,https://hub.docker.com/r/cuihantao/andes,2020-12-10 15:50:41.614180,110.0,1.0,,,,
16,PowerModels.jl,steady-state,['julia'],,lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54,2022-08-21 23:21:44.000000,2022-08-21 23:04:57,939.0,,112.0,23.0,403.0,347.0,294.0,25.0,17,False,96.0,,,,https://lanl-ansi.github.io/PowerModels.jl/stable/,2022-07-13 19:13:12,0.19.6,68.0,,,,,,,,,,3.0,,,True,
17,PowerSimulationsDynamics.jl,dynamic,['julia'],,NREL-SIIP/PowerSimulationsDynamics.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Dynamic Power System simulations; Part of the SIIP at NREL.,https://github.com/NREL-SIIP/PowerSimulationsDynamics.jl,2020-07-16 19:36:16,2022-11-29 17:48:49.000000,2022-11-29 07:21:51,2237.0,18.0,24.0,11.0,172.0,75.0,100.0,10.0,17,True,35.0,,,,https://nrel-siip.github.io/PowerSimulationsDynamics.jl/stable/,2022-10-06 03:22:23,0.10.7,29.0,,,,,,,,,,2.0,,,True,
18,GridPath,steady-state,['python'],,blue-marble/gridpath,https://www.gridpath.io/,Apache-2,Power system planning and operations.,https://github.com/blue-marble/gridpath,2016-08-12 18:13:28,2022-11-22 11:19:36.000000,2022-06-21 21:56:13,1317.0,,25.0,9.0,663.0,236.0,63.0,7.0,17,True,62.0,,,,https://gridpath.readthedocs.io/en/latest/?badge=latest,2022-06-21 21:59:32,0.14.1,21.0,,,,,12.0,,,,,3.0,377.0,,,
19,EGRET,steady-state,['python'],,grid-parity-exchange/Egret,https://github.com/grid-parity-exchange/Egret,BSD,Tools for Power Systems Optimization Modeling.,https://github.com/grid-parity-exchange/Egret,2019-01-28 18:41:03,2022-11-02 15:32:12.000000,2022-11-02 15:32:12,1028.0,14.0,42.0,15.0,216.0,37.0,96.0,38.0,15,False,42.0,,,,,2022-02-28 20:44:04,0.5.2,3.0,2.0,2.0,,,,,,,,3.0,,,True,
20,PowerSystems,dynamic,,,modelica-3rdparty/PowerSystems,https://github.com/modelica-3rdparty/PowerSystems,https://modelica.org/licenses/ModelicaLicense2/,Modelica 3rd party library for electrical power systems.,https://github.com/modelica-3rdparty/PowerSystems,2013-04-19 08:46:45,2022-11-01 12:59:23.000000,2022-06-19 16:27:27,186.0,,33.0,31.0,17.0,25.0,47.0,10.0,14,False,9.0,,,,https://build.openmodelica.org/Documentation/PowerSystems.html,2018-11-12 21:15:19,1.0.0,5.0,,,,,,,,,,2.0,,,,
21,PowerGraphics,vis,['julia'],,nrel-siip/powergraphics.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Visualization Program for PowerSimulations; Part of the SIIP at NREL.,https://github.com/NREL-SIIP/PowerGraphics.jl,2020-02-19 23:29:27,2022-11-17 04:51:46.000000,2022-11-17 04:46:49,515.0,4.0,8.0,8.0,74.0,20.0,19.0,9.0,12,True,9.0,,,,https://nrel-siip.github.io/PowerSimulationsDynamics.jl/stable/,2022-08-27 12:40:34,0.12.1,32.0,,,,,,,,,,1.0,,,,
22,STEPS,dynamic,,,changgang/steps,https://github.com/changgang/steps,MIT,Balanced large-scale AC-DC hybrid power system analysis.,https://github.com/changgang/steps,2019-08-24 12:09:47,2022-09-26 10:45:08.000000,2022-04-13 13:08:17,532.0,,11.0,2.0,,1.0,26.0,3.0,9,True,,,,,https://github.com/changgang/steps/wiki/,2020-09-27 10:38:25,1.4,4.0,5.0,5.0,,,0.0,,,,,3.0,8.0,,,
23,OpenHybridSim,dynamic,,,OpenHybridSim/OpenHybridSim-code,https://github.com/OpenHybridSim/OpenHybridSim-code,BSD-3,Power system Electromagnetic Transient-Transient Stability hybrid simulation.,https://github.com/OpenHybridSim/OpenHybridSim-code,2015-01-17 03:59:14,2020-05-05 20:35:13.000000,2020-05-05 20:35:12,16.0,,5.0,5.0,,,7.0,,6,False,1.0,,,,,,,,,,,,,,,,,3.0,,,,
24,andes_gym,mrl,"['python', 'curent']",,cuihantao/andes_gym,https://github.com/cuihantao/andes_gym,GPL-3,ANDES RL Environment for OpenAI Gym.,https://github.com/cuihantao/andes_gym,2020-04-19 18:18:34,2022-01-28 19:53:49.000000,2022-01-28 19:53:49,31.0,,3.0,2.0,1.0,,7.0,2.0,6,True,,andes,andes,,,,,,,,https://pypi.org/project/andes,289.0,289.0,https://anaconda.org/anaconda/andes,,,,3.0,,,,
25,LTB DiME,msg,"['ltb', 'curent']",,CURENT/dime,https://github.com/CURENT/dime,GPL-3.0,Distributed Messaging Environment for LTB; Part of CURENT LTB.,https://github.com/CURENT/dime,2022-04-06 15:10:35,2022-11-23 01:43:10.000000,2022-11-23 01:43:10,263.0,6.0,1.0,,2.0,,1.0,3.0,6,True,,,,,https://ltbdime.readthedocs.io/en/latest/,,,,,,,,,,,,,1.0,,,,
26,LTB AGVis,vis,"['ltb', 'curent']",,CURENT/agvis,https://github.com/CURENT/agvis,GPL-3.0,Geographical Visualization of Power Grid; Part of CURENT LTB.,https://github.com/CURENT/agvis,2019-08-30 19:15:27,2022-11-30 18:10:01.000000,2022-11-30 18:09:51,312.0,9.0,4.0,1.0,17.0,,1.0,7.0,6,True,,,,,https://agvis.readthedocs.io/en/latest/,,,,,,,,,,,,,3.0,,,,-1.0
27,Large-scale Testbed (LTB),escosim,"['python', 'ltb', 'curent']",,CURENT/ltb2,https://github.com/CURENT/ltb2,GPL-3.0,CURENT Large-scale Testbed.,https://github.com/CURENT/ltb2,2022-04-17 02:37:34,2022-11-30 18:18:37.000000,2022-11-30 18:10:41,35.0,8.0,1.0,,,,2.0,3.0,5,True,3.0,,,,,,,,,,,,,,,,,3.0,,,,
28,TSAT,dynamic,,,,https://www.dsatools.com,https://www.dsatools.com/dsatools-software-license-agreement/,Electromechanical Time-domain Simulation; Part of DSA Tools.,,,,,,,,,,,,,2,False,,,,,https://www.dsatools.com/tsat/,,,,,,,,,,,,,3.0,,,True,
29,VSAT,steady-state,,,,https://www.dsatools.com,https://www.dsatools.com/dsatools-software-license-agreement/,Voltage Security Assessment using powerflow-based steady-state methods; Part of DSA Tools.,,,,,,,,,,,,,2,False,,,,,https://www.dsatools.com/vsat/,,,,,,,,,,,,,3.0,,,True,
30,PSAT,steady-state,,,,https://www.dsatools.com,https://www.dsatools.com/dsatools-software-license-agreement/,Powerflow Analysis; Part of DSA Tools.,,,,,,,,,,,,,2,False,,,,,https://www.dsatools.com/psat/,,,,,,,,,,,,,3.0,,,True,
