,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id
17,Tutorial on DER Hosting Capacity Part 2,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,BSD-3.0,Time-Series Analysis and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,2022-12-01 03:15:41,2025-03-25 01:02:03.000,2025-03-25 01:02:01,40.0,1.0,,2.0,6.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Tutorial on DER Hosting Capacity Part 3,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,BSD-3.0,Volt-Watt Control and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,2023-05-29 06:17:07,2025-03-31 02:33:02.000,2025-03-31 02:32:56,19.0,,,1.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Tutorial on DER Hosting Capacity Part 4,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,BSD-3.0,Monte Carlo Assessment of PV Hosting Capacity of an Integrated MV-LV Network.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,2023-05-29 23:51:23,2024-12-09 03:42:30.000,2024-12-09 03:42:26,27.0,2.0,,2.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,LTB Demo,book,"['jupyter', 'python', 'university']",True,CURENT/demo,MIT,Ready-to-use LTB usage examples.,https://github.com/CURENT/demo,https://ltb.curent.org,2023-03-28 15:37:01,2025-06-30 17:03:18.000,2025-06-30 17:03:16,218.0,1.0,1.0,2.0,3.0,0,True,,1.0,,,,,,108.0,,,,,,,,,,,,,,,,,,,,,
21,OR-Tools,ops,"['gha', 'python', 'cpp', 'java', 'for-profit']",,google/or-tools,Apache-2,Google Optimization Tools.,https://github.com/google/or-tools,https://developers.google.com/optimization/,2015-02-21 01:25:35,2025-07-24 16:39:22.000,2025-06-17 14:25:08,15256.0,2230.0,71.0,12262.0,192.0,40,True,https://developers.google.com/optimization/introduction,309.0,525.0,3041.0,2025-06-19 15:45:38.000,9.14.6206,82.0,167.0,ortools,conda-forge/ortools-python,939341.0,2169262.0,660.0,348.0,https://pypi.org/project/ortools,2025-06-19 15:45:38.000,312.0,2158622.0,https://anaconda.org/conda-forge/ortools-python,2025-04-22 14:58:03.564,120640.0,1.0,-1.0,,,,,,
22,Pyomo,opl,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'lab']",,Pyomo/pyomo,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,https://www.pyomo.org,2016-05-27 19:33:45,2025-07-24 16:20:33.000,2025-07-24 16:20:33,27649.0,531.0,314.0,2237.0,178.0,40,True,https://pyomo.readthedocs.io/en/stable/,61.0,2226.0,1136.0,2025-04-16 18:50:07.000,6.9.2,70.0,562.0,Pyomo,conda-forge/pyomo,4816.0,646432.0,4831.0,4548.0,https://pypi.org/project/Pyomo,2025-02-21 15:30:59.000,283.0,621009.0,https://anaconda.org/conda-forge/pyomo,2025-04-22 14:56:22.654,1543683.0,1.0,,,,,,,
23,CVXPY,opl,"['gha', 'pypi', 'conda', 'python', 'university']",,cvxpy/cvxpy,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58,2025-07-22 15:59:57.000,2025-07-22 15:59:57,3661.0,1113.0,265.0,5850.0,219.0,39,True,http://www.cvxpy.org/,128.0,1156.0,1297.0,2025-07-18 21:44:46.000,1.7.1,140.0,34.0,cvxpy,conda-forge/cvxpy,621.0,2085667.0,18760.0,18054.0,https://pypi.org/project/cvxpy,2025-07-18 21:44:46.000,706.0,2057303.0,https://anaconda.org/conda-forge/cvxpy,2025-07-19 07:23:39.289,1729681.0,2.0,,,,,,,
24,Xopt,ops,"['gha', 'python', 'pypi', 'conda', 'lab']",,google/or-tools,MPL-2.0,Flexible high-level optimization in Python.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-07-24 16:39:22.000,2025-06-17 14:25:08,15256.0,2230.0,71.0,12262.0,192.0,38,True,https://xopt.xopt.org/index.html,309.0,525.0,3041.0,2025-07-03 20:39:16.000,2.6.4,51.0,167.0,xopt,conda-forge/xopt,939341.0,9740.0,351.0,348.0,https://pypi.org/project/xopt,2025-07-03 20:39:16.000,3.0,678.0,https://anaconda.org/conda-forge/xopt,2025-07-04 01:35:40.611,56243.0,1.0,-1.0,,,,,,
25,Tulip,ops,"['gha', 'julia', 'university']",,google/or-tools,MPL-2.0,Interior-point solver in pure Julia.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-07-24 16:39:22.000,2025-06-17 14:25:08,15256.0,2230.0,71.0,12262.0,192.0,36,True,https://ds4dm.github.io/Tulip.jl/stable/,309.0,525.0,3041.0,2025-06-19 09:17:59.000,9.14,51.0,167.0,,,939341.0,7960.0,348.0,348.0,,,,,,,,2.0,-1.0,,,,,,
26,HiGHS,ops,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'c', 'julia', 'rust', 'r', 'cpp', 'university']",,ERGO-Code/HiGHS,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,https://highs.dev/,2018-03-27 13:57:58,2025-07-23 07:25:37.000,2025-07-17 10:03:49,11998.0,233.0,113.0,1244.0,91.0,36,True,https://ergo-code.github.io/HiGHS/,37.0,1392.0,804.0,2025-06-06 00:45:35.000,1.11.0,19.0,195.0,highspy,conda-forge/highs,7218.0,355964.0,1875.0,1796.0,https://pypi.org/project/highspy,2025-06-06 00:45:35.000,79.0,354590.0,https://anaconda.org/conda-forge/highs,2025-06-06 11:17:14.240,28984.0,2.0,,,,,,,
27,pandapower,steady-state,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'university']",,e2nIEE/pandapower,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,https://www.pandapower.org/,2017-01-12 13:27:53,2025-07-24 15:55:27.000,2025-07-24 14:02:56,10212.0,508.0,200.0,1003.0,160.0,35,True,https://pandapower.readthedocs.io/en/latest/,51.0,1473.0,879.0,2025-06-16 14:01:20.000,3.1.2,52.0,245.0,pandapower,conda-forge/pandapower,,64166.0,569.0,501.0,https://pypi.org/project/pandapower,2025-06-16 14:01:20.000,68.0,63666.0,https://anaconda.org/conda-forge/pandapower,2025-06-16 20:52:02.983,29448.0,1.0,,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,106.0,,
28,PyPSA,steady-state,"['gha', 'pypi', 'conda', 'python', 'jupyter', 'university']",,PyPSA/PyPSA,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,https://pypsa.org,2016-01-11 09:04:18,2025-07-24 16:48:05.000,2025-07-24 16:48:05,2998.0,527.0,107.0,1597.0,100.0,32,True,https://pypsa.readthedocs.io/en/latest/,72.0,853.0,324.0,2025-07-03 14:36:53.000,0.35.1,72.0,45.0,pypsa,conda-forge/pypsa,,12409.0,328.0,299.0,https://pypi.org/project/pypsa,2025-07-03 14:36:53.000,29.0,9895.0,https://anaconda.org/conda-forge/pypsa,2025-07-04 06:57:40.245,150844.0,1.0,,,,,,,
29,OSQP,ops,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r', 'university']",,osqp/osqp,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,https://osqp.org,2016-09-27 03:02:46,2025-07-11 17:12:44.000,2025-06-06 17:41:59,2973.0,368.0,101.0,1911.0,36.0,31,True,https://osqp.org/docs/get_started/,42.0,299.0,277.0,2025-04-02 14:38:01.000,1.0.3,43.0,7.0,osqp,conda-forge/osqp,121660.0,2214206.0,110.0,,https://pypi.org/project/osqp,2025-05-08 15:15:55.000,110.0,2190205.0,https://anaconda.org/conda-forge/osqp,2025-04-22 14:56:51.918,1229760.0,2.0,,,,,,,
30,PySCIPOpt,ops,"['gha', 'pypi', 'conda', 'python', 'lab']",,scipopt/PySCIPOpt,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,https://www.scipopt.org/,2016-05-19 14:29:21,2025-07-24 18:11:13.000,2025-07-21 12:01:29,2144.0,266.0,27.0,902.0,83.0,31,True,https://scipopt.github.io/PySCIPOpt/docs/html/,26.0,452.0,553.0,2025-05-10 10:42:24.000,5.5.0,70.0,18.0,PySCIPOpt,conda-forge/pyscipopt,,129271.0,436.0,380.0,https://pypi.org/project/PySCIPOpt,2025-05-10 09:04:05.000,56.0,119142.0,https://anaconda.org/conda-forge/pyscipopt,2025-05-10 23:39:21.924,536856.0,2.0,,,,,,,
31,Power Grid Model,steady-state,"['gha', 'pypi', 'conda', 'python', 'c', 'jupyter', 'non-profit']",,PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2025-07-24 13:59:15.000,2025-07-22 07:52:22,8439.0,39.0,91.0,174.0,26.0,30,True,https://power-grid-model.readthedocs.io/en/stable/,5.0,806.0,155.0,2025-07-22 08:47:47.000,1.11.29,647.0,383.0,power-grid-model,conda-forge/power-grid-model,753.0,189356.0,40.0,32.0,https://pypi.org/project/power-grid-model,2025-07-22 08:47:47.000,8.0,50892.0,https://anaconda.org/conda-forge/power-grid-model,2025-07-22 12:34:30.774,3596816.0,1.0,,,,,,,
32,CVXOPT,opl,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'university']",,cvxopt/cvxopt,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,https://cvxopt.org/,2013-02-22 22:14:31,2025-06-16 18:58:35.000,2025-06-16 18:58:35,60.0,211.0,46.0,1018.0,10.0,27,True,http://cvxopt.org/userguide/,39.0,72.0,150.0,2023-08-09 14:30:49.000,1.3.2,17.0,2.0,cvxopt,conda-forge/cvxopt,,638556.0,14921.0,14496.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,425.0,612261.0,https://anaconda.org/conda-forge/cvxopt,2025-04-22 14:56:23.779,1498818.0,2.0,,,,,,,
33,OpenModelica,cosime,"['modelica', 'python', 'university']",,OpenModelica/OpenModelica,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,https://openmodelica.org,2015-05-03 16:59:29,2025-07-23 11:41:36.000,2025-07-23 11:41:36,37537.0,317.0,2075.0,1013.0,196.0,27,True,https://openmodelica.org/useresresources/userdocumentation,54.0,5386.0,6239.0,2025-06-15 20:43:46.000,1.25.1,29.0,118.0,,,388.0,438.0,,,,,,,,,,1.0,,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2025-07-05 16:15:38.018819,53072.0,6.0,
34,SCS,ops,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'r', 'c', 'university']",,cvxgrp/scs,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,https://github.com/cvxgrp/scs,2013-11-29 23:11:16,2025-07-08 11:30:22.000,2025-07-08 11:30:14,1275.0,138.0,47.0,580.0,32.0,27,True,https://www.cvxgrp.org/scs/,35.0,130.0,144.0,2024-08-24 15:40:59.000,3.2.7,44.0,5.0,scs,conda-forge/scs,,1783483.0,56.0,,https://pypi.org/project/scs,2025-01-04 17:00:19.000,56.0,1758294.0,https://anaconda.org/conda-forge/scs,2025-04-22 14:56:51.952,1410617.0,2.0,,,,,,,
35,Clarabel.rs,ops,"['gha', 'pypi', 'conda', 'python', 'rust', 'university']",,oxfordcontrol/Clarabel.rs,Apache-2.0,Interior-point solver for convex conic optimisation in Rust.,https://github.com/oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34,2025-06-12 09:01:09.682,2025-06-11 16:32:36,628.0,35.0,12.0,452.0,11.0,27,True,https://oxfordcontrol.github.io/ClarabelDocs/stable/,12.0,137.0,47.0,2025-06-11 16:48:58.000,0.11.1,18.0,51.0,clarabel,conda-forge/clarabel,,1643408.0,85.0,42.0,https://pypi.org/project/clarabel,2025-06-11 16:48:58.000,43.0,1632262.0,https://anaconda.org/conda-forge/clarabel,2025-06-12 09:01:09.682,234073.0,2.0,,,,,,,
36,Ipopt,ops,"['pypi', 'conda', 'python', 'non-profit']",,coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,https://www.coin-or.org/,2019-01-28 12:24:22,2025-07-23 09:26:03.000,2025-07-23 09:26:01,2413.0,292.0,8.0,1595.0,36.0,26,True,https://coin-or.github.io/Ipopt/,46.0,38.0,607.0,2024-12-14 15:03:46.000,releases/3.14.17,32.0,6.0,ipopt,conda-forge/ipopt,22276.0,32313.0,10.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,930.0,https://anaconda.org/conda-forge/ipopt,2025-04-23 15:02:30.167,1768720.0,3.0,1.0,,,,,,
37,precice,cosime,"['gha', 'c', 'pypi', 'conda', 'university']",,precice/precice,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,https://precice.org/,2015-05-22 14:05:22,2025-07-24 13:03:44.000,2025-07-24 13:03:44,5481.0,193.0,202.0,819.0,59.0,26,True,https://precice.org/docs.html,36.0,1403.0,726.0,2025-06-18 13:07:35.000,3.2.1,34.0,61.0,pyprecice,conda-forge/pyprecice,36111.0,4609.0,8.0,,https://pypi.org/project/pyprecice,2025-06-18 13:07:35.000,8.0,1276.0,https://anaconda.org/conda-forge/pyprecice,2025-06-18 18:27:09.400,119216.0,3.0,,precice/precice,https://hub.docker.com/r/precice/precice,2025-07-23 04:00:54.423545,28421.0,,
38,GridCal,steady-state,"['gha', 'pypi', 'python', 'volunteer']",,SanPen/GridCal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,https://www.eroots.tech/software,2016-01-13 15:40:10,2025-07-24 16:10:28.000,2025-07-17 09:50:39,7424.0,106.0,37.0,458.0,53.0,26,True,https://gridcal.readthedocs.io/en/latest/?badge=latest,33.0,151.0,237.0,2025-06-11 11:03:48.000,5.3.53,421.0,135.0,GridCal,,49.0,1279.0,10.0,10.0,https://pypi.org/project/GridCal,2025-06-11 11:03:48.000,,1279.0,,,,1.0,,,,,,,
39,JuMP,opl,"['gha', 'jupyter', 'julia', 'non-profit']",,jump-dev/JuMP.jl,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,https://jump.dev,2012-10-10 00:34:45,2025-07-22 14:06:37.000,2025-07-20 21:17:26,5081.0,403.0,12.0,2329.0,164.0,25,True,https://jump.dev/JuMP.jl/stable/,82.0,2462.0,1498.0,2025-07-18 22:36:41.000,1.27.0,84.0,29.0,,,,,,,,,,,,,,3.0,,,,,,,
40,MATPOWER,steady-state,"['gha', 'octave', 'university']",,MATPOWER/matpower,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,https://matpower.org/,2016-12-16 19:12:30,2025-07-18 14:32:36.000,2025-07-13 01:43:56,2649.0,161.0,23.0,485.0,22.0,25,True,https://matpower.org/doc/,29.0,53.0,203.0,2025-07-13 02:31:28.000,8.1,6.0,80.0,,,594473.0,7458.0,,,,,,,,,,1.0,,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2025-07-13 05:17:12.418879,2921.0,,
41,Grid2Op,mrl,"['gha', 'pypi', 'jupyter', 'python', 'for-profit']",,rte-france/Grid2Op,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/Grid2op/grid2op,https://l2rpn.chalearn.org/,2019-10-10 17:04:46,2025-07-24 18:24:04.000,2025-07-24 14:51:10,3434.0,132.0,58.0,359.0,32.0,25,True,https://grid2op.readthedocs.io/en/latest/,20.0,321.0,321.0,2025-07-24 18:24:04.000,1.12.0,92.0,40.0,Grid2Op,,,2078.0,23.0,,https://pypi.org/project/Grid2Op,2025-07-24 18:24:04.000,23.0,1931.0,,,,1.0,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,10207.0,1.0,Grid2op/grid2op
42,GridStatus,data,"['gha', 'pypi', 'python', 'for-profit']",,kmax12/gridstatus,BSD-3,Extract data from ISOs and other sources.,https://github.com/gridstatus/gridstatus,https://www.gridstatus.io,2022-07-28 19:24:20,2025-07-21 20:41:51.000,2025-07-21 20:41:49,644.0,66.0,40.0,349.0,32.0,25,True,https://docs.gridstatus.io/en/latest/,11.0,526.0,80.0,2025-04-22 19:32:11.000,0.30.1,32.0,59.0,gridstatus,services/gridstatus,,32408.0,26.0,24.0,https://pypi.org/project/gridstatus,2025-04-22 19:32:11.000,2.0,32406.0,https://anaconda.org/services/gridstatus,2025-03-25 16:20:32.129,28.0,1.0,,,,,,,gridstatus/gridstatus
43,pandapipes,gasnet,"['gha', 'pypi', 'jupyter', 'python', 'university']",,e2nIEE/pandapipes,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,https://www.pandapipes.org/,2020-02-03 15:04:57,2025-07-17 14:02:37.000,2025-07-17 14:02:36,2245.0,71.0,86.0,179.0,28.0,25,True,https://jkpandapipes.readthedocs.io/en/latest/,12.0,532.0,87.0,2025-06-27 16:34:37.000,0.12.0,22.0,82.0,pandapipes,,,5476.0,42.0,32.0,https://pypi.org/project/pandapipes,2025-06-27 16:34:37.000,10.0,5476.0,,,,1.0,,,,,,,
44,ECOS,ops,"['python', 'julia', 'c', 'octave', 'r', 'university']",,embotech/ecos,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,https://github.com/embotech/ecos,2013-02-11 21:27:50,2025-04-22 14:56:51.894,2022-01-04 22:33:07,622.0,123.0,66.0,511.0,40.0,24,True,https://github.com/embotech/ecos/wiki,35.0,65.0,95.0,2024-06-18 03:47:45.000,2.0.14,24.0,,ecos,conda-forge/ecos,,636159.0,49.0,,https://pypi.org/project/ecos,2024-06-18 03:47:45.000,49.0,616741.0,https://anaconda.org/conda-forge/ecos,2025-04-22 14:56:51.894,1087454.0,3.0,,,,,,,
