,name,category,resource,github_id,homepage,docs_url,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,recent_commit_count,labels,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,new_addition
10,HiGHS,ops,,ERGO-Code/HiGHS,https://highs.dev/,https://ergo-code.github.io/HiGHS/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58.000,2024-03-13 22:54:20.000000,2024-03-07 12:34:01,9430.0,145.0,30.0,991.0,84.0,523.0,764.0,2024-03-07 10:57:49.000,1.7.0,12.0,63.0,31,True,481.0,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'c']",highspy,conda-forge/highs,,45523.0,79.0,69.0,https://pypi.org/project/highspy,2024-03-10 14:09:04.000,10.0,45165.0,https://anaconda.org/conda-forge/highs,2023-09-29 08:09:20.148,2865.0,1.0,,,,,,,
11,pandapower,steady-state,,e2nIEE/pandapower,https://www.pandapower.org/,https://pandapower.readthedocs.io/en/latest/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53.000,2024-03-14 14:14:37.000000,2024-03-11 11:57:39,8215.0,436.0,46.0,1206.0,172.0,730.0,741.0,2023-05-12 15:49:00.911,2.13.1,37.0,126.0,31,True,52.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",pandapower,conda-forge/pandapower,,17485.0,350.0,320.0,https://pypi.org/project/pandapower,2023-01-02 22:02:35.562,30.0,17179.0,https://anaconda.org/conda-forge/pandapower,2023-06-16 19:21:29.945,13120.0,1.0,,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,90.0,,
12,PySCIPOpt,ops,,scipopt/PySCIPOpt,https://www.scipopt.org/,https://scipopt.github.io/PySCIPOpt/docs/html/,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,2016-05-19 14:29:21.000,2024-03-14 17:03:24.000000,2024-03-12 11:40:34,1895.0,247.0,26.0,326.0,24.0,465.0,733.0,2024-03-05 13:50:53.000,5.0.0,61.0,69.0,30,True,70.0,"['gha', 'pypi', 'conda', 'python']",PySCIPOpt,conda-forge/pyscipopt,,16228.0,170.0,156.0,https://pypi.org/project/PySCIPOpt,2024-03-05 13:50:53.000,14.0,10480.0,https://anaconda.org/conda-forge/pyscipopt,2024-03-08 09:32:14.445,212681.0,2.0,,,,,,,
13,PyPSA,steady-state,,PyPSA/PyPSA,https://pypsa.org,https://pypsa.readthedocs.io/en/latest/,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18.000,2024-03-14 09:53:29.000000,2024-03-14 09:53:28,2508.0,411.0,72.0,522.0,92.0,231.0,1057.0,2024-02-18 11:19:23.000,0.27.0,52.0,69.0,29,True,89.0,"['gha', 'pypi', 'conda', 'python', 'jupyter']",pypsa,conda-forge/pypsa,,7358.0,190.0,165.0,https://pypi.org/project/pypsa,2024-02-18 11:19:23.000,25.0,5954.0,https://anaconda.org/conda-forge/pypsa,2024-02-18 19:35:56.265,61816.0,1.0,,,,,,,
14,OpenModelica,cosime,,OpenModelica/OpenModelica,https://openmodelica.org,https://openmodelica.org/useresresources/userdocumentation,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29.000,2024-03-14 13:23:05.426692,2024-03-14 11:08:08,36589.0,279.0,53.0,4326.0,1801.0,5729.0,712.0,2024-03-11 07:57:23.000,1.22.3,20.0,188.0,27,True,178.0,['modelica'],,,358.0,351.0,,,,,,,,,,1.0,,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2024-03-14 13:23:05.426692,36917.0,6.0,
15,SCS,ops,,cvxgrp/scs,https://github.com/cvxgrp/scs,https://www.cvxgrp.org/scs/,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,2013-11-29 23:11:16.000,2024-03-11 07:50:50.000000,2024-03-11 07:50:12,1241.0,131.0,36.0,90.0,35.0,136.0,517.0,2023-11-08 15:47:59.000,3.2.4,38.0,27.0,27,True,2.0,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'r', 'c']",scs,conda-forge/scs,,1011711.0,78.0,,https://pypi.org/project/scs,2023-11-22 12:02:04.000,78.0,992341.0,https://anaconda.org/conda-forge/scs,2024-02-08 10:53:08.793,774802.0,2.0,,,,,,,
16,JuMP,opl,,jump-dev/JuMP.jl,https://jump.dev,https://jump.dev/JuMP.jl/stable/,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45.000,2024-03-14 04:54:11.000000,2024-03-13 19:47:06,4868.0,384.0,84.0,2232.0,86.0,1419.0,2113.0,2024-02-15 19:33:54.000,1.20.0,68.0,151.0,26,True,50.0,"['gha', 'jupyter', 'julia']",,,,,,,,,,,,,,2.0,,,,,,,
17,Ipopt,ops,,coin-or/Ipopt,https://github.com/coin-or/Ipopt,https://coin-or.github.io/Ipopt/,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2014-12-28 02:03:06.000,2024-01-25 22:51:52.000000,2024-01-18 03:56:59,2352.0,254.0,43.0,26.0,6.0,565.0,1249.0,2024-01-18 03:59:26.000,releases/3.14.14,29.0,30.0,26,True,3.0,"['pypi', 'conda', 'python']",ipopt,conda-forge/ipopt,11266.0,26951.0,7.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,7.0,1626.0,https://anaconda.org/conda-forge/ipopt,2024-01-19 20:27:56.030,1028560.0,2.0,,,,,,,
18,ECOS,ops,,embotech/ecos,https://github.com/embotech/ecos,https://github.com/embotech/ecos/wiki,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,2013-02-11 21:27:50.000,2024-02-07 08:57:15.979000,2022-01-04 22:33:07,622.0,121.0,35.0,65.0,64.0,95.0,438.0,2024-02-07 00:03:53.000,2.0.13,23.0,39.0,26,True,,"['python', 'julia', 'c', 'octave', 'r']",ecos,conda-forge/ecos,,1001171.0,85.0,,https://pypi.org/project/ecos,2024-02-07 00:03:53.000,85.0,983647.0,https://anaconda.org/conda-forge/ecos,2024-02-07 08:57:15.979,700963.0,2.0,,,,,,,
19,Grid2Op,mrl,,rte-france/Grid2Op,https://l2rpn.chalearn.org/,https://grid2op.readthedocs.io/en/latest/,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,2019-10-10 17:04:46.000,2024-03-12 12:22:25.000000,2024-03-07 09:51:04,2932.0,107.0,17.0,247.0,43.0,289.0,255.0,2024-03-07 10:34:54.000,1.10.0,77.0,31.0,26,True,88.0,"['gha', 'pypi', 'jupyter', 'python']",Grid2Op,,,2056.0,11.0,,https://pypi.org/project/Grid2Op,2024-03-07 10:34:54.000,11.0,1873.0,,,,1.0,,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,9730.0,1.0,
20,CVXOPT,opl,,cvxopt/cvxopt,https://cvxopt.org/,http://cvxopt.org/userguide/,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,2013-02-22 22:14:31.000,2023-10-25 15:45:10.000000,2023-08-09 09:16:40,55.0,198.0,38.0,65.0,37.0,147.0,941.0,2023-08-09 14:30:49.000,1.3.2,17.0,8.0,25,True,,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia']",cvxopt,conda-forge/cvxopt,,395853.0,9983.0,9297.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,686.0,373456.0,https://anaconda.org/conda-forge/cvxopt,2023-09-23 18:21:52.093,918298.0,3.0,,,,,,,
21,precice,cosime,,precice/precice,https://precice.org/,https://precice.org/docs.html,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,2015-05-22 14:05:22.000,2024-03-14 12:09:06.000000,2024-03-11 05:51:30,5067.0,165.0,37.0,1161.0,202.0,620.0,655.0,2024-02-01 11:18:03.000,3.0.0,27.0,56.0,25,True,111.0,"['gha', 'c']",pyprecice,conda-forge/pyprecice,23704.0,1395.0,1.0,,https://pypi.org/project/pyprecice,2024-02-06 12:45:48.000,1.0,322.0,https://anaconda.org/conda-forge/pyprecice,2024-02-07 12:18:39.110,17275.0,3.0,,precice/precice,https://hub.docker.com/r/precice/precice,2024-03-14 03:13:41.743401,15571.0,,
22,GridCal,steady-state,,SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,https://gridcal.readthedocs.io/en/latest/?badge=latest,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,2016-01-13 15:40:10.000,2024-03-14 16:45:53.000000,2024-03-11 19:39:22,4379.0,85.0,33.0,108.0,76.0,85.0,373.0,2024-03-11 19:39:11.000,5.0.13,281.0,42.0,25,True,994.0,"['gha', 'pypi', 'python']",GridCal,,33.0,253.0,7.0,7.0,https://pypi.org/project/GridCal,2024-03-11 19:39:11.000,,253.0,,,,1.0,1.0,,,,,,
23,Power Grid Model,steady-state,,PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,https://power-grid-model.readthedocs.io/en/stable/,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31.000,2024-03-14 15:55:08.000000,2024-03-13 23:42:44,4462.0,22.0,5.0,400.0,54.0,75.0,115.0,2024-03-13 17:51:41.000,1.7.14,352.0,21.0,25,True,583.0,"['gha', 'pypi', 'conda', 'python', 'c']",power-grid-model,conda-forge/power-grid-model,479.0,54729.0,5.0,4.0,https://pypi.org/project/power-grid-model,2024-03-13 17:51:12.000,1.0,41762.0,https://anaconda.org/conda-forge/power-grid-model,2024-03-13 19:40:28.524,128992.0,1.0,,,,,,,
24,Clarabel.rs,ops,,oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,https://oxfordcontrol.github.io/ClarabelDocs/stable/,Apache-2.0,Interior-point solver for convex conic optimisation in Rust.,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34.000,2024-03-14 17:12:49.000000,2024-03-05 20:46:46,354.0,16.0,9.0,72.0,8.0,13.0,237.0,2024-03-01 23:17:00.000,0.7.1,12.0,6.0,24,True,43.0,"['gha', 'pypi', 'conda', 'python', 'rust']",clarabel,conda-forge/clarabel,,685391.0,16.0,5.0,https://pypi.org/project/clarabel,2024-03-01 23:17:00.000,11.0,680101.0,https://anaconda.org/conda-forge/clarabel,2024-03-02 16:55:59.106,26453.0,3.0,,,,,,,
25,Atlite,data,,PyPSA/atlite,https://pypsa.org,https://atlite.readthedocs.io/en/master/?badge=master,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,2016-11-03 23:59:25.000,2024-02-21 06:45:55.000000,2024-02-15 19:35:05,715.0,73.0,14.0,232.0,26.0,85.0,230.0,2023-10-25 10:29:04.000,0.2.12,16.0,28.0,24,True,13.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",atlite,conda-forge/atlite,,4494.0,51.0,51.0,https://pypi.org/project/atlite,2023-10-25 07:26:07.000,,3570.0,https://anaconda.org/conda-forge/atlite,2023-10-25 10:06:22.403,41581.0,1.0,,,,,,,
26,LTB ANDES,phasor,,CURENT/andes,https://ltb.curent.org/,https://docs.andes.app/en/latest/,GPL-3,Transient Stability Simulator; CURENT LTB.,https://github.com/CURENT/andes,2016-11-07 01:04:50.000,2024-03-10 19:18:54.000000,2024-02-24 04:39:43,4448.0,95.0,16.0,269.0,6.0,49.0,194.0,2024-02-04 23:06:46.000,1.9.1,112.0,21.0,24,True,13.0,"['gha', 'azure', 'pypi', 'conda', 'jupyter', 'python']",andes,conda-forge/andes,,12053.0,17.0,15.0,https://pypi.org/project/andes,2024-02-04 23:06:46.000,2.0,2872.0,https://anaconda.org/conda-forge/andes,2024-02-05 23:32:00.036,422292.0,1.0,,cuihantao/andes,https://hub.docker.com/r/cuihantao/andes,2020-12-10 15:50:41.614180,119.0,,
27,HELICS,msg,,GMLC-TDC/HELICS,https://helics.org/tools/,https://docs.helics.org/en/latest/,BSD-3,Co-simulation framework.,https://github.com/GMLC-TDC/HELICS,2017-06-01 17:03:19.000,2024-03-13 13:54:19.000000,2024-02-07 04:54:12,3483.0,38.0,13.0,1950.0,77.0,562.0,111.0,2024-03-12 16:21:16.000,3.5.0,101.0,38.0,24,True,35.0,"['gha', 'pypi', 'conda', 'python', 'julia', 'octave', 'java', 'c']",helics,conda-forge/helics,21027.0,9886.0,6.0,,https://pypi.org/project/helics,2024-03-12 16:21:16.000,6.0,9300.0,https://anaconda.org/conda-forge/helics,2023-06-16 16:09:19.777,20269.0,1.0,,,,,,,
28,CBC,ops,,coin-or/Cbc,https://github.com/coin-or/Cbc,https://coin-or.github.io/Cbc/Doxygen/,EPL-2.0,COIN-OR Branch-and-Cut solver.,https://github.com/coin-or/Cbc,2016-05-16 16:52:52.581,2024-03-04 16:06:58.000000,2024-03-04 16:06:44,2466.0,100.0,39.0,58.0,128.0,346.0,720.0,2023-10-25 18:18:31.000,releases/2.10.11,12.0,29.0,23,True,5.0,"['gha', 'conda', 'python', 'julia', 'c']",,conda-forge/coincbc,19232.0,10285.0,,,,,,,https://anaconda.org/conda-forge/coincbc,2023-06-16 13:17:24.974,935677.0,3.0,,,,,,,
29,MATPOWER,steady-state,,MATPOWER/matpower,https://matpower.org/,https://matpower.org/doc/,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,2016-12-16 19:12:30.000,2024-03-02 00:48:30.000000,2024-02-27 21:05:44,2439.0,151.0,29.0,42.0,35.0,149.0,373.0,2020-10-08 23:57:49.000,7.1,4.0,16.0,23,True,58.0,"['gha', 'octave']",,,451398.0,7066.0,,,,,,,,,,2.0,1.0,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2024-02-06 00:08:19.881110,1152.0,,
30,PowSyBl Core,steady-state,,powsybl/powsybl-core,https://www.powsybl.org,https://www.javadoc.io/doc/com.powsybl/powsybl-core/latest/,MPL-2.0,Framework to build power system software.,https://github.com/powsybl/powsybl-core,2017-09-29 14:51:18.000,2024-03-14 16:27:03.000000,2024-03-14 15:20:14,3112.0,35.0,21.0,2433.0,234.0,310.0,117.0,2024-03-06 08:12:27.000,6.2.3,93.0,104.0,23,True,84.0,"['gha', 'java']",,,95.0,1.0,75.0,75.0,,,,,,,,2.0,,,,,,,
31,pandapipes,gasnet,,e2nIEE/pandapipes,https://www.pandapipes.org/,https://jkpandapipes.readthedocs.io/en/latest/,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,2020-02-03 15:04:57.000,2024-03-12 15:48:44.000000,2023-12-22 08:55:40,1754.0,49.0,10.0,432.0,51.0,77.0,117.0,2023-12-22 10:36:39.000,0.9.0,16.0,20.0,23,True,47.0,"['gha', 'pypi', 'jupyter', 'python']",pandapipes,,,1930.0,20.0,18.0,https://pypi.org/project/pandapipes,2023-12-22 10:37:47.000,2.0,1930.0,,,,1.0,,,,,,,
32,AMPLPY,ops,,ampl/amplpy,https://ampl.com/,https://amplpy.readthedocs.io/en/latest/,BSD-3,Python API for AMPL.,https://github.com/ampl/amplpy,2017-06-27 00:22:07.000,2024-02-27 11:38:35.000000,2024-02-27 11:38:28,665.0,19.0,14.0,6.0,2.0,45.0,61.0,2024-02-20 21:44:15.000,0.13.3,166.0,8.0,23,True,43.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",amplpy,conda-forge/amplpy,,26646.0,66.0,63.0,https://pypi.org/project/amplpy,2024-02-20 21:44:15.000,3.0,21944.0,https://anaconda.org/conda-forge/amplpy,2024-02-21 11:55:21.068,202208.0,3.0,,,,,,,
33,PyPSA-Eur,steady-state,,PyPSA/pypsa-eur,https://pypsa.org,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,MIT,Sector-Coupled Optimisation Model of the European Energy System.,https://github.com/PyPSA/pypsa-eur,2017-10-11 23:54:41.000,2024-03-14 18:24:47.000000,2024-03-11 08:06:08,4119.0,183.0,15.0,587.0,139.0,246.0,269.0,2024-02-19 16:27:19.000,0.10.0,14.0,62.0,22,True,667.0,"['gha', 'python']",,,,0.0,,,,,,,,,,2.0,,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,2022-04-11 21:54:31.539284,37.0,,
34,PowerSimulations.jl,steady-state,,NREL-Sienna/PowerSimulations.jl,https://www.nrel.gov/analysis/sienna.html,https://nrel-sienna.github.io/PowerSimulations.jl/latest,BSD-3,Power Systems optimization simulation and modeling; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulations.jl,2017-11-03 21:11:22.000,2024-03-14 15:35:54.000000,2024-03-06 15:08:04,8439.0,50.0,18.0,776.0,36.0,262.0,258.0,2024-03-06 15:33:29.000,0.27.5,100.0,35.0,22,True,137.0,"['gha', 'julia']",,,,,,,,,,,,,,2.0,,,,,,,
35,powerplantmatching,data,,PyPSA/powerplantmatching,https://pypsa.org,https://atlite.readthedocs.io/en/master/?badge=master,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,2016-08-15 16:36:25.000,2024-03-10 14:39:04.000000,2024-02-15 19:35:25,874.0,48.0,20.0,77.0,25.0,55.0,136.0,2024-02-07 10:37:08.000,0.5.11,21.0,22.0,22,True,24.0,"['gha', 'pypi', 'conda', 'python']",powerplantmatching,conda-forge/powerplantmatching,52.0,1516.0,41.0,41.0,https://pypi.org/project/powerplantmatching,2024-02-07 10:36:12.000,,737.0,https://anaconda.org/conda-forge/powerplantmatching,2024-02-07 12:48:22.356,30419.0,2.0,,,,,,,
36,Dynaωo,phasor,,dynawo/dynawo,http://dynawo.org,https://dynawo.github.io/docs/,MPL-2.0,C++/Modelica simulation tools for power systems.,https://github.com/dynawo/dynawo,2019-01-29 13:29:35.000,2024-03-14 14:36:14.000000,2024-03-14 13:28:10,2176.0,21.0,9.0,1837.0,100.0,1239.0,62.0,2023-10-05 07:46:05.000,1.5.0,16.0,50.0,22,True,30.0,['gha'],,,14936.0,240.0,,,,,,,,,,1.0,1.0,,,,,,
37,GridStatus,data,,kmax12/gridstatus,https://www.gridstatus.io,https://docs.gridstatus.io/en/latest/,BSD-3,Extract data from ISOs and other sources.,https://github.com/kmax12/gridstatus,2022-07-28 19:24:20.000,2024-03-14 00:10:45.000000,2024-03-10 15:48:34,355.0,36.0,6.0,254.0,66.0,57.0,236.0,2024-03-04 18:21:13.000,0.27.0,27.0,19.0,21,True,39.0,"['gha', 'pypi', 'python']",gridstatus,,,4942.0,8.0,7.0,https://pypi.org/project/gridstatus,2024-03-04 18:21:13.000,1.0,4942.0,,,,3.0,,,,,,,
38,OpenDSSDirect.py,intf,,dss-extensions/OpenDSSDirect.py,https://dss-extensions.org/,https://dss-extensions.org/OpenDSSDirect.py/,MIT,A direct library interface to OpenDSS.,https://github.com/dss-extensions/OpenDSSDirect.py,2017-06-20 19:18:22.000,2024-03-11 03:42:10.000000,2024-03-11 03:41:53,446.0,20.0,14.0,31.0,14.0,86.0,80.0,2023-06-28 03:33:01.000,0.8.4,43.0,3.0,20,True,27.0,"['gha', 'pypi', 'python', 'jupyter']",OpenDSSDirect.py,,,3767.0,61.0,45.0,https://pypi.org/project/OpenDSSDirect.py,2021-03-11 01:53:34.000,16.0,3767.0,,,,1.0,,,,,,,
39,PyPowSyBl,steady-state,,powsybl/pypowsybl,https://www.powsybl.org,https://pypowsybl.readthedocs.io/en/latest/,MPL-2.0,A PowSyBl and Python integration.,https://github.com/powsybl/pypowsybl,2020-11-09 10:30:33.000,2024-03-13 08:44:25.000000,2024-03-12 10:26:59,535.0,8.0,19.0,555.0,46.0,130.0,45.0,2024-03-07 11:15:04.000,1.3.1,32.0,21.0,20,True,35.0,"['gha', 'pypi', 'python', 'java', 'jupyter']",pypowsybl,,,3476.0,3.0,,https://pypi.org/project/pypowsybl,2024-03-07 11:15:04.000,3.0,3476.0,,,,2.0,,,,,,,
40,PowerModels.jl,steady-state,,lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,https://lanl-ansi.github.io/PowerModels.jl/stable/,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54.000,2024-01-26 07:56:17.000000,2024-01-19 18:39:57,977.0,136.0,26.0,431.0,87.0,389.0,363.0,2024-01-19 19:26:02.000,0.21.0,75.0,29.0,19,True,17.0,"['gha', 'julia']",,,,,,,,,,,,,,2.0,,,,,,,
41,PYPOWER,steady-state,,rwl/PYPOWER,rwl.github.io/PYPOWER/api/,http://rwl.github.io/PYPOWER/index.html,BSD,Port of MATPOWER to Python.,https://github.com/rwl/PYPOWER,2009-05-22 12:14:47.000,2023-07-06 21:40:30.000000,2023-03-29 15:07:00,351.0,110.0,25.0,44.0,30.0,11.0,303.0,2023-03-29 15:17:01.097,5.1.16,17.0,20.0,19,True,,"['gha', 'pypi', 'conda', 'python']",PYPOWER,invenia/pypower,,4228.0,122.0,100.0,https://pypi.org/project/PYPOWER,2023-03-29 15:17:01.097,22.0,4189.0,https://anaconda.org/invenia/pypower,2023-06-16 13:21:19.108,3146.0,2.0,,hwanghust/pypower,https://hub.docker.com/r/hwanghust/pypower,2019-05-19 07:28:05.197725,17.0,,
