,name,category,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,labels,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,trending,updated_github_id
10,A new power system benchmark,data,True,lbl-hub/CSEE-Benchmark,,A new type of power system calculation example by the China EPRI.,https://github.com/lbl-hub/CSEE-Benchmark,https://github.com/lbl-hub/CSEE-Benchmark,2023-12-18 09:09:08,2024-02-21 11:00:25.000000,2024-02-21 11:00:25,151.0,4.0,,26.0,,0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,pmuBAGE,data,True,NanpengYu/pmuBAGE,,Synthetic phasor measurement unit dataset.,https://github.com/NanpengYu/pmuBAGE,https://github.com/NanpengYu/pmuBAGE,2022-03-18 05:10:00,2022-04-07 00:15:41.000000,2022-04-07 00:15:41,18.0,1.0,1.0,8.0,2.0,0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PowerCyber Training,book,True,PowerCyberTraining/powercybertraining.github.io,CC BY-NC-ND 4.0,PowerCyber Training modules source.,https://github.com/PowerCyberTraining/powercybertraining.github.io,https://powercybertraining.github.io,2024-02-16 22:06:15,2025-04-24 17:13:00.000000,2025-04-24 17:13:00,216.0,2.0,,3.0,8.0,0,True,,1.0,21.0,1.0,,,,118.0,"['jupyter', 'gha']",,,,,,,,,,,,,,,,,,,,,
13,TextbookSimulations,book,True,Power-Systems-Textbook/TextbookSimulations,CC0-1.0,Examples and problems accompanying Daniel Kirschens Power Systems Textbook.,https://github.com/Power-Systems-Textbook/TextbookSimulations,https://github.com/Power-Systems-Textbook/TextbookSimulations,2022-10-12 19:10:15,2023-11-08 22:54:41.000000,2023-11-08 22:54:34,56.0,3.0,,11.0,2.0,0,True,,,4.0,,,,,,"['julia', 'jupyter']",,,,,,,,,,,,,,,,,,,,,
14,UTK ECE 522 - Power System Analysis II,book,True,CURENT/ece522,MIT,Hands-on Project for Power System Analysis II (UTK ECE 522).,https://github.com/CURENT/ece522,https://github.com/CURENT/ece522,2023-01-18 03:35:44,2025-02-01 19:05:43.000000,2025-02-01 19:05:41,14.0,1.0,,5.0,4.0,0,True,,2.0,1.0,,,,,1.0,"['python', 'jupyter']",,,,,,,,,,,,,,,,,,,,,
15,ELEC0447 Analysis of Electric Power and Energy Systems,book,True,bcornelusse/ELEC0447-analysis-power-systems,BSD-2.0,Masters course of power systems analysis at ULige.,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,2020-06-17 14:45:34,2024-11-28 10:42:50.000000,2024-11-28 10:42:45,268.0,7.0,1.0,22.0,6.0,0,True,,3.0,1.0,,,,,,"['python', 'jupyter']",,,,,,,,,,,,,,,,,,,,,
16,Tutorial on DER Hosting Capacity Part 0,book,True,Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,BSD-3.0,Using dss_python.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,2022-11-30 04:16:00,2024-12-09 04:10:44.000000,2024-12-09 04:10:38,45.0,4.0,,5.0,5.0,0,True,,,,,,,,,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,
17,Tutorial on DER Hosting Capacity Part 1,book,True,Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,BSD-3.0,Advanced Tools for the Analysis of Three-Phase Unbalanced LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,2023-03-09 03:28:07,2025-03-25 01:08:53.000000,2025-03-25 01:08:48,33.0,3.0,,3.0,5.0,0,True,,,,,,,,1.0,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,
18,Tutorial on DER Hosting Capacity Part 2,book,True,Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,BSD-3.0,Time-Series Analysis and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,2022-12-01 03:15:41,2025-03-25 01:02:03.000000,2025-03-25 01:02:01,40.0,1.0,,2.0,6.0,0,True,,,,,,,,1.0,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,
19,Tutorial on DER Hosting Capacity Part 3,book,True,Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,BSD-3.0,Volt-Watt Control and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,2023-05-29 06:17:07,2025-03-31 02:33:02.000000,2025-03-31 02:32:56,19.0,,,1.0,4.0,0,True,,,,,,,,1.0,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,
20,Tutorial on DER Hosting Capacity Part 4,book,True,Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,BSD-3.0,Monte Carlo Assessment of PV Hosting Capacity of an Integrated MV-LV Network.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,2023-05-29 23:51:23,2024-12-09 03:42:30.000000,2024-12-09 03:42:26,27.0,2.0,,2.0,5.0,0,True,,,,,,,,,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,
21,Pyomo,opl,,Pyomo/pyomo,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,https://www.pyomo.org,2016-05-27 19:33:45,2025-04-22 14:56:22.654000,2025-04-16 20:05:46,26925.0,531.0,314.0,2172.0,169.0,40,True,https://pyomo.readthedocs.io/en/stable/,62.0,2162.0,1115.0,2025-04-16 18:50:07.000,6.9.2,70.0,653.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",Pyomo,conda-forge/pyomo,4281.0,533747.0,4001.0,3718.0,https://pypi.org/project/Pyomo,2025-02-21 15:30:59.000,283.0,508777.0,https://anaconda.org/conda-forge/pyomo,2025-04-22 14:56:22.654,1441789.0,1.0,,,,,,,
22,OR-Tools,ops,,google/or-tools,Apache-2,Google Optimization Tools.,https://github.com/google/or-tools,https://developers.google.com/optimization/,2015-02-21 01:25:35,2025-04-23 20:18:26.000000,2025-02-17 11:32:53,13600.0,2179.0,66.0,11875.0,182.0,39,True,https://developers.google.com/optimization/introduction,309.0,497.0,2992.0,2025-02-17 10:02:38.000,9.12,80.0,54.0,"['gha', 'python', 'c', 'java']",ortools,conda-forge/ortools-python,894386.0,1846110.0,604.0,320.0,https://pypi.org/project/ortools,2025-02-17 09:52:42.000,284.0,1835747.0,https://anaconda.org/conda-forge/ortools-python,2025-04-22 14:58:03.564,108644.0,1.0,,,,,,,
23,Xopt,ops,,google/or-tools,MPL-2.0,Flexible high-level optimization in Python.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-04-23 20:18:26.000000,2025-02-17 11:32:53,13600.0,2179.0,66.0,11875.0,182.0,38,True,https://xopt.xopt.org/index.html,309.0,497.0,2992.0,2025-04-10 12:34:30.000,2.6.1,49.0,54.0,"['gha', 'python', 'pypi', 'conda']",xopt,conda-forge/xopt,894386.0,10440.0,323.0,320.0,https://pypi.org/project/xopt,2025-04-10 12:34:30.000,3.0,1657.0,https://anaconda.org/conda-forge/xopt,2025-04-22 14:57:19.753,48328.0,1.0,,,,,,,
24,CVXPY,opl,,cvxpy/cvxpy,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58,2025-04-22 14:56:52.267000,2025-04-15 15:40:00,3627.0,1091.0,256.0,5726.0,213.0,38,True,http://www.cvxpy.org/,128.0,1102.0,1287.0,2025-04-13 02:43:50.000,1.6.5,136.0,42.0,"['gha', 'pypi', 'conda', 'python']",cvxpy,conda-forge/cvxpy,591.0,1960020.0,17210.0,16564.0,https://pypi.org/project/cvxpy,2025-04-13 02:43:50.000,646.0,1931920.0,https://anaconda.org/conda-forge/cvxpy,2025-04-22 14:56:52.267,1629324.0,2.0,,,,,,,
25,Tulip,ops,,google/or-tools,MPL-2.0,Interior-point solver in pure Julia.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-04-23 20:18:26.000000,2025-02-17 11:32:53,13600.0,2179.0,66.0,11875.0,182.0,36,True,https://ds4dm.github.io/Tulip.jl/stable/,309.0,497.0,2992.0,2025-02-17 10:02:38.000,9.12,49.0,54.0,"['gha', 'julia']",,,894386.0,7777.0,320.0,320.0,,,,,,,,2.0,,,,,,,
26,HiGHS,ops,,ERGO-Code/HiGHS,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,https://highs.dev/,2018-03-27 13:57:58,2025-04-24 16:02:08.000000,2025-03-20 15:12:03,11290.0,206.0,110.0,1131.0,84.0,36,True,https://ergo-code.github.io/HiGHS/,36.0,1302.0,745.0,2025-03-20 15:53:23.000,1.10.0,18.0,323.0,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'c']",highspy,conda-forge/highs,1794.0,244317.0,1166.0,1099.0,https://pypi.org/project/highspy,2025-03-20 15:53:23.000,67.0,243123.0,https://anaconda.org/conda-forge/highs,2025-04-22 14:58:43.376,24166.0,2.0,,,,,,,
27,OSQP,ops,,osqp/osqp,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,https://osqp.org,2016-09-27 03:02:46,2025-04-22 14:56:51.918000,2025-04-09 14:38:29,2966.0,359.0,99.0,1846.0,36.0,33,True,https://osqp.org/docs/get_started/,41.0,295.0,276.0,2025-04-01 23:13:45.000,1.0.2,42.0,44.0,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r']",osqp,conda-forge/osqp,111129.0,2345823.0,99.0,,https://pypi.org/project/osqp,2025-04-02 14:38:01.000,99.0,2321863.0,https://anaconda.org/conda-forge/osqp,2025-04-22 14:56:51.918,1162997.0,2.0,,,,,,,
28,pandapower,steady-state,,e2nIEE/pandapower,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,https://www.pandapower.org/,2017-01-12 13:27:53,2025-04-23 10:42:06.000000,2025-04-17 07:49:26,9867.0,499.0,212.0,963.0,152.0,33,True,https://pandapower.readthedocs.io/en/latest/,52.0,1419.0,865.0,2025-03-06 13:55:15.000,3.0.0,50.0,173.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",pandapower,conda-forge/pandapower,,52841.0,533.0,471.0,https://pypi.org/project/pandapower,2025-03-06 13:53:50.000,62.0,52382.0,https://anaconda.org/conda-forge/pandapower,2025-04-22 14:57:35.014,25694.0,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,104.0,,,
29,PyPSA,steady-state,,PyPSA/PyPSA,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,https://pypsa.org,2016-01-11 09:04:18,2025-04-24 12:49:40.000000,2025-04-22 11:55:14,2952.0,506.0,109.0,1488.0,97.0,32,True,https://pypsa.readthedocs.io/en/latest/,71.0,805.0,312.0,2025-04-07 06:19:53.000,0.34.1,70.0,73.0,"['gha', 'pypi', 'conda', 'python', 'jupyter']",pypsa,conda-forge/pypsa,,18765.0,299.0,272.0,https://pypi.org/project/pypsa,2025-04-07 06:19:53.000,27.0,16523.0,https://anaconda.org/conda-forge/pypsa,2025-04-22 14:57:05.764,127845.0,1.0,,,,,,,
30,PySCIPOpt,ops,,scipopt/PySCIPOpt,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,https://www.scipopt.org/,2016-05-19 14:29:21,2025-04-22 18:03:25.000000,2025-04-22 17:47:30,2126.0,258.0,23.0,869.0,78.0,31,True,https://scipopt.github.io/PySCIPOpt/docs/html/,26.0,422.0,532.0,2025-02-25 17:24:26.000,5.4.1,69.0,31.0,"['gha', 'pypi', 'conda', 'python']",PySCIPOpt,conda-forge/pyscipopt,,79779.0,393.0,346.0,https://pypi.org/project/PySCIPOpt,2025-02-25 17:24:26.000,47.0,70124.0,https://anaconda.org/conda-forge/pyscipopt,2025-04-22 14:57:46.317,482777.0,2.0,,,,,,,
31,CVXOPT,opl,,cvxopt/cvxopt,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,https://cvxopt.org/,2013-02-22 22:14:31,2025-04-22 14:56:23.779000,2024-10-23 07:22:17,58.0,208.0,40.0,1014.0,9.0,28,True,http://cvxopt.org/userguide/,39.0,70.0,150.0,2023-08-09 14:30:49.000,1.3.2,17.0,,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia']",cvxopt,conda-forge/cvxopt,,610184.0,13948.0,13562.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,386.0,584652.0,https://anaconda.org/conda-forge/cvxopt,2025-04-22 14:56:23.779,1378754.0,2.0,,,,,,,
32,Power Grid Model,steady-state,,PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2025-04-24 14:14:28.000000,2025-04-23 15:25:57,7968.0,35.0,74.0,166.0,25.0,28,True,https://power-grid-model.readthedocs.io/en/stable/,5.0,745.0,147.0,2025-04-23 17:46:15.000,1.10.91,606.0,737.0,"['gha', 'pypi', 'conda', 'python', 'c']",power-grid-model,conda-forge/power-grid-model,664.0,246020.0,33.0,27.0,https://pypi.org/project/power-grid-model,2025-04-23 17:46:15.000,6.0,103131.0,https://anaconda.org/conda-forge/power-grid-model,2025-04-23 21:26:55.428,3283926.0,1.0,,,,,,,
33,Ipopt,ops,,coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,https://www.coin-or.org/,2019-01-28 12:24:22,2025-04-23 15:02:30.167000,2025-04-15 11:29:30,2407.0,285.0,13.0,1544.0,35.0,27,True,https://coin-or.github.io/Ipopt/,45.0,36.0,602.0,2024-12-14 15:03:46.000,releases/3.14.17,32.0,8.0,"['pypi', 'conda', 'python']",ipopt,conda-forge/ipopt,20309.0,31933.0,10.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,1598.0,https://anaconda.org/conda-forge/ipopt,2025-04-23 15:02:30.167,1619886.0,2.0,,,,,,,
34,OpenModelica,cosime,,OpenModelica/OpenModelica,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,https://openmodelica.org,2015-05-03 16:59:29,2025-04-24 14:09:12.000000,2025-04-24 14:09:12,37416.0,314.0,2034.0,958.0,195.0,27,True,https://openmodelica.org/useresresources/userdocumentation,54.0,5242.0,6181.0,2025-03-21 21:34:40.000,1.25.0,28.0,189.0,['modelica'],,,388.0,405.0,,,,,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2025-04-04 21:07:17.080584,47956.0,6.0,-1.0,
35,SCS,ops,,cvxgrp/scs,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,https://github.com/cvxgrp/scs,2013-11-29 23:11:16,2025-04-22 14:56:51.952000,2025-04-15 12:21:10,1270.0,138.0,47.0,570.0,29.0,27,True,https://www.cvxgrp.org/scs/,34.0,125.0,142.0,2024-08-24 15:40:59.000,3.2.7,44.0,4.0,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'r', 'c']",scs,conda-forge/scs,,1713006.0,56.0,,https://pypi.org/project/scs,2025-01-04 17:00:19.000,56.0,1688075.0,https://anaconda.org/conda-forge/scs,2025-04-22 14:56:51.952,1321366.0,2.0,,,,,,,
36,GridCal,steady-state,,SanPen/GridCal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,2016-01-13 15:40:10,2025-04-24 15:19:52.000000,2025-04-18 19:07:53,7254.0,102.0,32.0,448.0,53.0,27,True,https://gridcal.readthedocs.io/en/latest/?badge=latest,32.0,147.0,209.0,2025-04-21 19:26:00.000,5.3.37,405.0,389.0,"['gha', 'pypi', 'python']",GridCal,,49.0,6371.0,10.0,10.0,https://pypi.org/project/GridCal,2025-04-21 19:26:00.000,,6371.0,,,,1.0,,,,,,-1.0,
37,Clarabel.rs,ops,,oxfordcontrol/Clarabel.rs,Apache-2.0,Interior-point solver for convex conic optimisation in Rust.,https://github.com/oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34,2025-04-22 21:06:44.000000,2025-03-07 17:59:19,567.0,32.0,16.0,424.0,11.0,27,True,https://oxfordcontrol.github.io/ClarabelDocs/stable/,13.0,118.0,44.0,2025-02-02 20:54:40.000,0.10.0,16.0,64.0,"['gha', 'pypi', 'conda', 'python', 'rust']",clarabel,conda-forge/clarabel,,1451819.0,63.0,32.0,https://pypi.org/project/clarabel,2025-02-02 20:54:40.000,31.0,1441069.0,https://anaconda.org/conda-forge/clarabel,2025-04-22 14:58:49.180,193509.0,2.0,,,,,,,
38,precice,cosime,,precice/precice,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,https://precice.org/,2015-05-22 14:05:22,2025-04-24 03:36:46.691382,2025-04-16 13:12:31,5420.0,189.0,202.0,791.0,57.0,26,True,https://precice.org/docs.html,38.0,1374.0,705.0,2025-04-02 13:04:58.000,3.2.0,33.0,150.0,"['gha', 'c']",pyprecice,conda-forge/pyprecice,34171.0,4967.0,8.0,,https://pypi.org/project/pyprecice,2025-04-02 13:04:58.000,8.0,1807.0,https://anaconda.org/conda-forge/pyprecice,2025-04-22 14:58:05.392,104713.0,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2025-04-24 03:36:46.691382,26679.0,,,
39,Grid2Op,mrl,,rte-france/Grid2Op,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/Grid2op/grid2op,https://l2rpn.chalearn.org/,2019-10-10 17:04:46,2025-04-15 14:20:31.000000,2025-04-15 06:39:32,3394.0,126.0,61.0,337.0,32.0,26,True,https://grid2op.readthedocs.io/en/latest/,20.0,315.0,313.0,2025-04-15 12:59:54.000,1.11.0,91.0,109.0,"['gha', 'pypi', 'jupyter', 'python']",Grid2Op,,,3691.0,23.0,,https://pypi.org/project/Grid2Op,2025-04-15 12:59:54.000,23.0,3537.0,,,,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,10167.0,1.0,,Grid2op/grid2op
40,JuMP,opl,,jump-dev/JuMP.jl,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,https://jump.dev,2012-10-10 00:34:45,2025-04-18 23:24:26.000000,2025-04-18 22:32:29,5052.0,403.0,12.0,2296.0,162.0,25,True,https://jump.dev/JuMP.jl/stable/,82.0,2429.0,1483.0,2025-03-26 21:50:38.000,1.25.0,82.0,42.0,"['gha', 'jupyter', 'julia']",,,,,,,,,,,,,,3.0,,,,,,,
41,ECOS,ops,,embotech/ecos,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,https://github.com/embotech/ecos,2013-02-11 21:27:50,2025-04-22 14:56:51.894000,2022-01-04 22:33:07,622.0,123.0,66.0,499.0,40.0,25,True,https://github.com/embotech/ecos/wiki,35.0,65.0,95.0,2024-06-18 03:47:45.000,2.0.14,24.0,,"['python', 'julia', 'c', 'octave', 'r']",ecos,conda-forge/ecos,,738425.0,49.0,,https://pypi.org/project/ecos,2024-06-18 03:47:45.000,49.0,718773.0,https://anaconda.org/conda-forge/ecos,2025-04-22 14:56:51.894,1041602.0,3.0,,,,,,,
42,GridStatus,data,,kmax12/gridstatus,BSD-3,Extract data from ISOs and other sources.,https://github.com/gridstatus/gridstatus,https://www.gridstatus.io,2022-07-28 19:24:20,2025-04-24 17:08:25.000000,2025-04-24 15:47:46,582.0,62.0,45.0,325.0,32.0,25,True,https://docs.gridstatus.io/en/latest/,9.0,465.0,74.0,2025-04-22 19:32:11.000,0.30.1,32.0,51.0,"['gha', 'pypi', 'python']",gridstatus,,,19259.0,22.0,20.0,https://pypi.org/project/gridstatus,2025-04-22 19:32:11.000,2.0,19259.0,,,,1.0,,,,,,,gridstatus/gridstatus
43,powerplantmatching,data,,PyPSA/powerplantmatching,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,https://pypsa.org,2016-08-15 16:36:25,2025-04-23 10:05:54.000000,2025-04-23 10:05:53,989.0,64.0,20.0,181.0,34.0,25,True,https://atlite.readthedocs.io/en/master/?badge=master,21.0,142.0,74.0,2025-02-01 11:01:49.000,0.7.1,33.0,15.0,"['gha', 'pypi', 'conda', 'python']",powerplantmatching,conda-forge/powerplantmatching,87.0,3334.0,76.0,76.0,https://pypi.org/project/powerplantmatching,2025-02-01 11:01:49.000,,2050.0,https://anaconda.org/conda-forge/powerplantmatching,2025-04-22 14:57:16.346,66753.0,1.0,,,,,,1.0,
44,pandapipes,gasnet,,e2nIEE/pandapipes,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,https://www.pandapipes.org/,2020-02-03 15:04:57,2025-04-17 10:51:41.000000,2025-04-08 09:02:10,2156.0,66.0,78.0,174.0,25.0,24,True,https://jkpandapipes.readthedocs.io/en/latest/,11.0,504.0,87.0,2024-11-07 15:24:10.000,0.11.0,19.0,17.0,"['gha', 'pypi', 'jupyter', 'python']",pandapipes,,,6173.0,36.0,28.0,https://pypi.org/project/pandapipes,2024-12-04 13:21:51.000,8.0,6173.0,,,,1.0,,,,,,,
45,HELICS,msg,,GMLC-TDC/HELICS,BSD-3,Co-simulation framework.,https://github.com/GMLC-TDC/HELICS,https://helics.org/tools/,2017-06-01 17:03:19,2025-04-22 14:56:53.590000,2025-02-25 19:58:30,3572.0,42.0,94.0,134.0,39.0,24,True,https://docs.helics.org/en/latest/,15.0,2021.0,581.0,2025-02-28 08:41:58.000,3.6.1,106.0,9.0,"['gha', 'pypi', 'conda', 'python', 'julia', 'octave', 'java', 'c']",helics,conda-forge/helics,26988.0,19118.0,13.0,,https://pypi.org/project/helics,2025-02-28 08:41:58.000,13.0,18549.0,https://anaconda.org/conda-forge/helics,2025-04-22 14:56:53.590,20805.0,1.0,,,,,,,
