,name,category,resource,github_id,homepage,docs_url,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,recent_commit_count,labels,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,updated_github_id
13,PySCIPOpt,ops,,scipopt/PySCIPOpt,https://www.scipopt.org/,https://scipopt.github.io/PySCIPOpt/docs/html/,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,2016-05-19 14:29:21.000,2024-03-20 18:40:15.000,2024-03-20 17:09:28,1896.0,247.0,26.0,328.0,26.0,467.0,735.0,2024-03-05 13:50:53.000,5.0.0,61.0,68.0,30,True,68.0,"['gha', 'pypi', 'conda', 'python']",PySCIPOpt,conda-forge/pyscipopt,,17244.0,171.0,157.0,https://pypi.org/project/PySCIPOpt,2024-03-05 13:50:53.000,14.0,11483.0,https://anaconda.org/conda-forge/pyscipopt,2024-03-08 09:32:14.445,213193.0,2.0,,,,,,,
14,OpenModelica,cosime,,OpenModelica/OpenModelica,https://openmodelica.org,https://openmodelica.org/useresresources/userdocumentation,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29.000,2024-03-21 16:10:06.000,2024-03-21 16:10:05,36600.0,281.0,53.0,4338.0,1802.0,5735.0,717.0,2024-03-11 07:57:23.000,1.22.3,20.0,188.0,27,True,179.0,['modelica'],,,358.0,353.0,,,,,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2024-03-14 13:23:05.426692,37146.0,,6.0,
15,SCS,ops,,cvxgrp/scs,https://github.com/cvxgrp/scs,https://www.cvxgrp.org/scs/,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,2013-11-29 23:11:16.000,2024-03-11 07:50:50.000,2024-03-11 07:50:12,1241.0,131.0,36.0,90.0,35.0,136.0,517.0,2023-11-08 15:47:59.000,3.2.4,38.0,27.0,27,True,2.0,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'r', 'c']",scs,conda-forge/scs,,1017662.0,78.0,,https://pypi.org/project/scs,2023-11-22 12:02:04.000,78.0,998245.0,https://anaconda.org/conda-forge/scs,2024-02-08 10:53:08.793,776691.0,2.0,,,,,,,
16,JuMP,opl,,jump-dev/JuMP.jl,https://jump.dev,https://jump.dev/JuMP.jl/stable/,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45.000,2024-03-17 21:08:39.000,2024-03-17 20:30:27,4869.0,384.0,83.0,2232.0,86.0,1420.0,2119.0,2024-02-15 19:33:54.000,1.20.0,68.0,151.0,26,True,46.0,"['gha', 'jupyter', 'julia']",,,,,,,,,,,,,,2.0,,,,,,,
17,Ipopt,ops,,coin-or/Ipopt,https://github.com/coin-or/Ipopt,https://coin-or.github.io/Ipopt/,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2014-12-28 02:03:06.000,2024-01-25 22:51:52.000,2024-01-18 03:56:59,2352.0,255.0,43.0,26.0,7.0,565.0,1251.0,2024-01-18 03:59:26.000,releases/3.14.14,29.0,30.0,26,True,3.0,"['pypi', 'conda', 'python']",ipopt,conda-forge/ipopt,11380.0,27186.0,8.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,8.0,1789.0,https://anaconda.org/conda-forge/ipopt,2024-01-19 20:27:56.030,1031378.0,2.0,,,,,,,
18,CVXOPT,opl,,cvxopt/cvxopt,https://cvxopt.org/,http://cvxopt.org/userguide/,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,2013-02-22 22:14:31.000,2024-03-20 21:48:45.000,2023-08-09 09:16:40,55.0,199.0,38.0,66.0,37.0,147.0,943.0,2023-08-09 14:30:49.000,1.3.2,17.0,8.0,26,True,,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia']",cvxopt,conda-forge/cvxopt,,406869.0,10039.0,9353.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,686.0,384435.0,https://anaconda.org/conda-forge/cvxopt,2023-09-23 18:21:52.093,919822.0,2.0,,,,,1.0,,
19,ECOS,ops,,embotech/ecos,https://github.com/embotech/ecos,https://github.com/embotech/ecos/wiki,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,2013-02-11 21:27:50.000,2024-02-07 08:57:15.979,2022-01-04 22:33:07,622.0,121.0,35.0,65.0,64.0,95.0,439.0,2024-02-07 00:03:53.000,2.0.13,23.0,39.0,26,True,,"['python', 'julia', 'c', 'octave', 'r']",ecos,conda-forge/ecos,,1012424.0,85.0,,https://pypi.org/project/ecos,2024-02-07 00:03:53.000,85.0,994843.0,https://anaconda.org/conda-forge/ecos,2024-02-07 08:57:15.979,703277.0,2.0,,,,,,,
20,Grid2Op,mrl,,rte-france/Grid2Op,https://l2rpn.chalearn.org/,https://grid2op.readthedocs.io/en/latest/,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,2019-10-10 17:04:46.000,2024-03-18 11:16:45.000,2024-03-18 11:06:00,2947.0,107.0,17.0,250.0,36.0,297.0,257.0,2024-03-18 11:16:45.000,1.10.1,78.0,32.0,26,True,102.0,"['gha', 'pypi', 'jupyter', 'python']",Grid2Op,,,3259.0,11.0,,https://pypi.org/project/Grid2Op,2024-03-18 11:16:45.000,11.0,3076.0,,,,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,9730.0,,1.0,
21,precice,cosime,,precice/precice,https://precice.org/,https://precice.org/docs.html,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,2015-05-22 14:05:22.000,2024-03-21 17:00:18.000,2024-03-19 14:58:04,5069.0,166.0,38.0,1162.0,202.0,620.0,659.0,2024-02-01 11:18:03.000,3.0.0,27.0,56.0,25,True,110.0,"['gha', 'c']",pyprecice,conda-forge/pyprecice,23903.0,1459.0,1.0,,https://pypi.org/project/pyprecice,2024-02-06 12:45:48.000,1.0,374.0,https://anaconda.org/conda-forge/pyprecice,2024-02-07 12:18:39.110,17347.0,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2024-03-21 03:15:03.263999,16151.0,,,
22,GridCal,steady-state,,SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,https://gridcal.readthedocs.io/en/latest/?badge=latest,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,2016-01-13 15:40:10.000,2024-03-21 17:25:59.000,2024-03-17 12:28:11,4469.0,85.0,33.0,108.0,76.0,85.0,373.0,2024-03-17 12:29:31.000,5.0.18,286.0,42.0,25,True,1046.0,"['gha', 'pypi', 'python']",GridCal,,33.0,503.0,7.0,7.0,https://pypi.org/project/GridCal,2024-03-17 12:29:31.000,,503.0,,,,1.0,,,,,,,
23,Power Grid Model,steady-state,,PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,https://power-grid-model.readthedocs.io/en/stable/,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31.000,2024-03-21 16:08:05.000,2024-03-21 13:48:54,4535.0,23.0,5.0,409.0,52.0,79.0,115.0,2024-03-21 15:17:07.000,1.7.23,361.0,21.0,25,True,574.0,"['gha', 'pypi', 'conda', 'python', 'c']",power-grid-model,conda-forge/power-grid-model,420.0,55177.0,5.0,4.0,https://pypi.org/project/power-grid-model,2024-03-21 15:16:45.000,1.0,41995.0,https://anaconda.org/conda-forge/power-grid-model,2024-03-18 22:51:45.251,131125.0,1.0,,,,,,,
24,HELICS,msg,,GMLC-TDC/HELICS,https://helics.org/tools/,https://docs.helics.org/en/latest/,BSD-3,Co-simulation framework.,https://github.com/GMLC-TDC/HELICS,2017-06-01 17:03:19.000,2024-03-20 00:30:27.000,2024-03-19 23:40:29,3503.0,39.0,13.0,1958.0,77.0,562.0,112.0,2024-03-20 00:30:27.000,3.5.1,101.0,38.0,25,True,55.0,"['gha', 'pypi', 'conda', 'python', 'julia', 'octave', 'java', 'c']",helics,conda-forge/helics,21108.0,10639.0,6.0,,https://pypi.org/project/helics,2024-03-12 16:21:16.000,6.0,10052.0,https://anaconda.org/conda-forge/helics,2023-06-16 16:09:19.777,20269.0,1.0,,,,,1.0,,
25,Clarabel.rs,ops,,oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,https://oxfordcontrol.github.io/ClarabelDocs/stable/,Apache-2.0,Interior-point solver for convex conic optimisation in Rust.,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34.000,2024-03-14 17:12:49.000,2024-03-05 20:46:46,354.0,16.0,9.0,72.0,9.0,13.0,239.0,2024-03-01 23:17:00.000,0.7.1,12.0,6.0,24,True,43.0,"['gha', 'pypi', 'conda', 'python', 'rust']",clarabel,conda-forge/clarabel,,698825.0,16.0,5.0,https://pypi.org/project/clarabel,2024-03-01 23:17:00.000,11.0,693303.0,https://anaconda.org/conda-forge/clarabel,2024-03-02 16:55:59.106,27614.0,3.0,,,,,,,
26,Atlite,data,,PyPSA/atlite,https://pypsa.org,https://atlite.readthedocs.io/en/master/?badge=master,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,2016-11-03 23:59:25.000,2024-03-21 10:18:01.000,2024-02-15 19:35:05,715.0,77.0,14.0,234.0,27.0,85.0,231.0,2023-10-25 10:29:04.000,0.2.12,16.0,28.0,24,True,12.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",atlite,conda-forge/atlite,,4565.0,51.0,51.0,https://pypi.org/project/atlite,2023-10-25 07:26:07.000,,3640.0,https://anaconda.org/conda-forge/atlite,2023-10-25 10:06:22.403,41630.0,1.0,,,,,,,
27,LTB ANDES,phasor,,CURENT/andes,https://ltb.curent.org/,https://docs.andes.app/en/latest/,GPL-3,Transient Stability Simulator; CURENT LTB.,https://github.com/CURENT/andes,2016-11-07 01:04:50.000,2024-03-21 02:23:37.000,2024-02-24 04:39:43,4448.0,94.0,16.0,269.0,6.0,49.0,194.0,2024-02-04 23:06:46.000,1.9.1,112.0,21.0,24,True,13.0,"['gha', 'azure', 'pypi', 'conda', 'jupyter', 'python']",andes,conda-forge/andes,,11316.0,17.0,15.0,https://pypi.org/project/andes,2024-02-04 23:06:46.000,2.0,2126.0,https://anaconda.org/conda-forge/andes,2024-02-05 23:32:00.036,422716.0,1.0,cuihantao/andes,https://hub.docker.com/r/cuihantao/andes,2020-12-10 15:50:41.614180,119.0,,,
28,CBC,ops,,coin-or/Cbc,https://github.com/coin-or/Cbc,https://coin-or.github.io/Cbc/Doxygen/,EPL-2.0,COIN-OR Branch-and-Cut solver.,https://github.com/coin-or/Cbc,2016-05-16 16:52:52.581,2024-03-17 17:18:16.000,2024-03-17 17:18:15,2470.0,100.0,39.0,58.0,128.0,346.0,724.0,2023-10-25 18:18:31.000,releases/2.10.11,12.0,30.0,23,True,8.0,"['gha', 'conda', 'python', 'julia', 'c']",,conda-forge/coincbc,19519.0,10317.0,,,,,,,https://anaconda.org/conda-forge/coincbc,2023-06-16 13:17:24.974,938270.0,3.0,,,,,,,
29,MATPOWER,steady-state,,MATPOWER/matpower,https://matpower.org/,https://matpower.org/doc/,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,2016-12-16 19:12:30.000,2024-03-02 00:48:30.000,2024-02-27 21:05:44,2439.0,151.0,29.0,42.0,35.0,152.0,376.0,2020-10-08 23:57:49.000,7.1,4.0,16.0,23,True,48.0,"['gha', 'octave']",,,453698.0,7102.0,,,,,,,,,,2.0,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2024-02-06 00:08:19.881110,1152.0,,,
30,PowSyBl Core,steady-state,,powsybl/powsybl-core,https://www.powsybl.org,https://www.javadoc.io/doc/com.powsybl/powsybl-core/latest/,MPL-2.0,Framework to build power system software.,https://github.com/powsybl/powsybl-core,2017-09-29 14:51:18.000,2024-03-21 17:28:15.000,2024-03-21 15:36:20,3124.0,36.0,21.0,2447.0,234.0,312.0,117.0,2024-03-06 08:12:27.000,6.2.3,94.0,106.0,23,True,94.0,"['gha', 'java']",,,95.0,1.0,76.0,76.0,,,,,,,,2.0,,,,,,,
31,PyPSA-Eur,steady-state,,PyPSA/pypsa-eur,https://pypsa.org,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,MIT,Sector-Coupled Optimisation Model of the European Energy System.,https://github.com/PyPSA/pypsa-eur,2017-10-11 23:54:41.000,2024-03-21 11:38:38.000,2024-03-21 11:38:37,4343.0,189.0,16.0,602.0,165.0,249.0,272.0,2024-02-19 16:27:19.000,0.10.0,14.0,62.0,22,True,754.0,"['gha', 'python']",,,,0.0,,,,,,,,,,2.0,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,2022-04-11 21:54:31.539284,37.0,,,
32,PowerSimulations.jl,steady-state,,NREL-Sienna/PowerSimulations.jl,https://www.nrel.gov/analysis/sienna.html,https://nrel-sienna.github.io/PowerSimulations.jl/latest,BSD-3,Power Systems optimization simulation and modeling; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulations.jl,2017-11-03 21:11:22.000,2024-03-19 19:59:19.000,2024-03-18 22:51:27,8469.0,50.0,18.0,780.0,32.0,267.0,259.0,2024-03-18 23:12:28.000,0.27.7,100.0,36.0,22,True,162.0,"['gha', 'julia']",,,,,,,,,,,,,,2.0,,,,,,,
33,GridStatus,data,,kmax12/gridstatus,https://www.gridstatus.io,https://docs.gridstatus.io/en/latest/,BSD-3,Extract data from ISOs and other sources.,https://github.com/kmax12/gridstatus,2022-07-28 19:24:20.000,2024-03-20 14:37:26.000,2024-03-18 23:42:05,359.0,36.0,6.0,258.0,66.0,57.0,238.0,2024-03-04 18:21:13.000,0.27.0,27.0,20.0,22,True,43.0,"['gha', 'pypi', 'python']",gridstatus,,,4809.0,8.0,7.0,https://pypi.org/project/gridstatus,2024-03-04 18:21:13.000,1.0,4809.0,,,,2.0,,,,,1.0,,
34,powerplantmatching,data,,PyPSA/powerplantmatching,https://pypsa.org,https://atlite.readthedocs.io/en/master/?badge=master,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,2016-08-15 16:36:25.000,2024-03-19 06:34:37.000,2024-03-19 06:34:36,876.0,48.0,20.0,78.0,25.0,55.0,136.0,2024-02-07 10:37:08.000,0.5.11,21.0,22.0,22,True,26.0,"['gha', 'pypi', 'conda', 'python']",powerplantmatching,conda-forge/powerplantmatching,52.0,1563.0,41.0,41.0,https://pypi.org/project/powerplantmatching,2024-02-07 10:36:12.000,,782.0,https://anaconda.org/conda-forge/powerplantmatching,2024-02-07 12:48:22.356,30487.0,2.0,,,,,,,
35,Dynaωo,phasor,,dynawo/dynawo,http://dynawo.org,https://dynawo.github.io/docs/,MPL-2.0,C++/Modelica simulation tools for power systems.,https://github.com/dynawo/dynawo,2019-01-29 13:29:35.000,2024-03-21 17:03:47.000,2024-03-21 16:53:56,2179.0,21.0,9.0,1841.0,100.0,1240.0,62.0,2023-10-05 07:46:05.000,1.5.0,16.0,50.0,22,True,33.0,['gha'],,,14972.0,241.0,,,,,,,,,,1.0,,,,,,,
36,AMPLPY,ops,,ampl/amplpy,https://ampl.com/,https://amplpy.readthedocs.io/en/latest/,BSD-3,Python API for AMPL.,https://github.com/ampl/amplpy,2017-06-27 00:22:07.000,2024-02-27 11:38:35.000,2024-02-27 11:38:28,665.0,19.0,14.0,6.0,1.0,46.0,61.0,2024-02-20 21:44:15.000,0.13.3,166.0,8.0,22,True,40.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",amplpy,conda-forge/amplpy,,24806.0,67.0,64.0,https://pypi.org/project/amplpy,2024-02-20 21:44:15.000,3.0,20096.0,https://anaconda.org/conda-forge/amplpy,2024-02-21 11:55:21.068,202534.0,3.0,,,,,-1.0,,
37,pandapipes,gasnet,,e2nIEE/pandapipes,https://www.pandapipes.org/,https://jkpandapipes.readthedocs.io/en/latest/,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,2020-02-03 15:04:57.000,2024-03-19 07:19:08.000,2023-12-22 08:55:40,1754.0,49.0,10.0,433.0,51.0,77.0,117.0,2023-12-22 10:36:39.000,0.9.0,16.0,20.0,21,True,,"['gha', 'pypi', 'jupyter', 'python']",pandapipes,,,1786.0,20.0,18.0,https://pypi.org/project/pandapipes,2023-12-22 10:37:47.000,2.0,1786.0,,,,1.0,,,,,-2.0,,
38,OpenDSSDirect.py,intf,,dss-extensions/OpenDSSDirect.py,https://dss-extensions.org/,https://dss-extensions.org/OpenDSSDirect.py/,MIT,A direct library interface to OpenDSS.,https://github.com/dss-extensions/OpenDSSDirect.py,2017-06-20 19:18:22.000,2024-03-19 04:17:44.000,2024-03-19 03:57:56,448.0,20.0,14.0,31.0,14.0,87.0,80.0,2024-03-19 04:54:18.000,0.9.3,43.0,3.0,21,True,29.0,"['gha', 'pypi', 'python', 'jupyter']",OpenDSSDirect.py,,,3563.0,61.0,45.0,https://pypi.org/project/OpenDSSDirect.py,2021-03-11 01:53:34.000,16.0,3563.0,,,,1.0,,,,,,,
39,GridPath,steady-state,,blue-marble/gridpath,https://www.gridpath.io/,https://gridpath.readthedocs.io/en/latest/?badge=latest,Apache-2,Power system planning and operations.,https://github.com/blue-marble/gridpath,2016-08-12 18:13:28.000,2024-03-20 18:13:11.000,2024-02-28 18:44:49,1437.0,34.0,11.0,784.0,72.0,256.0,84.0,2024-02-28 18:05:07.000,2024.1.0,25.0,10.0,20,True,18.0,"['gha', 'python']",GridPath,,770.0,150.0,2.0,2.0,https://pypi.org/project/GridPath,2024-02-28 18:05:07.000,,134.0,,,,2.0,,,,,,,
40,PyPowSyBl,steady-state,,powsybl/pypowsybl,https://www.powsybl.org,https://pypowsybl.readthedocs.io/en/latest/,MPL-2.0,A PowSyBl and Python integration.,https://github.com/powsybl/pypowsybl,2020-11-09 10:30:33.000,2024-03-13 08:44:25.000,2024-03-12 10:26:59,535.0,8.0,19.0,555.0,46.0,131.0,45.0,2024-03-07 11:15:04.000,1.3.1,32.0,21.0,20,True,35.0,"['gha', 'pypi', 'python', 'java', 'jupyter']",pypowsybl,,,2636.0,3.0,,https://pypi.org/project/pypowsybl,2024-03-07 11:15:04.000,3.0,2636.0,,,,2.0,,,,,,,
41,LightSim2Grid,steady-state,,BDonnot/lightsim2grid,https://l2rpn.chalearn.org/,https://lightsim2grid.readthedocs.io/en/latest/,MPL-2.0,A fast backend for the Grid2Op.,https://github.com/BDonnot/lightsim2grid,2020-03-09 07:35:27.000,2024-03-21 16:41:34.000,2024-03-18 08:23:34,620.0,9.0,3.0,34.0,15.0,28.0,44.0,2024-03-18 10:15:07.000,0.8.0,23.0,5.0,20,True,32.0,"['gha', 'pypi', 'python']",LightSim2Grid,,101.0,6399.0,37.0,29.0,https://pypi.org/project/LightSim2Grid,2024-03-18 10:10:33.000,8.0,6394.0,,,,2.0,bdonnot/lightsim2grid,https://hub.docker.com/r/bdonnot/lightsim2grid,2022-02-01 17:50:28.347059,187.0,2.0,,
