,name,category,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,labels,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id,new_addition
15,ELEC0447 Analysis of Electric Power and Energy Systems,book,True,bcornelusse/ELEC0447-analysis-power-systems,BSD-2.0,Masters course of power systems analysis at ULige.,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,2020-06-17 14:45:34,2024-11-28 10:42:50.000000,2024-11-28 10:42:45,268.0,6.0,1.0,20.0,6.0,0,True,,4.0,1.0,,,,,"['python', 'jupyter']",4.0,,,,,,,,,,,,,,,,,,,,,,
16,Tutorial on DER Hosting Capacity Part 0,book,True,Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,BSD-3.0,Using dss_python.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,https://sites.google.com/view/luisfochoa/research/research-team,2022-11-30 04:16:00,2024-12-09 04:10:44.000000,2024-12-09 04:10:38,45.0,1.0,,5.0,5.0,0,True,,,,,,,,['jupyter'],2.0,,,,,,,,,,,,,,,,,,,,,,
17,Tutorial on DER Hosting Capacity Part 1,book,True,Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,BSD-3.0,Advanced Tools for the Analysis of Three-Phase Unbalanced LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,https://sites.google.com/view/luisfochoa/research/research-team,2023-03-09 03:28:07,2024-12-09 04:11:06.000000,2024-12-09 04:11:01,32.0,3.0,,1.0,5.0,0,True,,,,,,,,['jupyter'],2.0,,,,,,,,,,,,,,,,,,,,,,
18,Tutorial on DER Hosting Capacity Part 2,book,True,Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,BSD-3.0,Time-Series Analysis and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,https://sites.google.com/view/luisfochoa/research/research-team,2022-12-01 03:15:41,2024-12-09 04:22:49.000000,2024-12-09 04:22:09,39.0,1.0,,2.0,6.0,0,True,,,,,,,,['jupyter'],1.0,,,,,,,,,,,,,,,,,,,,,,
19,Tutorial on DER Hosting Capacity Part 3,book,True,Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,BSD-3.0,Volt-Watt Control and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,https://sites.google.com/view/luisfochoa/research/research-team,2023-05-29 06:17:07,2024-12-09 03:05:32.000000,2024-12-09 03:05:23,18.0,,,1.0,4.0,0,True,,,,,,,,['jupyter'],1.0,,,,,,,,,,,,,,,,,,,,,,
20,Tutorial on DER Hosting Capacity Part 4,book,True,Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,BSD-3.0,Monte Carlo Assessment of PV Hosting Capacity of an Integrated MV-LV Network.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,https://sites.google.com/view/luisfochoa/research/research-team,2023-05-29 23:51:23,2024-12-09 03:42:30.000000,2024-12-09 03:42:26,27.0,2.0,,2.0,5.0,0,True,,,,,,,,['jupyter'],1.0,,,,,,,,,,,,,,,,,,,,,,
21,OR-Tools,ops,,google/or-tools,Apache-2,Google Optimization Tools.,https://github.com/google/or-tools,https://developers.google.com/optimization/,2015-02-21 01:25:35,2025-02-06 15:57:00.000000,2025-01-19 16:45:11,13270.0,2156.0,59.0,11588.0,182.0,39,True,https://developers.google.com/optimization/introduction,309.0,487.0,2945.0,2024-09-16 06:27:03.000,9.11.4210,79.0,"['gha', 'python', 'c', 'java']",10.0,ortools,conda-forge/ortools-python,858516.0,1630603.0,544.0,286.0,https://pypi.org/project/ortools,2024-09-16 06:27:03.000,258.0,1620539.0,https://anaconda.org/conda-forge/ortools-python,2023-06-16 19:27:43.665,98701.0,1.0,,,,,,,,
22,Xopt,ops,,google/or-tools,MPL-2.0,Flexible high-level optimization in Python.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-02-06 15:57:00.000000,2025-01-19 16:45:11,13270.0,2156.0,59.0,11588.0,182.0,37,True,https://xopt.xopt.org/index.html,309.0,487.0,2945.0,2025-02-03 22:41:31.000,2.5.3,48.0,"['gha', 'python', 'pypi', 'conda']",10.0,xopt,conda-forge/xopt,858516.0,10339.0,289.0,286.0,https://pypi.org/project/xopt,2025-02-03 22:41:31.000,3.0,1809.0,https://anaconda.org/conda-forge/xopt,2025-02-04 06:57:51.977,42929.0,1.0,,,,,,,,
23,CVXPY,opl,,cvxpy/cvxpy,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58,2025-02-05 21:21:43.000000,2025-02-05 21:21:36,3591.0,1068.0,225.0,5594.0,212.0,37,True,http://www.cvxpy.org/,125.0,1043.0,1270.0,2024-11-14 23:49:14.000,1.5.4,131.0,"['gha', 'pypi', 'conda', 'python']",30.0,cvxpy,conda-forge/cvxpy,543.0,2573956.0,15561.0,14980.0,https://pypi.org/project/cvxpy,2024-11-14 23:49:14.000,581.0,2546385.0,https://anaconda.org/conda-forge/cvxpy,2025-01-05 19:21:22.441,1543554.0,1.0,,,,,,,,
24,Pyomo,opl,,Pyomo/pyomo,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,https://www.pyomo.org,2016-05-27 19:33:45,2025-02-06 05:25:43.000000,2025-02-06 05:25:43,26209.0,519.0,303.0,2102.0,165.0,37,True,https://pyomo.readthedocs.io/en/stable/,61.0,2081.0,1095.0,2024-11-19 00:02:07.000,6.8.2,69.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",296.0,Pyomo,conda-forge/pyomo,3895.0,418107.0,2997.0,2739.0,https://pypi.org/project/Pyomo,2024-11-18 22:55:21.000,258.0,393556.0,https://anaconda.org/conda-forge/pyomo,2024-11-19 06:38:43.936,1368817.0,1.0,,,,,,,,
25,Tulip,ops,,google/or-tools,MPL-2.0,Interior-point solver in pure Julia.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-02-06 15:57:00.000000,2025-01-19 16:45:11,13270.0,2156.0,59.0,11588.0,182.0,35,True,https://ds4dm.github.io/Tulip.jl/stable/,309.0,487.0,2945.0,2024-09-13 14:35:44.000,9.11,48.0,"['gha', 'julia']",10.0,,,858516.0,7597.0,286.0,286.0,,,,,,,,2.0,,,,,,,,
26,HiGHS,ops,,ERGO-Code/HiGHS,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,https://highs.dev/,2018-03-27 13:57:58,2025-02-05 21:08:28.000000,2025-01-01 15:29:20,10728.0,194.0,103.0,1043.0,79.0,33,True,https://ergo-code.github.io/HiGHS/,37.0,1230.0,695.0,2024-12-21 00:51:48.000,1.9.0,17.0,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'c']",151.0,highspy,conda-forge/highs,,172603.0,344.0,297.0,https://pypi.org/project/highspy,2024-12-20 19:12:50.000,47.0,171506.0,https://anaconda.org/conda-forge/highs,2024-12-21 09:56:26.096,20858.0,2.0,,,,,,,,
27,PyPSA,steady-state,,PyPSA/PyPSA,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,https://pypsa.org,2016-01-11 09:04:18,2025-02-06 11:56:44.000000,2025-02-06 11:56:33,2888.0,484.0,109.0,1359.0,92.0,32,True,https://pypsa.readthedocs.io/en/latest/,72.0,732.0,296.0,2025-02-06 11:24:48.000,0.33.0,65.0,"['gha', 'pypi', 'conda', 'python', 'jupyter']",44.0,pypsa,conda-forge/pypsa,,11050.0,267.0,240.0,https://pypi.org/project/pypsa,2025-02-06 11:24:48.000,27.0,8995.0,https://anaconda.org/conda-forge/pypsa,2025-01-24 08:13:57.114,113040.0,1.0,1.0,,,,,,,
28,pandapower,steady-state,,e2nIEE/pandapower,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,https://www.pandapower.org/,2017-01-12 13:27:53,2025-02-05 21:20:32.000000,2025-02-05 21:20:32,9497.0,476.0,232.0,920.0,145.0,32,True,https://pandapower.readthedocs.io/en/latest/,52.0,1371.0,826.0,2024-08-07 13:31:06.000,2.14.11,48.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",220.0,pandapower,conda-forge/pandapower,,30452.0,474.0,416.0,https://pypi.org/project/pandapower,2024-12-20 07:06:49.000,58.0,30024.0,https://anaconda.org/conda-forge/pandapower,2024-12-29 08:56:06.461,23086.0,1.0,-1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,101.0,,,
29,OSQP,ops,,osqp/osqp,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,https://osqp.org,2016-09-27 03:02:46,2025-01-17 16:40:46.000000,2025-01-17 16:39:58,2858.0,358.0,99.0,1776.0,35.0,31,True,https://osqp.org/docs/get_started/,42.0,281.0,264.0,2024-05-22 20:16:31.000,0.6.7,36.0,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r']",8.0,osqp,conda-forge/osqp,95458.0,3643092.0,85.0,,https://pypi.org/project/osqp,2024-10-11 02:13:27.000,85.0,3619544.0,https://anaconda.org/conda-forge/osqp,2024-10-22 00:55:19.396,1104165.0,2.0,,,,,,,,
30,PySCIPOpt,ops,,scipopt/PySCIPOpt,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,https://www.scipopt.org/,2016-05-19 14:29:21,2025-02-01 22:52:38.000000,2025-02-01 22:52:38,2096.0,252.0,30.0,847.0,76.0,30,True,https://scipopt.github.io/PySCIPOpt/docs/html/,25.0,404.0,511.0,2024-11-14 11:44:24.000,5.2.1,66.0,"['gha', 'pypi', 'conda', 'python']",42.0,PySCIPOpt,conda-forge/pyscipopt,,45957.0,329.0,294.0,https://pypi.org/project/PySCIPOpt,2024-10-31 09:58:56.000,35.0,36737.0,https://anaconda.org/conda-forge/pyscipopt,2024-11-14 17:45:55.490,442597.0,2.0,-1.0,,,,,,,
31,Ipopt,ops,,coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,https://www.coin-or.org/,2019-01-28 12:24:22,2024-12-16 14:03:01.961000,2024-12-14 15:15:59,2399.0,285.0,13.0,1487.0,35.0,28,True,https://coin-or.github.io/Ipopt/,46.0,35.0,597.0,2024-12-14 15:03:46.000,releases/3.14.17,32.0,"['pypi', 'conda', 'python']",30.0,ipopt,conda-forge/ipopt,18498.0,30247.0,10.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,1122.0,https://anaconda.org/conda-forge/ipopt,2024-12-16 14:03:01.961,1497990.0,2.0,,,,,,,,
32,OpenModelica,cosime,,OpenModelica/OpenModelica,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,https://openmodelica.org,2015-05-03 16:59:29,2025-02-06 17:39:39.000000,2025-02-06 17:39:36,37272.0,309.0,2044.0,912.0,195.0,28,True,https://openmodelica.org/useresresources/userdocumentation,53.0,5080.0,6091.0,2025-02-04 15:39:09.000,1.24.4,26.0,['modelica'],221.0,,,385.0,400.0,,,,,,,,,,1.0,,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2025-02-05 13:01:05.233523,46474.0,6.0,,
33,SCS,ops,,cvxgrp/scs,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,https://github.com/cvxgrp/scs,2013-11-29 23:11:16,2025-01-28 15:29:11.000000,2025-01-28 15:29:03,1267.0,138.0,44.0,564.0,29.0,28,True,https://www.cvxgrp.org/scs/,36.0,122.0,141.0,2024-08-24 15:40:59.000,3.2.7,44.0,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'r', 'c']",6.0,scs,conda-forge/scs,,3284273.0,56.0,,https://pypi.org/project/scs,2025-01-04 17:00:19.000,56.0,3259894.0,https://anaconda.org/conda-forge/scs,2025-01-05 23:41:30.140,1243356.0,2.0,,,,,,,,
34,Power Grid Model,steady-state,,PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2025-02-06 14:44:53.000000,2025-01-28 10:10:30,7189.0,33.0,67.0,158.0,25.0,28,True,https://power-grid-model.readthedocs.io/en/stable/,5.0,675.0,142.0,2025-01-28 10:42:54.000,1.10.44,559.0,"['gha', 'pypi', 'conda', 'python', 'c']",427.0,power-grid-model,conda-forge/power-grid-model,413.0,296223.0,32.0,26.0,https://pypi.org/project/power-grid-model,2025-01-28 10:42:35.000,6.0,151223.0,https://anaconda.org/conda-forge/power-grid-model,2025-01-28 20:04:21.222,3043297.0,1.0,,,,,,,,
35,CVXOPT,opl,,cvxopt/cvxopt,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,https://cvxopt.org/,2013-02-22 22:14:31,2024-10-23 07:22:22.000000,2024-10-23 07:22:17,58.0,208.0,40.0,1007.0,9.0,27,True,http://cvxopt.org/userguide/,40.0,68.0,150.0,2023-08-09 14:30:49.000,1.3.2,17.0,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia']",,cvxopt,conda-forge/cvxopt,,646085.0,12740.0,12354.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,386.0,621003.0,https://anaconda.org/conda-forge/cvxopt,2024-09-04 14:43:27.727,1304279.0,2.0,,,,,,,,
36,GridCal,steady-state,,SanPen/GridCal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,2016-01-13 15:40:10,2025-02-05 15:39:17.000000,2025-01-22 20:21:58,6815.0,97.0,5.0,438.0,50.0,27,True,https://gridcal.readthedocs.io/en/latest/?badge=latest,33.0,143.0,182.0,2025-02-05 15:39:17.000,5.3.5,373.0,"['gha', 'pypi', 'python']",632.0,GridCal,,49.0,6223.0,10.0,10.0,https://pypi.org/project/GridCal,2025-02-05 15:39:17.000,,6223.0,,,,1.0,,,,,,,,
37,Clarabel.rs,ops,,oxfordcontrol/Clarabel.rs,Apache-2.0,Interior-point solver for convex conic optimisation in Rust.,https://github.com/oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34,2025-02-05 21:39:48.000000,2025-02-03 11:45:29,547.0,32.0,16.0,388.0,11.0,27,True,https://oxfordcontrol.github.io/ClarabelDocs/stable/,14.0,112.0,41.0,2025-02-02 20:54:40.000,0.10.0,16.0,"['gha', 'pypi', 'conda', 'python', 'rust']",102.0,clarabel,conda-forge/clarabel,,1385126.0,58.0,27.0,https://pypi.org/project/clarabel,2025-02-02 20:54:40.000,31.0,1375010.0,https://anaconda.org/conda-forge/clarabel,2025-02-03 14:31:04.784,161859.0,3.0,3.0,,,,,,,
38,JuMP,opl,,jump-dev/JuMP.jl,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,https://jump.dev,2012-10-10 00:34:45,2025-02-05 06:08:03.000000,2025-02-05 05:23:56,5021.0,397.0,12.0,2264.0,160.0,25,True,https://jump.dev/JuMP.jl/stable/,84.0,2395.0,1476.0,2025-02-04 20:13:32.000,1.24.0,81.0,"['gha', 'jupyter', 'julia']",38.0,,,,,,,,,,,,,,3.0,-1.0,,,,,,,
39,precice,cosime,,precice/precice,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,https://precice.org/,2015-05-22 14:05:22,2025-02-06 03:17:48.130257,2025-02-05 12:04:20,5277.0,184.0,203.0,777.0,59.0,25,True,https://precice.org/docs.html,39.0,1298.0,677.0,2024-08-27 19:31:17.000,3.1.2,32.0,"['gha', 'c']",60.0,pyprecice,conda-forge/pyprecice,31909.0,4430.0,8.0,,https://pypi.org/project/pyprecice,2024-12-05 11:33:19.000,8.0,1475.0,https://anaconda.org/conda-forge/pyprecice,2024-08-28 04:49:54.578,93197.0,3.0,,precice/precice,https://hub.docker.com/r/precice/precice,2025-02-06 03:17:48.130257,23436.0,,,
40,GridStatus,data,,kmax12/gridstatus,BSD-3,Extract data from ISOs and other sources.,https://github.com/gridstatus/gridstatus,https://www.gridstatus.io,2022-07-28 19:24:20,2025-02-05 01:03:31.000000,2025-02-05 01:03:21,541.0,59.0,47.0,306.0,32.0,25,True,https://docs.gridstatus.io/en/latest/,9.0,423.0,71.0,2025-01-27 14:51:43.000,0.29.1,30.0,"['gha', 'pypi', 'python']",53.0,gridstatus,,,12650.0,20.0,18.0,https://pypi.org/project/gridstatus,2025-01-27 14:51:43.000,2.0,12650.0,,,,1.0,,,,,,,gridstatus/gridstatus,
41,HELICS,msg,,GMLC-TDC/HELICS,BSD-3,Co-simulation framework.,https://github.com/GMLC-TDC/HELICS,https://helics.org/tools/,2017-06-01 17:03:19,2025-02-06 00:05:47.000000,2024-12-10 00:17:33,3560.0,41.0,92.0,129.0,39.0,25,True,https://docs.helics.org/en/latest/,16.0,2014.0,578.0,2024-12-26 20:15:43.000,3.6.0,105.0,"['gha', 'pypi', 'conda', 'python', 'julia', 'octave', 'java', 'c']",19.0,helics,conda-forge/helics,26234.0,21540.0,13.0,,https://pypi.org/project/helics,2024-12-26 20:15:43.000,13.0,20966.0,https://anaconda.org/conda-forge/helics,2023-06-16 16:09:19.777,20708.0,1.0,,,,,,,,
42,ECOS,ops,,embotech/ecos,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,https://github.com/embotech/ecos,2013-02-11 21:27:50,2024-09-10 06:48:58.359000,2022-01-04 22:33:07,622.0,123.0,66.0,492.0,40.0,24,True,https://github.com/embotech/ecos/wiki,36.0,65.0,95.0,2024-06-18 03:47:45.000,2.0.14,24.0,"['python', 'julia', 'c', 'octave', 'r']",,ecos,conda-forge/ecos,,2207526.0,49.0,,https://pypi.org/project/ecos,2024-06-18 03:47:45.000,49.0,2187977.0,https://anaconda.org/conda-forge/ecos,2024-09-10 06:48:58.359,997011.0,3.0,,,,,,,,
43,Atlite,data,,PyPSA/atlite,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,https://pypsa.org,2016-11-03 23:59:25,2025-02-04 10:01:40.000000,2025-02-04 10:01:38,788.0,101.0,39.0,290.0,40.0,24,True,https://atlite.readthedocs.io/en/master/?badge=master,14.0,299.0,95.0,2025-01-30 11:12:40.000,0.4.0,20.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",23.0,atlite,conda-forge/atlite,,4248.0,85.0,85.0,https://pypi.org/project/atlite,2025-01-30 11:12:40.000,,3049.0,https://anaconda.org/conda-forge/atlite,2025-01-13 09:00:44.230,67147.0,2.0,,,,,,,,
44,LTB ANDES,phasor,,CURENT/andes,GPL-3,Transient Stability Simulator; CURENT LTB.,https://github.com/CURENT/andes,https://ltb.curent.org/,2016-11-07 01:04:50,2025-01-05 22:46:39.355000,2025-01-05 16:16:39,4612.0,114.0,9.0,247.0,23.0,24,True,https://docs.andes.app/en/latest/,15.0,281.0,61.0,2025-01-05 17:48:40.000,1.9.3,114.0,"['gha', 'azure', 'pypi', 'conda', 'jupyter', 'python', 'julia']",34.0,andes,conda-forge/andes,,13251.0,28.0,24.0,https://pypi.org/project/andes,2025-01-05 17:48:40.000,4.0,3148.0,https://anaconda.org/conda-forge/andes,2025-01-05 22:46:39.355,575901.0,1.0,,CURENT/andes,https://hub.docker.com/r/CURENT/andes,,,,,
45,powerplantmatching,data,,PyPSA/powerplantmatching,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,https://pypsa.org,2016-08-15 16:36:25,2025-02-04 09:08:17.000000,2025-02-04 09:08:15,983.0,61.0,18.0,169.0,33.0,24,True,https://atlite.readthedocs.io/en/master/?badge=master,20.0,134.0,72.0,2025-02-01 11:01:49.000,0.7.1,33.0,"['gha', 'pypi', 'conda', 'python']",18.0,powerplantmatching,conda-forge/powerplantmatching,87.0,3615.0,65.0,65.0,https://pypi.org/project/powerplantmatching,2025-02-01 11:01:49.000,,2460.0,https://anaconda.org/conda-forge/powerplantmatching,2025-02-01 21:53:28.804,57700.0,2.0,,,,,,,,
