,name,category,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,labels,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id,new_addition
11,pmuBAGE,data,True,NanpengYu/pmuBAGE,,Synthetic phasor measurement unit dataset.,https://github.com/NanpengYu/pmuBAGE,https://github.com/NanpengYu/pmuBAGE,2022-03-18 05:10:00,2022-04-07 00:15:41.000000,2022-04-07 00:15:41,18.0,1.0,1.0,6.0,2.0,0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TextbookSimulations,book,True,Power-Systems-Textbook/TextbookSimulations,CC0-1.0,Examples and problems accompanying Daniel Kirschens Power Systems Textbook.,https://github.com/Power-Systems-Textbook/TextbookSimulations,https://github.com/Power-Systems-Textbook/TextbookSimulations,2022-10-12 19:10:15,2023-11-08 22:54:41.000000,2023-11-08 22:54:34,56.0,3.0,,11.0,2.0,0,True,,,4.0,,,,,,"['julia', 'jupyter']",,,,,,,,,,,,,,,,,,,,,,
13,UTK ECE 522 - Power System Analysis II,book,True,CURENT/ece522,MIT,Hands-on Project for Power System Analysis II (UTK ECE 522).,https://github.com/CURENT/ece522,https://github.com/CURENT/ece522,2023-01-18 03:35:44,2025-02-01 19:05:43.000000,2025-02-01 19:05:41,14.0,1.0,,4.0,4.0,0,True,,2.0,1.0,,,,,1.0,"['python', 'jupyter']",,,,,,,,,,,,,,,,,,,,,,
14,ELEC0447 Analysis of Electric Power and Energy Systems,book,True,bcornelusse/ELEC0447-analysis-power-systems,BSD-2.0,Masters course of power systems analysis at ULige.,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,2020-06-17 14:45:34,2024-11-28 10:42:50.000000,2024-11-28 10:42:45,268.0,6.0,1.0,20.0,6.0,0,True,,4.0,1.0,,,,,1.0,"['python', 'jupyter']",,,,,,,,,,,,,,,,,,,,,,
15,Tutorial on DER Hosting Capacity Part 0,book,True,Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,BSD-3.0,Using dss_python.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,2022-11-30 04:16:00,2024-12-09 04:10:44.000000,2024-12-09 04:10:38,45.0,1.0,,5.0,5.0,0,True,,,,,,,,2.0,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,,
16,Tutorial on DER Hosting Capacity Part 1,book,True,Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,BSD-3.0,Advanced Tools for the Analysis of Three-Phase Unbalanced LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,2023-03-09 03:28:07,2024-12-09 04:11:06.000000,2024-12-09 04:11:01,32.0,3.0,,2.0,5.0,0,True,,,,,,,,2.0,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,,
17,Tutorial on DER Hosting Capacity Part 2,book,True,Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,BSD-3.0,Time-Series Analysis and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,2022-12-01 03:15:41,2024-12-09 04:22:49.000000,2024-12-09 04:22:09,39.0,1.0,,2.0,6.0,0,True,,,,,,,,1.0,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,,
18,Tutorial on DER Hosting Capacity Part 3,book,True,Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,BSD-3.0,Volt-Watt Control and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,2023-05-29 06:17:07,2024-12-09 03:05:32.000000,2024-12-09 03:05:23,18.0,,,1.0,4.0,0,True,,,,,,,,1.0,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,,
19,Tutorial on DER Hosting Capacity Part 4,book,True,Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,BSD-3.0,Monte Carlo Assessment of PV Hosting Capacity of an Integrated MV-LV Network.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,2023-05-29 23:51:23,2024-12-09 03:42:30.000000,2024-12-09 03:42:26,27.0,2.0,,2.0,5.0,0,True,,,,,,,,1.0,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,,
20,OR-Tools,ops,,google/or-tools,Apache-2,Google Optimization Tools.,https://github.com/google/or-tools,https://developers.google.com/optimization/,2015-02-21 01:25:35,2025-02-20 10:12:12.000000,2025-02-17 11:32:53,13600.0,2174.0,64.0,11633.0,182.0,40,True,https://developers.google.com/optimization/introduction,307.0,488.0,2954.0,2025-02-17 10:02:38.000,9.12,80.0,206.0,"['gha', 'python', 'c', 'java']",ortools,conda-forge/ortools-python,865068.0,1482621.0,575.0,291.0,https://pypi.org/project/ortools,2025-02-17 09:52:42.000,284.0,1472445.0,https://anaconda.org/conda-forge/ortools-python,2023-06-16 19:27:43.665,100847.0,1.0,1.0,,,,,,,
21,Xopt,ops,,google/or-tools,MPL-2.0,Flexible high-level optimization in Python.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-02-20 10:12:12.000000,2025-02-17 11:32:53,13600.0,2174.0,64.0,11633.0,182.0,38,True,https://xopt.xopt.org/index.html,307.0,488.0,2954.0,2025-02-17 10:02:38.000,9.12,49.0,206.0,"['gha', 'python', 'pypi', 'conda']",xopt,conda-forge/xopt,865068.0,10108.0,294.0,291.0,https://pypi.org/project/xopt,2025-02-10 16:57:41.000,3.0,1500.0,https://anaconda.org/conda-forge/xopt,2025-02-11 18:43:12.067,43870.0,1.0,1.0,,,,,,,
22,Pyomo,opl,,Pyomo/pyomo,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,https://www.pyomo.org,2016-05-27 19:33:45,2025-02-20 16:29:51.000000,2025-02-20 16:29:51,26326.0,519.0,303.0,2111.0,168.0,38,True,https://pyomo.readthedocs.io/en/stable/,61.0,2092.0,1098.0,2024-11-19 00:02:07.000,6.8.2,69.0,268.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",Pyomo,conda-forge/pyomo,3938.0,426956.0,3120.0,2862.0,https://pypi.org/project/Pyomo,2024-11-18 22:55:21.000,258.0,402166.0,https://anaconda.org/conda-forge/pyomo,2024-11-19 06:38:43.936,1382157.0,1.0,1.0,,,,,,,
23,Tulip,ops,,google/or-tools,MPL-2.0,Interior-point solver in pure Julia.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-02-20 10:12:12.000000,2025-02-17 11:32:53,13600.0,2174.0,64.0,11633.0,182.0,37,True,https://ds4dm.github.io/Tulip.jl/stable/,307.0,488.0,2954.0,2025-02-17 10:02:38.000,9.12,49.0,206.0,"['gha', 'julia']",,,865068.0,7655.0,291.0,291.0,,,,,,,,2.0,2.0,,,,,,,
24,CVXPY,opl,,cvxpy/cvxpy,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58,2025-02-20 04:02:02.000000,2025-02-19 07:30:37,3604.0,1068.0,227.0,5621.0,212.0,37,True,http://www.cvxpy.org/,126.0,1056.0,1271.0,2024-11-14 23:49:14.000,1.5.4,131.0,33.0,"['gha', 'pypi', 'conda', 'python']",cvxpy,conda-forge/cvxpy,543.0,2712194.0,15757.0,15176.0,https://pypi.org/project/cvxpy,2024-11-14 23:49:14.000,581.0,2684324.0,https://anaconda.org/conda-forge/cvxpy,2025-01-05 19:21:22.441,1560306.0,2.0,,,,,,,,
25,HiGHS,ops,,ERGO-Code/HiGHS,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,https://highs.dev/,2018-03-27 13:57:58,2025-02-20 15:57:29.000000,2025-01-01 15:29:20,10728.0,196.0,109.0,1055.0,79.0,33,True,https://ergo-code.github.io/HiGHS/,38.0,1238.0,701.0,2024-12-21 00:51:48.000,1.9.0,17.0,96.0,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'c']",highspy,conda-forge/highs,,176346.0,436.0,389.0,https://pypi.org/project/highspy,2024-12-20 19:12:50.000,47.0,175214.0,https://anaconda.org/conda-forge/highs,2024-12-21 09:56:26.096,21525.0,2.0,,,,,,,,
26,pandapower,steady-state,,e2nIEE/pandapower,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,https://www.pandapower.org/,2017-01-12 13:27:53,2025-02-19 12:04:13.000000,2025-02-19 12:04:13,9711.0,478.0,232.0,927.0,149.0,33,True,https://pandapower.readthedocs.io/en/latest/,52.0,1377.0,826.0,2024-08-07 13:31:06.000,2.14.11,49.0,346.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",pandapower,conda-forge/pandapower,,32219.0,487.0,426.0,https://pypi.org/project/pandapower,2025-02-17 10:01:11.000,61.0,31783.0,https://anaconda.org/conda-forge/pandapower,2024-12-29 08:56:06.461,23498.0,1.0,,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,101.0,,,
27,OSQP,ops,,osqp/osqp,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,https://osqp.org,2016-09-27 03:02:46,2025-02-19 16:14:39.000000,2025-02-13 19:17:58,2911.0,358.0,99.0,1787.0,35.0,32,True,https://osqp.org/docs/get_started/,42.0,282.0,266.0,2024-05-22 20:16:31.000,0.6.7,37.0,38.0,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r']",osqp,conda-forge/osqp,101330.0,3959117.0,89.0,,https://pypi.org/project/osqp,2025-02-13 20:00:49.000,89.0,3935285.0,https://anaconda.org/conda-forge/osqp,2024-10-22 00:55:19.396,1115004.0,2.0,,,,,,,,
28,PyPSA,steady-state,,PyPSA/PyPSA,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,https://pypsa.org,2016-01-11 09:04:18,2025-02-18 09:53:20.000000,2025-02-18 09:53:19,2893.0,485.0,109.0,1389.0,93.0,32,True,https://pypsa.readthedocs.io/en/latest/,72.0,743.0,299.0,2025-02-06 11:24:48.000,0.33.0,65.0,46.0,"['gha', 'pypi', 'conda', 'python', 'jupyter']",pypsa,conda-forge/pypsa,,13052.0,276.0,249.0,https://pypi.org/project/pypsa,2025-02-06 11:24:48.000,27.0,10952.0,https://anaconda.org/conda-forge/pypsa,2025-02-07 08:42:39.473,115535.0,1.0,,,,,,,,
29,PySCIPOpt,ops,,scipopt/PySCIPOpt,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,https://www.scipopt.org/,2016-05-19 14:29:21,2025-02-20 15:17:41.000000,2025-02-15 13:05:25,2106.0,257.0,29.0,850.0,76.0,30,True,https://scipopt.github.io/PySCIPOpt/docs/html/,26.0,409.0,518.0,2025-02-07 17:48:40.000,5.3.0,67.0,42.0,"['gha', 'pypi', 'conda', 'python']",PySCIPOpt,conda-forge/pyscipopt,,52016.0,355.0,310.0,https://pypi.org/project/PySCIPOpt,2025-02-07 17:48:40.000,45.0,42631.0,https://anaconda.org/conda-forge/pyscipopt,2025-02-07 20:46:18.522,450520.0,2.0,,,,,,,,
30,Ipopt,ops,,coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,https://www.coin-or.org/,2019-01-28 12:24:22,2025-02-14 09:58:50.000000,2025-02-14 09:58:08,2400.0,285.0,13.0,1496.0,35.0,28,True,https://coin-or.github.io/Ipopt/,46.0,35.0,598.0,2024-12-14 15:03:46.000,releases/3.14.17,32.0,30.0,"['pypi', 'conda', 'python']",ipopt,conda-forge/ipopt,18829.0,30714.0,10.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,1189.0,https://anaconda.org/conda-forge/ipopt,2024-12-16 14:03:01.961,1518462.0,2.0,,,,,,,,
31,OpenModelica,cosime,,OpenModelica/OpenModelica,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,https://openmodelica.org,2015-05-03 16:59:29,2025-02-20 15:38:36.000000,2025-02-20 15:38:36,37309.0,311.0,2051.0,922.0,195.0,28,True,https://openmodelica.org/useresresources/userdocumentation,53.0,5118.0,6103.0,2025-02-04 15:39:09.000,1.24.4,26.0,216.0,['modelica'],,,385.0,401.0,,,,,,,,,,1.0,,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2025-02-05 13:01:05.233523,46671.0,6.0,,
32,SCS,ops,,cvxgrp/scs,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,https://github.com/cvxgrp/scs,2013-11-29 23:11:16,2025-01-28 15:29:11.000000,2025-01-28 15:29:03,1267.0,138.0,44.0,565.0,29.0,28,True,https://www.cvxgrp.org/scs/,36.0,122.0,141.0,2024-08-24 15:40:59.000,3.2.7,44.0,4.0,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'r', 'c']",scs,conda-forge/scs,,3592845.0,56.0,,https://pypi.org/project/scs,2025-01-04 17:00:19.000,56.0,3568176.0,https://anaconda.org/conda-forge/scs,2025-01-05 23:41:30.140,1258134.0,2.0,,,,,,,,
33,Power Grid Model,steady-state,,PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2025-02-20 16:34:30.000000,2025-02-20 07:40:20,7221.0,33.0,77.0,159.0,25.0,28,True,https://power-grid-model.readthedocs.io/en/stable/,5.0,692.0,142.0,2025-02-20 08:12:14.000,1.10.51,566.0,384.0,"['gha', 'pypi', 'conda', 'python', 'c']",power-grid-model,conda-forge/power-grid-model,462.0,194087.0,32.0,26.0,https://pypi.org/project/power-grid-model,2025-02-20 08:11:55.000,6.0,46736.0,https://anaconda.org/conda-forge/power-grid-model,2025-02-17 07:52:03.418,3092450.0,1.0,,,,,,,,
34,CVXOPT,opl,,cvxopt/cvxopt,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,https://cvxopt.org/,2013-02-22 22:14:31,2024-10-23 07:22:22.000000,2024-10-23 07:22:17,58.0,208.0,40.0,1009.0,9.0,27,True,http://cvxopt.org/userguide/,40.0,68.0,150.0,2023-08-09 14:30:49.000,1.3.2,17.0,,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia']",cvxopt,conda-forge/cvxopt,,600995.0,12889.0,12503.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,386.0,575632.0,https://anaconda.org/conda-forge/cvxopt,2024-09-04 14:43:27.727,1318900.0,2.0,,,,,,,,
35,GridCal,steady-state,,SanPen/GridCal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,2016-01-13 15:40:10,2025-02-20 16:02:21.000000,2025-02-20 11:48:09,6940.0,100.0,8.0,440.0,51.0,27,True,https://gridcal.readthedocs.io/en/latest/?badge=latest,33.0,146.0,183.0,2025-02-20 10:51:58.000,5.3.12,380.0,589.0,"['gha', 'pypi', 'python']",GridCal,,49.0,3345.0,10.0,10.0,https://pypi.org/project/GridCal,2025-02-20 10:51:58.000,,3345.0,,,,1.0,,,,,,,,
36,Clarabel.rs,ops,,oxfordcontrol/Clarabel.rs,Apache-2.0,Interior-point solver for convex conic optimisation in Rust.,https://github.com/oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34,2025-02-13 12:25:11.000000,2025-02-13 12:25:08,562.0,32.0,16.0,394.0,11.0,27,True,https://oxfordcontrol.github.io/ClarabelDocs/stable/,14.0,113.0,42.0,2025-02-02 20:54:40.000,0.10.0,16.0,117.0,"['gha', 'pypi', 'conda', 'python', 'rust']",clarabel,conda-forge/clarabel,,1466138.0,59.0,28.0,https://pypi.org/project/clarabel,2025-02-02 20:54:40.000,31.0,1455662.0,https://anaconda.org/conda-forge/clarabel,2025-02-03 14:31:04.784,167617.0,3.0,,,,,,,,
37,JuMP,opl,,jump-dev/JuMP.jl,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,https://jump.dev,2012-10-10 00:34:45,2025-02-20 06:29:33.000000,2025-02-20 05:55:44,5026.0,398.0,12.0,2268.0,160.0,25,True,https://jump.dev/JuMP.jl/stable/,84.0,2401.0,1477.0,2025-02-04 20:13:32.000,1.24.0,81.0,34.0,"['gha', 'jupyter', 'julia']",,,,,,,,,,,,,,3.0,,,,,,,,
38,precice,cosime,,precice/precice,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,https://precice.org/,2015-05-22 14:05:22,2025-02-20 16:34:22.000000,2025-02-20 10:49:09,5290.0,185.0,202.0,779.0,59.0,25,True,https://precice.org/docs.html,39.0,1308.0,689.0,2024-08-27 19:31:17.000,3.1.2,32.0,49.0,"['gha', 'c']",pyprecice,conda-forge/pyprecice,32333.0,4371.0,8.0,,https://pypi.org/project/pyprecice,2024-12-05 11:33:19.000,8.0,1347.0,https://anaconda.org/conda-forge/pyprecice,2024-08-28 04:49:54.578,95581.0,3.0,,precice/precice,https://hub.docker.com/r/precice/precice,2025-02-20 03:19:08.040910,23812.0,,,
39,GridStatus,data,,kmax12/gridstatus,BSD-3,Extract data from ISOs and other sources.,https://github.com/gridstatus/gridstatus,https://www.gridstatus.io,2022-07-28 19:24:20,2025-02-20 15:44:10.000000,2025-02-07 21:28:15,543.0,61.0,46.0,309.0,32.0,25,True,https://docs.gridstatus.io/en/latest/,9.0,425.0,72.0,2025-01-27 14:51:43.000,0.29.1,30.0,46.0,"['gha', 'pypi', 'python']",gridstatus,,,14706.0,20.0,18.0,https://pypi.org/project/gridstatus,2025-01-27 14:51:43.000,2.0,14706.0,,,,1.0,,,,,,,gridstatus/gridstatus,
40,HELICS,msg,,GMLC-TDC/HELICS,BSD-3,Co-simulation framework.,https://github.com/GMLC-TDC/HELICS,https://helics.org/tools/,2017-06-01 17:03:19,2025-02-20 02:02:38.000000,2024-12-10 00:17:33,3560.0,41.0,93.0,129.0,39.0,25,True,https://docs.helics.org/en/latest/,16.0,2017.0,578.0,2024-12-26 20:15:43.000,3.6.0,105.0,15.0,"['gha', 'pypi', 'conda', 'python', 'julia', 'octave', 'java', 'c']",helics,conda-forge/helics,26309.0,10060.0,13.0,,https://pypi.org/project/helics,2024-12-26 20:15:43.000,13.0,9485.0,https://anaconda.org/conda-forge/helics,2023-06-16 16:09:19.777,20726.0,1.0,,,,,,,,
41,ECOS,ops,,embotech/ecos,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,https://github.com/embotech/ecos,2013-02-11 21:27:50,2024-09-10 06:48:58.359000,2022-01-04 22:33:07,622.0,123.0,66.0,494.0,40.0,24,True,https://github.com/embotech/ecos/wiki,36.0,65.0,95.0,2024-06-18 03:47:45.000,2.0.14,24.0,,"['python', 'julia', 'c', 'octave', 'r']",ecos,conda-forge/ecos,,2508744.0,49.0,,https://pypi.org/project/ecos,2024-06-18 03:47:45.000,49.0,2489017.0,https://anaconda.org/conda-forge/ecos,2024-09-10 06:48:58.359,1006082.0,3.0,,,,,,,,
42,Grid2Op,mrl,,rte-france/Grid2Op,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/Grid2op/grid2op,https://l2rpn.chalearn.org/,2019-10-10 17:04:46,2025-02-12 17:38:20.000000,2025-01-28 08:19:19,3158.0,117.0,57.0,311.0,32.0,24,True,https://grid2op.readthedocs.io/en/latest/,21.0,299.0,312.0,2024-10-15 12:45:49.000,1.10.5,87.0,2.0,"['gha', 'pypi', 'jupyter', 'python']",Grid2Op,,,3501.0,20.0,,https://pypi.org/project/Grid2Op,2024-12-16 16:25:30.000,20.0,3344.0,,,,1.0,,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,10077.0,1.0,Grid2op/grid2op,
43,Atlite,data,,PyPSA/atlite,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,https://pypsa.org,2016-11-03 23:59:25,2025-02-17 07:50:25.233000,2025-02-04 10:01:38,788.0,101.0,39.0,295.0,40.0,24,True,https://atlite.readthedocs.io/en/master/?badge=master,14.0,299.0,96.0,2025-01-30 11:12:40.000,0.4.0,20.0,15.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",atlite,conda-forge/atlite,,4153.0,90.0,90.0,https://pypi.org/project/atlite,2025-01-30 11:12:40.000,,2926.0,https://anaconda.org/conda-forge/atlite,2025-02-17 07:50:25.233,68719.0,2.0,,,,,,,,
44,LTB ANDES,phasor,,CURENT/andes,GPL-3,Transient Stability Simulator; CURENT LTB.,https://github.com/CURENT/andes,https://ltb.curent.org/,2016-11-07 01:04:50,2025-01-05 22:46:39.355000,2025-01-05 16:16:39,4612.0,114.0,9.0,249.0,23.0,24,True,https://docs.andes.app/en/latest/,15.0,281.0,61.0,2025-01-05 17:48:40.000,1.9.3,114.0,19.0,"['gha', 'azure', 'pypi', 'conda', 'jupyter', 'python', 'julia']",andes,conda-forge/andes,,12930.0,28.0,24.0,https://pypi.org/project/andes,2025-01-05 17:48:40.000,4.0,2709.0,https://anaconda.org/conda-forge/andes,2025-01-05 22:46:39.355,582641.0,1.0,,CURENT/andes,https://hub.docker.com/r/CURENT/andes,,,,,
