,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id,new_addition
10,pmuBAGE,data,['university'],True,NanpengYu/pmuBAGE,,Synthetic phasor measurement unit dataset.,https://github.com/NanpengYu/pmuBAGE,https://github.com/NanpengYu/pmuBAGE,2022-03-18 05:10:00,2022-04-07 00:15:41.000000,2022-04-07 00:15:41,18.0,2.0,1.0,9.0,2.0,0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PowerCyber Training,book,"['jupyter', 'gha', 'python', 'university']",True,PowerCyberTraining/powercybertraining.github.io,CC BY-NC-ND 4.0,PowerCyber Training modules source.,https://github.com/PowerCyberTraining/powercybertraining.github.io,https://powercybertraining.github.io,2024-02-16 22:06:15,2025-07-31 06:52:17.000000,2025-07-31 06:52:03,231.0,2.0,,3.0,8.0,0,True,,1.0,22.0,1.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,
12,TextbookSimulations,book,"['julia', 'jupyter', 'university']",True,Power-Systems-Textbook/TextbookSimulations,CC0-1.0,Examples and problems accompanying Daniel Kirschens Power Systems Textbook.,https://github.com/Power-Systems-Textbook/TextbookSimulations,https://github.com/Power-Systems-Textbook/TextbookSimulations,2022-10-12 19:10:15,2023-11-08 22:54:41.000000,2023-11-08 22:54:34,56.0,3.0,,12.0,2.0,0,True,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,UTK ECE 522 - Power System Analysis II,book,"['python', 'jupyter', 'university']",True,CURENT/ece522,MIT,Hands-on Project for Power System Analysis II (UTK ECE 522).,https://github.com/CURENT/ece522,https://github.com/CURENT/ece522,2023-01-18 03:35:44,2025-02-01 19:05:43.000000,2025-02-01 19:05:41,14.0,2.0,,5.0,4.0,0,True,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ELEC0447 Analysis of Electric Power and Energy Systems,book,"['python', 'jupyter', 'university']",True,bcornelusse/ELEC0447-analysis-power-systems,BSD-2.0,Masters course of power systems analysis at ULige.,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,2020-06-17 14:45:34,2025-07-14 07:00:26.000000,2025-07-14 07:00:23,269.0,7.0,1.0,24.0,6.0,0,True,,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
15,Tutorial on DER Hosting Capacity Part 0,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,BSD-3.0,Using dss_python.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,2022-11-30 04:16:00,2024-12-09 04:10:44.000000,2024-12-09 04:10:38,45.0,4.0,,5.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Tutorial on DER Hosting Capacity Part 1,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,BSD-3.0,Advanced Tools for the Analysis of Three-Phase Unbalanced LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,2023-03-09 03:28:07,2025-03-25 01:08:53.000000,2025-03-25 01:08:48,33.0,3.0,,3.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Tutorial on DER Hosting Capacity Part 2,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,BSD-3.0,Time-Series Analysis and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,2022-12-01 03:15:41,2025-03-25 01:02:03.000000,2025-03-25 01:02:01,40.0,1.0,,2.0,6.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Tutorial on DER Hosting Capacity Part 3,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,BSD-3.0,Volt-Watt Control and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,2023-05-29 06:17:07,2025-03-31 02:33:02.000000,2025-03-31 02:32:56,19.0,,,1.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Tutorial on DER Hosting Capacity Part 4,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,BSD-3.0,Monte Carlo Assessment of PV Hosting Capacity of an Integrated MV-LV Network.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,2023-05-29 23:51:23,2024-12-09 03:42:30.000000,2024-12-09 03:42:26,27.0,2.0,,2.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,LTB Demo,book,"['jupyter', 'python', 'university']",True,CURENT/demo,MIT,Ready-to-use LTB usage examples.,https://github.com/CURENT/demo,https://ltb.curent.org,2023-03-28 15:37:01,2025-06-30 17:03:18.000000,2025-06-30 17:03:16,218.0,1.0,1.0,2.0,3.0,0,True,,1.0,,,,,,97.0,,,,,,,,,,,,,,,,,,,,,,
21,OR-Tools,ops,"['gha', 'python', 'cpp', 'java', 'for-profit']",,google/or-tools,Apache-2,Google Optimization Tools.,https://github.com/google/or-tools,https://developers.google.com/optimization/,2015-02-21 01:25:35,2025-07-29 17:59:36.000000,2025-07-29 17:59:28,15258.0,2230.0,71.0,12297.0,192.0,40,True,https://developers.google.com/optimization/introduction,309.0,525.0,3056.0,2025-06-19 15:45:38.000,9.14.6206,82.0,111.0,ortools,conda-forge/ortools-python,942065.0,2162933.0,660.0,348.0,https://pypi.org/project/ortools,2025-06-19 15:45:38.000,312.0,2152253.0,https://anaconda.org/conda-forge/ortools-python,2025-04-22 14:58:03.564,121371.0,1.0,,,,,,,,
22,Pyomo,opl,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'lab']",,Pyomo/pyomo,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,https://www.pyomo.org,2016-05-27 19:33:45,2025-07-29 17:57:47.000000,2025-07-29 17:57:47,27683.0,531.0,314.0,2242.0,178.0,40,True,https://pyomo.readthedocs.io/en/stable/,61.0,2228.0,1138.0,2025-04-16 18:50:07.000,6.9.2,70.0,503.0,Pyomo,conda-forge/pyomo,4821.0,582752.0,4838.0,4555.0,https://pypi.org/project/Pyomo,2025-02-21 15:30:59.000,283.0,557139.0,https://anaconda.org/conda-forge/pyomo,2025-04-22 14:56:22.654,1555268.0,1.0,,,,,,,,
23,CVXPY,opl,"['gha', 'pypi', 'conda', 'python', 'university']",,cvxpy/cvxpy,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58,2025-07-22 15:59:57.000000,2025-07-22 15:59:57,3661.0,1113.0,265.0,5857.0,219.0,39,True,http://www.cvxpy.org/,128.0,1158.0,1297.0,2025-07-18 21:44:46.000,1.7.1,140.0,30.0,cvxpy,conda-forge/cvxpy,621.0,2136466.0,18777.0,18071.0,https://pypi.org/project/cvxpy,2025-07-18 21:44:46.000,706.0,2107985.0,https://anaconda.org/conda-forge/cvxpy,2025-07-19 07:23:39.289,1736849.0,2.0,,,,,,,,
24,Xopt,ops,"['gha', 'python', 'pypi', 'conda', 'lab']",,google/or-tools,MPL-2.0,Flexible high-level optimization in Python.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-07-29 17:59:36.000000,2025-07-29 17:59:28,15258.0,2230.0,71.0,12297.0,192.0,38,True,https://xopt.xopt.org/index.html,309.0,525.0,3056.0,2025-07-03 20:39:16.000,2.6.4,51.0,111.0,xopt,conda-forge/xopt,942065.0,9734.0,351.0,348.0,https://pypi.org/project/xopt,2025-07-03 20:39:16.000,3.0,638.0,https://anaconda.org/conda-forge/xopt,2025-07-04 01:35:40.611,56808.0,1.0,,,,,,,,
25,Tulip,ops,"['gha', 'julia', 'university']",,google/or-tools,MPL-2.0,Interior-point solver in pure Julia.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-07-29 17:59:36.000000,2025-07-29 17:59:28,15258.0,2230.0,71.0,12297.0,192.0,36,True,https://ds4dm.github.io/Tulip.jl/stable/,309.0,525.0,3056.0,2025-06-19 09:17:59.000,9.14,51.0,111.0,,,942065.0,7983.0,348.0,348.0,,,,,,,,2.0,,,,,,,,
26,HiGHS,ops,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'c', 'julia', 'rust', 'r', 'cpp', 'university']",,ERGO-Code/HiGHS,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,https://highs.dev/,2018-03-27 13:57:58,2025-07-31 17:28:49.000000,2025-07-17 10:03:49,11998.0,234.0,112.0,1245.0,91.0,35,True,https://ergo-code.github.io/HiGHS/,37.0,1393.0,806.0,2025-06-06 00:45:35.000,1.11.0,19.0,181.0,highspy,conda-forge/highs,7435.0,343143.0,1878.0,1799.0,https://pypi.org/project/highspy,2025-06-06 00:45:35.000,79.0,341749.0,https://anaconda.org/conda-forge/highs,2025-06-06 11:17:14.240,29348.0,2.0,-1.0,,,,,,,
27,pandapower,steady-state,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'university']",,e2nIEE/pandapower,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,https://www.pandapower.org/,2017-01-12 13:27:53,2025-07-31 14:56:37.000000,2025-07-30 06:22:47,10220.0,508.0,200.0,1007.0,161.0,35,True,https://pandapower.readthedocs.io/en/latest/,51.0,1477.0,880.0,2025-06-16 14:01:20.000,3.1.2,52.0,223.0,pandapower,conda-forge/pandapower,,62398.0,569.0,501.0,https://pypi.org/project/pandapower,2025-06-16 14:01:20.000,68.0,61894.0,https://anaconda.org/conda-forge/pandapower,2025-06-16 20:52:02.983,29679.0,1.0,,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,107.0,,,
28,PyPSA,steady-state,"['gha', 'pypi', 'conda', 'python', 'jupyter', 'university']",,PyPSA/PyPSA,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,https://pypsa.org,2016-01-11 09:04:18,2025-07-31 15:41:44.000000,2025-07-31 06:35:41,3000.0,528.0,107.0,1602.0,101.0,32,True,https://pypsa.readthedocs.io/en/latest/,72.0,856.0,324.0,2025-07-03 14:36:53.000,0.35.1,72.0,44.0,pypsa,conda-forge/pypsa,,11628.0,329.0,300.0,https://pypi.org/project/pypsa,2025-07-03 14:36:53.000,29.0,9090.0,https://anaconda.org/conda-forge/pypsa,2025-07-04 06:57:40.245,152313.0,1.0,,,,,,,,
29,OSQP,ops,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r', 'university']",,osqp/osqp,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,https://osqp.org,2016-09-27 03:02:46,2025-07-11 17:12:44.000000,2025-06-06 17:41:59,2973.0,369.0,101.0,1914.0,36.0,31,True,https://osqp.org/docs/get_started/,42.0,299.0,277.0,2025-04-02 14:38:01.000,1.0.3,43.0,7.0,osqp,conda-forge/osqp,122428.0,2229913.0,110.0,,https://pypi.org/project/osqp,2025-05-08 15:15:55.000,110.0,2205808.0,https://anaconda.org/conda-forge/osqp,2025-04-22 14:56:51.918,1234956.0,2.0,,,,,,,,
30,PySCIPOpt,ops,"['gha', 'pypi', 'conda', 'python', 'lab']",,scipopt/PySCIPOpt,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,https://www.scipopt.org/,2016-05-19 14:29:21,2025-07-31 06:41:05.000000,2025-07-31 06:41:04,2151.0,266.0,27.0,903.0,83.0,31,True,https://scipopt.github.io/PySCIPOpt/docs/html/,26.0,458.0,553.0,2025-05-10 10:42:24.000,5.5.0,70.0,25.0,PySCIPOpt,conda-forge/pyscipopt,,119081.0,439.0,383.0,https://pypi.org/project/PySCIPOpt,2025-05-10 09:04:05.000,56.0,108893.0,https://anaconda.org/conda-forge/pyscipopt,2025-05-10 23:39:21.924,539999.0,2.0,,,,,,,,
31,Power Grid Model,steady-state,"['gha', 'pypi', 'conda', 'python', 'c', 'jupyter', 'non-profit']",,PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2025-07-31 15:09:06.000000,2025-07-31 13:08:26,8611.0,40.0,84.0,176.0,27.0,30,True,https://power-grid-model.readthedocs.io/en/stable/,5.0,812.0,158.0,2025-07-31 14:03:02.000,1.11.38,656.0,482.0,power-grid-model,conda-forge/power-grid-model,691.0,189734.0,42.0,32.0,https://pypi.org/project/power-grid-model,2025-07-31 14:03:02.000,10.0,50428.0,https://anaconda.org/conda-forge/power-grid-model,2025-07-29 19:00:36.044,3618372.0,1.0,,,,,,,,
32,Ipopt,ops,"['pypi', 'conda', 'python', 'non-profit']",,coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,https://www.coin-or.org/,2019-01-28 12:24:22,2025-07-30 18:25:31.132000,2025-07-30 09:38:01,2421.0,293.0,8.0,1605.0,36.0,28,True,https://coin-or.github.io/Ipopt/,46.0,39.0,608.0,2025-07-30 10:34:09.000,releases/3.14.19,33.0,14.0,ipopt,conda-forge/ipopt,22483.0,32505.0,10.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,939.0,https://anaconda.org/conda-forge/ipopt,2025-07-30 18:25:31.132,1779013.0,2.0,2.0,,,,,,,
33,CVXOPT,opl,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'university']",,cvxopt/cvxopt,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,https://cvxopt.org/,2013-02-22 22:14:31,2025-06-16 18:58:35.000000,2025-06-16 18:58:35,60.0,213.0,45.0,1018.0,10.0,27,True,http://cvxopt.org/userguide/,39.0,72.0,150.0,2023-08-09 14:30:49.000,1.3.2,17.0,2.0,cvxopt,conda-forge/cvxopt,,628396.0,14925.0,14500.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,425.0,601961.0,https://anaconda.org/conda-forge/cvxopt,2025-04-22 14:56:23.779,1506832.0,2.0,,,,,,,,
34,OpenModelica,cosime,"['modelica', 'python', 'university']",,OpenModelica/OpenModelica,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,https://openmodelica.org,2015-05-03 16:59:29,2025-07-31 12:44:36.000000,2025-07-31 12:44:36,37548.0,319.0,2086.0,1018.0,196.0,27,True,https://openmodelica.org/useresresources/userdocumentation,54.0,5396.0,6245.0,2025-06-15 20:43:46.000,1.25.1,29.0,118.0,,,388.0,438.0,,,,,,,,,,1.0,,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2025-07-05 16:15:38.018819,53125.0,6.0,,
35,SCS,ops,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'r', 'c', 'university']",,cvxgrp/scs,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,https://github.com/cvxgrp/scs,2013-11-29 23:11:16,2025-07-31 15:04:19.000000,2025-07-31 15:04:19,1276.0,138.0,47.0,581.0,33.0,27,True,https://www.cvxgrp.org/scs/,35.0,130.0,144.0,2024-08-24 15:40:59.000,3.2.7,44.0,6.0,scs,conda-forge/scs,,1800919.0,56.0,,https://pypi.org/project/scs,2025-01-04 17:00:19.000,56.0,1775609.0,https://anaconda.org/conda-forge/scs,2025-04-22 14:56:51.952,1417403.0,3.0,,,,,,,,
36,GridCal,steady-state,"['gha', 'pypi', 'python', 'volunteer']",,SanPen/GridCal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,https://www.eroots.tech/software,2016-01-13 15:40:10,2025-07-31 13:32:08.000000,2025-07-30 17:27:51,7751.0,107.0,24.0,459.0,53.0,27,True,https://gridcal.readthedocs.io/en/latest/?badge=latest,33.0,151.0,237.0,2025-06-11 11:03:48.000,5.3.53,422.0,422.0,GridCal,,49.0,1311.0,10.0,10.0,https://pypi.org/project/GridCal,2025-07-30 16:22:01.000,,1311.0,,,,1.0,1.0,,,,,,,
37,Clarabel.rs,ops,"['gha', 'pypi', 'conda', 'python', 'rust', 'university']",,oxfordcontrol/Clarabel.rs,Apache-2.0,Interior-point solver for convex conic optimisation in Rust.,https://github.com/oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34,2025-06-12 09:01:09.682000,2025-06-11 16:32:36,628.0,35.0,13.0,453.0,11.0,27,True,https://oxfordcontrol.github.io/ClarabelDocs/stable/,12.0,137.0,47.0,2025-06-11 16:48:58.000,0.11.1,18.0,51.0,clarabel,conda-forge/clarabel,,1647574.0,85.0,42.0,https://pypi.org/project/clarabel,2025-06-11 16:48:58.000,43.0,1636263.0,https://anaconda.org/conda-forge/clarabel,2025-06-12 09:01:09.682,237541.0,3.0,,,,,,,,
38,precice,cosime,"['gha', 'c', 'pypi', 'conda', 'university']",,precice/precice,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,https://precice.org/,2015-05-22 14:05:22,2025-07-31 04:03:05.166928,2025-07-29 12:36:47,5490.0,193.0,202.0,820.0,59.0,26,True,https://precice.org/docs.html,36.0,1408.0,730.0,2025-06-18 13:07:35.000,3.2.1,34.0,70.0,pyprecice,conda-forge/pyprecice,36203.0,4689.0,8.0,,https://pypi.org/project/pyprecice,2025-06-18 13:07:35.000,8.0,1330.0,https://anaconda.org/conda-forge/pyprecice,2025-06-18 18:27:09.400,120225.0,3.0,,precice/precice,https://hub.docker.com/r/precice/precice,2025-07-31 04:03:05.166928,28607.0,,,
39,Grid2Op,mrl,"['gha', 'pypi', 'jupyter', 'python', 'for-profit']",,rte-france/Grid2Op,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/Grid2op/grid2op,https://l2rpn.chalearn.org/,2019-10-10 17:04:46,2025-07-29 11:41:35.000000,2025-07-24 14:51:10,3434.0,132.0,58.0,361.0,32.0,26,True,https://grid2op.readthedocs.io/en/latest/,21.0,322.0,321.0,2025-07-24 18:24:04.000,1.12.0,92.0,40.0,Grid2Op,,,1749.0,23.0,,https://pypi.org/project/Grid2Op,2025-07-24 18:24:04.000,23.0,1602.0,,,,1.0,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,10211.0,1.0,Grid2op/grid2op,
40,JuMP,opl,"['gha', 'jupyter', 'julia', 'non-profit']",,jump-dev/JuMP.jl,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,https://jump.dev,2012-10-10 00:34:45,2025-07-31 01:53:13.000000,2025-07-31 01:06:05,5082.0,403.0,12.0,2330.0,164.0,25,True,https://jump.dev/JuMP.jl/stable/,82.0,2463.0,1499.0,2025-07-18 22:36:41.000,1.27.0,84.0,26.0,,,,,,,,,,,,,,3.0,,,,,,,,
41,MATPOWER,steady-state,"['gha', 'octave', 'university']",,MATPOWER/matpower,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,https://matpower.org/,2016-12-16 19:12:30,2025-07-25 17:42:48.262061,2025-07-25 16:56:13,2653.0,161.0,23.0,488.0,22.0,25,True,https://matpower.org/doc/,29.0,53.0,203.0,2025-07-13 02:31:28.000,8.1,6.0,84.0,,,596805.0,7488.0,,,,,,,,,,1.0,,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2025-07-25 17:42:48.262061,2962.0,,,
42,GridStatus,data,"['gha', 'pypi', 'python', 'for-profit']",,kmax12/gridstatus,BSD-3,Extract data from ISOs and other sources.,https://github.com/gridstatus/gridstatus,https://www.gridstatus.io,2022-07-28 19:24:20,2025-07-31 15:40:17.000000,2025-07-31 15:40:13,645.0,66.0,40.0,350.0,32.0,25,True,https://docs.gridstatus.io/en/latest/,11.0,527.0,81.0,2025-04-22 19:32:11.000,0.30.1,32.0,52.0,gridstatus,services/gridstatus,,32738.0,26.0,24.0,https://pypi.org/project/gridstatus,2025-04-22 19:32:11.000,2.0,32736.0,https://anaconda.org/services/gridstatus,2025-03-25 16:20:32.129,28.0,1.0,,,,,,,gridstatus/gridstatus,
43,pandapipes,gasnet,"['gha', 'pypi', 'jupyter', 'python', 'university']",,e2nIEE/pandapipes,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,https://www.pandapipes.org/,2020-02-03 15:04:57,2025-07-17 14:02:37.000000,2025-07-17 14:02:36,2245.0,71.0,86.0,181.0,28.0,25,True,https://jkpandapipes.readthedocs.io/en/latest/,12.0,533.0,87.0,2025-06-27 16:34:37.000,0.12.0,22.0,82.0,pandapipes,,,4856.0,42.0,32.0,https://pypi.org/project/pandapipes,2025-06-27 16:34:37.000,10.0,4856.0,,,,1.0,,,,,,,,
44,ECOS,ops,"['python', 'julia', 'c', 'octave', 'r', 'university']",,embotech/ecos,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,https://github.com/embotech/ecos,2013-02-11 21:27:50,2025-04-22 14:56:51.894000,2022-01-04 22:33:07,622.0,123.0,66.0,512.0,40.0,24,True,https://github.com/embotech/ecos/wiki,35.0,65.0,95.0,2024-06-18 03:47:45.000,2.0.14,24.0,,ecos,conda-forge/ecos,,652925.0,49.0,,https://pypi.org/project/ecos,2024-06-18 03:47:45.000,49.0,633456.0,https://anaconda.org/conda-forge/ecos,2025-04-22 14:56:51.894,1090296.0,3.0,,,,,,,,
