,name,category,resource,github_id,homepage,docs_url,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,recent_commit_count,labels,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,new_addition
10,OSQP,ops,,osqp/osqp,https://osqp.org,https://osqp.org/docs/get_started/,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,2016-09-27 03:02:46.000,2024-02-26 21:00:33.000,2024-02-24 16:24:13,2753.0,318.0,43.0,244.0,84.0,246.0,1517.0,2024-02-05 17:13:54.000,0.6.5,30.0,31.0,30,True,2.0,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r']",osqp,conda-forge/osqp,57632.0,1546038.0,61.0,,https://pypi.org/project/osqp,2024-02-05 17:13:54.000,61.0,1524399.0,https://anaconda.org/conda-forge/osqp,2023-10-06 03:37:44.843,774700.0,1.0,-1.0,,,,,,
11,PySCIPOpt,ops,,scipopt/PySCIPOpt,https://www.scipopt.org/,https://scipopt.github.io/PySCIPOpt/docs/html/,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,2016-05-19 14:29:21.000,2024-02-29 16:17:30.000,2024-02-29 10:52:43,1746.0,240.0,26.0,316.0,26.0,462.0,725.0,2023-12-08 16:02:26.000,4.4.0,60.0,69.0,30,True,44.0,"['gha', 'pypi', 'conda', 'python']",PySCIPOpt,conda-forge/pyscipopt,,15223.0,164.0,150.0,https://pypi.org/project/PySCIPOpt,2023-12-08 16:02:26.000,14.0,9360.0,https://anaconda.org/conda-forge/pyscipopt,2023-12-15 16:30:43.831,211096.0,1.0,,,,,,,
12,PyPSA,steady-state,,PyPSA/PyPSA,https://pypsa.org,https://pypsa.readthedocs.io/en/latest/,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18.000,2024-02-27 16:23:15.000,2024-02-27 16:23:15,2498.0,406.0,71.0,520.0,92.0,231.0,1036.0,2024-02-18 11:19:23.000,0.27.0,52.0,69.0,29,True,101.0,"['gha', 'pypi', 'conda', 'python', 'julia']",pypsa,conda-forge/pypsa,,7900.0,189.0,164.0,https://pypi.org/project/pypsa,2024-02-18 11:19:23.000,25.0,6472.0,https://anaconda.org/conda-forge/pypsa,2024-02-18 19:35:56.265,61405.0,1.0,,,,,,,
13,HiGHS,ops,,ERGO-Code/HiGHS,https://highs.dev/,https://ergo-code.github.io/HiGHS/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58.000,2024-02-29 18:05:03.000,2024-01-29 16:46:04,8803.0,142.0,31.0,975.0,74.0,506.0,750.0,2023-09-29 05:31:06.000,1.6.0,11.0,60.0,28,True,5.0,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'c']",highspy,conda-forge/highs,,43553.0,69.0,64.0,https://pypi.org/project/highspy,2022-12-15 14:07:00.822,5.0,43152.0,https://anaconda.org/conda-forge/highs,2023-09-29 08:09:20.148,2811.0,2.0,,,,,,,
14,OpenModelica,cosime,,OpenModelica/OpenModelica,https://openmodelica.org,https://openmodelica.org/useresresources/userdocumentation,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29.000,2024-02-29 17:35:08.000,2024-02-29 17:35:07,36563.0,280.0,53.0,4299.0,1802.0,5704.0,704.0,2024-02-21 08:42:32.000,1.22.2,19.0,188.0,27,True,172.0,['modelica'],,,358.0,347.0,,,,,,,,,,1.0,,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2023-12-15 14:05:19.336681,36216.0,6.0,
15,SCS,ops,,cvxgrp/scs,https://github.com/cvxgrp/scs,https://www.cvxgrp.org/scs/,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,2013-11-29 23:11:16.000,2024-02-08 10:53:08.793,2023-12-30 12:29:49,1240.0,131.0,36.0,89.0,35.0,135.0,512.0,2023-11-08 15:47:59.000,3.2.4,38.0,27.0,27,True,1.0,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'r', 'c']",scs,conda-forge/scs,,953919.0,78.0,,https://pypi.org/project/scs,2023-11-22 12:02:04.000,78.0,934206.0,https://anaconda.org/conda-forge/scs,2024-02-08 10:53:08.793,768830.0,2.0,,,,,,,
16,JuMP,opl,,jump-dev/JuMP.jl,https://jump.dev,https://jump.dev/JuMP.jl/stable/,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45.000,2024-02-29 14:57:09.000,2024-02-29 03:20:59,4855.0,380.0,84.0,2216.0,86.0,1413.0,2104.0,2024-02-15 19:33:54.000,1.20.0,68.0,149.0,26,True,69.0,"['gha', 'jupyter', 'julia']",,,,,,,,,,,,,,2.0,,,,,,,
17,Ipopt,ops,,coin-or/Ipopt,https://github.com/coin-or/Ipopt,https://coin-or.github.io/Ipopt/,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2014-12-28 02:03:06.000,2024-01-25 22:51:52.000,2024-01-18 03:56:59,2352.0,252.0,43.0,26.0,5.0,565.0,1236.0,2024-01-18 03:59:26.000,releases/3.14.14,29.0,30.0,26,True,5.0,"['pypi', 'conda', 'python']",ipopt,conda-forge/ipopt,11091.0,27197.0,7.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,7.0,1414.0,https://anaconda.org/conda-forge/ipopt,2024-01-19 20:27:56.030,1021709.0,2.0,,,,,,,
18,ECOS,ops,,embotech/ecos,https://github.com/embotech/ecos,https://github.com/embotech/ecos/wiki,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,2013-02-11 21:27:50.000,2024-02-07 08:57:15.979,2022-01-04 22:33:07,622.0,121.0,35.0,65.0,64.0,95.0,437.0,2024-02-07 00:03:53.000,2.0.13,23.0,39.0,26,True,,"['python', 'julia', 'c', 'octave', 'r']",ecos,conda-forge/ecos,,889602.0,85.0,,https://pypi.org/project/ecos,2024-02-07 00:03:53.000,85.0,871796.0,https://anaconda.org/conda-forge/ecos,2024-02-07 08:57:15.979,694445.0,2.0,,,,,,,
19,CVXOPT,opl,,cvxopt/cvxopt,https://cvxopt.org/,http://cvxopt.org/userguide/,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,2013-02-22 22:14:31.000,2023-10-25 15:45:10.000,2023-08-09 09:16:40,55.0,198.0,38.0,65.0,37.0,147.0,940.0,2023-08-09 14:30:49.000,1.3.2,17.0,8.0,25,True,,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia']",cvxopt,conda-forge/cvxopt,,385682.0,9872.0,9186.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,686.0,362814.0,https://anaconda.org/conda-forge/cvxopt,2023-09-23 18:21:52.093,914750.0,3.0,,,,,,,
20,precice,cosime,,precice/precice,https://precice.org/,https://precice.org/docs.html,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,2015-05-22 14:05:22.000,2024-02-29 16:34:05.000,2024-02-29 13:36:09,5044.0,164.0,37.0,1154.0,202.0,619.0,654.0,2024-02-01 11:18:03.000,3.0.0,27.0,55.0,25,True,95.0,"['gha', 'c']",pyprecice,conda-forge/pyprecice,23432.0,1863.0,1.0,,https://pypi.org/project/pyprecice,2024-02-06 12:45:48.000,1.0,768.0,https://anaconda.org/conda-forge/pyprecice,2024-02-07 12:18:39.110,17174.0,3.0,,precice/precice,https://hub.docker.com/r/precice/precice,2024-02-29 03:13:13.021080,15437.0,,
21,GridCal,steady-state,,SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,https://gridcal.readthedocs.io/en/latest/?badge=latest,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,2016-01-13 15:40:10.000,2024-02-29 16:07:27.000,2024-02-23 20:58:22,3725.0,83.0,33.0,108.0,70.0,81.0,371.0,2024-01-05 08:47:18.000,5.0.11,279.0,38.0,25,True,458.0,"['gha', 'pypi', 'python']",GridCal,,33.0,1305.0,7.0,7.0,https://pypi.org/project/GridCal,2024-01-04 16:05:24.000,,1305.0,,,,1.0,,,,,,,
22,Grid2Op,mrl,,rte-france/Grid2Op,https://l2rpn.chalearn.org/,https://grid2op.readthedocs.io/en/latest/,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,2019-10-10 17:04:46.000,2024-02-19 13:53:08.000,2024-01-26 09:33:47,2874.0,107.0,17.0,243.0,38.0,289.0,254.0,2024-01-26 10:15:04.000,1.9.8,76.0,31.0,25,True,33.0,"['gha', 'pypi', 'jupyter', 'python']",Grid2Op,,,1908.0,10.0,,https://pypi.org/project/Grid2Op,2024-01-26 10:15:04.000,10.0,1721.0,,,,1.0,-1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,9730.0,1.0,
23,Power Grid Model,steady-state,,PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,https://power-grid-model.readthedocs.io/en/stable/,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31.000,2024-02-29 08:49:48.000,2024-02-28 16:44:31,4353.0,22.0,5.0,386.0,49.0,70.0,113.0,2024-02-28 17:39:06.000,1.7.3,339.0,21.0,25,True,522.0,"['gha', 'pypi', 'conda', 'python', 'c']",power-grid-model,conda-forge/power-grid-model,543.0,55057.0,5.0,4.0,https://pypi.org/project/power-grid-model,2024-02-28 17:38:43.000,1.0,41384.0,https://anaconda.org/conda-forge/power-grid-model,2024-02-28 21:04:51.069,122247.0,1.0,,,,,,,
24,Atlite,data,,PyPSA/atlite,https://pypsa.org,https://atlite.readthedocs.io/en/master/?badge=master,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,2016-11-03 23:59:25.000,2024-02-21 06:45:55.000,2024-02-15 19:35:05,715.0,73.0,14.0,232.0,26.0,84.0,230.0,2023-10-25 10:29:04.000,0.2.12,16.0,28.0,24,True,16.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",atlite,conda-forge/atlite,,5154.0,50.0,50.0,https://pypi.org/project/atlite,2023-10-25 07:26:07.000,,4212.0,https://anaconda.org/conda-forge/atlite,2023-10-25 10:06:22.403,41449.0,1.0,,,,,,,
25,LTB ANDES,phasor,,CURENT/andes,https://ltb.curent.org/,https://docs.andes.app/en/latest/,GPL-3,Transient Stability Simulator; CURENT LTB.,https://github.com/CURENT/andes,2016-11-07 01:04:50.000,2024-02-24 04:39:44.000,2024-02-24 04:39:43,4448.0,94.0,16.0,267.0,6.0,48.0,193.0,2024-02-04 23:06:46.000,1.9.1,112.0,21.0,24,True,24.0,"['gha', 'azure', 'pypi', 'conda', 'jupyter', 'python']",andes,conda-forge/andes,,12548.0,17.0,15.0,https://pypi.org/project/andes,2024-02-04 23:06:46.000,2.0,3179.0,https://anaconda.org/conda-forge/andes,2024-02-05 23:32:00.036,421587.0,1.0,1.0,cuihantao/andes,https://hub.docker.com/r/cuihantao/andes,2020-12-10 15:50:41.614180,119.0,,
26,HELICS,msg,,GMLC-TDC/HELICS,https://helics.org/tools/,https://docs.helics.org/en/latest/,BSD-3,Co-simulation framework.,https://github.com/GMLC-TDC/HELICS,2017-06-01 17:03:19.000,2024-02-29 16:26:44.000,2024-02-07 04:54:12,3483.0,38.0,13.0,1948.0,77.0,561.0,111.0,2024-02-07 05:56:36.000,3.5.0,100.0,38.0,24,True,35.0,"['gha', 'pypi', 'conda', 'python', 'julia', 'octave', 'java', 'c']",helics,conda-forge/helics,20891.0,8778.0,5.0,,https://pypi.org/project/helics,2022-07-06 18:33:31.000,5.0,8186.0,https://anaconda.org/conda-forge/helics,2023-06-16 16:09:19.777,20268.0,1.0,1.0,,,,,,
27,CBC,ops,,coin-or/Cbc,https://github.com/coin-or/Cbc,https://coin-or.github.io/Cbc/Doxygen/,EPL-2.0,COIN-OR Branch-and-Cut solver.,https://github.com/coin-or/Cbc,2016-05-16 16:52:52.581,2024-02-13 11:16:00.000,2024-02-13 11:08:36,2465.0,100.0,39.0,58.0,126.0,346.0,713.0,2023-10-25 18:18:31.000,releases/2.10.11,12.0,29.0,23,True,7.0,"['gha', 'conda', 'python', 'julia', 'c']",,conda-forge/coincbc,18814.0,10335.0,,,,,,,https://anaconda.org/conda-forge/coincbc,2023-06-16 13:17:24.974,930550.0,3.0,,,,,,,
28,Clarabel.rs,ops,,oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,https://oxfordcontrol.github.io/ClarabelDocs/stable/,Apache-2.0,Interior-point solver for convex conic optimisation in Rust.,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34.000,2024-02-29 17:19:28.000,2024-02-29 17:19:25,334.0,16.0,9.0,56.0,8.0,12.0,224.0,2024-02-27 00:31:45.000,0.7.0,11.0,5.0,23,True,23.0,"['gha', 'pypi', 'conda', 'python', 'rust']",clarabel,conda-forge/clarabel,,639575.0,16.0,5.0,https://pypi.org/project/clarabel,2024-02-27 00:31:45.000,11.0,633934.0,https://anaconda.org/conda-forge/clarabel,2023-10-12 05:52:15.246,22566.0,3.0,2.0,,,,,,
29,PowSyBl Core,steady-state,,powsybl/powsybl-core,https://www.powsybl.org,https://www.javadoc.io/doc/com.powsybl/powsybl-core/latest/,MPL-2.0,Framework to build power system software.,https://github.com/powsybl/powsybl-core,2017-09-29 14:51:18.000,2024-02-29 16:24:00.000,2024-02-28 16:08:13,3095.0,38.0,21.0,2419.0,238.0,300.0,116.0,2024-02-23 09:05:21.000,6.2.2,92.0,101.0,23,True,81.0,"['gha', 'java']",,,95.0,1.0,75.0,75.0,,,,,,,,2.0,,,,,,,
30,pandapipes,gasnet,,e2nIEE/pandapipes,https://www.pandapipes.org/,https://jkpandapipes.readthedocs.io/en/latest/,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,2020-02-03 15:04:57.000,2024-02-28 11:14:53.000,2023-12-22 08:55:40,1754.0,49.0,10.0,432.0,51.0,77.0,114.0,2023-12-22 10:36:39.000,0.9.0,16.0,20.0,23,True,89.0,"['gha', 'pypi', 'jupyter', 'python']",pandapipes,,,2229.0,20.0,18.0,https://pypi.org/project/pandapipes,2023-12-22 10:37:47.000,2.0,2229.0,,,,1.0,,,,,,,
31,AMPLPY,ops,,ampl/amplpy,https://ampl.com/,https://amplpy.readthedocs.io/en/latest/,BSD-3,Python API for AMPL.,https://github.com/ampl/amplpy,2017-06-27 00:22:07.000,2024-02-27 11:38:35.000,2024-02-27 11:38:28,665.0,19.0,14.0,6.0,1.0,45.0,60.0,2024-02-20 21:44:15.000,0.13.3,166.0,8.0,23,True,48.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",amplpy,conda-forge/amplpy,,30434.0,65.0,62.0,https://pypi.org/project/amplpy,2024-02-20 21:44:15.000,3.0,25634.0,https://anaconda.org/conda-forge/amplpy,2024-02-21 11:55:21.068,201603.0,3.0,,,,,,,
32,MATPOWER,steady-state,,MATPOWER/matpower,https://matpower.org/,https://matpower.org/doc/,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,2016-12-16 19:12:30.000,2024-02-27 21:35:46.000,2024-02-27 21:05:44,2439.0,151.0,29.0,42.0,36.0,148.0,371.0,2020-10-08 23:57:49.000,7.1,4.0,16.0,22,True,71.0,"['gha', 'octave']",,,446430.0,7099.0,,,,,,,,,,2.0,,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2024-02-06 00:08:19.881110,1150.0,,
33,PyPSA-Eur,steady-state,,PyPSA/pypsa-eur,https://pypsa.org,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,MIT,Sector-Coupled Optimisation Model of the European Energy System.,https://github.com/PyPSA/pypsa-eur,2017-10-11 23:54:41.000,2024-02-28 15:41:52.000,2024-02-28 15:41:51,4066.0,178.0,16.0,577.0,139.0,246.0,266.0,2024-02-19 16:27:19.000,0.10.0,14.0,61.0,22,True,665.0,"['gha', 'python']",,,,0.0,,,,,,,,,,2.0,,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,2022-04-11 21:54:31.539284,37.0,,
34,PowerSimulations.jl,steady-state,,NREL-Sienna/PowerSimulations.jl,https://www.nrel.gov/analysis/sienna.html,https://nrel-sienna.github.io/PowerSimulations.jl/latest,BSD-3,Power Systems optimization simulation and modeling; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulations.jl,2017-11-03 21:11:22.000,2024-02-29 17:24:33.000,2024-02-26 19:52:04,8434.0,49.0,18.0,763.0,34.0,258.0,255.0,2024-02-20 00:08:19.000,0.27.4,100.0,35.0,22,True,150.0,"['gha', 'julia']",,,,,,,,,,,,,,2.0,,,,,,,
35,powerplantmatching,data,,PyPSA/powerplantmatching,https://pypsa.org,https://atlite.readthedocs.io/en/master/?badge=master,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,2016-08-15 16:36:25.000,2024-02-15 19:35:26.000,2024-02-15 19:35:25,874.0,47.0,20.0,76.0,25.0,55.0,135.0,2024-02-07 10:37:08.000,0.5.11,21.0,22.0,22,True,24.0,"['gha', 'pypi', 'conda', 'python']",powerplantmatching,conda-forge/powerplantmatching,52.0,1808.0,41.0,41.0,https://pypi.org/project/powerplantmatching,2024-02-07 10:36:12.000,,1012.0,https://anaconda.org/conda-forge/powerplantmatching,2024-02-07 12:48:22.356,30266.0,2.0,,,,,,,
36,GridStatus,data,,kmax12/gridstatus,https://www.gridstatus.io,https://docs.gridstatus.io/en/latest/,BSD-3,Extract data from ISOs and other sources.,https://github.com/kmax12/gridstatus,2022-07-28 19:24:20.000,2024-02-28 21:28:04.000,2024-02-28 21:22:26,345.0,35.0,7.0,245.0,64.0,50.0,228.0,2024-02-27 19:28:43.000,0.26.0,26.0,19.0,21,True,29.0,"['gha', 'pypi', 'python']",gridstatus,,,5593.0,7.0,6.0,https://pypi.org/project/gridstatus,2024-02-27 19:28:43.000,1.0,5593.0,,,,3.0,,,,,,,
37,Dynaωo,phasor,,dynawo/dynawo,http://dynawo.org,https://dynawo.github.io/docs/,MPL-2.0,C++/Modelica simulation tools for power systems.,https://github.com/dynawo/dynawo,2019-01-29 13:29:35.000,2024-02-29 14:14:22.000,2024-02-29 09:24:43,2169.0,20.0,9.0,1828.0,100.0,1231.0,62.0,2023-10-05 07:46:05.000,1.5.0,16.0,50.0,21,True,31.0,['gha'],,,14842.0,243.0,,,,,,,,,,1.0,,,,,,,
38,OpenDSSDirect.py,intf,,dss-extensions/OpenDSSDirect.py,https://dss-extensions.org/,https://dss-extensions.org/OpenDSSDirect.py/,MIT,A direct library interface to OpenDSS.,https://github.com/dss-extensions/OpenDSSDirect.py,2017-06-20 19:18:22.000,2024-02-25 21:47:58.000,2024-02-25 21:44:04,445.0,20.0,14.0,31.0,14.0,86.0,78.0,2023-06-28 03:33:01.000,0.8.4,43.0,3.0,20,True,38.0,"['gha', 'pypi', 'python', 'jupyter']",OpenDSSDirect.py,,,4376.0,61.0,45.0,https://pypi.org/project/OpenDSSDirect.py,2021-03-11 01:53:34.000,16.0,4376.0,,,,1.0,,,,,,,
39,PyPowSyBl,steady-state,,powsybl/pypowsybl,https://www.powsybl.org,https://pypowsybl.readthedocs.io/en/latest/,MPL-2.0,A PowSyBl and Python integration.,https://github.com/powsybl/pypowsybl,2020-11-09 10:30:33.000,2024-02-29 15:16:53.000,2024-02-23 07:29:01,531.0,8.0,19.0,550.0,43.0,130.0,44.0,2024-02-16 14:18:16.000,1.3.0,31.0,21.0,20,True,32.0,"['gha', 'pypi', 'python', 'java']",pypowsybl,,,3251.0,3.0,,https://pypi.org/project/pypowsybl,2024-02-16 14:18:16.000,3.0,3251.0,,,,2.0,,,,,,,
40,PowerModels.jl,steady-state,,lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,https://lanl-ansi.github.io/PowerModels.jl/stable/,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54.000,2024-01-26 07:56:17.000,2024-01-19 18:39:57,977.0,136.0,26.0,431.0,86.0,389.0,363.0,2024-01-19 19:26:02.000,0.21.0,75.0,29.0,19,True,18.0,"['gha', 'julia']",,,,,,,,,,,,,,2.0,,,,,,,
41,PYPOWER,steady-state,,rwl/PYPOWER,rwl.github.io/PYPOWER/api/,http://rwl.github.io/PYPOWER/index.html,BSD,Port of MATPOWER to Python.,https://github.com/rwl/PYPOWER,2009-05-22 12:14:47.000,2023-07-06 21:40:30.000,2023-03-29 15:07:00,351.0,110.0,25.0,44.0,30.0,11.0,301.0,2023-03-29 15:17:01.097,5.1.16,17.0,20.0,19,True,,"['gha', 'pypi', 'conda', 'python']",PYPOWER,invenia/pypower,,3968.0,121.0,99.0,https://pypi.org/project/PYPOWER,2023-03-29 15:17:01.097,22.0,3929.0,https://anaconda.org/invenia/pypower,2023-06-16 13:21:19.108,3146.0,2.0,,hwanghust/pypower,https://hub.docker.com/r/hwanghust/pypower,2019-05-19 07:28:05.197725,17.0,,
