,name,category,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,labels,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id
10,A new power system benchmark,data,True,lbl-hub/CSEE-Benchmark,,A new type of power system calculation example by the China EPRI.,https://github.com/lbl-hub/CSEE-Benchmark,https://github.com/lbl-hub/CSEE-Benchmark,2023-12-18 09:09:08,2024-02-21 11:00:25.000000,2024-02-21 11:00:25,151.0,3.0,,23.0,,0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,pmuBAGE,data,True,NanpengYu/pmuBAGE,,Synthetic phasor measurement unit dataset.,https://github.com/NanpengYu/pmuBAGE,https://github.com/NanpengYu/pmuBAGE,2022-03-18 05:10:00,2022-04-07 00:15:41.000000,2022-04-07 00:15:41,18.0,1.0,1.0,7.0,2.0,0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TextbookSimulations,book,True,Power-Systems-Textbook/TextbookSimulations,CC0-1.0,Examples and problems accompanying Daniel Kirschens Power Systems Textbook.,https://github.com/Power-Systems-Textbook/TextbookSimulations,https://github.com/Power-Systems-Textbook/TextbookSimulations,2022-10-12 19:10:15,2023-11-08 22:54:41.000000,2023-11-08 22:54:34,56.0,3.0,,11.0,2.0,0,True,,,4.0,,,,,,"['julia', 'jupyter']",,,,,,,,,,,,,,,,,,,,,
13,UTK ECE 522 - Power System Analysis II,book,True,CURENT/ece522,MIT,Hands-on Project for Power System Analysis II (UTK ECE 522).,https://github.com/CURENT/ece522,https://github.com/CURENT/ece522,2023-01-18 03:35:44,2025-02-01 19:05:43.000000,2025-02-01 19:05:41,14.0,1.0,,4.0,4.0,0,True,,2.0,1.0,,,,,1.0,"['python', 'jupyter']",,,,,,,,,,,,,,,,,,,,,
14,ELEC0447 Analysis of Electric Power and Energy Systems,book,True,bcornelusse/ELEC0447-analysis-power-systems,BSD-2.0,Masters course of power systems analysis at ULige.,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,2020-06-17 14:45:34,2024-11-28 10:42:50.000000,2024-11-28 10:42:45,268.0,6.0,1.0,22.0,6.0,0,True,,3.0,1.0,,,,,,"['python', 'jupyter']",,,,,,,,,,,,,,,,,,,,,
15,Tutorial on DER Hosting Capacity Part 0,book,True,Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,BSD-3.0,Using dss_python.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,2022-11-30 04:16:00,2024-12-09 04:10:44.000000,2024-12-09 04:10:38,45.0,3.0,,5.0,5.0,0,True,,,,,,,,,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,
16,Tutorial on DER Hosting Capacity Part 1,book,True,Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,BSD-3.0,Advanced Tools for the Analysis of Three-Phase Unbalanced LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,2023-03-09 03:28:07,2025-03-14 00:03:34.000000,2025-03-14 00:00:21,33.0,3.0,,3.0,5.0,0,True,,,,,,,,1.0,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,
17,Tutorial on DER Hosting Capacity Part 2,book,True,Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,BSD-3.0,Time-Series Analysis and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,2022-12-01 03:15:41,2024-12-09 04:22:49.000000,2024-12-09 04:22:09,39.0,1.0,,2.0,6.0,0,True,,,,,,,,,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,
18,Tutorial on DER Hosting Capacity Part 3,book,True,Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,BSD-3.0,Volt-Watt Control and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,2023-05-29 06:17:07,2024-12-09 03:05:32.000000,2024-12-09 03:05:23,18.0,,,1.0,4.0,0,True,,,,,,,,,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,
19,Tutorial on DER Hosting Capacity Part 4,book,True,Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,BSD-3.0,Monte Carlo Assessment of PV Hosting Capacity of an Integrated MV-LV Network.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,2023-05-29 23:51:23,2024-12-09 03:42:30.000000,2024-12-09 03:42:26,27.0,2.0,,2.0,5.0,0,True,,,,,,,,,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,
20,OR-Tools,ops,,google/or-tools,Apache-2,Google Optimization Tools.,https://github.com/google/or-tools,https://developers.google.com/optimization/,2015-02-21 01:25:35,2025-03-20 09:25:57.000000,2025-02-17 11:32:53,13600.0,2179.0,66.0,11717.0,182.0,39,True,https://developers.google.com/optimization/introduction,307.0,491.0,2973.0,2025-02-17 10:02:38.000,9.12,80.0,127.0,"['gha', 'python', 'c', 'java']",ortools,conda-forge/ortools-python,878978.0,1662969.0,590.0,306.0,https://pypi.org/project/ortools,2025-02-17 09:52:42.000,284.0,1652719.0,https://anaconda.org/conda-forge/ortools-python,2023-06-16 19:27:43.665,104145.0,1.0,,,,,,,
21,Pyomo,opl,,Pyomo/pyomo,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,https://www.pyomo.org,2016-05-27 19:33:45,2025-03-20 15:49:04.000000,2025-03-20 15:49:04,26593.0,531.0,309.0,2134.0,168.0,39,True,https://pyomo.readthedocs.io/en/stable/,61.0,2124.0,1110.0,2025-03-05 17:39:04.000,6.9.1,70.0,407.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",Pyomo,conda-forge/pyomo,4092.0,471269.0,3523.0,3240.0,https://pypi.org/project/Pyomo,2025-02-21 15:30:59.000,283.0,446473.0,https://anaconda.org/conda-forge/pyomo,2025-03-05 19:08:31.444,1407158.0,1.0,,,,,,,
22,Xopt,ops,,google/or-tools,MPL-2.0,Flexible high-level optimization in Python.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-03-20 09:25:57.000000,2025-02-17 11:32:53,13600.0,2179.0,66.0,11717.0,182.0,38,True,https://xopt.xopt.org/index.html,307.0,491.0,2973.0,2025-02-21 15:10:21.000,2.5.5,49.0,127.0,"['gha', 'python', 'pypi', 'conda']",xopt,conda-forge/xopt,878978.0,10181.0,309.0,306.0,https://pypi.org/project/xopt,2025-02-21 15:10:21.000,3.0,1497.0,https://anaconda.org/conda-forge/xopt,2025-02-21 20:13:23.591,45781.0,1.0,,,,,,,
23,CVXPY,opl,,cvxpy/cvxpy,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58,2025-03-20 22:50:43.000000,2025-03-20 16:13:07,3618.0,1086.0,252.0,5674.0,213.0,38,True,http://www.cvxpy.org/,126.0,1086.0,1280.0,2025-03-16 00:58:57.000,1.6.4,135.0,43.0,"['gha', 'pypi', 'conda', 'python']",cvxpy,conda-forge/cvxpy,584.0,1881114.0,16395.0,15766.0,https://pypi.org/project/cvxpy,2025-03-16 00:58:57.000,629.0,1853228.0,https://anaconda.org/conda-forge/cvxpy,2025-03-16 09:01:52.166,1589010.0,2.0,1.0,,,,,,
24,Tulip,ops,,google/or-tools,MPL-2.0,Interior-point solver in pure Julia.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-03-20 09:25:57.000000,2025-02-17 11:32:53,13600.0,2179.0,66.0,11717.0,182.0,36,True,https://ds4dm.github.io/Tulip.jl/stable/,307.0,491.0,2973.0,2025-02-17 10:02:38.000,9.12,49.0,127.0,"['gha', 'julia']",,,878978.0,7710.0,306.0,306.0,,,,,,,,2.0,,,,,,,
25,HiGHS,ops,,ERGO-Code/HiGHS,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,https://highs.dev/,2018-03-27 13:57:58,2025-03-20 21:22:58.000000,2025-03-20 15:12:03,11290.0,203.0,108.0,1089.0,84.0,34,True,https://ergo-code.github.io/HiGHS/,36.0,1272.0,719.0,2025-03-20 15:42:25.000,1.10.0,18.0,480.0,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'c']",highspy,conda-forge/highs,32.0,201837.0,741.0,694.0,https://pypi.org/project/highspy,2024-12-20 19:12:50.000,47.0,200707.0,https://anaconda.org/conda-forge/highs,2025-03-20 18:36:43.632,22605.0,2.0,2.0,,,,,,
26,pandapower,steady-state,,e2nIEE/pandapower,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,https://www.pandapower.org/,2017-01-12 13:27:53,2025-03-13 08:56:18.000000,2025-03-13 08:56:18,9793.0,499.0,212.0,942.0,151.0,34,True,https://pandapower.readthedocs.io/en/latest/,50.0,1392.0,845.0,2025-03-06 13:55:15.000,3.0.0,50.0,194.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",pandapower,conda-forge/pandapower,,37298.0,504.0,442.0,https://pypi.org/project/pandapower,2025-03-06 13:53:50.000,62.0,36854.0,https://anaconda.org/conda-forge/pandapower,2024-12-29 08:56:06.461,24419.0,1.0,,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,102.0,,
27,OSQP,ops,,osqp/osqp,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,https://osqp.org,2016-09-27 03:02:46,2025-03-17 19:09:49.000000,2025-03-13 19:32:04,2956.0,358.0,99.0,1816.0,35.0,32,True,https://osqp.org/docs/get_started/,40.0,288.0,268.0,2024-05-22 20:16:31.000,0.6.7,38.0,61.0,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r']",osqp,conda-forge/osqp,106352.0,2231889.0,96.0,,https://pypi.org/project/osqp,2025-03-14 18:04:56.000,96.0,2208045.0,https://anaconda.org/conda-forge/osqp,2024-10-22 00:55:19.396,1136270.0,2.0,,,,,,,
28,PyPSA,steady-state,,PyPSA/PyPSA,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,https://pypsa.org,2016-01-11 09:04:18,2025-03-20 11:19:55.000000,2025-03-19 17:42:40,2920.0,495.0,109.0,1428.0,96.0,32,True,https://pypsa.readthedocs.io/en/latest/,71.0,769.0,304.0,2025-03-12 10:22:43.000,0.33.2,68.0,52.0,"['gha', 'pypi', 'conda', 'python', 'jupyter']",pypsa,conda-forge/pypsa,,17256.0,284.0,257.0,https://pypi.org/project/pypsa,2025-03-12 10:22:43.000,27.0,15102.0,https://anaconda.org/conda-forge/pypsa,2025-03-12 14:19:28.377,120647.0,1.0,,,,,,,
29,PySCIPOpt,ops,,scipopt/PySCIPOpt,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,https://www.scipopt.org/,2016-05-19 14:29:21,2025-03-20 12:56:33.000000,2025-03-20 12:56:32,2115.0,258.0,23.0,859.0,78.0,31,True,https://scipopt.github.io/PySCIPOpt/docs/html/,25.0,416.0,521.0,2025-02-25 17:24:26.000,5.4.1,69.0,26.0,"['gha', 'pypi', 'conda', 'python']",PySCIPOpt,conda-forge/pyscipopt,,70175.0,370.0,323.0,https://pypi.org/project/PySCIPOpt,2025-02-25 17:24:26.000,47.0,60690.0,https://anaconda.org/conda-forge/pyscipopt,2025-02-27 11:54:09.088,464795.0,2.0,,,,,,,
30,Power Grid Model,steady-state,,PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2025-03-20 13:42:42.000000,2025-03-20 11:10:09,7661.0,35.0,70.0,163.0,25.0,28,True,https://power-grid-model.readthedocs.io/en/stable/,5.0,713.0,146.0,2025-03-20 11:45:46.000,1.10.68,579.0,601.0,"['gha', 'pypi', 'conda', 'python', 'c']",power-grid-model,conda-forge/power-grid-model,785.0,211072.0,32.0,26.0,https://pypi.org/project/power-grid-model,2025-03-17 21:24:26.000,6.0,66832.0,https://anaconda.org/conda-forge/power-grid-model,2025-03-19 01:02:48.157,3169842.0,1.0,,,,,,,
31,CVXOPT,opl,,cvxopt/cvxopt,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,https://cvxopt.org/,2013-02-22 22:14:31,2024-10-23 07:22:22.000000,2024-10-23 07:22:17,58.0,208.0,40.0,1011.0,9.0,27,True,http://cvxopt.org/userguide/,39.0,68.0,150.0,2023-08-09 14:30:49.000,1.3.2,17.0,,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia']",cvxopt,conda-forge/cvxopt,,637640.0,13352.0,12966.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,386.0,612317.0,https://anaconda.org/conda-forge/cvxopt,2024-09-04 14:43:27.727,1342133.0,2.0,,,,,,,
32,OpenModelica,cosime,,OpenModelica/OpenModelica,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,https://openmodelica.org,2015-05-03 16:59:29,2025-03-20 19:37:45.000000,2025-03-20 19:37:44,37350.0,312.0,2053.0,940.0,195.0,27,True,https://openmodelica.org/useresresources/userdocumentation,53.0,5166.0,6117.0,2025-03-08 23:49:42.000,1.24.5,27.0,178.0,['modelica'],,,388.0,402.0,,,,,,,,,,1.0,,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2025-03-05 08:55:54.557975,47101.0,6.0,
33,SCS,ops,,cvxgrp/scs,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,https://github.com/cvxgrp/scs,2013-11-29 23:11:16,2025-03-10 21:12:43.000000,2025-02-25 18:44:34,1268.0,138.0,47.0,568.0,29.0,27,True,https://www.cvxgrp.org/scs/,34.0,124.0,142.0,2024-08-24 15:40:59.000,3.2.7,44.0,3.0,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'r', 'c']",scs,conda-forge/scs,,1810379.0,56.0,,https://pypi.org/project/scs,2025-01-04 17:00:19.000,56.0,1785640.0,https://anaconda.org/conda-forge/scs,2025-01-05 23:41:30.140,1286478.0,2.0,,,,,,,
34,GridCal,steady-state,,SanPen/GridCal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,2016-01-13 15:40:10,2025-03-20 21:32:14.000000,2025-02-28 09:30:32,6957.0,102.0,15.0,445.0,51.0,27,True,https://gridcal.readthedocs.io/en/latest/?badge=latest,32.0,146.0,189.0,2025-03-14 14:57:51.000,5.3.18,386.0,405.0,"['gha', 'pypi', 'python']",GridCal,,49.0,4449.0,10.0,10.0,https://pypi.org/project/GridCal,2025-03-14 14:57:51.000,,4449.0,,,,1.0,,,,,,,
35,Clarabel.rs,ops,,oxfordcontrol/Clarabel.rs,Apache-2.0,Interior-point solver for convex conic optimisation in Rust.,https://github.com/oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34,2025-03-12 22:49:19.000000,2025-03-07 17:59:19,567.0,32.0,16.0,412.0,11.0,27,True,https://oxfordcontrol.github.io/ClarabelDocs/stable/,13.0,116.0,43.0,2025-02-02 20:54:40.000,0.10.0,16.0,116.0,"['gha', 'pypi', 'conda', 'python', 'rust']",clarabel,conda-forge/clarabel,,1537497.0,62.0,31.0,https://pypi.org/project/clarabel,2025-02-02 20:54:40.000,31.0,1526973.0,https://anaconda.org/conda-forge/clarabel,2025-02-03 14:31:04.784,178923.0,2.0,,,,,,,
36,Ipopt,ops,,coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,https://www.coin-or.org/,2019-01-28 12:24:22,2025-02-23 11:55:18.000000,2025-02-23 11:54:13,2401.0,285.0,13.0,1520.0,35.0,26,True,https://coin-or.github.io/Ipopt/,45.0,35.0,597.0,2024-12-14 15:03:46.000,releases/3.14.17,32.0,2.0,"['pypi', 'conda', 'python']",ipopt,conda-forge/ipopt,19548.0,31168.0,10.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,1351.0,https://anaconda.org/conda-forge/ipopt,2024-12-16 14:03:01.961,1562783.0,3.0,-1.0,,,,,,
37,JuMP,opl,,jump-dev/JuMP.jl,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,https://jump.dev,2012-10-10 00:34:45,2025-03-18 00:28:22.000000,2025-03-17 23:47:26,5039.0,402.0,12.0,2282.0,162.0,25,True,https://jump.dev/JuMP.jl/stable/,82.0,2416.0,1481.0,2025-02-04 20:13:32.000,1.24.0,81.0,40.0,"['gha', 'jupyter', 'julia']",,,,,,,,,,,,,,3.0,,,,,,,
38,precice,cosime,,precice/precice,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,https://precice.org/,2015-05-22 14:05:22,2025-03-20 13:27:09.000000,2025-03-20 13:27:09,5355.0,185.0,202.0,785.0,59.0,25,True,https://precice.org/docs.html,38.0,1333.0,699.0,2024-08-27 19:31:17.000,3.1.2,32.0,94.0,"['gha', 'c']",pyprecice,conda-forge/pyprecice,33000.0,4798.0,8.0,,https://pypi.org/project/pyprecice,2024-12-05 11:33:19.000,8.0,1718.0,https://anaconda.org/conda-forge/pyprecice,2024-08-28 04:49:54.578,99562.0,3.0,,precice/precice,https://hub.docker.com/r/precice/precice,2025-03-20 03:26:00.838176,25505.0,,
39,Grid2Op,mrl,,rte-france/Grid2Op,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/Grid2op/grid2op,https://l2rpn.chalearn.org/,2019-10-10 17:04:46,2025-03-20 10:08:28.000000,2025-03-07 11:02:19,3167.0,122.0,58.0,322.0,32.0,25,True,https://grid2op.readthedocs.io/en/latest/,20.0,307.0,313.0,2024-10-15 12:45:49.000,1.10.5,89.0,11.0,"['gha', 'pypi', 'jupyter', 'python']",Grid2Op,,,3785.0,21.0,,https://pypi.org/project/Grid2Op,2025-03-07 15:18:33.000,21.0,3630.0,,,,1.0,,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,10078.0,1.0,Grid2op/grid2op
40,HELICS,msg,,GMLC-TDC/HELICS,BSD-3,Co-simulation framework.,https://github.com/GMLC-TDC/HELICS,https://helics.org/tools/,2017-06-01 17:03:19,2025-03-17 17:59:36.000000,2025-02-25 19:58:30,3572.0,42.0,94.0,130.0,39.0,25,True,https://docs.helics.org/en/latest/,15.0,2021.0,581.0,2025-02-28 08:41:58.000,3.6.1,106.0,12.0,"['gha', 'pypi', 'conda', 'python', 'julia', 'octave', 'java', 'c']",helics,conda-forge/helics,26707.0,11038.0,13.0,,https://pypi.org/project/helics,2025-02-28 08:41:58.000,13.0,10465.0,https://anaconda.org/conda-forge/helics,2023-06-16 16:09:19.777,20784.0,1.0,,,,,,,
41,ECOS,ops,,embotech/ecos,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,https://github.com/embotech/ecos,2013-02-11 21:27:50,2024-09-10 06:48:58.359000,2022-01-04 22:33:07,622.0,123.0,66.0,497.0,40.0,24,True,https://github.com/embotech/ecos/wiki,35.0,65.0,95.0,2024-06-18 03:47:45.000,2.0.14,24.0,,"['python', 'julia', 'c', 'octave', 'r']",ecos,conda-forge/ecos,,759705.0,49.0,,https://pypi.org/project/ecos,2024-06-18 03:47:45.000,49.0,740054.0,https://anaconda.org/conda-forge/ecos,2024-09-10 06:48:58.359,1021885.0,3.0,,,,,,,
42,GridStatus,data,,kmax12/gridstatus,BSD-3,Extract data from ISOs and other sources.,https://github.com/gridstatus/gridstatus,https://www.gridstatus.io,2022-07-28 19:24:20,2025-03-20 22:28:17.000000,2025-03-19 20:02:58,557.0,61.0,46.0,316.0,32.0,24,True,https://docs.gridstatus.io/en/latest/,9.0,439.0,73.0,2025-01-27 14:51:43.000,0.29.1,30.0,42.0,"['gha', 'pypi', 'python']",gridstatus,,,16847.0,20.0,18.0,https://pypi.org/project/gridstatus,2025-01-27 14:51:43.000,2.0,16847.0,,,,1.0,-1.0,,,,,,gridstatus/gridstatus
43,Atlite,data,,PyPSA/atlite,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,https://pypsa.org,2016-11-03 23:59:25,2025-03-04 08:09:51.000000,2025-03-04 08:09:50,789.0,101.0,39.0,302.0,40.0,24,True,https://atlite.readthedocs.io/en/master/?badge=master,13.0,301.0,98.0,2025-01-30 11:12:40.000,0.4.0,20.0,13.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",atlite,conda-forge/atlite,,3246.0,91.0,91.0,https://pypi.org/project/atlite,2025-01-30 11:12:40.000,,1988.0,https://anaconda.org/conda-forge/atlite,2025-02-17 07:50:25.233,71732.0,1.0,,,,,,,
44,powerplantmatching,data,,PyPSA/powerplantmatching,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,https://pypsa.org,2016-08-15 16:36:25,2025-03-06 18:55:05.000000,2025-03-04 08:03:04,984.0,63.0,20.0,177.0,33.0,24,True,https://atlite.readthedocs.io/en/master/?badge=master,19.0,137.0,72.0,2025-02-01 11:01:49.000,0.7.1,33.0,19.0,"['gha', 'pypi', 'conda', 'python']",powerplantmatching,conda-forge/powerplantmatching,87.0,2588.0,72.0,72.0,https://pypi.org/project/powerplantmatching,2025-02-01 11:01:49.000,,1364.0,https://anaconda.org/conda-forge/powerplantmatching,2025-02-01 21:53:28.804,62386.0,1.0,,,,,,,
