,name,category,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,labels,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,updated_github_id,new_addition
12,PowerCyber Training,book,True,PowerCyberTraining/powercybertraining.github.io,CC BY-NC-ND 4.0,PowerCyber Training modules source.,https://github.com/PowerCyberTraining/powercybertraining.github.io,https://powercybertraining.github.io,2024-02-16 22:06:15,2025-05-08 17:45:26.000000,2025-04-24 17:13:00,216.0,2.0,,3.0,8.0,0,True,,1.0,21.0,1.0,,,,111.0,"['jupyter', 'gha']",,,,,,,,,,,,,,,,,,,,,,
13,TextbookSimulations,book,True,Power-Systems-Textbook/TextbookSimulations,CC0-1.0,Examples and problems accompanying Daniel Kirschens Power Systems Textbook.,https://github.com/Power-Systems-Textbook/TextbookSimulations,https://github.com/Power-Systems-Textbook/TextbookSimulations,2022-10-12 19:10:15,2023-11-08 22:54:41.000000,2023-11-08 22:54:34,56.0,3.0,,11.0,2.0,0,True,,,4.0,,,,,,"['julia', 'jupyter']",,,,,,,,,,,,,,,,,,,,,,
14,UTK ECE 522 - Power System Analysis II,book,True,CURENT/ece522,MIT,Hands-on Project for Power System Analysis II (UTK ECE 522).,https://github.com/CURENT/ece522,https://github.com/CURENT/ece522,2023-01-18 03:35:44,2025-02-01 19:05:43.000000,2025-02-01 19:05:41,14.0,1.0,,6.0,4.0,0,True,,2.0,1.0,,,,,,"['python', 'jupyter']",,,,,,,,,,,,,,,,,,,,,,
15,ELEC0447 Analysis of Electric Power and Energy Systems,book,True,bcornelusse/ELEC0447-analysis-power-systems,BSD-2.0,Masters course of power systems analysis at ULige.,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,2020-06-17 14:45:34,2024-11-28 10:42:50.000000,2024-11-28 10:42:45,268.0,7.0,1.0,22.0,6.0,0,True,,3.0,1.0,,,,,,"['python', 'jupyter']",,,,,,,,,,,,,,,,,,,,,,
16,Tutorial on DER Hosting Capacity Part 0,book,True,Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,BSD-3.0,Using dss_python.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,2022-11-30 04:16:00,2024-12-09 04:10:44.000000,2024-12-09 04:10:38,45.0,4.0,,5.0,5.0,0,True,,,,,,,,,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,,
17,Tutorial on DER Hosting Capacity Part 1,book,True,Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,BSD-3.0,Advanced Tools for the Analysis of Three-Phase Unbalanced LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,2023-03-09 03:28:07,2025-03-25 01:08:53.000000,2025-03-25 01:08:48,33.0,3.0,,3.0,5.0,0,True,,,,,,,,1.0,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,,
18,Tutorial on DER Hosting Capacity Part 2,book,True,Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,BSD-3.0,Time-Series Analysis and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,2022-12-01 03:15:41,2025-03-25 01:02:03.000000,2025-03-25 01:02:01,40.0,1.0,,2.0,6.0,0,True,,,,,,,,1.0,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,,
19,Tutorial on DER Hosting Capacity Part 3,book,True,Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,BSD-3.0,Volt-Watt Control and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,2023-05-29 06:17:07,2025-03-31 02:33:02.000000,2025-03-31 02:32:56,19.0,,,1.0,4.0,0,True,,,,,,,,1.0,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,,
20,Tutorial on DER Hosting Capacity Part 4,book,True,Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,BSD-3.0,Monte Carlo Assessment of PV Hosting Capacity of an Integrated MV-LV Network.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,2023-05-29 23:51:23,2024-12-09 03:42:30.000000,2024-12-09 03:42:26,27.0,2.0,,2.0,5.0,0,True,,,,,,,,,"['jupyter', 'python']",,,,,,,,,,,,,,,,,,,,,,
21,Pyomo,opl,,Pyomo/pyomo,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,https://www.pyomo.org,2016-05-27 19:33:45,2025-05-07 17:32:01.000000,2025-05-07 17:32:01,27011.0,531.0,314.0,2183.0,170.0,40,True,https://pyomo.readthedocs.io/en/stable/,61.0,2179.0,1119.0,2025-04-16 18:50:07.000,6.9.2,70.0,661.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",Pyomo,conda-forge/pyomo,4325.0,520660.0,4284.0,4001.0,https://pypi.org/project/Pyomo,2025-02-21 15:30:59.000,283.0,495858.0,https://anaconda.org/conda-forge/pyomo,2025-04-22 14:56:22.654,1456847.0,1.0,,,,,,,,
22,OR-Tools,ops,,google/or-tools,Apache-2,Google Optimization Tools.,https://github.com/google/or-tools,https://developers.google.com/optimization/,2015-02-21 01:25:35,2025-05-07 11:29:24.000000,2025-02-17 11:32:53,13600.0,2179.0,67.0,11925.0,182.0,38,True,https://developers.google.com/optimization/introduction,309.0,498.0,2995.0,2025-02-17 10:02:38.000,9.12,80.0,17.0,"['gha', 'python', 'c', 'java']",ortools,conda-forge/ortools-python,900158.0,2031114.0,607.0,323.0,https://pypi.org/project/ortools,2025-02-17 09:52:42.000,284.0,2020779.0,https://anaconda.org/conda-forge/ortools-python,2025-04-22 14:58:03.564,110797.0,1.0,,,,,,,,
23,CVXPY,opl,,cvxpy/cvxpy,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58,2025-05-08 16:54:25.000000,2025-05-08 16:51:39,3633.0,1091.0,256.0,5745.0,216.0,38,True,http://www.cvxpy.org/,129.0,1112.0,1287.0,2025-04-13 02:43:50.000,1.6.5,136.0,41.0,"['gha', 'pypi', 'conda', 'python']",cvxpy,conda-forge/cvxpy,594.0,1953536.0,17618.0,16972.0,https://pypi.org/project/cvxpy,2025-04-13 02:43:50.000,646.0,1925643.0,https://anaconda.org/conda-forge/cvxpy,2025-04-22 14:56:52.267,1645213.0,2.0,,,,,,,,
24,Xopt,ops,,google/or-tools,MPL-2.0,Flexible high-level optimization in Python.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-05-07 11:29:24.000000,2025-02-17 11:32:53,13600.0,2179.0,67.0,11925.0,182.0,37,True,https://xopt.xopt.org/index.html,309.0,498.0,2995.0,2025-04-10 12:34:30.000,2.6.1,49.0,17.0,"['gha', 'python', 'pypi', 'conda']",xopt,conda-forge/xopt,900158.0,9909.0,326.0,323.0,https://pypi.org/project/xopt,2025-04-10 12:34:30.000,3.0,1139.0,https://anaconda.org/conda-forge/xopt,2025-04-22 14:57:19.753,49547.0,1.0,,,,,,,,
25,HiGHS,ops,,ERGO-Code/HiGHS,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,https://highs.dev/,2018-03-27 13:57:58,2025-05-08 15:14:36.000000,2025-03-20 15:12:03,11290.0,210.0,113.0,1158.0,84.0,36,True,https://ergo-code.github.io/HiGHS/,36.0,1311.0,747.0,2025-03-20 15:53:23.000,1.10.0,18.0,278.0,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'c']",highspy,conda-forge/highs,2303.0,250942.0,1411.0,1344.0,https://pypi.org/project/highspy,2025-03-20 15:53:23.000,67.0,249757.0,https://anaconda.org/conda-forge/highs,2025-04-22 14:58:43.376,24838.0,2.0,,,,,,,,
26,Tulip,ops,,google/or-tools,MPL-2.0,Interior-point solver in pure Julia.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-05-07 11:29:24.000000,2025-02-17 11:32:53,13600.0,2179.0,67.0,11925.0,182.0,35,True,https://ds4dm.github.io/Tulip.jl/stable/,309.0,498.0,2995.0,2025-02-17 10:02:38.000,9.12,49.0,17.0,"['gha', 'julia']",,,900158.0,7759.0,323.0,323.0,,,,,,,,2.0,,,,,,,,
27,OSQP,ops,,osqp/osqp,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,https://osqp.org,2016-09-27 03:02:46,2025-05-08 15:15:55.000000,2025-04-09 14:38:29,2966.0,360.0,99.0,1850.0,36.0,33,True,https://osqp.org/docs/get_started/,41.0,295.0,276.0,2025-04-02 14:38:01.000,1.0.3,43.0,44.0,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r']",osqp,conda-forge/osqp,112531.0,2335396.0,110.0,,https://pypi.org/project/osqp,2025-05-08 15:15:55.000,110.0,2311664.0,https://anaconda.org/conda-forge/osqp,2025-04-22 14:56:51.918,1173762.0,2.0,,,,,,,,
28,pandapower,steady-state,,e2nIEE/pandapower,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,https://www.pandapower.org/,2017-01-12 13:27:53,2025-05-07 16:49:33.000000,2025-05-04 15:55:52,9906.0,499.0,212.0,967.0,152.0,33,True,https://pandapower.readthedocs.io/en/latest/,51.0,1424.0,866.0,2025-03-06 13:55:15.000,3.0.0,50.0,168.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",pandapower,conda-forge/pandapower,,49479.0,539.0,477.0,https://pypi.org/project/pandapower,2025-03-06 13:53:50.000,62.0,49018.0,https://anaconda.org/conda-forge/pandapower,2025-04-22 14:57:35.014,26273.0,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,104.0,,,,
29,PyPSA,steady-state,,PyPSA/PyPSA,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,https://pypsa.org,2016-01-11 09:04:18,2025-05-07 21:32:18.000000,2025-05-06 08:01:29,2957.0,509.0,109.0,1501.0,97.0,32,True,https://pypsa.readthedocs.io/en/latest/,71.0,810.0,312.0,2025-04-07 06:19:53.000,0.34.1,70.0,69.0,"['gha', 'pypi', 'conda', 'python', 'jupyter']",pypsa,conda-forge/pypsa,,15642.0,308.0,281.0,https://pypi.org/project/pypsa,2025-04-07 06:19:53.000,27.0,13374.0,https://anaconda.org/conda-forge/pypsa,2025-04-22 14:57:05.764,131547.0,1.0,,,,,,,,
30,PySCIPOpt,ops,,scipopt/PySCIPOpt,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,https://www.scipopt.org/,2016-05-19 14:29:21,2025-05-07 21:16:49.000000,2025-05-06 14:57:39,2129.0,258.0,23.0,872.0,79.0,31,True,https://scipopt.github.io/PySCIPOpt/docs/html/,26.0,430.0,532.0,2025-02-25 17:24:26.000,5.4.1,69.0,29.0,"['gha', 'pypi', 'conda', 'python']",PySCIPOpt,conda-forge/pyscipopt,,76357.0,397.0,350.0,https://pypi.org/project/PySCIPOpt,2025-02-25 17:24:26.000,47.0,66735.0,https://anaconda.org/conda-forge/pyscipopt,2025-04-22 14:57:46.317,490725.0,2.0,,,,,,,,
31,Power Grid Model,steady-state,,PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2025-05-08 15:22:50.000000,2025-05-08 14:47:45,8136.0,35.0,74.0,168.0,26.0,31,True,https://power-grid-model.readthedocs.io/en/stable/,5.0,759.0,149.0,2025-05-08 15:22:50.000,1.10.109,621.0,857.0,"['gha', 'pypi', 'conda', 'python', 'c']",power-grid-model,conda-forge/power-grid-model,661.0,242690.0,33.0,27.0,https://pypi.org/project/power-grid-model,2025-05-08 15:22:50.000,6.0,103737.0,https://anaconda.org/conda-forge/power-grid-model,2025-05-07 17:12:34.744,3332254.0,1.0,,,,,2.0,,,
32,CVXOPT,opl,,cvxopt/cvxopt,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,https://cvxopt.org/,2013-02-22 22:14:31,2025-04-22 14:56:23.779000,2024-10-23 07:22:17,58.0,208.0,40.0,1017.0,9.0,28,True,http://cvxopt.org/userguide/,39.0,70.0,150.0,2023-08-09 14:30:49.000,1.3.2,17.0,,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia']",cvxopt,conda-forge/cvxopt,,603771.0,14241.0,13855.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,386.0,578378.0,https://anaconda.org/conda-forge/cvxopt,2025-04-22 14:56:23.779,1396636.0,2.0,,,,,,,,
33,Ipopt,ops,,coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,https://www.coin-or.org/,2019-01-28 12:24:22,2025-05-06 14:04:23.000000,2025-05-06 14:04:22,2408.0,292.0,10.0,1552.0,36.0,27,True,https://coin-or.github.io/Ipopt/,45.0,37.0,602.0,2024-12-14 15:03:46.000,releases/3.14.17,32.0,9.0,"['pypi', 'conda', 'python']",ipopt,conda-forge/ipopt,20552.0,31904.0,10.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,1640.0,https://anaconda.org/conda-forge/ipopt,2025-04-23 15:02:30.167,1646070.0,2.0,,,,,,,,
34,OpenModelica,cosime,,OpenModelica/OpenModelica,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,https://openmodelica.org,2015-05-03 16:59:29,2025-05-08 14:15:38.000000,2025-05-08 14:15:38,37440.0,315.0,2032.0,968.0,195.0,27,True,https://openmodelica.org/useresresources/userdocumentation,55.0,5270.0,6193.0,2025-03-21 21:34:40.000,1.25.0,28.0,168.0,['modelica'],,,388.0,404.0,,,,,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2025-04-04 21:07:17.080584,48205.0,,6.0,,
35,SCS,ops,,cvxgrp/scs,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,https://github.com/cvxgrp/scs,2013-11-29 23:11:16,2025-04-22 14:56:51.952000,2025-04-15 12:21:10,1270.0,138.0,47.0,570.0,29.0,27,True,https://www.cvxgrp.org/scs/,34.0,125.0,142.0,2024-08-24 15:40:59.000,3.2.7,44.0,3.0,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'r', 'c']",scs,conda-forge/scs,,1695002.0,56.0,,https://pypi.org/project/scs,2025-01-04 17:00:19.000,56.0,1670272.0,https://anaconda.org/conda-forge/scs,2025-04-22 14:56:51.952,1335448.0,2.0,,,,,,,,
36,GridCal,steady-state,,SanPen/GridCal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,2016-01-13 15:40:10,2025-05-08 15:34:02.000000,2025-05-05 10:45:51,7320.0,102.0,34.0,448.0,53.0,27,True,https://gridcal.readthedocs.io/en/latest/?badge=latest,32.0,147.0,211.0,2025-05-05 10:45:43.000,5.3.40,408.0,429.0,"['gha', 'pypi', 'python']",GridCal,,49.0,5786.0,10.0,10.0,https://pypi.org/project/GridCal,2025-05-05 10:45:43.000,,5786.0,,,,1.0,,,,,,,,
37,precice,cosime,,precice/precice,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,https://precice.org/,2015-05-22 14:05:22,2025-05-08 03:40:37.167808,2025-04-16 13:12:31,5420.0,189.0,202.0,795.0,57.0,26,True,https://precice.org/docs.html,38.0,1375.0,705.0,2025-04-02 13:04:58.000,3.2.0,33.0,142.0,"['gha', 'c']",pyprecice,conda-forge/pyprecice,34448.0,4356.0,8.0,,https://pypi.org/project/pyprecice,2025-04-02 13:04:58.000,8.0,1202.0,https://anaconda.org/conda-forge/pyprecice,2025-04-22 14:58:05.392,107090.0,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2025-05-08 03:40:37.167808,26849.0,,,,
38,Clarabel.rs,ops,,oxfordcontrol/Clarabel.rs,Apache-2.0,Interior-point solver for convex conic optimisation in Rust.,https://github.com/oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34,2025-05-08 17:12:09.000000,2025-05-04 10:24:09,570.0,33.0,8.0,430.0,11.0,26,True,https://oxfordcontrol.github.io/ClarabelDocs/stable/,12.0,133.0,46.0,2025-02-02 20:54:40.000,0.10.0,16.0,21.0,"['gha', 'pypi', 'conda', 'python', 'rust']",clarabel,conda-forge/clarabel,,1468402.0,64.0,33.0,https://pypi.org/project/clarabel,2025-02-02 20:54:40.000,31.0,1457932.0,https://anaconda.org/conda-forge/clarabel,2025-04-22 14:58:49.180,198933.0,3.0,,,,,,,,
39,Grid2Op,mrl,,rte-france/Grid2Op,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/Grid2op/grid2op,https://l2rpn.chalearn.org/,2019-10-10 17:04:46,2025-04-30 07:52:29.000000,2025-04-15 06:39:32,3394.0,126.0,55.0,344.0,32.0,26,True,https://grid2op.readthedocs.io/en/latest/,20.0,315.0,321.0,2025-04-15 12:59:54.000,1.11.0,91.0,106.0,"['gha', 'pypi', 'jupyter', 'python']",Grid2Op,,,3392.0,23.0,,https://pypi.org/project/Grid2Op,2025-04-15 12:59:54.000,23.0,3240.0,,,,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,10188.0,,1.0,Grid2op/grid2op,
40,JuMP,opl,,jump-dev/JuMP.jl,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,https://jump.dev,2012-10-10 00:34:45,2025-05-05 20:26:02.000000,2025-05-05 19:41:27,5057.0,403.0,12.0,2301.0,162.0,25,True,https://jump.dev/JuMP.jl/stable/,82.0,2436.0,1487.0,2025-03-26 21:50:38.000,1.25.0,82.0,36.0,"['gha', 'jupyter', 'julia']",,,,,,,,,,,,,,3.0,,,,,,,,
41,ECOS,ops,,embotech/ecos,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,https://github.com/embotech/ecos,2013-02-11 21:27:50,2025-04-22 14:56:51.894000,2022-01-04 22:33:07,622.0,123.0,66.0,499.0,40.0,25,True,https://github.com/embotech/ecos/wiki,35.0,65.0,95.0,2024-06-18 03:47:45.000,2.0.14,24.0,,"['python', 'julia', 'c', 'octave', 'r']",ecos,conda-forge/ecos,,665952.0,49.0,,https://pypi.org/project/ecos,2024-06-18 03:47:45.000,49.0,646522.0,https://anaconda.org/conda-forge/ecos,2025-04-22 14:56:51.894,1049244.0,3.0,,,,,,,,
42,GridStatus,data,,kmax12/gridstatus,BSD-3,Extract data from ISOs and other sources.,https://github.com/gridstatus/gridstatus,https://www.gridstatus.io,2022-07-28 19:24:20,2025-05-08 16:33:31.000000,2025-05-08 00:16:23,597.0,62.0,45.0,331.0,32.0,25,True,https://docs.gridstatus.io/en/latest/,9.0,480.0,74.0,2025-04-22 19:32:11.000,0.30.1,32.0,54.0,"['gha', 'pypi', 'python']",gridstatus,,,28307.0,22.0,20.0,https://pypi.org/project/gridstatus,2025-04-22 19:32:11.000,2.0,28307.0,,,,1.0,,,,,,,gridstatus/gridstatus,
43,LTB ANDES,phasor,,CURENT/andes,GPL-3,Transient Stability Simulator; CURENT LTB.,https://github.com/CURENT/andes,https://ltb.curent.org/,2016-11-07 01:04:50,2025-05-02 01:27:15.000000,2025-05-02 01:27:15,4622.0,120.0,15.0,265.0,24.0,24,True,https://docs.andes.app/en/latest/,14.0,286.0,64.0,2025-01-05 17:48:40.000,1.9.3,114.0,10.0,"['gha', 'azure', 'pypi', 'conda', 'jupyter', 'python', 'julia']",andes,conda-forge/andes,,13125.0,32.0,28.0,https://pypi.org/project/andes,2025-01-05 17:48:40.000,4.0,2864.0,https://anaconda.org/conda-forge/andes,2025-04-22 14:57:03.796,615715.0,1.0,CURENT/andes,https://hub.docker.com/r/CURENT/andes,,,2.0,,,
44,powerplantmatching,data,,PyPSA/powerplantmatching,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,https://pypsa.org,2016-08-15 16:36:25,2025-05-06 08:03:59.000000,2025-05-06 08:03:57,992.0,65.0,21.0,181.0,34.0,24,True,https://atlite.readthedocs.io/en/master/?badge=master,21.0,145.0,74.0,2025-02-01 11:01:49.000,0.7.1,33.0,9.0,"['gha', 'pypi', 'conda', 'python']",powerplantmatching,conda-forge/powerplantmatching,87.0,3034.0,78.0,78.0,https://pypi.org/project/powerplantmatching,2025-02-01 11:01:49.000,,1731.0,https://anaconda.org/conda-forge/powerplantmatching,2025-04-22 14:57:16.346,69017.0,2.0,,,,,,,,
45,PowSyBl Core,steady-state,,powsybl/powsybl-core,MPL-2.0,Framework to build power system software.,https://github.com/powsybl/powsybl-core,https://www.powsybl.org,2017-09-29 14:51:18,2025-05-08 14:31:57.000000,2025-05-06 12:34:39,3445.0,45.0,294.0,134.0,118.0,24,True,https://www.javadoc.io/doc/com.powsybl/powsybl-core/latest/,22.0,2852.0,358.0,2025-05-06 09:05:54.000,6.7.1,100.0,62.0,"['gha', 'java']",,,,,89.0,89.0,,,,,,,,2.0,,,,,,,,
