,name,category,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,labels,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id
10,Electrical Signals Databases,data,True,rte-france/digital-fault-recording-database,ODbL-1.0,Voltage and current samples from Digital Fault Recorder.,https://github.com/rte-france/digital-fault-recording-database,https://dfrdb.rte-france.com/,2024-05-27 07:22:44,2024-07-05 06:56:57.000000,2024-07-05 06:56:57,17.0,8.0,2.0,25.0,2.0,0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A new power system benchmark,data,True,lbl-hub/CSEE-Benchmark,,A new type of power system calculation example by the China EPRI.,https://github.com/lbl-hub/CSEE-Benchmark,https://github.com/lbl-hub/CSEE-Benchmark,2023-12-18 09:09:08,2024-02-21 11:00:25.000000,2024-02-21 11:00:25,151.0,2.0,,20.0,,0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TextbookSimulations,book,True,Power-Systems-Textbook/TextbookSimulations,CC0-1.0,Examples and problems accompanying Daniel Kirschens Power Systems Textbook.,https://github.com/Power-Systems-Textbook/TextbookSimulations,https://github.com/Power-Systems-Textbook/TextbookSimulations,2022-10-12 19:10:15,2023-11-08 22:54:41.000000,2023-11-08 22:54:34,56.0,3.0,,11.0,2.0,0,True,,,4.0,,,,,"['julia', 'jupyter']",,,,,,,,,,,,,,,,,,,,,,
13,UTK ECE 522 - Power System Analysis II,book,True,CURENT/ece522,MIT,Hands-on Project for Power System Analysis II (UTK ECE 522).,https://github.com/CURENT/ece522,https://ltb.curent.org/,2023-01-18 03:35:44,2024-04-07 23:47:16.000000,2024-04-07 23:47:16,13.0,1.0,,4.0,4.0,0,True,,2.0,1.0,,,,,"['python', 'jupyter']",,,,,,,,,,,,,,,,,,,,,,
14,ELEC0447 Analysis of Electric Power and Energy Systems,book,True,bcornelusse/ELEC0447-analysis-power-systems,BSD-2.0,Masters course of power systems analysis at ULige.,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,2020-06-17 14:45:34,2024-11-28 10:42:50.000000,2024-11-28 10:42:45,268.0,6.0,1.0,18.0,6.0,0,True,,3.0,1.0,,,,,"['python', 'jupyter']",8.0,,,,,,,,,,,,,,,,,,,,,
15,Tutorial on DER Hosting Capacity Part 0,book,True,Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,BSD-3.0,Using dss_python.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,https://sites.google.com/view/luisfochoa/research/research-team,2022-11-30 04:16:00,2024-12-09 04:10:44.000000,2024-12-09 04:10:38,45.0,1.0,,5.0,5.0,0,True,,,,,,,,['jupyter'],2.0,,,,,,,,,,,,,,,,,,,,,
16,Tutorial on DER Hosting Capacity Part 1,book,True,Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,BSD-3.0,Advanced Tools for the Analysis of Three-Phase Unbalanced LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,https://sites.google.com/view/luisfochoa/research/research-team,2023-03-09 03:28:07,2024-12-09 04:11:06.000000,2024-12-09 04:11:01,32.0,3.0,,1.0,5.0,0,True,,,,,,,,['jupyter'],7.0,,,,,,,,,,,,,,,,,,,,,
17,Tutorial on DER Hosting Capacity Part 2,book,True,Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,BSD-3.0,Time-Series Analysis and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,https://sites.google.com/view/luisfochoa/research/research-team,2022-12-01 03:15:41,2024-12-09 04:22:49.000000,2024-12-09 04:22:09,39.0,1.0,,2.0,6.0,0,True,,,,,,,,['jupyter'],5.0,,,,,,,,,,,,,,,,,,,,,
18,Tutorial on DER Hosting Capacity Part 3,book,True,Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,BSD-3.0,Volt-Watt Control and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,https://sites.google.com/view/luisfochoa/research/research-team,2023-05-29 06:17:07,2024-12-09 03:05:32.000000,2024-12-09 03:05:23,18.0,,,1.0,4.0,0,True,,,,,,,,['jupyter'],4.0,,,,,,,,,,,,,,,,,,,,,
19,Tutorial on DER Hosting Capacity Part 4,book,True,Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,BSD-3.0,Monte Carlo Assessment of PV Hosting Capacity of an Integrated MV-LV Network.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,https://sites.google.com/view/luisfochoa/research/research-team,2023-05-29 23:51:23,2024-12-09 03:42:30.000000,2024-12-09 03:42:26,27.0,2.0,,2.0,5.0,0,True,,,,,,,,['jupyter'],2.0,,,,,,,,,,,,,,,,,,,,,
20,OR-Tools,ops,,google/or-tools,Apache-2,Google Optimization Tools.,https://github.com/google/or-tools,https://developers.google.com/optimization/,2015-02-21 01:25:35,2025-01-01 14:32:20.000000,2024-12-24 00:31:40,13268.0,2146.0,61.0,11447.0,182.0,38,True,https://developers.google.com/optimization/introduction,308.0,474.0,2924.0,2024-09-16 06:27:03.000,9.11.4210,79.0,"['gha', 'python', 'c', 'java']",8.0,ortools,conda-forge/ortools-python,846510.0,1607087.0,533.0,275.0,https://pypi.org/project/ortools,2024-09-16 06:27:03.000,258.0,1597291.0,https://anaconda.org/conda-forge/ortools-python,2023-06-16 19:27:43.665,87304.0,1.0,,,,,,,
21,CVXPY,opl,,cvxpy/cvxpy,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58,2024-12-23 19:27:46.000000,2024-12-23 19:27:40,3577.0,1068.0,225.0,5535.0,207.0,37,True,http://www.cvxpy.org/,126.0,1013.0,1266.0,2024-11-14 23:49:14.000,1.5.4,131.0,"['gha', 'pypi', 'conda', 'python']",37.0,cvxpy,conda-forge/cvxpy,540.0,2082891.0,15110.0,14529.0,https://pypi.org/project/cvxpy,2024-11-14 23:49:14.000,581.0,2057501.0,https://anaconda.org/conda-forge/cvxpy,2024-08-19 11:50:16.751,1395981.0,1.0,,,,,,,
22,Pyomo,opl,,Pyomo/pyomo,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,https://www.pyomo.org,2016-05-27 19:33:45,2024-12-18 16:21:34.000000,2024-12-18 16:21:34,26054.0,519.0,303.0,2074.0,165.0,37,True,https://pyomo.readthedocs.io/en/stable/,62.0,2069.0,1089.0,2024-11-19 00:02:07.000,6.8.2,69.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",481.0,Pyomo,conda-forge/pyomo,3622.0,416703.0,2729.0,2471.0,https://pypi.org/project/Pyomo,2024-11-18 22:55:21.000,258.0,395615.0,https://anaconda.org/conda-forge/pyomo,2024-11-19 06:38:43.936,1154182.0,1.0,-1.0,,,,,,
23,Xopt,ops,,google/or-tools,MPL-2.0,Flexible high-level optimization in Python.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-01-01 14:32:20.000000,2024-12-24 00:31:40,13268.0,2146.0,61.0,11447.0,182.0,36,True,https://xopt.xopt.org/index.html,308.0,474.0,2924.0,2024-12-29 03:12:22.000,2.4.5,48.0,"['gha', 'python', 'pypi', 'conda']",8.0,xopt,conda-forge/xopt,846510.0,9299.0,277.0,275.0,https://pypi.org/project/xopt,2024-12-29 03:12:22.000,2.0,864.0,https://anaconda.org/conda-forge/xopt,2024-12-29 06:32:58.874,39476.0,1.0,,,,,,,
24,Tulip,ops,,google/or-tools,MPL-2.0,Interior-point solver in pure Julia.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2025-01-01 14:32:20.000000,2024-12-24 00:31:40,13268.0,2146.0,61.0,11447.0,182.0,34,True,https://ds4dm.github.io/Tulip.jl/stable/,308.0,474.0,2924.0,2024-09-13 14:35:44.000,9.11,48.0,"['gha', 'julia']",8.0,,,846510.0,7558.0,275.0,275.0,,,,,,,,2.0,,,,,,,
25,HiGHS,ops,,ERGO-Code/HiGHS,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,https://highs.dev/,2018-03-27 13:57:58,2025-01-02 13:17:15.000000,2025-01-01 15:29:20,10728.0,192.0,103.0,1013.0,79.0,34,True,https://ergo-code.github.io/HiGHS/,36.0,1197.0,667.0,2024-12-21 00:51:48.000,1.9.0,17.0,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'c']",418.0,highspy,conda-forge/highs,,146297.0,269.0,222.0,https://pypi.org/project/highspy,2024-12-20 19:12:50.000,47.0,145540.0,https://anaconda.org/conda-forge/highs,2024-12-21 09:56:26.096,13640.0,2.0,,,,,,,
26,pandapower,steady-state,,e2nIEE/pandapower,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,https://www.pandapower.org/,2017-01-12 13:27:53,2024-12-29 08:56:06.461000,2024-12-20 07:29:36,9372.0,474.0,232.0,906.0,142.0,33,True,https://pandapower.readthedocs.io/en/latest/,52.0,1359.0,823.0,2024-08-07 13:31:06.000,2.14.11,48.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",216.0,pandapower,conda-forge/pandapower,,25712.0,460.0,402.0,https://pypi.org/project/pandapower,2024-12-20 07:06:49.000,58.0,25310.0,https://anaconda.org/conda-forge/pandapower,2024-12-29 08:56:06.461,21263.0,1.0,,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,101.0,,
27,PyPSA,steady-state,,PyPSA/PyPSA,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,https://pypsa.org,2016-01-11 09:04:18,2025-01-02 14:39:46.000000,2025-01-02 14:39:46,2869.0,463.0,111.0,1295.0,90.0,31,True,https://pypsa.readthedocs.io/en/latest/,73.0,714.0,290.0,2024-12-05 10:37:21.000,0.32.0,63.0,"['gha', 'pypi', 'conda', 'python', 'jupyter']",36.0,pypsa,conda-forge/pypsa,,9539.0,260.0,233.0,https://pypi.org/project/pypsa,2024-12-05 10:37:21.000,27.0,7602.0,https://anaconda.org/conda-forge/pypsa,2024-12-06 07:49:04.597,104615.0,1.0,,,,,,,
28,PySCIPOpt,ops,,scipopt/PySCIPOpt,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,https://www.scipopt.org/,2016-05-19 14:29:21,2024-12-16 10:04:21.000000,2024-12-16 10:04:21,2089.0,252.0,30.0,840.0,75.0,31,True,https://scipopt.github.io/PySCIPOpt/docs/html/,25.0,399.0,510.0,2024-11-14 11:44:24.000,5.2.1,66.0,"['gha', 'pypi', 'conda', 'python']",71.0,PySCIPOpt,conda-forge/pyscipopt,,35657.0,315.0,280.0,https://pypi.org/project/PySCIPOpt,2024-10-31 09:58:56.000,35.0,27372.0,https://anaconda.org/conda-forge/pyscipopt,2024-11-14 17:45:55.490,389435.0,2.0,-1.0,,,,,,
29,OSQP,ops,,osqp/osqp,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,https://osqp.org,2016-09-27 03:02:46,2025-01-02 14:12:10.000000,2025-01-02 14:12:10,2856.0,358.0,99.0,1749.0,35.0,30,True,https://osqp.org/docs/get_started/,42.0,279.0,264.0,2024-05-22 20:16:31.000,0.6.7,36.0,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r']",6.0,osqp,conda-forge/osqp,86210.0,2823429.0,85.0,,https://pypi.org/project/osqp,2024-10-11 02:13:27.000,85.0,2801015.0,https://anaconda.org/conda-forge/osqp,2024-10-22 00:55:19.396,1031453.0,2.0,,,,,,,
30,Ipopt,ops,,coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,https://www.coin-or.org/,2019-01-28 12:24:22,2024-12-16 14:03:01.961000,2024-12-14 15:15:59,2399.0,285.0,13.0,1472.0,35.0,28,True,https://coin-or.github.io/Ipopt/,46.0,35.0,595.0,2024-12-14 15:03:46.000,releases/3.14.17,32.0,"['pypi', 'conda', 'python']",30.0,ipopt,conda-forge/ipopt,17610.0,29540.0,10.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,1166.0,https://anaconda.org/conda-forge/ipopt,2024-12-16 14:03:01.961,1431415.0,2.0,,,,,,,
31,OpenModelica,cosime,,OpenModelica/OpenModelica,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,https://openmodelica.org,2015-05-03 16:59:29,2024-12-30 21:13:05.000000,2024-12-30 21:13:04,37173.0,307.0,2041.0,895.0,194.0,28,True,https://openmodelica.org/useresresources/userdocumentation,54.0,4978.0,6059.0,2024-12-15 22:08:48.000,1.24.3,25.0,['modelica'],214.0,,,385.0,398.0,,,,,,,,,,1.0,,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2024-12-16 07:52:13.524212,45883.0,6.0,
32,SCS,ops,,cvxgrp/scs,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,https://github.com/cvxgrp/scs,2013-11-29 23:11:16,2024-12-10 16:36:48.000000,2024-12-10 16:36:39,1265.0,134.0,41.0,558.0,28.0,28,True,https://www.cvxgrp.org/scs/,36.0,119.0,141.0,2024-08-24 15:40:59.000,3.2.7,43.0,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'r', 'c']",5.0,scs,conda-forge/scs,,2387571.0,50.0,,https://pypi.org/project/scs,2024-08-24 15:40:59.000,50.0,2365342.0,https://anaconda.org/conda-forge/scs,2024-09-10 05:39:15.100,1111470.0,2.0,,,,,,,
33,Power Grid Model,steady-state,,PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2025-01-02 17:42:26.000000,2025-01-02 16:26:10,7020.0,33.0,68.0,150.0,23.0,28,True,https://power-grid-model.readthedocs.io/en/stable/,5.0,655.0,138.0,2025-01-02 17:42:27.000,1.10.28,543.0,"['gha', 'pypi', 'conda', 'python', 'c']",743.0,power-grid-model,conda-forge/power-grid-model,358.0,263939.0,25.0,21.0,https://pypi.org/project/power-grid-model,2025-01-02 17:42:04.000,4.0,177306.0,https://anaconda.org/conda-forge/power-grid-model,2024-12-05 06:57:55.501,1731242.0,1.0,,,,,,,
34,JuMP,opl,,jump-dev/JuMP.jl,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,https://jump.dev,2012-10-10 00:34:45,2025-01-01 21:18:37.000000,2025-01-01 20:24:37,5002.0,397.0,12.0,2255.0,160.0,26,True,https://jump.dev/JuMP.jl/stable/,86.0,2373.0,1467.0,2024-11-19 21:23:39.000,1.23.5,79.0,"['gha', 'jupyter', 'julia']",52.0,,,,,,,,,,,,,,2.0,,,,,,,
35,CVXOPT,opl,,cvxopt/cvxopt,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,https://cvxopt.org/,2013-02-22 22:14:31,2024-10-23 07:22:22.000000,2024-10-23 07:22:17,58.0,208.0,40.0,996.0,9.0,26,True,http://cvxopt.org/userguide/,40.0,68.0,150.0,2023-08-09 14:30:49.000,1.3.2,17.0,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia']",1.0,cvxopt,conda-forge/cvxopt,,705410.0,12412.0,12026.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,386.0,681143.0,https://anaconda.org/conda-forge/cvxopt,2024-09-04 14:43:27.727,1237626.0,2.0,-1.0,,,,,,
36,precice,cosime,,precice/precice,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,https://precice.org/,2015-05-22 14:05:22,2025-01-02 03:17:36.457387,2024-12-19 16:20:22,5261.0,182.0,202.0,768.0,58.0,26,True,https://precice.org/docs.html,39.0,1277.0,669.0,2024-08-27 19:31:17.000,3.1.2,32.0,"['gha', 'c']",83.0,pyprecice,conda-forge/pyprecice,31132.0,3504.0,8.0,,https://pypi.org/project/pyprecice,2024-12-05 11:33:19.000,8.0,1074.0,https://anaconda.org/conda-forge/pyprecice,2024-08-28 04:49:54.578,71252.0,3.0,,precice/precice,https://hub.docker.com/r/precice/precice,2025-01-02 03:17:36.457387,22442.0,,
37,GridCal,steady-state,,SanPen/GridCal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,2016-01-13 15:40:10,2025-01-02 16:49:20.000000,2024-12-16 23:57:25,6310.0,95.0,10.0,429.0,50.0,26,True,https://gridcal.readthedocs.io/en/latest/?badge=latest,33.0,140.0,176.0,2024-12-17 08:00:05.000,5.2.13,367.0,"['gha', 'pypi', 'python']",277.0,GridCal,,49.0,7556.0,9.0,9.0,https://pypi.org/project/GridCal,2024-12-17 08:00:05.000,,7556.0,,,,1.0,,,,,,,
38,Grid2Op,mrl,,rte-france/Grid2Op,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/Grid2op/grid2op,https://l2rpn.chalearn.org/,2019-10-10 17:04:46,2024-12-16 16:25:30.000000,2024-10-15 12:35:55,3156.0,117.0,55.0,303.0,32.0,25,True,https://grid2op.readthedocs.io/en/latest/,20.0,297.0,312.0,2024-10-15 12:45:49.000,1.10.5,87.0,"['gha', 'pypi', 'jupyter', 'python']",31.0,Grid2Op,,,4078.0,20.0,,https://pypi.org/project/Grid2Op,2024-12-16 16:25:30.000,20.0,3919.0,,,,1.0,,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,10075.0,1.0,Grid2op/grid2op
39,pandapipes,gasnet,,e2nIEE/pandapipes,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,https://www.pandapipes.org/,2020-02-03 15:04:57,2024-12-20 13:33:03.000000,2024-12-04 13:03:35,2122.0,63.0,78.0,152.0,23.0,25,True,https://jkpandapipes.readthedocs.io/en/latest/,13.0,486.0,79.0,2024-11-07 15:24:10.000,0.11.0,19.0,"['gha', 'pypi', 'jupyter', 'python']",79.0,pandapipes,,,2144.0,35.0,27.0,https://pypi.org/project/pandapipes,2024-12-04 13:21:51.000,8.0,2144.0,,,,1.0,,,,,,,
40,HELICS,msg,,GMLC-TDC/HELICS,BSD-3,Co-simulation framework.,https://github.com/GMLC-TDC/HELICS,https://helics.org/tools/,2017-06-01 17:03:19,2024-12-31 20:31:53.000000,2024-12-10 00:17:33,3560.0,40.0,90.0,128.0,39.0,25,True,https://docs.helics.org/en/latest/,15.0,2011.0,577.0,2024-12-26 20:15:43.000,3.6.0,105.0,"['gha', 'pypi', 'conda', 'python', 'julia', 'octave', 'java', 'c']",29.0,helics,conda-forge/helics,25904.0,18105.0,13.0,,https://pypi.org/project/helics,2024-12-26 20:15:43.000,13.0,17529.0,https://anaconda.org/conda-forge/helics,2023-06-16 16:09:19.777,20614.0,1.0,,,,,,,
41,CBC,ops,,coin-or/Cbc,EPL-2.0,COIN-OR Branch-and-Cut solver.,https://github.com/coin-or/Cbc,https://www.coin-or.org/,2019-03-02 23:20:41,2024-12-28 16:44:21.000000,2024-12-28 16:43:33,2503.0,116.0,134.0,841.0,34.0,24,True,https://coin-or.github.io/Cbc/Doxygen/,41.0,78.0,354.0,2024-08-20 07:17:43.000,releases/2.10.12,14.0,"['gha', 'conda', 'python', 'julia', 'c']",11.0,,conda-forge/coincbc,34351.0,23766.0,,,,,,,https://anaconda.org/conda-forge/coincbc,2024-09-03 09:37:28.541,1186337.0,3.0,,,,,,,
42,Clp,ops,,coin-or/Cbc,EPL-2.0,COIN-OR Linear Programming Solver.,https://github.com/coin-or/Cbc,https://www.coin-or.org/,2019-03-02 23:20:41,2024-12-28 16:44:21.000000,2024-12-28 16:43:33,2503.0,116.0,134.0,841.0,34.0,24,True,https://coin-or.github.io/Clp/,41.0,78.0,354.0,2024-08-20 07:17:43.000,releases/2.10.12,11.0,"['gha', 'conda', 'python', 'julia', 'c']",11.0,,conda-forge/coin-or-clp,34351.0,16269.0,,,,,,,https://anaconda.org/conda-forge/coin-or-clp,2024-08-22 11:56:15.953,819735.0,3.0,,,,,,,
43,ECOS,ops,,embotech/ecos,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,https://github.com/embotech/ecos,2013-02-11 21:27:50,2024-09-10 06:48:58.359000,2022-01-04 22:33:07,622.0,123.0,66.0,484.0,40.0,24,True,https://github.com/embotech/ecos/wiki,36.0,65.0,95.0,2024-06-18 03:47:45.000,2.0.14,24.0,"['python', 'julia', 'c', 'octave', 'r']",,ecos,conda-forge/ecos,,1605346.0,49.0,,https://pypi.org/project/ecos,2024-06-18 03:47:45.000,49.0,1586385.0,https://anaconda.org/conda-forge/ecos,2024-09-10 06:48:58.359,948087.0,3.0,,,,,,,
44,Clarabel.rs,ops,,oxfordcontrol/Clarabel.rs,Apache-2.0,Interior-point solver for convex conic optimisation in Rust.,https://github.com/oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34,2024-11-27 18:45:04.000000,2024-09-12 10:53:22,443.0,29.0,18.0,369.0,8.0,24,True,https://oxfordcontrol.github.io/ClarabelDocs/stable/,14.0,101.0,28.0,2024-06-01 17:00:44.000,0.9.0,15.0,"['gha', 'pypi', 'conda', 'python', 'rust']",,clarabel,conda-forge/clarabel,,1135557.0,51.0,27.0,https://pypi.org/project/clarabel,2024-06-01 17:00:44.000,24.0,1126682.0,https://anaconda.org/conda-forge/clarabel,2024-03-02 16:55:59.106,133127.0,3.0,,,,,,,
45,GridStatus,data,,kmax12/gridstatus,BSD-3,Extract data from ISOs and other sources.,https://github.com/gridstatus/gridstatus,https://www.gridstatus.io,2022-07-28 19:24:20,2025-01-01 00:06:15.000000,2025-01-01 00:06:12,520.0,55.0,49.0,296.0,29.0,24,True,https://docs.gridstatus.io/en/latest/,10.0,400.0,65.0,2024-10-04 16:37:22.000,0.28.0,28.0,"['gha', 'pypi', 'python']",58.0,gridstatus,,,3290.0,20.0,18.0,https://pypi.org/project/gridstatus,2024-10-04 16:37:22.000,2.0,3290.0,,,,1.0,,,,,,,gridstatus/gridstatus
