,name,category,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,labels,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,updated_github_id
10,Electrical Signals Databases,data,True,rte-france/digital-fault-recording-database,ODbL-1.0,Voltage and current samples from Digital Fault Recorder.,https://github.com/rte-france/digital-fault-recording-database,https://dfrdb.rte-france.com/,2024-05-27 07:22:44,2024-07-05 06:56:57.000000,2024-07-05 06:56:57,17.0,8.0,2.0,25.0,2.0,0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A new power system benchmark,data,True,lbl-hub/CSEE-Benchmark,,A new type of power system calculation example by the China EPRI.,https://github.com/lbl-hub/CSEE-Benchmark,https://github.com/lbl-hub/CSEE-Benchmark,2023-12-18 09:09:08,2024-02-21 11:00:25.000000,2024-02-21 11:00:25,151.0,2.0,,20.0,,0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TextbookSimulations,book,True,Power-Systems-Textbook/TextbookSimulations,CC0-1.0,Examples and problems accompanying Daniel Kirschens Power Systems Textbook.,https://github.com/Power-Systems-Textbook/TextbookSimulations,https://github.com/Power-Systems-Textbook/TextbookSimulations,2022-10-12 19:10:15,2023-11-08 22:54:41.000000,2023-11-08 22:54:34,56.0,3.0,,11.0,2.0,0,True,,,4.0,,,,,"['julia', 'jupyter']",,,,,,,,,,,,,,,,,,,,,,
13,UTK ECE 522 - Power System Analysis II,book,True,CURENT/ece522,MIT,Hands-on Project for Power System Analysis II (UTK ECE 522).,https://github.com/CURENT/ece522,https://ltb.curent.org/,2023-01-18 03:35:44,2024-04-07 23:47:16.000000,2024-04-07 23:47:16,13.0,1.0,,4.0,4.0,0,True,,2.0,1.0,,,,,"['python', 'jupyter']",,,,,,,,,,,,,,,,,,,,,,
14,ELEC0447 Analysis of Electric Power and Energy Systems,book,True,bcornelusse/ELEC0447-analysis-power-systems,BSD-2.0,Masters course of power systems analysis at ULige.,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,2020-06-17 14:45:34,2024-11-28 10:42:50.000000,2024-11-28 10:42:45,268.0,6.0,1.0,19.0,6.0,0,True,,3.0,1.0,,,,,"['python', 'jupyter']",20.0,,,,,,,,,,,,,,,,,,,,,
15,Tutorial on DER Hosting Capacity Part 0,book,True,Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,BSD-3.0,Using dss_python.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,https://sites.google.com/view/luisfochoa/research/research-team,2022-11-30 04:16:00,2024-12-09 04:10:44.000000,2024-12-09 04:10:38,45.0,1.0,,5.0,5.0,0,True,,,,,,,,['jupyter'],2.0,,,,,,,,,,,,,,,,,,,,,
16,Tutorial on DER Hosting Capacity Part 1,book,True,Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,BSD-3.0,Advanced Tools for the Analysis of Three-Phase Unbalanced LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,https://sites.google.com/view/luisfochoa/research/research-team,2023-03-09 03:28:07,2024-12-09 04:11:06.000000,2024-12-09 04:11:01,32.0,3.0,,1.0,5.0,0,True,,,,,,,,['jupyter'],7.0,,,,,,,,,,,,,,,,,,,,,
17,Tutorial on DER Hosting Capacity Part 2,book,True,Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,BSD-3.0,Time-Series Analysis and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,https://sites.google.com/view/luisfochoa/research/research-team,2022-12-01 03:15:41,2024-12-09 04:22:49.000000,2024-12-09 04:22:09,39.0,1.0,,2.0,6.0,0,True,,,,,,,,['jupyter'],5.0,,,,,,,,,,,,,,,,,,,,,
18,Tutorial on DER Hosting Capacity Part 3,book,True,Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,BSD-3.0,Volt-Watt Control and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,https://sites.google.com/view/luisfochoa/research/research-team,2023-05-29 06:17:07,2024-12-09 03:05:32.000000,2024-12-09 03:05:23,18.0,,,1.0,4.0,0,True,,,,,,,,['jupyter'],4.0,,,,,,,,,,,,,,,,,,,,,
19,Tutorial on DER Hosting Capacity Part 4,book,True,Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,BSD-3.0,Monte Carlo Assessment of PV Hosting Capacity of an Integrated MV-LV Network.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,https://sites.google.com/view/luisfochoa/research/research-team,2023-05-29 23:51:23,2024-12-09 03:42:30.000000,2024-12-09 03:42:26,27.0,2.0,,2.0,5.0,0,True,,,,,,,,['jupyter'],2.0,,,,,,,,,,,,,,,,,,,,,
20,Pyomo,opl,,Pyomo/pyomo,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,https://www.pyomo.org,2016-05-27 19:33:45,2024-12-18 16:21:34.000000,2024-12-18 16:21:34,26054.0,519.0,303.0,2063.0,165.0,38,True,https://pyomo.readthedocs.io/en/stable/,62.0,2069.0,1089.0,2024-11-19 00:02:07.000,6.8.2,69.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",549.0,Pyomo,conda-forge/pyomo,3518.0,622752.0,2618.0,2360.0,https://pypi.org/project/Pyomo,2024-11-18 22:55:21.000,258.0,601527.0,https://anaconda.org/conda-forge/pyomo,2024-11-19 06:38:43.936,1140612.0,1.0,,,,,,,
21,OR-Tools,ops,,google/or-tools,Apache-2,Google Optimization Tools.,https://github.com/google/or-tools,https://developers.google.com/optimization/,2015-02-21 01:25:35,2024-12-19 15:39:59.000000,2024-11-24 05:58:43,13262.0,2135.0,65.0,11389.0,181.0,37,True,https://developers.google.com/optimization/introduction,307.0,471.0,2919.0,2024-09-16 06:27:03.000,9.11.4210,79.0,"['gha', 'python', 'c', 'java']",2.0,ortools,conda-forge/ortools-python,842978.0,2356033.0,531.0,273.0,https://pypi.org/project/ortools,2024-09-16 06:27:03.000,258.0,2346202.0,https://anaconda.org/conda-forge/ortools-python,2023-06-16 19:27:43.665,85022.0,1.0,,,,,,,
22,CVXPY,opl,,cvxpy/cvxpy,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58,2024-12-16 11:22:18.000000,2024-12-14 19:06:54,3575.0,1068.0,225.0,5517.0,207.0,37,True,http://www.cvxpy.org/,126.0,1009.0,1265.0,2024-11-14 23:49:14.000,1.5.4,131.0,"['gha', 'pypi', 'conda', 'python']",40.0,cvxpy,conda-forge/cvxpy,540.0,2597875.0,14927.0,14346.0,https://pypi.org/project/cvxpy,2024-11-14 23:49:14.000,581.0,2572242.0,https://anaconda.org/conda-forge/cvxpy,2024-08-19 11:50:16.751,1383738.0,2.0,,,,,,,
23,Xopt,ops,,google/or-tools,MPL-2.0,Flexible high-level optimization in Python.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2024-12-19 15:39:59.000000,2024-11-24 05:58:43,13262.0,2135.0,65.0,11389.0,181.0,35,True,https://xopt.xopt.org/index.html,307.0,471.0,2919.0,2024-11-06 19:32:12.000,2.4.4,48.0,"['gha', 'python', 'pypi', 'conda']",2.0,xopt,conda-forge/xopt,842978.0,9314.0,275.0,273.0,https://pypi.org/project/xopt,2024-11-06 19:32:12.000,2.0,843.0,https://anaconda.org/conda-forge/xopt,2024-11-08 22:43:14.162,38601.0,1.0,,,,,,,
24,HiGHS,ops,,ERGO-Code/HiGHS,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,https://highs.dev/,2018-03-27 13:57:58,2024-12-19 17:01:24.000000,2024-11-13 13:30:58,10592.0,189.0,99.0,1006.0,78.0,34,True,https://ergo-code.github.io/HiGHS/,36.0,1190.0,666.0,2024-11-13 18:14:11.000,1.8.1,16.0,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'c']",350.0,highspy,conda-forge/highs,,226429.0,260.0,218.0,https://pypi.org/project/highspy,2024-11-13 18:14:11.000,42.0,225665.0,https://anaconda.org/conda-forge/highs,2024-12-01 00:18:25.958,12998.0,2.0,,,,,,,
25,Tulip,ops,,google/or-tools,MPL-2.0,Interior-point solver in pure Julia.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2024-12-19 15:39:59.000000,2024-11-24 05:58:43,13262.0,2135.0,65.0,11389.0,181.0,33,True,https://ds4dm.github.io/Tulip.jl/stable/,307.0,471.0,2919.0,2024-09-13 14:35:44.000,9.11,48.0,"['gha', 'julia']",2.0,,,842978.0,7594.0,273.0,273.0,,,,,,,,2.0,,,,,,,
26,PyPSA,steady-state,,PyPSA/PyPSA,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,https://pypsa.org,2016-01-11 09:04:18,2024-12-19 08:03:59.000000,2024-12-19 08:03:58,2868.0,463.0,111.0,1283.0,90.0,33,True,https://pypsa.readthedocs.io/en/latest/,73.0,714.0,290.0,2024-12-05 10:37:21.000,0.32.0,63.0,"['gha', 'pypi', 'conda', 'python', 'jupyter']",47.0,pypsa,conda-forge/pypsa,,83732.0,258.0,231.0,https://pypi.org/project/pypsa,2024-12-05 10:37:21.000,27.0,81800.0,https://anaconda.org/conda-forge/pypsa,2024-12-06 07:49:04.597,102433.0,1.0,,,,,,,
27,pandapower,steady-state,,e2nIEE/pandapower,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,https://www.pandapower.org/,2017-01-12 13:27:53,2024-12-19 14:36:24.000000,2024-12-19 14:36:24,9362.0,474.0,232.0,898.0,142.0,33,True,https://pandapower.readthedocs.io/en/latest/,52.0,1357.0,822.0,2024-08-07 13:31:06.000,2.14.11,47.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",212.0,pandapower,conda-forge/pandapower,,35131.0,446.0,398.0,https://pypi.org/project/pandapower,2024-08-07 13:18:56.000,48.0,34729.0,https://anaconda.org/conda-forge/pandapower,2024-06-19 19:35:17.899,20887.0,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,95.0,1.0,,
28,PySCIPOpt,ops,,scipopt/PySCIPOpt,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,https://www.scipopt.org/,2016-05-19 14:29:21,2024-12-16 10:04:21.000000,2024-12-16 10:04:21,2089.0,252.0,30.0,836.0,75.0,32,True,https://scipopt.github.io/PySCIPOpt/docs/html/,24.0,399.0,510.0,2024-11-14 11:44:24.000,5.2.1,66.0,"['gha', 'pypi', 'conda', 'python']",80.0,PySCIPOpt,conda-forge/pyscipopt,,232950.0,308.0,273.0,https://pypi.org/project/PySCIPOpt,2024-10-31 09:58:56.000,35.0,224652.0,https://anaconda.org/conda-forge/pyscipopt,2024-11-14 17:45:55.490,381739.0,2.0,,,,,,,
29,OSQP,ops,,osqp/osqp,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,https://osqp.org,2016-09-27 03:02:46,2024-12-10 02:30:30.000000,2024-12-10 02:29:03,2854.0,358.0,99.0,1738.0,34.0,30,True,https://osqp.org/docs/get_started/,42.0,278.0,264.0,2024-05-22 20:16:31.000,0.6.7,36.0,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r']",8.0,osqp,conda-forge/osqp,84811.0,3068737.0,85.0,,https://pypi.org/project/osqp,2024-10-11 02:13:27.000,85.0,3046023.0,https://anaconda.org/conda-forge/osqp,2024-10-22 00:55:19.396,1024281.0,2.0,,,,,-1.0,,
30,Power Grid Model,steady-state,,PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2024-12-19 17:06:57.000000,2024-12-19 15:50:25,7016.0,32.0,65.0,150.0,23.0,29,True,https://power-grid-model.readthedocs.io/en/stable/,5.0,651.0,138.0,2024-12-19 17:06:57.000,1.10.26,541.0,"['gha', 'pypi', 'conda', 'python', 'c']",920.0,power-grid-model,conda-forge/power-grid-model,284.0,193302.0,24.0,20.0,https://pypi.org/project/power-grid-model,2024-12-19 17:06:38.000,4.0,104565.0,https://anaconda.org/conda-forge/power-grid-model,2024-12-05 06:57:55.501,1684663.0,1.0,,,,,1.0,,
31,Ipopt,ops,,coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,https://www.coin-or.org/,2019-01-28 12:24:22,2024-12-16 14:03:01.961000,2024-12-14 15:15:59,2399.0,285.0,13.0,1465.0,35.0,28,True,https://coin-or.github.io/Ipopt/,46.0,34.0,594.0,2024-12-14 15:03:46.000,releases/3.14.17,32.0,"['pypi', 'conda', 'python']",30.0,ipopt,conda-forge/ipopt,17333.0,29943.0,10.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,1274.0,https://anaconda.org/conda-forge/ipopt,2024-12-16 14:03:01.961,1418028.0,2.0,,,,,,,
32,OpenModelica,cosime,,OpenModelica/OpenModelica,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,https://openmodelica.org,2015-05-03 16:59:29,2024-12-19 11:47:37.000000,2024-12-19 11:47:37,37169.0,305.0,2040.0,889.0,194.0,28,True,https://openmodelica.org/useresresources/userdocumentation,53.0,4973.0,6057.0,2024-12-15 22:08:48.000,1.24.3,25.0,['modelica'],239.0,,,384.0,401.0,,,,,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2024-12-16 07:52:13.524212,45772.0,,6.0,
33,SCS,ops,,cvxgrp/scs,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,https://github.com/cvxgrp/scs,2013-11-29 23:11:16,2024-12-10 16:36:48.000000,2024-12-10 16:36:39,1265.0,134.0,40.0,555.0,28.0,28,True,https://www.cvxgrp.org/scs/,36.0,118.0,141.0,2024-08-24 15:40:59.000,3.2.7,43.0,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'r', 'c']",8.0,scs,conda-forge/scs,,2562021.0,50.0,,https://pypi.org/project/scs,2024-08-24 15:40:59.000,50.0,2539578.0,https://anaconda.org/conda-forge/scs,2024-09-10 05:39:15.100,1099733.0,2.0,,,,,,,
34,CVXOPT,opl,,cvxopt/cvxopt,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,https://cvxopt.org/,2013-02-22 22:14:31,2024-10-23 07:22:22.000000,2024-10-23 07:22:17,58.0,208.0,40.0,995.0,9.0,27,True,http://cvxopt.org/userguide/,40.0,68.0,150.0,2023-08-09 14:30:49.000,1.3.2,17.0,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia']",1.0,cvxopt,conda-forge/cvxopt,,868126.0,12273.0,11887.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,386.0,843599.0,https://anaconda.org/conda-forge/cvxopt,2024-09-04 14:43:27.727,1226356.0,2.0,,,,,,,
35,JuMP,opl,,jump-dev/JuMP.jl,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,https://jump.dev,2012-10-10 00:34:45,2024-12-10 01:17:31.000000,2024-12-10 00:29:27,4998.0,397.0,12.0,2255.0,158.0,26,True,https://jump.dev/JuMP.jl/stable/,86.0,2371.0,1466.0,2024-11-19 21:23:39.000,1.23.5,79.0,"['gha', 'jupyter', 'julia']",52.0,,,,,,,,,,,,,,3.0,,,,,,,
36,precice,cosime,,precice/precice,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,https://precice.org/,2015-05-22 14:05:22,2024-12-19 17:37:50.000000,2024-12-19 16:20:22,5261.0,182.0,202.0,766.0,58.0,26,True,https://precice.org/docs.html,39.0,1277.0,669.0,2024-08-27 19:31:17.000,3.1.2,32.0,"['gha', 'c']",91.0,pyprecice,conda-forge/pyprecice,30792.0,3390.0,8.0,,https://pypi.org/project/pyprecice,2024-12-05 11:33:19.000,8.0,974.0,https://anaconda.org/conda-forge/pyprecice,2024-08-28 04:49:54.578,68881.0,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2024-12-19 03:27:02.030412,22206.0,,,
37,GridCal,steady-state,,SanPen/GridCal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,2016-01-13 15:40:10,2024-12-19 17:28:56.000000,2024-12-16 23:57:25,6310.0,95.0,10.0,426.0,50.0,26,True,https://gridcal.readthedocs.io/en/latest/?badge=latest,33.0,140.0,176.0,2024-12-17 08:00:05.000,5.2.13,367.0,"['gha', 'pypi', 'python']",345.0,GridCal,,49.0,6647.0,9.0,9.0,https://pypi.org/project/GridCal,2024-12-17 08:00:05.000,,6647.0,,,,1.0,,,,,-1.0,,
38,Grid2Op,mrl,,rte-france/Grid2Op,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/Grid2op/grid2op,https://l2rpn.chalearn.org/,2019-10-10 17:04:46,2024-12-16 16:25:30.000000,2024-10-15 12:35:55,3156.0,117.0,53.0,303.0,32.0,25,True,https://grid2op.readthedocs.io/en/latest/,19.0,297.0,312.0,2024-10-15 12:45:49.000,1.10.5,87.0,"['gha', 'pypi', 'jupyter', 'python']",38.0,Grid2Op,,,5130.0,20.0,,https://pypi.org/project/Grid2Op,2024-12-16 16:25:30.000,20.0,4969.0,,,,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,10022.0,,1.0,Grid2op/grid2op
39,pandapipes,gasnet,,e2nIEE/pandapipes,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,https://www.pandapipes.org/,2020-02-03 15:04:57,2024-12-04 13:21:51.000000,2024-12-04 13:03:35,2122.0,63.0,78.0,151.0,23.0,25,True,https://jkpandapipes.readthedocs.io/en/latest/,13.0,484.0,79.0,2024-11-07 15:24:10.000,0.11.0,19.0,"['gha', 'pypi', 'jupyter', 'python']",79.0,pandapipes,,,2398.0,34.0,26.0,https://pypi.org/project/pandapipes,2024-12-04 13:21:51.000,8.0,2398.0,,,,1.0,,,,,,,
40,HELICS,msg,,GMLC-TDC/HELICS,BSD-3,Co-simulation framework.,https://github.com/GMLC-TDC/HELICS,https://helics.org/tools/,2017-06-01 17:03:19,2024-12-16 19:48:48.000000,2024-12-10 00:17:33,3560.0,40.0,90.0,129.0,39.0,25,True,https://docs.helics.org/en/latest/,15.0,2009.0,576.0,2024-12-10 01:02:18.000,3.6.0,104.0,"['gha', 'pypi', 'conda', 'python', 'julia', 'octave', 'java', 'c']",33.0,helics,conda-forge/helics,25571.0,16675.0,13.0,,https://pypi.org/project/helics,2024-07-09 20:38:38.000,13.0,16097.0,https://anaconda.org/conda-forge/helics,2023-06-16 16:09:19.777,20582.0,1.0,,,,,,,
41,CBC,ops,,coin-or/Cbc,EPL-2.0,COIN-OR Branch-and-Cut solver.,https://github.com/coin-or/Cbc,https://www.coin-or.org/,2019-03-02 23:20:41,2024-12-07 15:58:54.000000,2024-12-07 15:56:49,2502.0,116.0,133.0,834.0,34.0,24,True,https://coin-or.github.io/Cbc/Doxygen/,40.0,78.0,354.0,2024-08-20 07:17:43.000,releases/2.10.12,14.0,"['gha', 'conda', 'python', 'julia', 'c']",10.0,,conda-forge/coincbc,33887.0,24094.0,,,,,,,https://anaconda.org/conda-forge/coincbc,2024-09-03 09:37:28.541,1179465.0,3.0,,,,,,,
42,Clp,ops,,coin-or/Cbc,EPL-2.0,COIN-OR Linear Programming Solver.,https://github.com/coin-or/Cbc,https://www.coin-or.org/,2019-03-02 23:20:41,2024-12-07 15:58:54.000000,2024-12-07 15:56:49,2502.0,116.0,133.0,834.0,34.0,24,True,https://coin-or.github.io/Clp/,40.0,78.0,354.0,2024-08-20 07:17:43.000,releases/2.10.12,11.0,"['gha', 'conda', 'python', 'julia', 'c']",10.0,,conda-forge/coin-or-clp,33887.0,16428.0,,,,,,,https://anaconda.org/conda-forge/coin-or-clp,2024-08-22 11:56:15.953,812085.0,3.0,,,,,,,
43,ECOS,ops,,embotech/ecos,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,https://github.com/embotech/ecos,2013-02-11 21:27:50,2024-09-10 06:48:58.359000,2022-01-04 22:33:07,622.0,123.0,66.0,483.0,40.0,24,True,https://github.com/embotech/ecos/wiki,35.0,65.0,95.0,2024-06-18 03:47:45.000,2.0.14,24.0,"['python', 'julia', 'c', 'octave', 'r']",,ecos,conda-forge/ecos,,1210641.0,49.0,,https://pypi.org/project/ecos,2024-06-18 03:47:45.000,49.0,1191438.0,https://anaconda.org/conda-forge/ecos,2024-09-10 06:48:58.359,940954.0,3.0,,,,,,,
44,Clarabel.rs,ops,,oxfordcontrol/Clarabel.rs,Apache-2.0,Interior-point solver for convex conic optimisation in Rust.,https://github.com/oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34,2024-11-27 18:45:04.000000,2024-09-12 10:53:22,443.0,29.0,18.0,361.0,8.0,24,True,https://oxfordcontrol.github.io/ClarabelDocs/stable/,13.0,100.0,28.0,2024-06-01 17:00:44.000,0.9.0,15.0,"['gha', 'pypi', 'conda', 'python', 'rust']",,clarabel,conda-forge/clarabel,,1849995.0,50.0,26.0,https://pypi.org/project/clarabel,2024-06-01 17:00:44.000,24.0,1840668.0,https://anaconda.org/conda-forge/clarabel,2024-03-02 16:55:59.106,130583.0,3.0,,,,,,,
45,GridStatus,data,,kmax12/gridstatus,BSD-3,Extract data from ISOs and other sources.,https://github.com/gridstatus/gridstatus,https://www.gridstatus.io,2022-07-28 19:24:20,2024-12-18 20:35:39.000000,2024-12-18 20:03:44,514.0,55.0,49.0,292.0,29.0,24,True,https://docs.gridstatus.io/en/latest/,10.0,397.0,65.0,2024-10-04 16:37:22.000,0.28.0,28.0,"['gha', 'pypi', 'python']",77.0,gridstatus,,,3833.0,20.0,18.0,https://pypi.org/project/gridstatus,2024-10-04 16:37:22.000,2.0,3833.0,,,,1.0,,,,,,,gridstatus/gridstatus
