,name,category,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,labels,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,trending,updated_github_id
10,ELEC0447 Analysis of Electric Power and Energy Systems,book,True,bcornelusse/ELEC0447-analysis-power-systems,BSD-2.0,Masters course of power systems analysis at ULige.,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,2020-06-17 14:45:34.000,2023-12-13 08:14:32.000000,2023-12-13 08:14:30,239.0,,5.0,1.0,16.0,6.0,0,True,,3.0,1.0,,,,,"['python', 'jupyter']",,,,,,,,,,,,,,,,,,,,,
11,CVXPY,opl,,cvxpy/cvxpy,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58.000,2024-05-30 03:44:41.000000,2024-05-29 00:14:44,3492.0,48.0,1037.0,184.0,5136.0,194.0,38,True,http://www.cvxpy.org/,123.0,886.0,1238.0,2024-05-11 08:21:09.000,1.5.1,127.0,"['gha', 'pypi', 'conda', 'python']",cvxpy,conda-forge/cvxpy,317.0,1204914.0,12294.0,11790.0,https://pypi.org/project/cvxpy,2024-05-11 00:06:26.000,504.0,1183171.0,https://anaconda.org/conda-forge/cvxpy,2024-05-23 21:48:37.601,1021640.0,1.0,,,,,,,
12,Pyomo,opl,,Pyomo/pyomo,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,https://www.pyomo.org,2016-05-27 19:33:45.000,2024-05-30 02:07:29.000000,2024-05-29 23:46:25,24184.0,788.0,485.0,292.0,1878.0,147.0,36,True,https://pyomo.readthedocs.io/en/stable/,63.0,1950.0,1051.0,2024-05-29 21:57:57.000,6.7.3,66.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",Pyomo,conda-forge/pyomo,2281.0,405039.0,2133.0,1895.0,https://pypi.org/project/Pyomo,2024-05-29 21:51:05.000,238.0,386719.0,https://anaconda.org/conda-forge/pyomo,2024-05-29 23:05:23.049,857128.0,2.0,,,,,,,
13,pandapower,steady-state,,e2nIEE/pandapower,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,https://www.pandapower.org/,2017-01-12 13:27:53.000,2024-05-29 13:40:08.000000,2024-05-29 13:40:08,8590.0,310.0,448.0,182.0,780.0,132.0,33,True,https://pandapower.readthedocs.io/en/latest/,48.0,1242.0,741.0,2024-04-02 13:49:51.000,2.14.6,42.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",pandapower,conda-forge/pandapower,,21041.0,384.0,338.0,https://pypi.org/project/pandapower,2024-04-02 12:52:48.000,46.0,20720.0,https://anaconda.org/conda-forge/pandapower,2024-04-02 13:52:02.030,14411.0,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,90.0,,,
14,OSQP,ops,,osqp/osqp,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,https://osqp.org,2016-09-27 03:02:46.000,2024-05-22 20:16:31.000000,2024-05-21 09:48:10,2840.0,18.0,344.0,88.0,1596.0,32.0,32,True,https://osqp.org/docs/get_started/,41.0,263.0,254.0,2024-05-22 19:12:39.000,0.6.6,32.0,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r']",osqp,conda-forge/osqp,65475.0,1678449.0,80.0,,https://pypi.org/project/osqp,2024-05-22 20:16:31.000,80.0,1656567.0,https://anaconda.org/conda-forge/osqp,2024-05-17 10:13:56.129,844500.0,1.0,,,,,,,
15,PyPSA,steady-state,,PyPSA/PyPSA,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,https://pypsa.org,2016-01-11 09:04:18.000,2024-05-30 14:59:22.000000,2024-05-29 14:55:18,2679.0,159.0,435.0,103.0,1138.0,75.0,32,True,https://pypsa.readthedocs.io/en/latest/,74.0,563.0,246.0,2024-05-08 17:05:05.000,0.28.0,54.0,"['gha', 'pypi', 'conda', 'python', 'jupyter']",pypsa,conda-forge/pypsa,,9132.0,207.0,181.0,https://pypi.org/project/pypsa,2024-05-08 17:05:05.000,26.0,7643.0,https://anaconda.org/conda-forge/pypsa,2024-05-12 10:23:14.569,68496.0,1.0,,,,,,,
16,HiGHS,ops,,ERGO-Code/HiGHS,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,https://highs.dev/,2018-03-27 13:57:58.000,2024-05-30 17:22:20.000000,2024-03-07 12:34:01,9430.0,81.0,160.0,76.0,827.0,63.0,31,True,https://ergo-code.github.io/HiGHS/,31.0,1040.0,575.0,2024-03-07 10:57:49.000,1.7.0,12.0,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'c']",highspy,conda-forge/highs,,40515.0,111.0,100.0,https://pypi.org/project/highspy,2024-03-10 14:09:04.000,11.0,40121.0,https://anaconda.org/conda-forge/highs,2024-05-21 22:06:27.930,3949.0,1.0,,,,,,,
17,PySCIPOpt,ops,,scipopt/PySCIPOpt,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,https://www.scipopt.org/,2016-05-19 14:29:21.000,2024-05-28 13:43:04.000000,2024-05-17 04:28:52,1935.0,64.0,256.0,25.0,763.0,71.0,31,True,https://scipopt.github.io/PySCIPOpt/docs/html/,26.0,344.0,483.0,2024-05-05 08:22:20.000,5.0.1,61.0,"['gha', 'pypi', 'conda', 'python']",PySCIPOpt,conda-forge/pyscipopt,,18960.0,198.0,177.0,https://pypi.org/project/PySCIPOpt,2024-03-05 13:50:53.000,21.0,12797.0,https://anaconda.org/conda-forge/pyscipopt,2024-04-05 15:38:41.667,240358.0,1.0,,,,,,,
18,Ipopt,ops,,coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,https://github.com/coin-or/Ipopt,2019-01-28 12:24:22.000,2024-05-06 09:25:38.655000,2024-04-22 10:46:53,2360.0,8.0,265.0,7.0,1315.0,32.0,27,True,https://coin-or.github.io/Ipopt/,42.0,29.0,572.0,2024-04-22 12:48:35.000,releases/3.14.16,31.0,"['pypi', 'conda', 'python']",ipopt,conda-forge/ipopt,12842.0,27608.0,10.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,1572.0,https://anaconda.org/conda-forge/ipopt,2024-05-06 09:25:38.655,1108311.0,2.0,,,,,,,
19,OpenModelica,cosime,,OpenModelica/OpenModelica,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,https://openmodelica.org,2015-05-03 16:59:29.000,2024-05-30 14:43:03.000000,2024-05-29 14:54:07,36746.0,180.0,292.0,1853.0,769.0,188.0,27,True,https://openmodelica.org/useresresources/userdocumentation,52.0,4509.0,5830.0,2024-03-11 07:57:23.000,1.22.3,21.0,['modelica'],,,363.0,376.0,,,,,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2024-05-07 10:08:18.695496,40364.0,6.0,,
20,SCS,ops,,cvxgrp/scs,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,https://github.com/cvxgrp/scs,2013-11-29 23:11:16.000,2024-05-29 18:42:10.000000,2024-05-21 18:16:33,1246.0,6.0,133.0,35.0,523.0,28.0,27,True,https://www.cvxgrp.org/scs/,37.0,96.0,137.0,2023-11-08 15:47:59.000,3.2.4,39.0,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'r', 'c']",scs,conda-forge/scs,,1075165.0,44.0,,https://pypi.org/project/scs,2024-05-29 18:42:10.000,44.0,1055159.0,https://anaconda.org/conda-forge/scs,2024-05-22 15:59:44.556,840252.0,2.0,,,,,,,
21,JuMP,opl,,jump-dev/JuMP.jl,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,https://jump.dev,2012-10-10 00:34:45.000,2024-05-29 21:57:52.000000,2024-05-29 21:17:02,4904.0,47.0,388.0,86.0,2153.0,154.0,26,True,https://jump.dev/JuMP.jl/stable/,83.0,2266.0,1434.0,2024-05-17 01:10:59.000,1.22.1,72.0,"['gha', 'jupyter', 'julia']",,,,,,,,,,,,,,2.0,,,,,,,
22,CVXOPT,opl,,cvxopt/cvxopt,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,https://cvxopt.org/,2013-02-22 22:14:31.000,2024-05-28 11:59:39.000000,2024-03-24 15:20:03,57.0,2.0,205.0,40.0,961.0,9.0,26,True,http://cvxopt.org/userguide/,37.0,67.0,147.0,2023-08-09 14:30:49.000,1.3.2,17.0,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia']",cvxopt,conda-forge/cvxopt,,519172.0,10267.0,9914.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,353.0,496496.0,https://anaconda.org/conda-forge/cvxopt,2023-09-23 18:21:52.093,975089.0,2.0,,,,,,,
23,precice,cosime,,precice/precice,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,https://precice.org/,2015-05-22 14:05:22.000,2024-05-30 03:14:11.947862,2024-05-23 09:57:46,5101.0,45.0,167.0,202.0,684.0,57.0,26,True,https://precice.org/docs.html,39.0,1187.0,632.0,2024-04-12 14:12:18.000,3.1.0,29.0,"['gha', 'c']",pyprecice,conda-forge/pyprecice,25569.0,1831.0,4.0,,https://pypi.org/project/pyprecice,2024-04-12 14:12:18.000,4.0,544.0,https://anaconda.org/conda-forge/pyprecice,2024-05-20 14:16:16.406,23854.0,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2024-05-30 03:14:11.947862,17919.0,,,
24,ECOS,ops,,embotech/ecos,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,https://github.com/embotech/ecos,2013-02-11 21:27:50.000,2024-05-29 12:54:35.000000,2022-01-04 22:33:07,622.0,,122.0,67.0,449.0,40.0,26,True,https://github.com/embotech/ecos/wiki,35.0,65.0,95.0,2024-02-07 00:03:53.000,2.0.13,23.0,"['python', 'julia', 'c', 'octave', 'r']",ecos,conda-forge/ecos,,1072793.0,46.0,,https://pypi.org/project/ecos,2024-02-07 00:03:53.000,46.0,1054624.0,https://anaconda.org/conda-forge/ecos,2024-05-17 19:43:52.836,763128.0,3.0,,,,,,,
25,GridCal,steady-state,,SanPen/GridCal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,2016-01-13 15:40:10.000,2024-05-30 07:49:47.000000,2024-05-29 21:27:17,5128.0,883.0,88.0,28.0,388.0,45.0,26,True,https://gridcal.readthedocs.io/en/latest/?badge=latest,31.0,113.0,139.0,2024-05-29 21:19:42.000,5.1.10,299.0,"['gha', 'pypi', 'python']",GridCal,,33.0,1098.0,7.0,7.0,https://pypi.org/project/GridCal,2024-05-29 21:19:42.000,,1098.0,,,,1.0,,,,,,2.0,
26,Grid2Op,mrl,,rte-france/Grid2Op,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,https://l2rpn.chalearn.org/,2019-10-10 17:04:46.000,2024-05-27 11:51:06.000000,2024-05-27 11:05:56,3010.0,87.0,111.0,38.0,262.0,32.0,26,True,https://grid2op.readthedocs.io/en/latest/,17.0,256.0,303.0,2024-05-27 11:51:06.000,1.10.2,80.0,"['gha', 'pypi', 'jupyter', 'python']",Grid2Op,,,1790.0,20.0,,https://pypi.org/project/Grid2Op,2024-05-27 11:51:06.000,20.0,1614.0,,,,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,9734.0,1.0,1.0,
27,Power Grid Model,steady-state,,PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31.000,2024-05-30 16:10:55.000000,2024-05-30 14:36:15,5064.0,675.0,25.0,61.0,127.0,21.0,26,True,https://power-grid-model.readthedocs.io/en/stable/,5.0,467.0,83.0,2024-05-30 16:10:55.000,1.7.64,402.0,"['gha', 'pypi', 'conda', 'python', 'c']",power-grid-model,conda-forge/power-grid-model,192.0,36586.0,10.0,9.0,https://pypi.org/project/power-grid-model,2024-05-30 16:10:27.000,1.0,16938.0,https://anaconda.org/conda-forge/power-grid-model,2024-05-28 10:12:32.353,235331.0,1.0,,,,,,1.0,
28,Clarabel.rs,ops,,oxfordcontrol/Clarabel.rs,Apache-2.0,Interior-point solver for convex conic optimisation in Rust.,https://github.com/oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34.000,2024-05-29 12:13:12.000000,2024-05-27 23:32:10,415.0,57.0,19.0,8.0,269.0,7.0,25,True,https://oxfordcontrol.github.io/ClarabelDocs/stable/,11.0,85.0,23.0,2024-05-21 12:46:04.000,0.8.1,14.0,"['gha', 'pypi', 'conda', 'python', 'rust']",clarabel,conda-forge/clarabel,,828191.0,30.0,12.0,https://pypi.org/project/clarabel,2024-05-21 12:46:04.000,18.0,820782.0,https://anaconda.org/conda-forge/clarabel,2024-03-02 16:55:59.106,51863.0,3.0,,,,,,,
29,MATPOWER,steady-state,,MATPOWER/matpower,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,https://matpower.org/,2016-12-16 19:12:30.000,2024-05-22 15:09:26.000000,2024-05-21 21:07:59,2505.0,61.0,151.0,35.0,393.0,17.0,24,True,https://matpower.org/doc/,29.0,43.0,177.0,2024-05-17 23:07:00.000,8.0,5.0,"['gha', 'octave']",,,480447.0,7294.0,,,,,,,,,,2.0,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2024-05-21 20:44:35.456488,1342.0,,,
30,LTB ANDES,phasor,,CURENT/andes,GPL-3,Transient Stability Simulator; CURENT LTB.,https://github.com/CURENT/andes,https://ltb.curent.org/,2016-11-07 01:04:50.000,2024-05-26 17:13:27.000000,2024-03-25 17:33:54,4470.0,22.0,105.0,7.0,203.0,22.0,24,True,https://docs.andes.app/en/latest/,16.0,274.0,52.0,2024-03-25 17:45:07.000,1.9.2,113.0,"['gha', 'azure', 'pypi', 'conda', 'jupyter', 'python']",andes,conda-forge/andes,,9869.0,18.0,16.0,https://pypi.org/project/andes,2024-03-25 17:45:07.000,2.0,595.0,https://anaconda.org/conda-forge/andes,2024-03-25 19:30:11.820,445146.0,1.0,cuihantao/andes,https://hub.docker.com/r/cuihantao/andes,2020-12-10 15:50:41.614180,120.0,,,
31,GridStatus,data,,kmax12/gridstatus,BSD-3,Extract data from ISOs and other sources.,https://github.com/kmax12/gridstatus,https://www.gridstatus.io,2022-07-28 19:24:20.000,2024-05-24 21:10:30.000000,2024-05-24 21:10:27,376.0,31.0,42.0,66.0,251.0,21.0,23,True,https://docs.gridstatus.io/en/latest/,7.0,276.0,59.0,2024-03-04 18:21:13.000,0.27.0,27.0,"['gha', 'pypi', 'python']",gridstatus,,,2715.0,10.0,9.0,https://pypi.org/project/gridstatus,2024-03-04 18:21:13.000,1.0,2715.0,,,,1.0,,,,,,,
32,powerplantmatching,data,,PyPSA/powerplantmatching,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,https://pypsa.org,2016-08-15 16:36:25.000,2024-05-27 19:39:58.000000,2024-05-12 16:01:31,911.0,30.0,49.0,25.0,144.0,24.0,23,True,https://atlite.readthedocs.io/en/master/?badge=master,20.0,85.0,57.0,2024-05-12 16:02:35.000,0.5.15,25.0,"['gha', 'pypi', 'conda', 'python']",powerplantmatching,conda-forge/powerplantmatching,57.0,2287.0,48.0,48.0,https://pypi.org/project/powerplantmatching,2024-05-12 16:02:25.000,,1472.0,https://anaconda.org/conda-forge/powerplantmatching,2024-05-12 18:50:25.552,33454.0,1.0,,,,,,,
33,pandapipes,gasnet,,e2nIEE/pandapipes,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,https://www.pandapipes.org/,2020-02-03 15:04:57.000,2024-05-29 09:04:25.000000,2024-05-07 07:34:12,1859.0,77.0,52.0,52.0,124.0,22.0,23,True,https://jkpandapipes.readthedocs.io/en/latest/,11.0,450.0,79.0,2024-04-09 14:04:00.000,0.10.0,17.0,"['gha', 'pypi', 'jupyter', 'python']",pandapipes,,,957.0,24.0,20.0,https://pypi.org/project/pandapipes,2024-04-09 14:04:00.000,4.0,957.0,,,,1.0,,,,,,,
34,HELICS,msg,,GMLC-TDC/HELICS,BSD-3,Co-simulation framework.,https://github.com/GMLC-TDC/HELICS,https://helics.org/tools/,2017-06-01 17:03:19.000,2024-05-27 19:19:41.000000,2024-05-23 13:06:34,3513.0,22.0,40.0,84.0,118.0,38.0,23,True,https://docs.helics.org/en/latest/,13.0,1969.0,564.0,2024-04-10 23:46:34.000,3.5.2,103.0,"['gha', 'pypi', 'conda', 'python', 'julia', 'octave', 'java', 'c']",helics,conda-forge/helics,21926.0,3743.0,7.0,,https://pypi.org/project/helics,2024-04-10 23:46:34.000,7.0,3162.0,https://anaconda.org/conda-forge/helics,2023-06-16 16:09:19.777,20292.0,1.0,,,,,,,
35,Dynaωo,phasor,,dynawo/dynawo,MPL-2.0,C++/Modelica simulation tools for power systems.,https://github.com/dynawo/dynawo,http://dynawo.org,2019-01-29 13:29:35.000,2024-05-30 18:12:58.000000,2024-05-30 10:58:05,2257.0,88.0,22.0,100.0,64.0,51.0,23,True,https://dynawo.github.io/docs/,8.0,1885.0,1275.0,2024-05-21 08:44:47.000,1.6.0,17.0,['gha'],,,15258.0,238.0,,,,,,,,,,1.0,,,,,,,
36,CBC,ops,,coin-or/Cbc,EPL-2.0,COIN-OR Branch-and-Cut solver.,https://github.com/coin-or/Cbc,https://github.com/coin-or/Cbc,2016-05-16 16:52:52.581,2024-05-29 14:43:05.000000,2024-05-29 14:42:23,2474.0,9.0,103.0,126.0,741.0,30.0,22,True,https://coin-or.github.io/Cbc/Doxygen/,39.0,63.0,350.0,2023-10-25 18:18:31.000,releases/2.10.11,12.0,"['gha', 'conda', 'python', 'julia', 'c']",,conda-forge/coincbc,22936.0,10736.0,,,,,,,https://anaconda.org/conda-forge/coincbc,2023-06-16 13:17:24.974,994059.0,3.0,,,,,,,
37,PyPSA-Eur,steady-state,,PyPSA/pypsa-eur,MIT,Sector-Coupled Optimisation Model of the European Energy System.,https://github.com/PyPSA/pypsa-eur,https://pypsa.org,2017-10-11 23:54:41.000,2024-05-30 14:16:22.000000,2024-05-28 11:41:32,4742.0,531.0,203.0,133.0,298.0,65.0,22,True,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,16.0,687.0,288.0,2024-05-25 20:48:18.000,0.11.0,15.0,"['gha', 'python']",,,,0.0,,,,,,,,,,2.0,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,2022-04-11 21:54:31.539284,37.0,,,
38,PowerSimulations.jl,steady-state,,NREL-Sienna/PowerSimulations.jl,BSD-3,Power Systems optimization simulation and modeling; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulations.jl,https://www.nrel.gov/analysis/sienna.html,2017-11-03 21:11:22.000,2024-05-29 21:18:57.000000,2024-05-13 20:30:22,8492.0,58.0,50.0,36.0,268.0,36.0,22,True,https://nrel-sienna.github.io/PowerSimulations.jl/latest,19.0,796.0,268.0,2024-03-27 03:55:57.000,0.27.8,100.0,"['gha', 'julia']",,,,,,,,,,,,,,2.0,,,,,,,
39,Atlite,data,,PyPSA/atlite,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,https://pypsa.org,2016-11-03 23:59:25.000,2024-05-28 04:34:42.000000,2024-05-06 08:50:39,723.0,8.0,77.0,27.0,247.0,29.0,22,True,https://atlite.readthedocs.io/en/master/?badge=master,14.0,237.0,85.0,2023-10-25 10:29:04.000,0.2.12,16.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",atlite,conda-forge/atlite,,6620.0,60.0,60.0,https://pypi.org/project/atlite,2023-10-25 07:26:07.000,,5674.0,https://anaconda.org/conda-forge/atlite,2023-10-25 10:06:22.403,44490.0,3.0,,,,,,,
40,PowSyBl Core,steady-state,,powsybl/powsybl-core,MPL-2.0,Framework to build power system software.,https://github.com/powsybl/powsybl-core,https://www.powsybl.org,2017-09-29 14:51:18.000,2024-05-30 17:55:16.000000,2024-05-30 13:19:15,3197.0,102.0,36.0,238.0,120.0,107.0,22,True,https://www.javadoc.io/doc/com.powsybl/powsybl-core/latest/,20.0,2539.0,317.0,2024-05-02 13:36:06.000,6.3.1,97.0,"['gha', 'java']",,,95.0,1.0,76.0,76.0,,,,,,,,2.0,,,,,,,
41,AMPLPY,ops,,ampl/amplpy,BSD-3,Python API for AMPL.,https://github.com/ampl/amplpy,https://ampl.com/,2017-06-27 00:22:07.000,2024-05-30 08:48:34.747000,2024-05-21 16:50:30,678.0,13.0,18.0,,60.0,8.0,22,True,https://amplpy.readthedocs.io/en/latest/,14.0,6.0,47.0,2024-05-23 16:41:59.000,0.14.0,170.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",amplpy,conda-forge/amplpy,,31088.0,76.0,74.0,https://pypi.org/project/amplpy,2024-05-21 18:42:52.000,2.0,26196.0,https://anaconda.org/conda-forge/amplpy,2024-05-30 08:48:34.747,220166.0,3.0,,,,,,,
42,LightSim2Grid,steady-state,,BDonnot/lightsim2grid,MPL-2.0,A fast backend for the Grid2Op.,https://github.com/BDonnot/lightsim2grid,https://l2rpn.chalearn.org/,2020-03-09 07:35:27.000,2024-05-29 13:11:17.000000,2024-04-22 18:08:18,697.0,108.0,9.0,13.0,45.0,5.0,22,True,https://lightsim2grid.readthedocs.io/en/latest/,3.0,37.0,33.0,2024-04-22 18:09:02.000,0.8.2,25.0,"['gha', 'pypi', 'python']",LightSim2Grid,,101.0,3866.0,43.0,34.0,https://pypi.org/project/LightSim2Grid,2024-04-22 12:52:14.000,9.0,3861.0,,,,2.0,bdonnot/lightsim2grid,https://hub.docker.com/r/bdonnot/lightsim2grid,2022-02-01 17:50:28.347059,188.0,,,
